	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_11	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Sst_tdTpositive_cell_56	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25
Haghl	0.0	14.31	163.54	32.24	249.68	141.6	0.0	425.58	362.48	32.05	66.94	278.94	177.7	0.0	567.51	255.96	0.0	0.0	0.0	108.92	118.68	144.49	134.79	398.77	51.05	87.78	220.37	0.0	0.0	0.0	0.0	692.57	338.0	204.15	0.0	337.26	326.39	307.61	236.33	109.38	158.66	371.7	406.17	148.05	91.23	260.0	351.95	136.18	249.87	231.13	342.36	185.02	278.82	192.44	156.94	98.92	212.99	243.25	260.0	137.44	81.11	128.27	5.04	192.91	193.04	128.95	190.9	194.86	241.45	61.2	324.08	387.84	131.87	393.64	222.15	279.3	120.99	296.27	304.63	160.05	345.54	37.14	270.42	280.41	198.93	413.33	367.01	558.4	196.58	254.56	93.57	244.61	317.06	224.81	138.63	166.06	398.37	145.87	53.65	186.15	373.65	440.6	344.48	241.07	246.61	246.19	279.62	230.01	477.61	87.84	247.37	461.41	222.55	247.47	501.56	315.77	609.48	373.16	389.18	714.73	111.93	138.5	225.44	256.14	91.52	185.27	100.93	244.24	284.84	426.67	70.71	263.09	229.78	215.3	473.22	79.85	153.03	153.05	569.31	208.87	480.41	0.0	148.71	470.59	424.57	581.72	0.0	0.28	0.0	0.0	0.33	0.0	0.6	511.6	286.58	102.12	274.18	99.54	100.71
Hapln4	0.0	0.03	0.0	0.0	28.43	0.0	0.0	0.0	109.52	0.0	61.57	2.06	41.38	0.0	6.11	59.93	0.0	0.1	0.0	89.11	18.2	13.43	92.86	23.55	9.16	92.41	104.79	0.0	0.0	0.0	0.0	0.17	65.14	55.19	24.87	43.61	23.79	103.96	0.0	69.88	26.6	45.71	52.52	0.0	11.88	0.76	0.0	71.64	5.34	107.81	67.19	21.45	27.6	48.75	55.46	44.85	59.67	0.17	24.38	65.08	3.39	66.3	53.16	0.38	73.09	48.64	74.41	17.76	4.41	30.7	37.89	5.02	56.97	44.5	30.51	10.3	67.03	1.98	76.99	1.94	34.79	0.0	36.47	10.92	67.41	2.53	37.32	123.82	32.28	45.07	61.52	44.07	43.76	36.94	59.55	24.67	83.37	0.0	51.4	58.58	23.35	10.78	43.62	80.58	16.88	9.85	52.74	15.38	15.67	26.32	49.85	38.51	81.43	43.69	53.57	12.12	35.64	0.4	53.42	28.31	42.22	21.36	42.97	65.99	57.82	36.54	38.59	121.22	18.52	15.16	0.0	35.53	1.6	20.02	2.19	16.58	0.0	90.27	248.6	3.14	125.39	35.76	0.66	65.44	55.47	60.25	0.0	0.0	0.0	0.0	0.0	0.0	4.5	78.87	10.46	0.0	35.37	0.0	0.33
Hcn1	0.0	38.71	62.42	0.0	59.83	68.36	0.0	0.0	55.2	0.0	8.14	54.83	29.77	13.92	36.64	69.71	0.0	0.0	0.0	37.44	40.45	16.2	48.87	43.35	59.38	78.56	56.03	0.0	0.0	0.0	0.05	0.0	68.02	43.33	58.13	71.37	34.43	89.95	52.82	22.52	40.21	78.4	39.52	78.35	43.76	40.03	45.6	19.7	39.17	56.96	53.22	22.81	18.7	20.63	49.33	57.81	19.81	63.87	14.5	44.1	62.07	83.61	49.8	33.65	43.58	44.19	15.58	36.7	11.66	46.01	31.85	21.68	55.25	35.38	20.74	10.8	35.62	30.76	52.76	59.38	42.69	17.65	32.9	24.16	31.27	96.47	20.53	60.81	15.96	41.21	8.52	44.35	33.35	62.27	23.5	22.33	40.21	13.91	50.62	39.64	41.69	37.05	27.82	43.66	20.53	54.18	29.9	60.04	2.73	7.48	102.68	49.12	82.39	30.41	33.84	30.11	43.3	15.04	58.92	48.71	35.28	20.2	43.42	29.75	52.86	74.6	65.15	41.51	16.23	2.24	6.16	50.38	23.58	38.79	43.98	52.08	35.27	63.96	50.65	24.87	30.43	4.52	15.99	55.16	19.04	47.42	0.05	0.09	0.0	0.05	0.0	0.09	0.0	44.28	40.26	67.76	71.15	0.04	8.9
Hdhd2	0.0	43.48	140.03	208.0	248.65	145.17	287.41	0.0	217.12	123.72	217.42	182.71	180.9	8.57	233.9	408.78	167.84	462.75	491.33	78.16	71.85	259.54	234.89	57.47	168.62	243.45	277.92	0.36	1.64	228.15	437.6	332.05	228.52	210.08	204.7	203.33	178.93	202.23	65.75	91.01	160.22	236.9	153.97	277.29	359.72	299.27	142.71	149.83	203.97	271.22	147.83	252.87	231.31	196.86	184.16	143.35	0.0	282.85	353.42	224.17	65.16	87.37	181.8	384.46	9.81	72.67	125.97	251.38	249.93	239.52	243.88	276.02	378.04	159.47	185.73	184.6	197.61	242.19	168.4	355.7	251.16	10.73	50.56	204.7	144.38	223.95	180.97	177.87	142.84	297.37	147.84	158.36	195.84	215.87	184.76	329.32	115.55	52.55	273.95	19.9	272.33	219.56	187.44	67.51	200.66	305.62	159.16	148.24	153.97	311.34	197.49	194.49	183.2	166.19	327.33	171.01	242.36	320.89	453.47	63.4	220.17	177.95	384.14	104.41	86.95	158.64	73.88	331.67	55.05	263.97	67.9	191.48	0.0	245.47	258.3	305.87	191.67	136.14	229.08	284.16	128.76	186.51	379.39	194.44	309.36	71.55	0.16	0.0	0.0	23.74	402.56	1.48	6.0	264.81	223.84	379.74	198.47	79.15	79.15
Hs3st1	0.0	0.0	0.99	0.0	383.04	208.66	0.0	0.0	325.02	0.0	220.41	121.97	59.79	580.78	242.67	231.49	0.0	0.0	0.0	421.03	126.89	257.04	275.19	86.37	110.02	256.39	304.26	0.0	0.0	0.0	0.0	0.72	208.14	55.65	172.07	176.78	119.07	185.77	250.94	174.09	78.51	2.74	133.86	97.51	201.56	264.09	195.65	112.5	71.25	168.61	230.96	173.28	113.59	185.03	170.65	281.01	167.53	146.27	278.6	1.21	170.79	312.29	2.57	289.29	59.3	281.77	550.14	327.38	147.81	24.22	286.5	349.38	509.42	85.86	56.08	194.2	18.63	85.05	410.61	115.14	134.86	241.21	223.62	7.62	40.27	112.79	85.16	178.05	169.34	78.84	92.66	477.16	147.53	92.03	54.17	94.68	245.52	44.12	167.37	0.37	78.11	228.0	61.42	54.96	160.57	204.9	207.44	7.09	294.32	241.02	118.0	274.52	235.02	218.14	260.14	532.38	460.82	332.31	202.22	108.42	182.51	219.82	92.38	243.9	39.39	396.55	111.57	199.49	193.07	0.25	342.72	206.73	123.12	47.6	381.34	134.69	12.62	89.34	363.08	55.97	354.13	77.94	0.96	114.5	315.91	8.65	0.0	0.42	0.11	0.44	0.0	0.0	264.26	157.46	169.05	72.95	217.12	0.0	0.0
Hspa12a	0.0	7.08	80.88	0.0	0.0	68.36	0.0	0.0	119.37	0.0	95.57	54.34	5.25	0.0	47.13	2.49	0.0	0.0	0.0	0.06	24.19	0.08	13.66	53.99	12.25	51.55	21.12	0.0	0.0	0.0	0.0	0.0	2.35	26.97	38.65	22.26	3.71	59.54	62.23	13.34	45.17	6.52	45.81	0.0	50.68	26.1	1.98	54.64	0.0	19.53	30.5	6.65	8.04	7.24	103.38	57.55	0.13	49.17	0.16	0.0	13.95	60.95	27.86	26.04	37.78	5.13	2.31	59.08	0.06	45.01	24.58	4.88	28.73	40.33	41.25	8.5	40.23	29.04	39.09	21.29	34.4	0.0	12.39	21.1	28.63	35.29	34.63	25.77	40.71	26.89	29.63	18.81	21.22	58.4	64.2	50.34	34.17	56.17	42.29	38.35	61.82	39.14	40.13	11.24	0.0	22.96	84.85	67.88	40.21	55.57	0.82	1.61	45.18	9.24	34.24	70.65	4.63	39.26	47.56	41.78	39.93	23.85	47.38	6.24	53.61	42.81	62.8	19.03	55.49	65.06	0.31	25.74	46.41	53.79	72.83	34.47	0.23	103.62	103.88	2.27	89.3	44.1	2.95	13.99	131.17	12.33	0.0	0.0	0.03	0.0	0.0	0.0	40.69	38.49	47.97	63.55	26.02	0.0	0.0
Hspa9	0.0	0.08	176.47	3.62	24.03	136.06	0.0	0.0	82.36	30.52	99.62	337.26	76.29	105.07	26.3	73.44	0.0	73.7	0.15	95.12	85.44	43.68	106.47	302.62	98.87	149.46	125.81	2.17	420.81	0.0	24.3	0.39	89.63	48.03	135.57	67.4	130.77	63.42	25.1	100.98	121.36	3.63	56.53	144.15	118.17	110.51	51.18	0.0	59.86	64.42	9.61	85.3	88.99	91.37	89.24	17.43	99.7	76.79	99.43	77.96	112.59	95.3	91.92	8.38	41.14	32.96	41.97	92.71	121.82	82.78	17.25	99.71	190.93	83.45	26.63	108.02	107.75	61.44	122.66	293.98	92.4	183.58	102.33	39.53	83.93	39.18	28.87	166.23	71.02	112.84	201.3	139.68	101.74	0.15	45.11	14.52	117.96	3.72	92.6	10.59	283.61	230.02	11.26	39.96	2.6	73.08	101.44	94.98	102.28	19.78	180.86	149.95	140.17	21.47	115.57	90.6	69.45	48.38	87.12	103.91	59.06	148.38	108.16	70.01	50.28	71.64	138.84	114.57	156.5	112.71	78.31	72.44	96.37	77.63	74.02	49.34	0.44	116.88	54.38	53.25	22.09	63.88	7.31	19.1	24.5	31.45	0.0	0.0	0.36	0.61	0.13	0.0	36.02	94.28	99.49	214.64	289.61	28.38	77.62
Idh3a	0.0	392.73	1214.57	1134.03	1723.54	1550.96	113.71	0.0	1211.56	792.36	1862.32	1886.0	1682.7	1099.23	1408.93	1645.86	0.0	0.12	0.0	1011.17	646.56	595.47	956.43	807.36	1359.68	1286.7	986.69	0.0	1.05	351.71	606.57	237.02	1477.73	1126.93	1252.57	1183.7	1075.07	1100.32	1567.36	976.93	1212.4	744.61	1158.07	791.97	1289.89	1130.49	888.87	1597.4	1572.29	1240.22	1345.98	1164.14	1334.82	1508.64	1203.74	1364.99	2010.61	750.16	956.07	1437.3	1268.65	1508.58	1423.93	1347.64	1116.84	759.89	1293.66	1157.45	1778.98	1132.16	1178.79	1303.92	1224.97	1078.83	1343.73	1439.75	1403.04	859.75	1279.95	994.51	1526.21	1850.82	1296.57	1710.6	1168.04	1001.48	1346.68	850.26	1193.1	953.84	1331.3	576.77	905.01	993.53	1368.48	782.9	865.08	896.52	1160.3	831.2	1303.92	1049.23	1623.28	1096.94	1337.74	1054.33	940.79	1266.42	567.69	1462.71	1084.48	1025.78	1354.94	1660.34	1164.13	1860.08	1396.11	994.07	865.76	1009.66	985.9	1082.32	1156.72	1089.25	1439.87	991.51	1135.6	1389.58	1821.54	853.13	1471.26	994.83	994.78	1334.34	1225.33	918.52	1207.05	1240.12	1156.71	1477.42	1625.26	1401.19	1184.04	1219.9	2323.33	1275.64	673.62	1.03	0.46	2.62	112.85	0.0	908.56	1147.64	1333.11	1002.44	1316.8	585.91	758.28
Idh3g	526.15	396.94	1081.02	19.95	820.68	350.49	608.24	0.0	348.11	254.44	270.45	361.39	725.54	613.82	684.3	287.17	907.34	0.0	0.0	956.84	1047.63	359.5	556.27	758.38	694.71	699.67	538.46	0.64	2.91	0.0	545.03	1.38	656.26	821.67	873.32	652.05	577.4	482.45	443.5	562.5	327.21	538.64	898.98	1006.3	429.6	879.98	454.65	583.28	769.78	623.27	459.04	482.27	684.62	569.79	655.21	756.21	504.16	778.9	774.12	388.7	553.76	706.76	443.37	475.22	798.19	617.71	1017.83	245.31	387.57	734.14	1129.68	670.92	547.64	340.52	779.02	476.05	770.97	541.0	519.49	130.48	1078.76	595.61	671.6	628.83	889.22	691.58	650.68	488.27	585.04	591.11	607.36	478.48	380.18	270.01	493.23	955.74	734.2	474.78	434.64	76.38	465.87	625.9	408.46	458.02	706.37	710.13	440.52	508.97	487.26	173.24	565.2	446.74	267.53	497.08	602.97	509.92	395.21	656.13	617.72	644.26	595.03	360.28	752.55	982.0	176.97	721.83	365.99	475.41	469.9	798.2	716.07	719.76	284.17	411.75	560.09	313.84	299.52	389.49	402.67	211.18	915.94	517.14	331.55	727.27	344.12	475.3	0.0	0.85	0.56	1.99	0.0	0.0	1037.24	328.47	624.29	717.24	471.23	52.84	577.95
Immp2l	0.0	0.0	82.43	0.0	67.66	0.0	0.0	0.0	0.0	0.0	0.0	12.22	0.0	50.6	51.04	0.0	0.0	0.0	0.0	21.6	55.75	0.0	11.04	67.51	0.0	0.0	13.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.5	0.0	14.43	0.0	0.0	59.47	0.0	0.0	92.04	0.0	2.16	0.0	0.0	0.0	34.07	23.76	36.92	43.03	36.69	0.0	0.0	33.19	0.0	71.97	38.16	0.0	0.0	0.0	93.98	0.0	71.39	0.0	160.28	27.14	0.0	0.0	0.0	70.63	0.0	31.01	125.93	23.38	0.0	53.63	29.28	126.73	100.1	0.0	5.85	0.56	0.0	29.26	1.53	0.0	0.0	36.24	73.71	39.61	37.48	55.37	82.36	36.92	0.0	0.0	53.7	0.0	57.24	0.0	117.76	33.54	0.72	25.13	114.84	0.0	0.0	2.4	31.11	0.0	132.05	0.0	37.13	0.0	0.0	103.85	36.4	16.83	0.51	20.8	40.21	0.0	0.0	39.44	0.54	76.76	0.0	0.0	82.43	1.11	7.22	0.0	60.36	180.52	149.2	0.26	30.13	46.14	22.61	0.0	24.43	0.0	49.77	21.98	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	114.82	7.47	91.25	0.0	0.0
Immt	0.19	41.06	413.17	6.83	446.89	207.18	0.0	0.0	476.5	239.76	178.55	278.91	244.87	49.26	226.65	116.37	0.12	144.7	764.63	126.1	207.03	268.01	202.19	189.02	317.22	99.67	214.05	0.0	22.75	179.69	0.0	819.65	137.32	201.81	87.57	84.28	289.6	281.87	636.57	131.75	320.09	81.57	191.42	173.89	287.64	178.19	417.67	248.62	231.48	120.84	302.24	279.68	284.28	299.78	246.73	108.42	167.01	265.77	311.83	205.28	182.94	300.9	195.48	64.61	152.35	295.51	250.52	156.43	14.07	229.06	171.76	354.58	356.91	210.26	140.18	274.94	77.5	262.85	254.19	193.19	332.69	585.75	455.22	497.2	234.96	296.58	394.53	314.4	127.76	318.35	236.49	251.01	341.75	115.82	221.75	99.62	125.11	85.3	192.84	317.16	2.64	186.74	125.86	158.79	176.6	302.11	235.5	297.35	239.76	242.14	127.52	220.83	263.39	210.48	267.81	224.82	420.72	437.47	315.47	182.81	42.39	281.88	374.64	187.77	156.67	418.28	230.49	238.36	227.6	396.42	246.22	245.91	292.22	102.16	381.3	247.93	316.29	278.47	326.32	361.4	175.48	297.53	212.34	288.64	184.39	250.92	6.64	58.97	0.0	202.8	0.16	25.19	213.62	371.45	260.55	377.78	174.23	21.86	20.58
Ina	0.0	103.14	174.04	0.54	63.34	48.0	0.0	0.0	31.5	5.36	13.53	91.4	92.47	99.1	37.4	30.58	0.0	0.0	0.0	32.44	53.28	29.92	24.55	3.2	23.42	32.68	30.4	0.0	0.0	0.0	0.0	0.0	68.79	96.62	72.73	16.54	55.55	160.3	32.49	7.72	80.23	106.96	42.68	0.0	152.84	101.28	0.0	95.12	113.6	66.54	57.98	12.78	87.96	0.0	87.48	41.28	140.31	149.4	46.51	93.1	115.56	94.31	12.37	46.88	43.64	111.72	62.07	33.17	9.24	98.9	1.87	2.41	5.16	65.21	53.1	0.0	6.16	11.12	60.73	203.6	100.19	36.37	84.67	56.31	64.08	143.41	70.61	168.13	73.24	116.18	143.2	82.05	47.98	93.32	84.18	77.65	178.3	16.86	4.58	83.96	20.0	45.36	65.9	38.97	105.58	4.09	10.61	87.96	37.39	83.18	8.72	69.76	112.22	4.07	21.65	52.94	82.88	18.63	40.59	46.28	75.29	95.11	37.17	56.74	35.57	48.55	204.83	34.99	191.8	0.0	143.81	104.17	0.0	51.11	46.62	66.38	36.31	176.18	91.36	34.0	47.67	163.03	1.06	27.71	50.94	144.97	0.0	0.0	0.0	0.33	0.0	0.0	33.99	83.8	52.42	56.18	17.24	248.6	19.76
Iqsec1	4.36	9.16	50.02	25.72	52.44	52.82	15.65	0.0	11.25	13.2	53.48	12.84	14.72	2.34	33.81	23.8	11.05	0.0	15.61	28.89	17.92	4.07	30.84	37.26	21.63	47.46	35.37	24.86	13.53	29.56	122.52	0.0	87.65	56.96	21.9	31.69	81.62	96.37	75.67	61.5	69.35	31.42	49.27	45.49	48.46	74.97	46.35	68.74	50.08	45.11	63.56	26.41	52.5	50.06	60.17	33.61	21.8	19.0	79.73	48.96	19.31	72.73	35.23	52.71	63.27	34.6	18.28	20.64	21.9	15.68	24.39	10.29	19.68	40.42	34.13	26.84	24.72	6.29	53.41	24.58	16.92	77.6	24.66	22.9	48.77	68.97	32.35	70.47	69.75	37.69	36.34	18.71	31.81	79.79	35.22	31.43	30.44	47.21	72.54	102.73	41.86	58.69	28.41	63.57	27.98	49.17	64.22	52.94	35.74	48.31	57.02	40.86	43.48	80.54	54.72	74.82	70.78	92.46	55.99	18.79	60.12	76.49	29.94	80.14	66.05	48.8	42.23	39.14	45.0	43.55	31.45	73.97	56.53	19.45	35.89	43.02	67.07	129.99	107.86	76.51	52.99	37.03	42.81	57.21	30.57	54.94	0.08	11.16	0.0	52.0	15.28	0.0	13.98	49.84	52.56	62.26	38.77	19.32	39.25
Itfg1	0.0	78.88	28.14	143.16	101.05	60.13	0.0	0.0	3.34	73.46	0.0	68.21	131.26	23.66	109.63	21.35	0.0	0.0	0.14	110.93	143.36	27.55	18.45	3.49	102.19	59.37	24.78	0.0	0.37	0.0	18.03	0.0	37.66	68.87	43.98	48.81	20.87	108.08	168.24	11.81	17.28	16.45	50.57	1.95	46.44	44.94	24.34	32.35	58.55	49.61	24.94	92.6	126.49	116.01	68.04	63.82	43.06	58.69	66.45	70.81	4.98	171.53	133.75	26.17	137.27	24.61	3.23	110.15	0.1	183.57	73.84	0.18	169.23	94.76	63.49	112.86	127.89	152.02	99.77	115.43	142.02	0.15	141.07	66.94	4.21	61.68	136.55	51.41	81.5	3.23	52.25	49.5	85.47	90.08	69.82	227.08	97.06	50.36	44.76	0.18	71.13	99.1	81.82	126.75	5.64	123.61	155.81	75.24	0.0	102.83	64.05	50.02	40.42	41.45	1.99	42.96	0.0	82.9	196.37	26.21	96.89	88.69	275.85	125.44	40.27	69.85	56.76	153.58	5.19	16.03	57.7	49.38	59.07	55.83	0.36	60.68	290.7	367.74	90.49	25.12	271.46	196.76	33.84	69.72	300.68	57.87	0.0	0.0	0.05	0.0	0.0	0.0	88.55	55.72	184.14	23.02	231.79	0.08	34.38
Kcna1	0.0	49.93	47.87	0.0	191.16	226.45	0.0	0.05	78.98	24.99	219.47	110.04	129.7	2.79	293.95	58.68	0.0	0.0	0.0	110.1	138.22	76.66	74.68	26.98	102.74	111.65	109.21	0.0	0.97	0.0	0.0	0.07	218.51	203.62	67.88	155.4	214.98	258.51	191.86	120.88	231.33	88.23	194.23	136.83	255.22	281.96	47.83	237.12	53.8	198.9	245.4	169.48	209.54	149.01	455.33	193.33	33.81	55.56	151.11	57.36	41.39	167.48	105.87	143.73	124.4	84.92	104.66	84.79	61.98	159.56	28.07	81.48	229.17	158.39	203.93	34.89	86.2	12.5	254.23	181.89	229.92	34.82	146.84	186.92	125.95	89.83	175.67	139.08	169.76	275.53	136.3	173.91	195.32	61.55	140.07	98.42	97.29	76.2	210.57	175.06	130.18	124.46	83.12	169.27	73.74	142.7	63.62	200.01	59.0	103.74	175.44	45.32	92.79	97.94	156.66	109.12	189.11	193.09	127.67	96.21	213.35	139.69	168.5	210.21	91.88	186.72	209.91	164.37	255.31	157.09	178.97	299.74	141.2	19.7	103.95	267.03	179.61	261.1	221.93	74.17	155.8	17.5	119.78	95.94	87.06	247.3	0.08	0.08	0.02	0.2	0.04	0.0	27.95	150.58	183.93	82.18	93.58	52.6	22.79
Kcna2	0.04	0.26	10.37	81.69	58.11	35.05	0.18	0.0	56.96	12.68	72.46	68.68	63.03	0.04	67.64	127.03	0.07	19.61	0.48	66.91	60.23	10.64	39.6	21.87	57.88	37.44	38.44	128.5	1.22	0.17	0.22	5.22	34.51	94.97	6.75	73.62	35.57	31.48	58.27	68.09	52.37	58.87	67.76	20.74	64.74	85.48	13.75	72.0	47.34	71.74	74.76	23.59	43.75	59.12	51.03	75.95	62.18	18.96	51.01	64.71	15.36	56.11	53.5	26.85	28.34	37.62	13.37	37.64	9.79	122.82	58.9	60.0	26.56	83.1	70.06	20.82	41.34	41.11	80.42	92.06	70.45	0.65	51.77	46.36	52.05	50.22	110.12	109.67	35.36	86.53	56.44	19.74	27.8	36.09	16.77	70.45	86.08	11.26	64.42	32.59	19.55	79.96	7.87	43.82	16.07	12.2	42.93	93.67	16.13	38.45	72.88	50.93	13.01	37.57	74.02	93.54	40.12	49.06	68.52	44.24	58.25	25.55	59.61	49.05	37.0	20.98	53.95	99.17	65.74	66.46	73.17	86.66	54.36	15.04	39.54	71.86	87.96	148.99	107.95	91.08	55.03	34.87	35.52	32.18	25.76	72.29	0.06	0.18	0.13	14.68	30.19	0.23	19.66	40.0	60.72	38.1	37.42	0.07	25.22
