	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
SLC16A4	26.67	17.0	21.01	8.19	10.88	16.03	7.51	147.06	15.22	78.34	8.51	7.06	4.28	24.28	40.64	32.59	8.92	860.08	7.75	106.63	29.06	7.94	37.32	5.87	10.79	21.94	34.75	5.77	4.66	6.01	24.28	7.4	13.52	61.25	0.92	24.81	31.22	57.89	40.64	66.65	30.34	325.29	571.05	264.03	463.65	2573.36	120.1	151.22	80.57	353.59	1870.53	1397.83	117.6	220.32	185.11	708.18	28.86	334.46	1378.57	567.1	954.43	5147.73	58.71	1617.0	228.13	463.65	785.88	214.27	543.96	156.59	1242.34	131.51	529.06	314.17	429.54	780.44	98.04	1191.69	693.58	802.41	325.29	105.15	171.45	780.44	57.08	279.14	178.77	271.48	928.3	53.19	1551.09	1594.73	90.77	346.29	1191.69	172.65	486.75	836.53	384.34	954.43	780.44	289.02	214.27	353.59	480.04	143.01	642.59	941.27	85.22	403.5	3467.27	371.22	121.79	1350.18	69.03	187.71	3443.31	327.56	2240.11	703.28	2004.85	674.59	305.55	127.89	164.42	162.14	575.03	231.32	53.57	217.27	279.14	934.76	928.3	1304.15	221.86	173.85	41.52	37.59	49.21	63.45	51.35
SLC1A1	14.67	27.44	19.97	72.52	190.34	70.01	19.68	111.99	76.17	62.56	46.84	63.45	61.25	77.79	23.25	43.63	28.86	19.82	66.65	110.43	34.75	6.01	40.64	1.43	2.05	10.0	234.57	29.27	3.59	90.77	414.87	57.08	66.18	281.09	1.81	39.22	63.0	20.26	108.14	239.52	115.16	0.0	0.07	129.69	941.27	2537.92	1088.92	1923.14	441.64	476.71	2319.15	2520.38	2224.63	2400.97	447.82	3168.41	2468.49	2777.33	351.14	2303.12	1832.01	312.0	503.95	2573.36	3124.78	1286.18	909.17	848.22	2335.28	633.73	3395.89	473.41	2335.28	1769.57	941.27	698.41	332.14	1023.0	638.15	1369.04	457.25	1437.15	1551.09	1008.9	583.07	928.3	1709.26	718.08	503.95	356.05	836.53	297.17	332.14	1709.26	723.08	660.68	5555.65	137.14	848.22	3639.7	1233.75	2090.03	457.25	921.88	1304.15	1331.57	387.02	1111.82	1417.35	1051.79	813.63	1051.79	2520.38	967.76	1388.16	2240.11	934.76	2400.97	954.43	2119.22	476.71	928.3	1437.15	353.59	967.76	2485.67	974.5	3325.99	708.18	387.02	547.75	2555.58	1639.59	1044.52	1277.29	65.26	8.65	37.32	38.4	22.75	33.78
SLC39A8	277.2	172.65	138.1	97.36	490.14	72.52	743.43	156.59	332.14	500.46	140.04	178.77	651.58	457.25	358.54	97.36	470.14	624.99	1350.18	132.44	277.2	79.45	532.74	305.55	67.59	285.03	273.37	146.03	114.36	186.4	232.94	178.77	327.56	178.77	124.37	242.88	366.09	273.37	1697.45	1388.16	575.03	0.0	0.13	551.56	19348.38	9606.86	5954.47	7589.61	18304.63	4575.41	6983.79	17078.76	12589.08	5791.62	10154.69	12502.12	10014.87	13872.08	5672.41	9409.14	11267.44	21919.61	11112.3	10440.2	11992.79	12853.63	9151.82	8479.89	6745.86	14065.74	14765.09	8022.41	10883.59	7433.4	4671.57	6121.9	19082.0	12502.12	7966.99	13306.94	5831.91	4607.24	8363.13	11267.44	16383.0	9025.81	13306.94	4298.64	15392.14	2875.3	6745.86	24832.5	9344.14	7749.1	5633.22	21617.82	13776.25	4268.94	12329.98	7382.04	30785.28	8191.0	6840.04	6516.03	8658.09	7857.29	6699.25	10959.3	8134.41	7803.01	14971.21	5954.47	11827.67	8022.41	10368.08	5872.48	11267.44	6381.92	30361.44	8658.09	7230.1	9344.14	13399.51	5594.3	6121.9	6840.04	5913.33	11992.79	6983.79	4181.07	2090.03	11112.3	13681.08	21026.65	4972.34	559.28	99.43	204.07	125.24	98.04	361.04
SLC6A4	0.0	0.97	1.22	2.84	0.3	0.97	0.34	0.55	1.6	1.23	0.3	0.29	0.87	29.27	2.73	1.19	0.32	0.31	0.55	1.23	0.48	0.17	19.82	0.18	0.18	23.08	1.03	0.49	0.17	0.48	0.77	2.81	0.19	1.95	0.48	29.48	0.53	0.47	3.26	1.23	0.24	0.0	0.0	4.82	836.53	2255.7	1183.45	167.9	154.42	3639.7	1015.93	7589.61	3325.99	11035.54	921.88	146.03	3614.55	3665.02	1651.0	4903.87	5255.91	82.29	571.05	2485.67	2520.38	2520.38	3212.66	1583.71	4358.66	1977.24	7180.15	579.04	5329.3	3372.43	6079.61	63.89	426.57	2178.83	329.84	2271.4	647.07	5711.87	343.89	890.44	775.05	4123.49	3768.09	1088.92	63.89	1250.98	497.0	81.71	1662.49	426.57	2303.12	551.56	4481.23	65.72	98.73	1159.07	381.68	2739.08	3874.05	4607.24	6121.9	1674.06	271.48	4123.49	1378.57	872.1	3395.89	1991.0	1529.73	1991.0	5112.16	1268.46	2287.2	1936.53	185.11	2303.12	116.78	400.71	1447.15	1378.57	1191.69	1088.92	1991.0	5633.22	285.03	1781.89	1259.69	4123.49	2417.67	785.88	2875.3	0.28	2.03	3.82	0.28	0.28	10.47
SSTR1	0.0	0.65	5.06	0.0	0.29	0.33	0.64	0.0	46.5	0.36	18.16	0.0	0.34	7.06	102.25	2.05	0.35	48.52	0.57	1.03	2.86	0.0	3.99	0.0	0.0	0.39	1.08	1.14	0.0	0.0	0.75	0.0	1.79	2.16	0.0	1.53	6.73	0.75	5.87	18.03	1.62	0.0	0.15	4.17	23.59	224.97	205.5	55.89	36.53	161.02	334.46	181.28	52.08	395.18	20.86	88.88	204.07	232.94	23.93	389.72	148.09	84.04	31.67	316.37	95.34	68.55	137.14	150.17	76.17	35.5	96.68	56.28	185.11	151.22	38.12	127.89	166.73	40.93	150.17	98.73	147.06	159.9	320.8	511.0	64.8	164.42	289.02	58.3	193.01	37.05	571.05	15.91	99.43	99.43	35.5	170.25	117.6	244.57	108.9	242.88	400.71	140.04	96.68	291.04	236.21	104.42	19.11	100.83	122.64	84.04	183.82	68.07	69.03	76.71	51.71	81.71	316.37	65.26	33.3	77.79	67.59	22.75	273.37	327.56	39.22	50.98	111.21	116.78	8.13	86.43	70.51	105.15	1127.35	262.2	75.64	6.21	0.47	6.36	9.48	0.51	20.86
SUSD2	115.97	28.86	122.64	96.68	6.84	10.55	40.93	45.21	37.85	186.4	15.11	397.93	151.22	38.67	61.68	50.63	1561.89	15.0	555.41	5.68	85.22	52.08	59.55	48.18	30.78	36.01	193.01	19.97	17.13	23.08	129.69	12.0	108.14	164.42	23.08	74.06	82.87	155.5	638.15	199.85	147.06	0.0	0.2	265.87	21919.61	44452.21	22692.63	43537.38	4836.35	14765.09	28132.47	138544.47	36357.37	21320.18	13033.07	36106.23	20737.16	48307.85	29327.18	26431.04	32767.0	6037.61	12502.12	23009.42	22225.61	25708.25	16843.62	14163.58	28132.47	11424.74	20451.65	8078.22	21320.18	25887.07	13872.08	32767.0	5329.3	14461.21	8840.04	40621.74	16496.96	19482.97	36357.37	27174.14	10296.45	9151.82	29124.6	29531.18	11745.96	17804.06	14163.58	15075.35	6337.83	20451.65	19754.96	5555.65	57448.23	14461.21	21919.61	46662.28	30785.28	18304.63	9808.75	18178.19	25179.16	24321.43	8538.88	25708.25	16960.78	33922.56	9409.14	36610.26	31432.17	21468.49	11112.3	46019.85	29124.6	13215.02	9215.48	31215.04	27938.14	30361.44	8840.04	11584.24	30361.44	28923.41	43236.64	26800.01	9808.75	8191.0	3928.15	15499.21	26431.04	27745.15	8363.13	684.02	33.06	113.56	104.42	66.18	299.25
SYT15	9.56	76.17	11.47	6.94	12.18	21.63	6.26	4.31	9.41	25.72	9.78	175.07	24.63	16.51	14.24	20.86	53.95	17.9	19.82	33.78	43.32	10.39	22.59	6.52	4.1	9.13	57.08	29.48	7.88	19.68	9.56	10.39	14.24	42.71	4.98	40.36	30.56	11.82	32.13	23.93	16.75	65.26	94.01	23.42	616.37	1519.15	1467.37	1447.15	1135.2	1437.15	1191.69	2061.24	1769.57	1950.0	283.05	1819.35	1950.0	3690.52	1268.46	1685.71	2520.38	348.71	669.92	902.89	1594.73	1844.76	2645.74	1242.34	2018.8	896.64	1427.22	921.88	1369.04	2335.28	1151.06	1977.24	878.17	341.51	460.44	1151.06	1268.46	3491.39	1662.49	2224.63	1167.14	1242.34	1540.37	1350.18	909.17	616.37	285.03	808.0	1467.37	1340.84	1369.04	825.0	1697.45	547.75	1467.37	836.53	493.56	2193.99	954.43	1286.18	1923.14	3874.05	253.23	651.58	1143.1	4512.4	1685.71	397.93	1340.84	1167.14	1950.0	1857.6	961.07	1199.98	426.57	2468.49	2701.35	3060.45	1508.65	1674.06	1832.01	1359.57	2335.28	1794.29	2271.4	612.11	567.1	1437.15	1242.34	409.15	1268.46	51.71	12.18	43.32	28.86	7.0	111.99
TACC2	260.38	842.36	20.26	361.04	229.72	571.05	255.0	563.18	417.77	395.18	363.56	1111.82	759.08	532.74	1806.78	483.38	400.71	995.0	540.19	1313.23	791.35	363.56	1119.56	314.17	733.19	660.68	1350.18	674.59	409.15	884.29	457.25	450.94	281.09	703.28	595.34	884.29	412.0	457.25	1208.34	713.11	221.86	0.0	0.14	447.82	4210.15	5872.48	5791.62	2758.13	2956.17	703.28	2133.97	3589.58	2148.82	1159.07	3060.45	3235.01	3018.3	1923.14	2816.11	2682.69	2502.97	2032.85	2434.5	6164.49	3690.52	3614.55	1001.93	1757.34	4038.61	2835.7	4123.49	2573.36	2758.13	6037.61	2303.12	2537.92	1104.13	1757.34	2434.5	3690.52	651.58	3395.89	4607.24	2555.58	1225.22	941.27	2104.58	1977.24	1378.57	7130.55	1551.09	1037.29	2367.9	4543.8	1883.54	1250.98	2609.3	896.64	3690.52	5041.77	1508.65	3146.52	1572.76	1127.35	2209.26	2956.17	1437.15	2720.15	3372.43	2627.46	466.88	2384.37	3540.14	1936.53	2609.3	9344.14	1111.82	3212.66	1583.71	4239.45	4038.61	2047.0	1127.35	1467.37	3060.45	5183.54	1191.69	5831.91	6037.61	1721.16	2255.7	2976.74	1806.78	1674.06	3325.99	409.15	1529.73	1322.37	860.08	507.46	902.89
TENC1	211.31	514.56	293.07	189.02	180.02	180.02	143.01	205.5	432.53	620.67	595.34	277.2	120.94	441.64	629.35	503.95	532.74	201.25	363.56	285.03	420.68	108.14	387.02	96.01	77.79	348.71	454.09	146.03	67.12	72.52	444.72	224.97	457.25	587.13	63.45	376.41	417.77	361.04	698.41	511.0	264.03	0.0	0.93	432.53	2400.97	3768.09	2047.0	2485.67	1487.87	2075.59	3349.13	4736.79	2468.49	5076.84	967.76	2645.74	3491.39	2119.22	3467.27	3303.0	3419.52	312.0	3665.02	3190.46	2956.17	3039.3	2061.24	2935.74	4869.99	1857.6	2451.44	2133.97	3235.01	3235.01	4358.66	3901.01	1950.0	2895.31	2739.08	2417.67	1104.13	4481.23	4639.29	3665.02	1350.18	1745.2	3395.89	3742.05	1870.53	3018.3	2627.46	579.04	5479.15	3124.78	4836.35	1023.0	3690.52	1359.57	3768.09	3768.09	808.0	3325.99	1119.56	4239.45	3928.15	4836.35	438.59	2178.83	1977.24	4419.52	748.61	2855.44	2178.83	3212.66	2777.33	3665.02	2047.0	3303.0	1127.35	5076.84	2682.69	3589.58	595.34	1819.35	3589.58	4869.99	2502.97	5183.54	2682.69	3349.13	3303.0	2855.44	7032.37	2335.28	3564.78	426.57	228.13	295.11	607.87	409.15	674.59
TMEM100	2.56	1.93	4.54	5.36	1.14	3.82	6.89	3.38	35.0	6.41	0.43	3.2	0.74	18.84	7.4	12.09	9.48	1.35	2.86	24.28	27.64	4.1	37.85	1.33	1.68	12.74	37.32	4.06	1.3	1.36	10.08	3.99	2.1	4.78	0.0	28.04	14.78	30.56	175.07	65.72	9.63	0.0	0.47	403.5	1250.98	2976.74	2645.74	872.1	567.1	3847.29	3168.41	7911.95	2573.36	10883.59	2555.58	884.29	5479.15	6792.79	2502.97	9088.59	7081.29	281.09	1857.6	3614.55	2835.7	5913.33	934.76	4671.57	5006.93	4010.71	14361.31	5219.6	15075.35	4671.57	11827.67	802.41	15607.02	3235.01	2777.33	6699.25	759.08	8718.32	1508.65	2287.2	575.03	3419.52	3614.55	819.3	161.02	638.15	748.61	316.37	2047.0	1832.01	1286.18	5594.3	6471.02	76.17	1447.15	2976.74	1651.0	5255.91	1037.29	9025.81	8078.22	2895.31	555.41	6607.01	3614.55	1119.56	9025.81	5366.37	2319.15	2796.65	6471.02	5995.9	36106.23	1963.57	441.64	1628.26	1594.73	902.89	1111.82	2133.97	1819.35	2777.33	802.41	8247.98	808.0	1119.56	12076.21	10296.45	9279.58	4802.93	4066.71	18.84	5.36	21.16	41.81	5.68	87.03
TNR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.33	0.0	0.0	0.3	0.0	0.0	0.36	0.0	2.03	0.0	0.0	0.95	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	2.73	0.73	1.3	0.44	0.1	0.91	0.0	0.0	1.11	15.34	2.68	9.56	2.63	7.0	17.13	2.61	9.85	2.61	22.26	15.22	2.66	17.0	49.91	6.94	9.78	13.62	7.11	3.76	3.89	5.92	9.56	14.45	6.41	9.06	6.01	18.29	4.39	14.67	10.88	14.56	2.66	7.69	8.85	7.57	8.0	3.96	9.56	2.63	5.77	10.88	17.38	8.45	4.98	9.13	4.31	28.65	24.11	19.25	5.92	12.0	10.71	6.06	6.11	3.35	5.06	10.88	7.0	9.2	15.11	10.79	3.92	10.47	9.13	5.96	4.5	72.52	5.68	8.51	3.96	7.82	4.46	37.32	2.66	2.63	8.32	0.0	6.57	3.2	16.15	9.56	10.0	12.74	6.89	3.82	7.69	21.94	15.34	4.43	4.43	7.11	0.75	0.0	0.77	0.0	0.0	0.77
TUBB1	1.27	2.18	0.31	1.87	0.83	1.57	1.25	6.31	2.05	1.36	2.43	0.91	1.87	1.28	17.51	1.31	2.23	3.66	1.71	6.36	1.81	1.68	1.5	0.75	1.39	2.97	1.75	0.78	0.72	0.42	0.41	0.41	1.08	1.11	0.0	0.79	0.82	0.74	4.66	0.29	0.89	0.0	0.0	0.68	191.67	8.99	35.0	14.24	88.26	75.64	25.72	57.49	56.28	29.06	22.92	30.12	40.07	50.98	28.86	66.65	159.9	63.45	40.07	74.58	45.85	53.57	103.69	36.79	81.71	85.82	90.77	41.52	48.52	57.08	41.81	21.47	121.79	155.5	16.63	50.98	13.12	52.82	16.51	44.25	48.18	161.02	61.68	16.88	13.72	12.55	23.08	21.32	93.35	42.71	35.76	119.26	52.08	5.54	23.25	16.15	10.47	87.03	145.02	41.52	65.26	16.75	11.64	13.62	41.22	23.59	29.91	69.03	59.13	31.22	49.21	38.4	291.04	24.81	49.56	201.25	12.55	69.52	48.18	38.95	30.56	43.32	116.78	79.45	40.07	24.11	14.78	113.56	56.28	74.58	59.55	1.06	2.89	2.76	3.56	1.45	4.06
USHBP1	6.41	8.58	17.13	8.51	3.66	7.63	10.31	4.21	9.93	4.21	2.56	10.39	2.61	23.42	9.06	13.32	7.94	9.27	34.51	11.64	29.06	8.0	14.14	4.31	4.24	19.53	15.11	11.04	2.03	7.51	15.34	4.82	20.86	20.86	6.31	39.79	16.27	17.38	20.71	35.0	15.34	0.0	0.26	15.45	150.17	214.27	376.41	181.28	119.26	400.71	358.54	351.14	305.55	591.22	96.01	173.85	285.03	231.32	127.89	447.82	339.14	64.8	180.02	262.2	318.57	194.36	368.65	316.37	371.22	110.43	291.04	211.31	353.59	287.01	351.14	236.21	164.42	232.94	99.43	140.04	336.79	429.54	358.54	204.07	159.9	483.38	341.51	262.2	96.68	297.17	267.73	59.55	353.59	223.41	218.79	110.43	356.05	100.83	275.28	332.14	63.89	325.29	226.54	521.76	323.03	457.25	19.39	291.04	171.45	376.41	287.01	265.87	249.73	189.02	312.0	187.71	269.6	314.17	104.42	277.2	197.09	119.26	173.85	389.72	169.07	316.37	255.0	323.03	125.24	395.18	106.63	159.9	684.02	136.19	343.89	11.38	9.27	19.11	25.17	6.11	23.76
VIPR1	32.13	173.85	36.27	540.19	18.97	403.5	15.56	281.09	175.07	242.88	24.81	397.93	27.25	55.1	146.03	73.54	108.9	1.48	78.34	112.77	45.85	76.71	204.07	256.78	32.36	162.14	55.1	66.18	97.36	9.06	100.13	44.57	33.06	76.17	6.46	228.13	33.3	76.71	525.39	242.88	51.71	0.0	0.52	162.14	1159.07	4152.18	3768.09	1159.07	830.75	2935.74	3794.3	6607.01	3081.75	9808.75	981.29	1378.57	4671.57	3349.13	2193.99	6745.86	6699.25	371.22	1388.16	4639.29	4802.93	3372.43	2502.97	2240.11	5517.27	2319.15	8247.98	2384.37	9409.14	5255.91	6037.61	1447.15	1143.1	5076.84	1977.24	3325.99	703.28	6935.54	3146.52	2796.65	587.13	2061.24	4358.66	1819.35	728.11	3060.45	3589.58	143.01	4181.07	3235.01	4388.98	738.29	6250.56	314.17	629.35	4736.79	486.75	5006.93	2271.4	6207.38	4512.4	4268.94	441.64	3564.78	3540.14	2303.12	1572.76	3349.13	3103.19	1963.57	5672.41	4481.23	1096.5	4038.61	571.05	3742.05	1963.57	896.64	1175.27	3564.78	2609.3	6121.9	1844.76	6164.49	1369.04	2997.45	5831.91	5183.54	4181.07	1030.12	4543.8	112.77	48.52	128.79	289.02	171.45	239.52
WIF1	1.91	0.0	0.61	0.0	0.0	0.0	1.57	0.1	2.1	0.14	2.84	4.78	0.0	1.57	0.4	4.39	0.13	0.0	0.97	0.54	3.89	0.0	493.56	1.64	0.0	616.37	15.68	4.7	0.54	0.0	1.3	13.12	1.66	1.69	0.0	198.47	4.5	4.46	34.51	10.08	2.94	0.0	0.0	5.82	25708.25	36357.37	2875.3	2855.44	1781.89	35856.82	11992.79	23986.58	6745.86	2367.9	21617.82	23656.34	22535.88	12853.63	17558.94	10084.54	2032.85	7966.99	19348.38	28525.2	8247.98	860.08	12943.04	2104.58	7280.4	5403.7	46339.95	775.05	19482.97	44452.21	22225.61	9088.59	10808.41	8191.0	5633.22	46019.85	5006.93	4239.45	1175.27	5441.3	5594.3	12329.98	9673.69	16269.83	7433.4	13968.57	11504.21	26614.89	12329.98	3955.48	12160.22	4010.71	15285.81	25530.66	10808.41	11909.94	23009.42	37121.34	6381.92	12676.65	11035.54	3874.05	3467.27	13306.94	10808.41	19082.0	65082.31	7433.4	10154.69	4419.52	4802.93	7911.95	5954.47	14065.74	7032.37	38697.77	16269.83	3235.01	24660.96	4123.49	7589.61	11189.6	34635.37	48982.22	4181.07	10883.59	20593.91	14361.31	14867.79	17804.06	44761.41	5.92	2502.97	83.45	7.4	0.0	34.75
XAGE2B	3.76	0.0	0.0	0.0	0.0	0.0	112.77	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.56	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	0.0	8.71	0.35	0.0	0.0	33.78	201.25	480.04	0.0	15.22	12.93	16.63	46.84	15.0	21.16	68.55	38.67	0.0	316.37	890.44	19.53	961.07	76.17	182.55	135.24	0.0	50.27	86.43	212.78	0.0	74.06	89.51	796.86	17.77	0.0	32.82	34.51	0.0	130.6	100.83	11.64	148.09	249.73	48.87	38.67	128.79	82.29	60.82	0.0	0.0	23.08	25.72	193.01	674.59	11.3	84.04	55.1	0.0	57.89	77.79	3.0	64.8	63.89	22.75	218.79	2163.77	45.85	11.38	109.66	239.52	2.16	6.16	99.43	93.35	28.65	279.14	67.12	19.39	389.72	82.87	195.72	40.93	66.18	35.5	119.26	202.66	18.84	110.43	148.09	79.45	31.0	559.28	75.11	0.0	486.75	84.63	115.97	3.96	0.0	1.0	6.31	0.71	7.51
ZNF14	48.52	55.89	32.59	68.55	30.78	24.11	45.53	3.66	2.01	120.1	108.9	99.43	73.54	16.88	80.57	69.52	111.99	19.82	68.07	67.59	84.63	23.08	80.01	4.5	2.34	87.03	47.17	71.0	2.97	2.43	68.07	20.26	67.12	71.0	37.85	53.57	34.51	38.12	59.55	100.83	37.32	0.0	0.0	102.25	83.45	86.43	101.54	122.64	61.68	147.06	127.89	75.11	116.78	151.22	96.68	115.16	117.6	123.5	120.94	127.0	99.43	22.92	155.5	123.5	115.16	150.17	157.68	115.97	155.5	80.57	100.13	69.52	118.43	124.37	88.88	92.7	142.01	76.71	59.97	115.97	110.43	103.69	149.12	54.72	120.94	172.65	101.54	109.66	27.84	88.26	59.55	104.42	105.89	149.12	80.57	96.68	134.3	18.43	163.28	102.97	30.56	149.12	63.89	169.07	85.82	127.89	34.26	90.77	124.37	155.5	135.24	115.97	85.82	104.42	172.65	90.77	100.83	88.26	111.21	105.89	111.99	138.1	198.47	50.27	92.7	108.9	80.57	102.97	95.34	77.79	49.21	165.57	221.86	76.71	69.03	57.08	82.87	32.59	92.05	35.5	77.79
