	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
KRBOX4	271.48	316.37	127.89	361.04	356.05	244.57	173.85	224.97	253.23	169.07	301.33	356.05	142.01	234.57	236.21	139.07	305.55	197.09	136.19	426.57	164.42	248.0	262.2	201.25	229.72	251.48	281.09	194.36	291.04	287.01	260.38	253.23	312.0	379.04	214.27	267.73	253.23	209.84	244.57	339.14	277.2	127.89	241.19	287.01	397.93	275.28	273.37	320.8	414.87	341.51	295.11	358.54	387.02	260.38	361.04	271.48	214.27	341.51	397.93	536.45	363.56	303.44	511.0	486.75	214.27	255.0	237.86	376.41	329.84	384.34	343.89	246.28	376.41	242.88	323.03	323.03	234.57	320.8	293.07	454.09	368.65	392.44	172.65	312.0	287.01	325.29	470.14	229.72	336.79	275.28	392.44	241.19	256.78	255.0	327.56	490.14	307.69	251.48	232.94	226.54	214.27	208.38	316.37	229.72	395.18	267.73	211.31	246.28	412.0	397.93	429.54	332.14	356.05	297.17	423.61	251.48	348.71	371.22	236.21	403.5	211.31	435.55	371.22	406.31	476.71	262.2	244.57	187.71	277.2	314.17	493.56	264.03	381.68	241.19	256.78	269.6	271.48	249.73	444.72	368.65	253.23	339.14	470.14	285.03	409.15	260.38	206.94	343.89	206.94	389.72	262.2	258.57	301.33	271.48	218.79	291.04	571.05	208.38	226.54	237.86	587.13	285.03	267.73	435.55	218.79	236.21	406.31	368.65	249.73	201.25	392.44	426.57	371.22	262.2	329.84	248.0	441.64	392.44	202.66
KRIT1	718.08	587.13	242.88	629.35	748.61	718.08	343.89	361.04	679.29	591.22	540.19	575.03	363.56	486.75	547.75	295.11	612.11	414.87	351.14	647.07	287.01	444.72	599.49	521.76	351.14	417.77	525.39	293.07	532.74	567.1	420.68	551.56	547.75	1008.9	490.14	559.28	647.07	384.34	723.08	660.68	486.75	599.49	457.25	688.78	802.41	595.34	497.0	728.11	872.1	723.08	674.59	587.13	587.13	536.45	825.0	547.75	595.34	665.29	775.05	825.0	775.05	624.99	1037.29	583.07	301.33	660.68	356.05	764.36	780.44	718.08	507.46	514.56	638.15	620.67	463.65	638.15	633.73	674.59	679.29	583.07	785.88	612.11	693.58	688.78	521.76	571.05	514.56	638.15	624.99	884.29	547.75	616.37	1059.11	620.67	819.3	698.41	651.58	521.76	785.88	466.88	616.37	723.08	748.61	647.07	616.37	612.11	571.05	599.49	860.08	743.43	902.89	764.36	693.58	555.41	693.58	629.35	587.13	728.11	728.11	753.83	571.05	624.99	703.28	607.87	947.83	490.14	693.58	450.94	825.0	583.07	854.13	441.64	629.35	684.02	575.03	909.17	607.87	473.41	693.58	825.0	555.41	713.11	759.08	587.13	567.1	660.68	567.1	775.05	460.44	638.15	591.22	738.29	753.83	624.99	371.22	647.07	665.29	460.44	555.41	511.0	974.5	698.41	688.78	674.59	974.5	599.49	813.63	733.19	575.03	656.11	620.67	607.87	769.69	679.29	575.03	651.58	748.61	638.15	490.14
LANCL1	417.77	356.05	142.01	307.69	307.69	373.81	281.09	224.97	346.29	379.04	291.04	287.01	246.28	283.05	454.09	204.07	346.29	275.28	267.73	353.59	275.28	289.02	295.11	376.41	299.25	212.78	260.38	171.45	289.02	447.82	309.83	275.28	291.04	486.75	363.56	305.55	579.04	244.57	334.46	351.14	248.0	134.3	279.14	460.44	500.46	409.15	420.68	454.09	497.0	444.72	368.65	346.29	406.31	368.65	483.38	389.72	400.71	457.25	511.0	547.75	486.75	395.18	612.11	447.82	241.19	356.05	281.09	406.31	432.53	466.88	414.87	348.71	521.76	356.05	403.5	395.18	384.34	361.04	417.77	529.06	412.0	384.34	226.54	450.94	279.14	389.72	221.86	376.41	511.0	438.59	387.02	341.51	400.71	395.18	376.41	473.41	447.82	351.14	381.68	307.69	361.04	334.46	480.04	363.56	417.77	409.15	348.71	392.44	414.87	450.94	551.56	348.71	379.04	295.11	426.57	287.01	466.88	470.14	363.56	547.75	361.04	454.09	536.45	476.71	825.0	323.03	316.37	297.17	379.04	381.68	620.67	285.03	438.59	389.72	403.5	397.93	389.72	334.46	412.0	450.94	356.05	368.65	457.25	351.14	450.94	373.81	339.14	444.72	366.09	417.77	325.29	432.53	400.71	363.56	258.57	339.14	414.87	351.14	341.51	379.04	575.03	435.55	366.09	460.44	432.53	392.44	450.94	406.31	348.71	320.8	307.69	323.03	392.44	376.41	395.18	450.94	414.87	529.06	343.89
LMLN	114.36	77.79	24.28	102.25	127.0	80.57	52.45	57.89	102.25	94.67	79.45	83.45	55.49	75.11	86.43	42.11	88.88	67.12	72.52	120.1	55.49	62.56	84.63	106.63	45.53	44.89	106.63	50.27	58.71	111.21	63.0	92.05	107.38	134.3	79.45	63.0	102.97	47.84	96.01	95.34	85.82	51.71	57.89	141.02	157.68	75.64	78.34	150.17	176.29	105.89	108.9	110.43	83.45	98.04	135.24	88.88	97.36	150.17	147.06	169.07	130.6	92.7	175.07	146.03	73.54	94.67	73.03	158.79	119.26	109.66	88.26	78.89	167.9	100.83	122.64	129.69	98.04	211.31	132.44	170.25	117.6	80.01	121.79	108.14	70.01	133.36	79.45	87.65	97.36	133.36	151.22	96.68	133.36	117.6	115.16	120.94	98.04	97.36	108.14	80.57	98.04	102.97	120.94	88.88	131.51	121.79	74.58	82.87	171.45	162.14	181.28	185.11	102.97	127.89	100.83	98.73	108.14	96.68	121.79	140.04	79.45	154.42	131.51	123.5	186.4	120.1	77.25	56.68	123.5	96.68	181.28	85.82	121.79	118.43	90.14	113.56	136.19	80.57	132.44	139.07	75.64	96.68	204.07	111.21	152.28	130.6	77.79	128.79	71.0	204.07	80.01	85.82	111.99	116.78	60.39	119.26	198.47	99.43	60.82	113.56	166.73	139.07	113.56	194.36	96.01	124.37	167.9	146.03	72.01	102.25	102.25	76.71	147.06	105.15	134.3	138.1	126.12	214.27	92.05
MBD4	587.13	591.22	571.05	490.14	674.59	429.54	595.34	521.76	518.15	435.55	521.76	587.13	521.76	579.04	438.59	486.75	656.11	555.41	353.59	738.29	395.18	463.65	656.11	503.95	669.92	503.95	616.37	490.14	447.82	551.56	738.29	540.19	591.22	612.11	476.71	525.39	624.99	543.96	486.75	595.34	493.56	490.14	684.02	529.06	555.41	480.04	563.18	551.56	595.34	579.04	536.45	559.28	473.41	480.04	629.35	500.46	463.65	587.13	660.68	713.11	551.56	493.56	961.07	703.28	607.87	660.68	497.0	575.03	543.96	429.54	432.53	563.18	587.13	540.19	389.72	432.53	536.45	532.74	674.59	587.13	693.58	470.14	620.67	595.34	575.03	629.35	493.56	511.0	483.38	718.08	595.34	514.56	490.14	567.1	607.87	624.99	476.71	507.46	417.77	473.41	684.02	463.65	480.04	616.37	409.15	595.34	507.46	599.49	563.18	656.11	603.67	476.71	395.18	728.11	599.49	532.74	403.5	536.45	624.99	651.58	525.39	620.67	514.56	547.75	785.88	476.71	836.53	575.03	529.06	595.34	547.75	392.44	493.56	406.31	361.04	616.37	457.25	480.04	660.68	575.03	366.09	490.14	796.86	674.59	791.35	607.87	571.05	536.45	450.94	642.59	518.15	457.25	543.96	507.46	379.04	595.34	599.49	490.14	603.67	571.05	669.92	525.39	529.06	651.58	525.39	536.45	473.41	500.46	480.04	493.56	525.39	595.34	518.15	567.1	563.18	571.05	511.0	579.04	457.25
MCM9	281.09	189.02	90.77	244.57	242.88	151.22	116.78	120.94	223.41	171.45	211.31	145.02	71.0	138.1	157.68	84.04	195.72	133.36	75.64	212.78	100.13	117.6	151.22	190.34	111.99	116.78	187.71	111.21	163.28	169.07	132.44	162.14	208.38	329.84	162.14	205.5	248.0	118.43	193.01	248.0	128.79	87.03	132.44	264.03	260.38	185.11	169.07	291.04	289.02	228.13	256.78	236.21	175.07	195.72	305.55	208.38	195.72	191.67	237.86	309.83	236.21	170.25	376.41	197.09	162.14	197.09	164.42	224.97	246.28	236.21	218.79	209.84	301.33	212.78	172.65	152.28	176.29	202.66	253.23	283.05	239.52	169.07	120.94	176.29	157.68	287.01	118.43	187.71	226.54	241.19	215.77	221.86	264.03	253.23	299.25	234.57	224.97	169.07	223.41	169.07	246.28	218.79	220.32	204.07	206.94	242.88	231.32	226.54	224.97	281.09	305.55	215.77	178.77	177.53	231.32	237.86	172.65	211.31	249.73	193.01	167.9	264.03	195.72	264.03	366.09	194.36	194.36	156.59	264.03	269.6	226.54	180.02	166.73	218.79	201.25	221.86	226.54	241.19	262.2	218.79	142.01	180.02	325.29	186.4	320.8	201.25	201.25	214.27	149.12	236.21	211.31	194.36	205.5	281.09	111.21	189.02	316.37	218.79	137.14	171.45	258.57	239.52	249.73	277.2	244.57	187.71	285.03	262.2	194.36	232.94	176.29	127.89	271.48	204.07	220.32	232.94	228.13	316.37	173.85
MED6	417.77	486.75	392.44	486.75	612.11	353.59	547.75	476.71	543.96	420.68	435.55	543.96	521.76	551.56	318.57	389.72	486.75	444.72	373.81	607.87	318.57	463.65	595.34	353.59	500.46	480.04	555.41	532.74	429.54	633.73	532.74	518.15	514.56	688.78	384.34	503.95	703.28	414.87	381.68	480.04	470.14	303.44	511.0	432.53	599.49	511.0	511.0	547.75	559.28	536.45	493.56	525.39	540.19	438.59	490.14	507.46	493.56	493.56	728.11	791.35	679.29	441.64	890.44	521.76	387.02	466.88	426.57	599.49	525.39	457.25	438.59	476.71	547.75	591.22	493.56	563.18	493.56	780.44	616.37	674.59	540.19	647.07	651.58	500.46	429.54	490.14	417.77	536.45	503.95	638.15	547.75	503.95	759.08	595.34	463.65	559.28	454.09	480.04	633.73	476.71	555.41	529.06	507.46	547.75	551.56	525.39	536.45	547.75	514.56	514.56	733.19	486.75	438.59	480.04	507.46	511.0	476.71	624.99	563.18	571.05	514.56	532.74	599.49	543.96	830.75	521.76	575.03	525.39	476.71	450.94	529.06	395.18	540.19	579.04	500.46	764.36	470.14	493.56	532.74	713.11	466.88	420.68	674.59	463.65	698.41	454.09	595.34	470.14	480.04	579.04	447.82	563.18	497.0	483.38	450.94	536.45	559.28	432.53	536.45	511.0	521.76	551.56	490.14	616.37	753.83	503.95	536.45	674.59	435.55	503.95	555.41	403.5	490.14	563.18	536.45	507.46	417.77	575.03	518.15
METTL6	260.38	191.67	189.02	246.28	202.66	199.85	181.28	187.71	232.94	226.54	212.78	309.83	153.34	224.97	248.0	224.97	201.25	215.77	157.68	258.57	156.59	214.27	190.34	208.38	167.9	212.78	267.73	182.55	209.84	194.36	212.78	183.82	217.27	295.11	248.0	199.85	269.6	198.47	258.57	218.79	178.77	232.94	195.72	273.37	229.72	199.85	249.73	239.52	265.87	251.48	232.94	251.48	234.57	260.38	244.57	253.23	251.48	214.27	299.25	351.14	237.86	244.57	312.0	246.28	129.69	237.86	228.13	236.21	228.13	269.6	249.73	178.77	226.54	223.41	246.28	197.09	242.88	229.72	246.28	262.2	226.54	244.57	164.42	234.57	182.55	262.2	226.54	202.66	226.54	239.52	228.13	218.79	275.28	202.66	214.27	241.19	236.21	217.27	249.73	198.47	223.41	220.32	236.21	173.85	202.66	215.77	237.86	194.36	301.33	295.11	320.8	239.52	256.78	151.22	239.52	228.13	223.41	285.03	220.32	273.37	223.41	277.2	264.03	234.57	316.37	197.09	187.71	214.27	209.84	226.54	234.57	194.36	224.97	221.86	249.73	206.94	241.19	237.86	275.28	273.37	224.97	267.73	279.14	248.0	249.73	201.25	249.73	205.5	221.86	246.28	199.85	217.27	212.78	231.32	195.72	253.23	297.17	239.52	229.72	258.57	277.2	265.87	194.36	241.19	177.53	234.57	220.32	307.69	191.67	209.84	224.97	255.0	246.28	241.19	214.27	283.05	323.03	265.87	208.38
MIA3	974.5	620.67	532.74	830.75	1191.69	603.67	603.67	563.18	848.22	775.05	775.05	866.07	447.82	718.08	743.43	514.56	995.0	775.05	476.71	819.3	753.83	967.76	713.11	1044.52	571.05	698.41	1073.91	848.22	703.28	802.41	708.18	738.29	830.75	718.08	842.36	620.67	928.3	507.46	759.08	1111.82	884.29	642.59	669.92	974.5	896.64	728.11	743.43	842.36	890.44	825.0	961.07	1001.93	738.29	928.3	896.64	995.0	780.44	896.64	866.07	1081.39	890.44	1127.35	1191.69	884.29	909.17	860.08	559.28	848.22	896.64	802.41	698.41	802.41	713.11	1096.5	769.69	603.67	988.12	981.29	785.88	890.44	1159.07	713.11	775.05	961.07	620.67	656.11	902.89	967.76	733.19	1023.0	764.36	1044.52	921.88	780.44	802.41	954.43	1023.0	884.29	1059.11	896.64	866.07	738.29	974.5	934.76	708.18	967.76	775.05	1104.13	1073.91	954.43	941.27	848.22	633.73	733.19	1277.29	1295.13	525.39	669.92	1015.93	791.35	884.29	1081.39	718.08	1066.48	728.11	559.28	753.83	543.96	819.3	915.51	1104.13	819.3	902.89	830.75	563.18	674.59	1081.39	954.43	909.17	921.88	884.29	642.59	1015.93	1388.16	1044.52	934.76	808.0	866.07	616.37	995.0	1183.45	981.29	1127.35	872.1	934.76	836.53	1225.22	1001.93	836.53	896.64	890.44	860.08	780.44	1008.9	854.13	954.43	1015.93	708.18	607.87	785.88	624.99	674.59	775.05	961.07	830.75	909.17	808.0	796.86	796.86
MINA	2224.63	1030.12	332.14	1407.55	785.88	1407.55	438.59	624.99	974.5	1437.15	624.99	1119.56	743.43	567.1	1159.07	633.73	1225.22	587.13	1369.04	1477.58	2468.49	1322.37	575.03	1001.93	1143.1	1001.93	1605.83	599.49	1340.84	796.86	830.75	1529.73	928.3	1225.22	1651.0	1073.91	2209.26	547.75	1104.13	693.58	1096.5	928.3	616.37	1304.15	1498.22	1119.56	1457.23	2193.99	967.76	2209.26	1397.83	1143.1	1216.75	2240.11	902.89	1259.69	1883.54	1721.16	2178.83	1331.57	1277.29	2287.2	6381.92	884.29	866.07	660.68	1540.37	967.76	2061.24	808.0	791.35	1769.57	1119.56	1757.34	1769.57	1023.0	1183.45	1883.54	1208.34	1233.75	1477.58	967.76	1977.24	1331.57	595.34	2384.37	1008.9	1037.29	896.64	1806.78	808.0	1037.29	1583.71	1350.18	1159.07	1963.57	3212.66	2224.63	1225.22	1407.55	890.44	1529.73	1340.84	1870.53	1191.69	2555.58	967.76	743.43	1259.69	1561.89	2468.49	1407.55	884.29	974.5	2895.31	2855.44	1081.39	1359.57	1369.04	1175.27	1508.65	2609.3	1350.18	967.76	2271.4	567.1	1059.11	866.07	1208.34	2193.99	1001.93	1923.14	1216.75	1950.0	830.75	1111.82	1378.57	1977.24	1685.71	2451.44	2468.49	988.12	2915.45	1674.06	1127.35	708.18	1991.0	1183.45	1561.89	3928.15	1806.78	1844.76	2148.82	1467.37	1819.35	1870.53	1104.13	2271.4	1857.6	947.83	728.11	1378.57	1268.46	1250.98	642.59	1407.55	1819.35	1350.18	1104.13	1277.29	813.63	796.86	1143.1	2209.26	1322.37	1008.9	2133.97	1216.75	1008.9
MPHOSPH8	954.43	915.51	518.15	753.83	928.3	791.35	688.78	713.11	988.12	718.08	656.11	780.44	540.19	808.0	728.11	708.18	848.22	571.05	603.67	921.88	205.5	435.55	684.02	728.11	583.07	669.92	780.44	361.04	703.28	842.36	674.59	587.13	791.35	1583.71	764.36	647.07	915.51	616.37	848.22	974.5	733.19	432.53	842.36	967.76	1268.46	718.08	651.58	1111.82	1111.82	1030.12	1059.11	866.07	785.88	748.61	1044.52	842.36	866.07	961.07	981.29	1073.91	1191.69	825.0	1304.15	1051.79	753.83	780.44	708.18	1044.52	830.75	1199.98	1167.14	718.08	1159.07	769.69	785.88	860.08	825.0	890.44	934.76	1073.91	872.1	890.44	896.64	947.83	738.29	890.44	1407.55	698.41	981.29	1037.29	1073.91	718.08	764.36	842.36	921.88	1066.48	884.29	660.68	961.07	684.02	825.0	713.11	934.76	825.0	842.36	854.13	738.29	785.88	1359.57	1216.75	1066.48	1088.92	1167.14	860.08	1111.82	688.78	941.27	1008.9	791.35	961.07	713.11	902.89	921.88	947.83	954.43	1104.13	890.44	599.49	921.88	813.63	1437.15	575.03	1175.27	775.05	769.69	860.08	915.51	759.08	967.76	1073.91	607.87	1037.29	1242.34	842.36	1268.46	909.17	819.3	791.35	723.08	878.17	860.08	813.63	802.41	909.17	507.46	819.3	1259.69	733.19	941.27	825.0	1721.16	791.35	860.08	1096.5	718.08	693.58	842.36	1135.2	808.0	733.19	1477.58	1359.57	974.5	934.76	780.44	764.36	1044.52	928.3	660.68
MTMR10	417.77	473.41	189.02	389.72	406.31	363.56	291.04	289.02	412.0	351.14	343.89	518.15	260.38	303.44	371.22	242.88	371.22	318.57	246.28	346.29	170.25	241.19	389.72	376.41	262.2	301.33	325.29	307.69	376.41	423.61	314.17	387.02	351.14	638.15	325.29	373.81	536.45	246.28	384.34	423.61	336.79	204.07	358.54	493.56	551.56	403.5	379.04	454.09	551.56	423.61	423.61	387.02	346.29	366.09	532.74	371.22	429.54	497.0	497.0	587.13	514.56	368.65	733.19	368.65	500.46	473.41	251.48	435.55	567.1	450.94	361.04	387.02	493.56	470.14	435.55	403.5	493.56	473.41	483.38	454.09	414.87	285.03	450.94	500.46	301.33	314.17	279.14	466.88	412.0	688.78	444.72	511.0	486.75	503.95	329.84	497.0	412.0	460.44	460.44	353.59	551.56	450.94	563.18	395.18	409.15	518.15	403.5	387.02	447.82	536.45	483.38	476.71	400.71	309.83	397.93	435.55	363.56	435.55	476.71	444.72	400.71	426.57	466.88	432.53	493.56	361.04	476.71	325.29	463.65	466.88	497.0	343.89	327.56	587.13	363.56	473.41	497.0	397.93	447.82	483.38	441.64	379.04	470.14	341.51	525.39	381.68	490.14	483.38	429.54	463.65	371.22	414.87	607.87	450.94	387.02	423.61	426.57	389.72	285.03	309.83	450.94	607.87	435.55	470.14	698.41	507.46	603.67	414.87	327.56	441.64	379.04	305.55	441.64	389.72	500.46	397.93	429.54	435.55	406.31
MYLIP	1001.93	1487.87	414.87	1594.73	1277.29	497.0	884.29	1183.45	947.83	647.07	988.12	974.5	941.27	1674.06	780.44	612.11	1059.11	915.51	473.41	1008.9	830.75	651.58	1540.37	1081.39	684.02	902.89	967.76	559.28	909.17	1769.57	1081.39	1135.2	1340.84	1844.76	503.95	1208.34	1369.04	785.88	934.76	1467.37	896.64	679.29	1225.22	1225.22	1844.76	842.36	1059.11	2224.63	1477.58	1397.83	1331.57	1225.22	902.89	698.41	1340.84	961.07	1487.87	1225.22	1605.83	2255.7	1781.89	872.1	1127.35	1001.93	872.1	909.17	961.07	1832.01	1896.65	1359.57	1551.09	1008.9	1378.57	733.19	813.63	1378.57	1233.75	2004.85	1909.85	1233.75	1388.16	1331.57	2061.24	872.1	525.39	1651.0	1051.79	974.5	941.27	1697.45	1467.37	1088.92	1111.82	738.29	1066.48	1733.13	738.29	1044.52	2119.22	403.5	1023.0	941.27	1119.56	1427.22	769.69	684.02	1340.84	1457.23	2319.15	1540.37	1662.49	1857.6	1096.5	759.08	1745.2	1143.1	995.0	1628.26	1081.39	1733.13	928.3	878.17	1397.83	1662.49	1757.34	967.76	1388.16	1806.78	1233.75	947.83	1909.85	559.28	1135.2	1111.82	1572.76	1923.14	759.08	1159.07	1088.92	2224.63	743.43	1250.98	1950.0	1059.11	1407.55	1709.26	934.76	1605.83	1059.11	1388.16	1104.13	1081.39	1378.57	612.11	656.11	981.29	1540.37	366.09	1487.87	813.63	1051.79	1088.92	1950.0	1487.87	1639.59	961.07	748.61	2018.8	878.17	819.3	1378.57	764.36	1745.2	1159.07	842.36	1159.07	1369.04	1628.26	1143.1
