	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
TUBGCP6	358.54	409.15	633.73	204.07	651.58	607.87	363.56	343.89	638.15	193.01	780.44	450.94	156.59	320.8	1044.52	872.1	164.42	318.57	334.46	255.0	231.32	309.83	159.9	723.08	293.07	164.42	291.04	423.61	173.85	854.13	669.92	256.78	376.41	392.44	406.31	204.07	329.84	503.95	460.44	511.0	808.0	463.65	629.35	486.75	738.29	514.56	334.46	713.11	928.3	162.14	325.29	262.2	133.36	206.94	267.73	205.5	514.56	194.36	353.59	201.25	301.33	387.02	316.37	144.01	305.55	1233.75	332.14	866.07	679.29	1233.75	896.64	928.3	457.25	796.86	934.76	400.71	457.25	426.57	595.34	764.36	775.05	733.19	591.22
TYK2	2104.58	1697.45	2255.7	718.08	2119.22	2502.97	1651.0	2004.85	2537.92	1096.5	2758.13	1519.15	1477.58	1259.69	2777.33	2609.3	1104.13	1322.37	1651.0	1104.13	1685.71	1369.04	633.73	3540.14	1183.45	1277.29	1819.35	2018.8	1529.73	2417.67	2384.37	1583.71	1304.15	1639.59	802.41	1037.29	1844.76	2032.85	1529.73	1977.24	3820.7	2451.44	3190.46	2417.67	3018.3	2701.35	1427.22	1923.14	3060.45	1044.52	2090.03	1119.56	878.17	713.11	1340.84	954.43	1733.13	2255.7	1794.29	1407.55	1044.52	1819.35	1508.65	967.76	1015.93	4450.27	1427.22	4268.94	2997.45	5183.54	4450.27	4358.66	2047.0	2303.12	3589.58	1745.2	1662.49	1883.54	2956.17	2777.33	2520.38	3039.3	2090.03
UBA7	1066.48	684.02	1369.04	454.09	633.73	1322.37	486.75	579.04	1583.71	363.56	1639.59	514.56	563.18	1127.35	2367.9	1417.35	301.33	275.28	612.11	295.11	890.44	738.29	234.57	3257.52	483.38	500.46	620.67	1008.9	607.87	1359.57	738.29	674.59	656.11	529.06	98.73	363.56	909.17	698.41	796.86	1359.57	2119.22	934.76	1295.13	1225.22	1870.53	1250.98	759.08	825.0	2090.03	351.14	599.49	267.73	155.5	246.28	934.76	406.31	854.13	432.53	387.02	198.47	325.29	511.0	454.09	587.13	490.14	3280.18	633.73	2796.65	1551.09	2555.58	2367.9	1529.73	896.64	723.08	1857.6	947.83	629.35	866.07	620.67	842.36	1447.15	1870.53	1437.15
UBAP1L	32.82	39.5	32.36	38.67	44.57	49.21	20.71	22.92	78.34	10.47	52.08	43.02	4.9	11.91	73.03	85.82	2.58	34.02	8.65	9.85	4.7	13.12	7.46	50.27	17.13	14.78	48.18	28.24	12.55	59.13	27.25	26.1	29.91	20.41	6.21	12.0	15.22	25.17	63.45	32.59	52.45	45.53	51.71	41.81	77.79	27.44	15.68	34.26	57.89	2.86	11.21	4.7	9.48	2.71	7.88	5.5	14.24	15.8	17.9	9.34	5.15	16.15	12.93	3.23	22.92	122.64	15.8	63.0	41.52	114.36	52.08	55.49	28.04	35.0	57.08	21.01	34.02	27.25	34.26	63.0	22.92	75.11	57.08
VPS9D1	346.29	384.34	373.81	239.52	193.01	237.86	122.64	204.07	279.14	98.04	368.65	158.79	187.71	175.07	297.17	314.17	98.73	224.97	279.14	133.36	101.54	105.15	114.36	295.11	209.84	158.79	177.53	305.55	113.56	237.86	287.01	139.07	185.11	218.79	194.36	118.43	133.36	551.56	323.03	336.79	334.46	346.29	297.17	320.8	389.72	368.65	258.57	199.85	1059.11	264.03	267.73	158.79	148.09	162.14	226.54	142.01	228.13	412.0	221.86	224.97	212.78	320.8	339.14	148.09	281.09	435.55	231.32	463.65	432.53	753.83	547.75	392.44	228.13	409.15	480.04	212.78	256.78	283.05	260.38	339.14	341.51	366.09	379.04
WASH4P	181.28	236.21	336.79	125.24	336.79	493.56	112.77	236.21	733.19	62.12	521.76	273.37	185.11	171.45	743.43	595.34	106.63	183.82	155.5	132.44	232.94	214.27	98.73	684.02	136.19	205.5	356.05	190.34	209.84	532.74	490.14	256.78	180.02	170.25	190.34	166.73	191.67	141.02	281.09	466.88	1457.23	228.13	384.34	400.71	1066.48	497.0	205.5	665.29	575.03	96.01	215.77	85.22	129.69	111.99	122.64	116.78	201.25	96.01	164.42	100.83	140.04	202.66	211.31	102.97	110.43	1143.1	177.53	753.83	486.75	1088.92	961.07	536.45	248.0	441.64	780.44	264.03	358.54	180.02	361.04	417.77	202.66	454.09	511.0
WDR27	223.41	215.77	353.59	80.01	318.57	281.09	127.0	120.1	536.45	105.15	283.05	256.78	90.77	170.25	450.94	624.99	84.04	139.07	182.55	74.58	43.02	135.24	63.45	356.05	166.73	154.42	221.86	186.4	102.25	713.11	251.48	228.13	202.66	109.66	37.05	155.5	134.3	403.5	271.48	341.51	1088.92	476.71	603.67	483.38	571.05	450.94	267.73	698.41	1199.98	90.14	136.19	65.72	118.43	40.64	147.06	90.14	218.79	173.85	217.27	110.43	67.59	214.27	144.01	68.07	112.77	909.17	193.01	547.75	361.04	633.73	514.56	587.13	279.14	703.28	633.73	400.71	432.53	327.56	551.56	769.69	384.34	974.5	679.29
YJEFN3	39.5	54.33	129.69	26.1	57.49	82.29	27.05	43.02	120.94	17.38	125.24	35.25	31.67	40.07	83.45	115.16	66.18	52.82	34.75	21.32	24.11	9.2	12.55	121.79	105.15	37.05	69.52	57.89	27.64	113.56	43.94	46.5	36.01	23.59	12.0	20.41	28.86	57.89	67.59	100.13	108.14	94.01	127.0	123.5	146.03	87.65	40.36	108.9	1073.91	18.56	36.01	17.77	24.99	16.03	19.11	25.54	48.18	22.1	57.08	19.97	12.18	27.64	37.32	23.59	15.34	348.71	35.76	169.07	59.13	343.89	183.82	209.84	52.45	56.68	128.79	88.88	63.0	47.84	77.79	118.43	67.59	149.12	295.11
ZNF266	147.06	269.6	836.53	267.73	547.75	441.64	244.57	244.57	842.36	229.72	620.67	397.93	269.6	438.59	1008.9	587.13	78.34	444.72	264.03	336.79	221.86	183.82	145.02	521.76	217.27	297.17	353.59	438.59	190.34	591.22	329.84	450.94	283.05	412.0	291.04	229.72	356.05	518.15	195.72	305.55	769.69	346.29	728.11	775.05	651.58	185.11	348.71	624.99	540.19	180.02	273.37	164.42	125.24	129.69	209.84	201.25	384.34	269.6	164.42	251.48	182.55	150.17	327.56	212.78	181.28	988.12	314.17	612.11	363.56	854.13	854.13	612.11	323.03	281.09	551.56	444.72	371.22	281.09	327.56	299.25	473.41	575.03	575.03
ZNF276	466.88	265.87	395.18	112.77	269.6	473.41	224.97	217.27	435.55	164.42	470.14	260.38	204.07	180.02	460.44	497.0	132.44	197.09	273.37	105.89	108.14	145.02	167.9	785.88	236.21	136.19	273.37	358.54	171.45	417.77	450.94	211.31	215.77	236.21	97.36	111.99	412.0	679.29	318.57	529.06	842.36	521.76	500.46	587.13	733.19	587.13	244.57	567.1	1340.84	149.12	172.65	153.34	138.1	115.97	253.23	87.65	320.8	125.24	218.79	202.66	144.01	303.44	283.05	162.14	156.59	1111.82	307.69	796.86	503.95	1119.56	842.36	791.35	341.51	414.87	703.28	392.44	483.38	389.72	363.56	511.0	409.15	674.59	403.5
ZNF354B	169.07	109.66	128.79	62.56	204.07	204.07	142.01	92.05	180.02	124.37	169.07	135.24	81.71	99.43	258.57	269.6	55.49	74.58	71.5	86.43	74.58	84.04	53.19	265.87	155.5	92.7	116.78	162.14	98.04	249.73	183.82	167.9	132.44	144.01	78.89	120.1	156.59	167.9	153.34	144.01	361.04	183.82	305.55	236.21	371.22	209.84	95.34	279.14	329.84	38.12	56.68	45.21	18.84	36.53	70.01	43.32	115.16	49.21	87.03	89.51	41.22	75.11	111.99	63.0	73.54	400.71	109.66	255.0	181.28	171.45	293.07	269.6	152.28	152.28	249.73	150.17	152.28	241.19	198.47	253.23	205.5	242.88	211.31
ZNF783	224.97	166.73	246.28	78.34	234.57	231.32	63.45	124.37	348.71	111.21	249.73	339.14	92.7	131.51	460.44	389.72	77.79	93.35	182.55	126.12	74.06	78.34	82.29	409.15	133.36	86.43	136.19	189.02	68.55	316.37	218.79	127.89	169.07	209.84	153.34	107.38	105.15	264.03	156.59	198.47	392.44	287.01	318.57	343.89	417.77	183.82	182.55	339.14	392.44	67.12	68.07	50.63	32.59	40.64	80.01	77.79	169.07	73.54	198.47	92.7	60.82	92.7	98.04	32.82	96.68	295.11	124.37	279.14	198.47	403.5	343.89	279.14	183.82	197.09	264.03	195.72	232.94	221.86	358.54	297.17	215.77	279.14	299.25
