	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
PEAK1	503.95	529.06	255.0	343.89	389.72	291.04	371.22	309.83	283.05	325.29	336.79	334.46	201.25	339.14	185.11	351.14	242.88	303.44	334.46	312.0	248.0	353.59	112.77	57.08	111.99	105.89	65.26	50.98	78.34	61.68	87.65	197.09	145.02	109.66	87.65	81.14	87.65	178.77	70.01	154.42	115.97	136.19	94.67	169.07	164.42	72.52	262.2	185.11	629.35	12.45	75.11	217.27	182.55	253.23	155.5	55.1	24.99	33.06	60.39	111.99	153.34	72.52	52.08	75.11	69.52	102.97	56.68	92.05	96.68	76.71	255.0	660.68	995.0	551.56	381.68	190.34	397.93	332.14	358.54	432.53	616.37	264.03	435.55	131.51	102.97	197.09	246.28	287.01	140.04	175.07	159.9	466.88	125.24	127.89	271.48
PHACTR1	57.08	145.02	34.26	28.24	14.67	41.81	40.07	69.52	49.56	46.18	39.22	71.5	67.59	84.04	41.81	38.95	85.82	44.89	68.55	52.45	19.39	25.35	16.75	14.14	19.82	26.1	7.11	2.01	17.51	3.56	7.46	36.01	21.32	15.11	22.1	88.26	25.91	16.39	7.06	35.76	10.96	20.11	10.31	18.29	423.61	51.35	896.64	29.48	144.01	3.82	159.9	38.95	202.66	206.94	22.92	144.01	21.47	61.25	41.52	122.64	214.27	90.77	16.88	14.45	32.82	329.84	33.3	152.28	14.35	4.58	44.25	921.88	114.36	237.86	551.56	38.4	50.27	107.38	187.71	312.0	206.94	50.63	70.51	36.79	29.91	50.63	88.88	140.04	60.39	48.18	8.99	81.71	36.53	28.86	65.72
PHF10	836.53	860.08	624.99	728.11	1037.29	718.08	1183.45	1709.26	1135.2	1104.13	884.29	1167.14	1135.2	1259.69	1216.75	1685.71	1250.98	1111.82	1151.06	1304.15	1437.15	1191.69	329.84	303.44	450.94	316.37	273.37	265.87	301.33	295.11	341.51	460.44	397.93	368.65	295.11	497.0	265.87	638.15	289.02	320.8	351.14	373.81	392.44	341.51	785.88	563.18	1151.06	366.09	921.88	100.13	307.69	497.0	878.17	791.35	473.41	281.09	195.72	187.71	226.54	525.39	693.58	229.72	493.56	255.0	381.68	297.17	255.0	417.77	583.07	514.56	1127.35	1225.22	1519.15	1159.07	1088.92	791.35	961.07	785.88	1225.22	1127.35	1259.69	420.68	1378.57	612.11	603.67	703.28	854.13	1388.16	693.58	878.17	830.75	1008.9	947.83	567.1	1066.48
PHF20	314.17	351.14	110.43	167.9	253.23	186.4	212.78	307.69	214.27	199.85	211.31	277.2	195.72	295.11	170.25	277.2	211.31	244.57	198.47	212.78	249.73	327.56	141.02	189.02	96.01	139.07	92.05	85.22	102.25	99.43	138.1	177.53	164.42	150.17	115.97	130.6	143.01	262.2	123.5	141.02	165.57	137.14	170.25	197.09	129.69	138.1	220.32	133.36	183.82	52.82	167.9	165.57	214.27	258.57	194.36	180.02	167.9	111.99	98.04	189.02	293.07	116.78	170.25	143.01	136.19	165.57	159.9	158.79	178.77	81.71	100.83	624.99	242.88	500.46	551.56	237.86	256.78	460.44	429.54	353.59	320.8	239.52	307.69	126.12	125.24	173.85	208.38	309.83	172.65	153.34	158.79	187.71	189.02	172.65	167.9
PHF3	733.19	743.43	231.32	283.05	400.71	258.57	483.38	320.8	447.82	466.88	351.14	447.82	480.04	567.1	320.8	373.81	343.89	414.87	392.44	426.57	234.57	486.75	194.36	165.57	173.85	206.94	106.63	126.12	70.01	105.89	172.65	291.04	289.02	224.97	145.02	135.24	150.17	384.34	187.71	194.36	182.55	92.05	224.97	312.0	395.18	251.48	305.55	165.57	521.76	28.24	27.64	291.04	463.65	497.0	172.65	149.12	180.02	242.88	75.11	221.86	242.88	71.5	201.25	199.85	177.53	229.72	307.69	143.01	684.02	199.85	283.05	825.0	780.44	529.06	460.44	348.71	435.55	559.28	454.09	521.76	450.94	271.48	830.75	265.87	148.09	176.29	444.72	329.84	232.94	264.03	223.41	525.39	351.14	183.82	616.37
PHIP	273.37	297.17	108.9	102.97	133.36	194.36	358.54	297.17	271.48	291.04	226.54	356.05	256.78	371.22	248.0	287.01	305.55	246.28	236.21	309.83	189.02	277.2	39.22	50.27	60.39	66.18	31.67	33.06	21.63	42.11	46.18	61.25	72.52	72.52	34.75	54.33	31.45	75.64	53.57	56.28	55.1	55.49	42.71	63.89	171.45	117.6	218.79	48.87	293.07	21.94	13.83	91.41	214.27	195.72	116.78	51.35	94.01	59.55	28.86	63.45	72.52	26.67	59.13	47.5	48.18	59.55	75.11	70.51	84.63	33.78	76.71	392.44	376.41	532.74	450.94	392.44	291.04	353.59	397.93	371.22	361.04	287.01	483.38	175.07	77.25	154.42	215.77	229.72	120.94	239.52	84.63	195.72	142.01	61.25	242.88
PLAC9	13399.51	3467.27	651.58	1051.79	473.41	3540.14	4066.71	3235.01	8134.41	5555.65	2739.08	6164.49	1936.53	3794.3	1447.15	5954.47	4869.99	4066.71	4450.27	3639.7	2796.65	5112.16	161.02	59.13	199.85	161.02	59.13	105.89	279.14	111.99	59.97	127.0	125.24	130.6	283.05	53.95	133.36	80.01	104.42	173.85	236.21	318.57	128.79	121.79	127.89	285.03	529.06	209.84	1857.6	223.41	30.78	154.42	255.0	237.86	145.02	78.89	65.72	84.63	33.3	406.31	36.53	123.5	56.68	62.12	63.0	295.11	39.79	92.7	28.04	161.02	1015.93	3847.29	1135.2	1183.45	603.67	176.29	921.88	379.04	629.35	595.34	674.59	157.68	7433.4	228.13	211.31	884.29	642.59	1268.46	480.04	483.38	688.78	603.67	441.64	547.75	2875.3
PLAGL1	587.13	698.41	974.5	947.83	497.0	1175.27	3018.3	2133.97	2627.46	2032.85	1331.57	1883.54	4010.71	2796.65	1119.56	1628.26	1286.18	2303.12	1572.76	2351.53	679.29	669.92	21.63	8.71	32.36	201.25	8.06	72.52	27.05	112.77	115.16	253.23	211.31	71.0	102.97	191.67	76.71	153.34	8.25	223.41	13.52	148.09	66.65	20.86	78.89	50.98	87.03	115.97	1081.39	2.46	51.71	267.73	264.03	137.14	293.07	100.83	28.86	12.0	57.89	232.94	113.56	114.36	221.86	55.1	132.44	96.01	51.35	228.13	36.79	24.28	159.9	1519.15	2573.36	599.49	438.59	195.72	718.08	215.77	629.35	723.08	624.99	94.01	2537.92	103.69	75.11	166.73	423.61	529.06	134.3	426.57	56.28	173.85	74.06	82.87	389.72
PLEKHM3	63.45	111.99	21.32	29.27	46.84	33.3	25.91	36.01	58.3	20.71	19.53	32.36	44.57	45.21	19.53	32.59	39.22	24.46	37.32	35.76	11.55	18.7	10.16	10.79	22.75	9.06	11.82	5.59	1.87	6.31	14.89	18.43	9.34	24.46	14.89	13.42	8.06	31.0	6.67	8.13	15.91	5.96	11.64	37.85	95.34	48.18	6.62	9.56	39.22	1.91	36.27	23.42	65.26	63.45	14.45	22.1	6.57	8.38	14.45	8.19	19.68	19.97	14.35	17.25	7.46	15.45	10.79	16.03	25.91	9.06	24.63	94.01	60.82	60.82	55.1	41.22	21.78	41.52	82.29	69.03	82.87	27.05	42.11	51.71	21.94	45.85	57.49	78.89	24.99	74.06	13.32	32.36	55.49	10.47	70.01
POGZ	612.11	1127.35	529.06	529.06	679.29	2090.03	2303.12	2400.97	1697.45	1950.0	1977.24	1991.0	2240.11	2104.58	1936.53	1277.29	1950.0	2075.59	1143.1	2193.99	1529.73	1477.58	228.13	291.04	289.02	323.03	204.07	220.32	215.77	253.23	287.01	339.14	229.72	237.86	356.05	224.97	212.78	389.72	248.0	258.57	305.55	209.84	182.55	262.2	708.18	291.04	708.18	314.17	1583.71	38.12	299.25	470.14	723.08	447.82	684.02	166.73	275.28	211.31	148.09	366.09	334.46	169.07	237.86	232.94	265.87	167.9	397.93	229.72	629.35	195.72	441.64	1832.01	2061.24	1397.83	1572.76	796.86	769.69	1104.13	1674.06	1605.83	1572.76	551.56	1051.79	567.1	432.53	674.59	713.11	808.0	532.74	733.19	525.39	819.3	669.92	334.46	1304.15
POLR2A	1081.39	1407.55	1467.37	1295.13	1023.0	961.07	1096.5	961.07	1277.29	1081.39	633.73	813.63	1008.9	1008.9	1104.13	1037.29	981.29	1191.69	860.08	884.29	1030.12	684.02	813.63	934.76	1030.12	830.75	607.87	563.18	775.05	728.11	872.1	1378.57	830.75	759.08	866.07	1066.48	915.51	1286.18	860.08	866.07	728.11	490.14	896.64	974.5	1104.13	915.51	1119.56	587.13	1781.89	50.63	1259.69	802.41	1407.55	1617.0	713.11	802.41	305.55	420.68	733.19	728.11	665.29	1605.83	660.68	450.94	521.76	679.29	521.76	480.04	423.61	183.82	808.0	2468.49	1909.85	1498.22	1437.15	1757.34	1286.18	890.44	1143.1	1008.9	921.88	947.83	403.5	1199.98	866.07	1111.82	1030.12	603.67	878.17	1487.87	1037.29	1340.84	1870.53	808.0	1447.15
PPFIA2	40.93	97.36	13.32	8.25	16.88	17.51	19.25	67.59	71.0	69.03	64.34	18.56	36.01	68.55	11.64	48.87	22.92	27.64	32.59	57.49	28.04	16.03	6.73	4.58	11.21	14.35	0.0	16.63	4.74	7.22	16.75	12.27	10.39	15.68	8.71	3.23	12.27	23.93	7.17	8.25	11.91	16.51	8.06	14.03	26.67	68.07	48.18	27.05	57.08	3.5	1.27	26.86	37.05	24.99	4.39	7.82	0.0	1.51	1.17	2.29	6.41	2.73	6.26	5.15	7.22	9.48	1.85	5.32	14.35	2.94	8.25	176.29	68.55	73.03	10.88	18.84	46.18	24.46	10.88	26.1	39.22	12.93	84.04	19.53	7.51	28.65	32.36	11.3	25.72	12.0	7.0	35.76	30.78	9.27	16.88
PPIL4	733.19	503.95	339.14	397.93	265.87	262.2	612.11	665.29	400.71	493.56	389.72	536.45	490.14	543.96	500.46	536.45	543.96	497.0	373.81	441.64	307.69	353.59	269.6	215.77	226.54	265.87	173.85	224.97	156.59	204.07	295.11	293.07	348.71	285.03	199.85	255.0	193.01	314.17	303.44	279.14	241.19	212.78	223.41	246.28	591.22	363.56	571.05	239.52	460.44	111.99	48.18	395.18	426.57	438.59	301.33	149.12	358.54	275.28	111.21	255.0	275.28	100.83	251.48	275.28	205.5	255.0	167.9	199.85	155.5	199.85	339.14	934.76	808.0	518.15	480.04	384.34	497.0	366.09	432.53	480.04	426.57	336.79	708.18	281.09	221.86	323.03	423.61	384.34	262.2	363.56	329.84	733.19	368.65	403.5	651.58
PRDM6	32.13	37.32	4.35	24.99	57.89	30.34	48.87	27.05	167.9	66.18	20.41	96.68	11.91	98.73	36.79	96.68	43.63	28.65	16.75	90.14	23.42	53.95	8.13	7.63	14.24	5.63	4.39	19.53	3.32	2.43	5.11	7.82	4.31	15.34	3.5	23.42	10.24	29.7	3.99	11.04	7.17	19.39	10.0	5.36	18.43	6.26	40.07	2.46	65.72	1.19	4.66	7.11	13.52	24.99	9.93	1.68	12.93	9.56	18.16	8.78	5.15	3.2	8.38	3.35	22.75	11.82	3.32	7.28	0.0	3.0	19.82	281.09	239.52	57.49	30.78	30.12	60.82	59.97	8.85	70.01	40.07	16.88	52.08	4.86	5.32	25.54	18.29	45.21	45.21	43.94	80.01	72.52	17.13	20.26	58.3
PRKCB	277.2	36.01	58.3	142.01	217.27	11.21	17.0	33.78	117.6	51.35	28.04	102.25	269.6	170.25	46.5	141.02	62.56	70.01	85.82	54.33	68.07	38.4	4.86	3.0	4.7	19.39	2.86	2.01	6.06	0.0	3.35	9.7	13.62	3.41	6.46	13.12	15.0	5.63	1.17	12.09	2.76	22.75	5.19	8.32	14.03	20.26	22.59	5.28	94.01	3.44	55.49	97.36	22.26	45.53	32.59	27.25	16.27	36.27	33.3	56.28	237.86	59.97	45.85	10.16	13.42	43.32	7.57	22.43	14.14	3.44	49.91	248.0	429.54	684.02	1051.79	34.51	96.68	76.71	665.29	486.75	514.56	67.59	145.02	22.75	19.97	46.5	271.48	205.5	89.51	70.01	15.0	43.94	48.87	16.03	232.94
PRKD3	679.29	361.04	139.07	236.21	346.29	262.2	457.25	466.88	420.68	480.04	248.0	363.56	351.14	555.41	346.29	470.14	323.03	397.93	314.17	376.41	244.57	423.61	68.55	44.57	121.79	95.34	37.85	31.45	51.71	62.56	76.71	155.5	129.69	76.17	45.53	95.34	64.8	38.4	48.87	105.15	82.87	87.03	93.35	149.12	244.57	256.78	329.84	94.01	260.38	56.68	64.34	182.55	285.03	392.44	147.06	124.37	47.84	60.82	110.43	157.68	181.28	117.6	136.19	124.37	128.79	142.01	169.07	155.5	162.14	69.03	136.19	532.74	490.14	497.0	429.54	140.04	343.89	172.65	384.34	417.77	420.68	123.5	1111.82	182.55	139.07	169.07	279.14	231.32	175.07	217.27	119.26	343.89	172.65	101.54	312.0
PTEN	854.13	1259.69	651.58	540.19	961.07	612.11	1167.14	808.0	1030.12	928.3	638.15	1104.13	679.29	866.07	684.02	775.05	860.08	612.11	743.43	743.43	764.36	1208.34	476.71	256.78	366.09	301.33	387.02	327.56	262.2	273.37	289.02	376.41	463.65	320.8	441.64	457.25	289.02	612.11	232.94	305.55	279.14	134.3	320.8	195.72	417.77	417.77	532.74	346.29	866.07	356.05	249.73	420.68	743.43	718.08	571.05	327.56	521.76	256.78	297.17	633.73	384.34	283.05	363.56	406.31	400.71	397.93	579.04	231.32	785.88	454.09	511.0	1073.91	540.19	1073.91	884.29	780.44	928.3	872.1	743.43	1044.52	866.07	915.51	1721.16	490.14	647.07	457.25	954.43	1286.18	1313.23	366.09	981.29	1437.15	728.11	555.41	902.89
PTGS2	450.94	175.07	14.03	37.05	181.28	72.01	251.48	67.59	1277.29	105.15	152.28	63.89	206.94	351.14	802.41	387.02	551.56	30.34	629.35	156.59	204.07	63.0	92.7	118.43	76.71	262.2	90.14	171.45	2.81	7.17	14.14	258.57	77.25	277.2	15.11	23.08	55.1	447.82	139.07	175.07	26.28	100.13	18.84	96.01	149.12	164.42	616.37	99.43	38.4	39.22	43.02	30.12	150.17	115.97	3.56	6.94	6.21	4.98	1.55	3.79	8.51	20.11	0.42	1.11	1.6	11.21	0.74	3.35	4.5	2.56	17.38	7433.4	2319.15	29.27	90.14	45.53	12.36	30.78	316.37	297.17	81.71	435.55	111.21	14.89	13.03	21.63	460.44	336.79	96.68	58.3	9.13	147.06	9.34	8.99	486.75
PTRF	16843.62	17804.06	1088.92	1769.57	3690.52	13215.02	6516.03	8191.0	8363.13	8191.0	13586.57	9876.98	7230.1	8421.31	5711.87	9673.69	9279.58	9673.69	13776.25	10808.41	8778.97	8479.89	1605.83	426.57	954.43	1498.22	651.58	759.08	1304.15	476.71	368.65	1437.15	1044.52	343.89	1233.75	417.77	620.67	713.11	878.17	1322.37	1233.75	1183.45	599.49	529.06	1369.04	1304.15	1073.91	1745.2	8538.88	248.0	728.11	1286.18	1757.34	2018.8	2591.27	500.46	221.86	1073.91	813.63	1896.65	620.67	1397.83	158.79	571.05	1508.65	1794.29	733.19	1467.37	366.09	567.1	2855.44	11112.3	5954.47	2956.17	4152.18	848.22	2758.13	2193.99	9088.59	4328.55	6745.86	1322.37	8022.41	1030.12	551.56	1844.76	3614.55	4210.15	2319.15	1936.53	1561.89	4607.24	1685.71	1508.65	5751.61
RANBP2	409.15	579.04	201.25	228.13	395.18	303.44	384.34	511.0	318.57	353.59	299.25	366.09	309.83	447.82	316.37	896.64	454.09	403.5	260.38	379.04	327.56	363.56	135.24	220.32	262.2	208.38	221.86	147.06	110.43	128.79	224.97	629.35	389.72	239.52	131.51	285.03	176.29	397.93	173.85	186.4	241.19	148.09	244.57	361.04	529.06	221.86	961.07	194.36	281.09	55.1	198.47	371.22	438.59	559.28	119.26	136.19	152.28	79.45	144.01	221.86	147.06	161.02	236.21	176.29	154.42	169.07	197.09	143.01	202.66	159.9	199.85	1388.16	406.31	629.35	432.53	575.03	473.41	409.15	595.34	529.06	514.56	466.88	201.25	242.88	183.82	279.14	273.37	325.29	473.41	299.25	309.83	305.55	343.89	193.01	387.02
RASSF3	1233.75	1359.57	454.09	684.02	1674.06	896.64	638.15	878.17	470.14	591.22	1073.91	616.37	848.22	656.11	684.02	514.56	785.88	1023.0	1175.27	1331.57	934.76	825.0	169.07	34.51	80.01	122.64	99.43	63.89	153.34	64.8	60.82	221.86	181.28	76.71	72.01	122.64	66.18	59.97	60.39	127.89	64.8	141.02	66.65	80.01	186.4	115.97	194.36	141.02	909.17	42.41	417.77	177.53	208.38	332.14	224.97	103.69	186.4	104.42	327.56	212.78	135.24	297.17	103.69	114.36	242.88	277.2	76.71	373.81	217.27	287.01	281.09	2591.27	1001.93	748.61	1388.16	555.41	571.05	587.13	2351.53	1487.87	1794.29	642.59	633.73	403.5	536.45	547.75	902.89	1233.75	583.07	447.82	205.5	271.48	244.57	620.67	314.17
RBM12	624.99	518.15	567.1	480.04	525.39	232.94	323.03	361.04	348.71	283.05	197.09	373.81	215.77	295.11	236.21	363.56	426.57	307.69	301.33	289.02	320.8	223.41	283.05	260.38	260.38	323.03	162.14	155.5	167.9	228.13	297.17	463.65	258.57	353.59	295.11	206.94	221.86	417.77	267.73	271.48	318.57	171.45	277.2	579.04	346.29	287.01	603.67	187.71	417.77	158.79	521.76	447.82	540.19	638.15	193.01	220.32	187.71	113.56	186.4	242.88	223.41	279.14	221.86	273.37	190.34	218.79	236.21	165.57	264.03	142.01	234.57	1119.56	665.29	713.11	532.74	743.43	429.54	441.64	866.07	638.15	693.58	651.58	323.03	376.41	236.21	392.44	583.07	361.04	343.89	450.94	291.04	412.0	303.44	169.07	403.5
RBMS3	329.84	511.0	34.51	38.12	73.54	229.72	454.09	426.57	454.09	395.18	229.72	368.65	303.44	356.05	447.82	297.17	454.09	281.09	395.18	387.02	201.25	412.0	39.22	7.69	24.81	16.15	6.84	8.25	13.32	8.51	5.59	31.67	23.76	10.88	15.34	8.58	16.51	10.71	6.84	22.92	15.68	20.71	15.91	16.51	121.79	178.77	217.27	38.12	215.77	5.5	21.01	44.57	134.3	150.17	88.26	28.86	15.34	30.34	8.99	20.71	27.05	12.83	5.54	22.59	18.16	36.27	7.06	36.27	16.39	32.13	82.87	981.29	249.73	267.73	234.57	47.5	249.73	121.79	248.0	325.29	332.14	45.85	836.53	33.54	14.89	32.82	114.36	264.03	95.34	43.63	70.01	229.72	395.18	49.21	629.35
RC3H1	166.73	134.3	117.6	117.6	136.19	169.07	209.84	217.27	183.82	191.67	185.11	159.9	166.73	185.11	283.05	154.42	173.85	178.77	187.71	214.27	113.56	218.79	34.02	45.53	59.13	59.97	54.72	38.4	39.5	49.21	66.65	70.51	50.98	60.39	52.45	61.25	50.27	39.79	47.84	60.39	55.1	37.85	48.87	61.68	89.51	99.43	171.45	66.65	181.28	10.88	45.53	89.51	127.0	100.13	82.29	35.5	38.95	27.25	35.25	55.89	52.45	38.12	47.17	43.32	50.63	44.89	65.26	45.21	105.89	68.55	66.65	232.94	237.86	241.19	231.32	155.5	157.68	170.25	226.54	154.42	189.02	115.16	212.78	101.54	104.42	118.43	156.59	201.25	139.07	126.12	61.25	72.01	92.7	50.63	181.28
REPS1	802.41	656.11	713.11	723.08	629.35	616.37	1015.93	1008.9	825.0	1030.12	728.11	909.17	759.08	902.89	988.12	878.17	967.76	961.07	753.83	830.75	514.56	988.12	389.72	395.18	426.57	412.0	301.33	409.15	346.29	387.02	376.41	447.82	400.71	406.31	351.14	476.71	301.33	967.76	563.18	373.81	325.29	406.31	260.38	486.75	595.34	607.87	514.56	368.65	559.28	122.64	507.46	529.06	748.61	466.88	332.14	283.05	607.87	366.09	403.5	575.03	264.03	346.29	476.71	346.29	460.44	363.56	414.87	444.72	260.38	785.88	497.0	1407.55	1151.06	909.17	902.89	591.22	785.88	406.31	620.67	928.3	836.53	642.59	688.78	713.11	567.1	579.04	551.56	511.0	802.41	629.35	769.69	1151.06	559.28	848.22	819.3
RHOB	10084.54	18689.27	2537.92	4268.94	8598.28	14867.79	10959.3	12160.22	8963.45	9215.48	26614.89	12764.83	8840.04	14561.8	13586.57	11035.54	14461.21	9088.59	17558.94	9606.86	8247.98	8598.28	1909.85	1225.22	825.0	1250.98	521.76	493.56	1685.71	1378.57	872.1	2434.5	1583.71	438.59	947.83	2367.9	1295.13	591.22	473.41	1331.57	1605.83	872.1	1175.27	1397.83	4010.71	3540.14	791.35	1096.5	4388.98	457.25	1242.34	1617.0	5995.9	4543.8	5441.3	6121.9	624.99	3257.52	5633.22	1407.55	1745.2	1857.6	6471.02	3928.15	2758.13	2956.17	2384.37	2777.33	7695.57	5219.6	3690.52	25179.16	5517.27	4388.98	13492.72	2104.58	3847.29	7485.11	32092.64	16157.44	16383.0	2434.5	4769.75	3928.15	3768.09	3716.2	11827.67	18950.18	8479.89	3372.43	4095.0	4512.4	1909.85	3768.09	4937.99
RLF	228.13	253.23	84.04	95.34	144.01	116.78	293.07	289.02	147.06	195.72	201.25	229.72	159.9	211.31	521.76	226.54	381.68	162.14	197.09	159.9	173.85	189.02	43.94	65.72	55.1	52.45	37.59	57.08	40.07	31.22	36.53	98.73	73.54	52.82	37.85	72.01	28.65	84.63	33.78	47.5	35.0	41.81	44.25	76.71	94.01	60.39	366.09	49.56	236.21	15.56	35.5	85.82	120.1	118.43	57.49	30.78	31.22	44.25	25.54	55.1	76.17	34.02	52.82	50.98	59.97	46.84	56.28	40.36	55.49	47.84	82.87	289.02	206.94	214.27	175.07	98.04	107.38	120.94	234.57	166.73	197.09	126.12	156.59	100.83	60.82	94.67	237.86	163.28	84.04	110.43	80.57	121.79	90.14	65.26	167.9
ROBO1	703.28	256.78	78.34	60.39	89.51	119.26	260.38	205.5	211.31	295.11	151.22	343.89	248.0	281.09	88.26	206.94	127.89	253.23	148.09	195.72	93.35	228.13	124.37	29.27	28.45	237.86	60.39	149.12	7.11	40.07	17.64	87.65	283.05	41.52	63.0	22.1	13.12	25.17	42.11	95.34	120.94	173.85	28.86	98.04	118.43	99.43	591.22	105.15	281.09	4.31	40.36	221.86	248.0	262.2	94.01	20.86	6.67	58.71	92.05	59.55	95.34	45.53	26.67	15.45	14.03	29.27	10.63	50.63	785.88	36.01	164.42	525.39	249.73	376.41	366.09	108.14	209.84	178.77	723.08	373.81	616.37	169.07	525.39	59.55	50.27	122.64	271.48	334.46	49.21	145.02	53.19	264.03	60.82	64.34	204.07
ROCK2	400.71	450.94	470.14	314.17	679.29	291.04	356.05	551.56	309.83	332.14	400.71	373.81	228.13	397.93	379.04	400.71	353.59	400.71	329.84	387.02	346.29	450.94	92.05	96.01	96.68	124.37	134.3	72.52	83.45	167.9	136.19	209.84	142.01	116.78	86.43	113.56	84.04	171.45	82.29	118.43	144.01	124.37	107.38	113.56	279.14	116.78	305.55	128.79	403.5	14.35	23.42	158.79	307.69	318.57	149.12	71.5	57.89	58.3	49.91	141.02	84.63	36.53	100.13	95.34	70.51	109.66	136.19	75.64	332.14	108.9	194.36	738.29	432.53	438.59	400.71	423.61	381.68	490.14	334.46	414.87	536.45	353.59	463.65	158.79	108.9	193.01	242.88	341.51	237.86	258.57	157.68	224.97	169.07	135.24	231.32
