	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
SENP2	476.71	387.02	178.77	297.17	483.38	348.71	236.21	483.38	293.07	409.15	363.56	356.05	503.95	295.11	406.31	441.64	312.0	234.57	353.59	336.79	323.03	339.14	329.84	229.72	293.07	412.0	361.04	267.73	285.03	301.33	366.09	486.75	275.28	327.56	368.65	403.5	151.22	178.77	343.89	218.79	441.64	267.73	348.71	441.64	318.57	242.88	295.11	327.56	444.72	343.89	273.37	299.25	547.75	329.84	299.25	507.46	423.61	320.8	366.09	400.71	241.19	273.37	620.67	194.36	320.8	366.09	329.84	231.32	281.09	309.83	325.29	212.78	281.09	242.88	208.38	314.17	295.11	429.54	384.34	366.09	511.0	281.09	575.03	511.0
SETD2	571.05	381.68	206.94	460.44	698.41	339.14	381.68	429.54	412.0	595.34	305.55	417.77	591.22	363.56	395.18	507.46	441.64	314.17	397.93	358.54	400.71	406.31	497.0	297.17	334.46	579.04	409.15	366.09	309.83	507.46	329.84	460.44	395.18	423.61	379.04	470.14	232.94	231.32	463.65	215.77	669.92	279.14	463.65	323.03	417.77	325.29	371.22	384.34	441.64	490.14	379.04	392.44	540.19	473.41	371.22	525.39	563.18	457.25	414.87	595.34	228.13	400.71	555.41	371.22	417.77	521.76	426.57	389.72	409.15	309.83	351.14	293.07	381.68	285.03	332.14	476.71	346.29	603.67	460.44	447.82	551.56	314.17	503.95	555.41
SF3A3	884.29	769.69	713.11	866.07	1135.2	629.35	764.36	785.88	836.53	1183.45	1059.11	878.17	995.0	612.11	836.53	884.29	854.13	764.36	764.36	591.22	854.13	825.0	656.11	511.0	909.17	1008.9	928.3	669.92	567.1	1051.79	836.53	1008.9	947.83	854.13	1037.29	1001.93	693.58	738.29	718.08	571.05	1199.98	791.35	974.5	854.13	902.89	669.92	693.58	878.17	928.3	860.08	708.18	769.69	1175.27	981.29	633.73	947.83	974.5	759.08	825.0	1088.92	587.13	830.75	1044.52	813.63	780.44	1008.9	708.18	733.19	679.29	738.29	620.67	651.58	595.34	759.08	665.29	780.44	854.13	878.17	902.89	896.64	1208.34	775.05	1119.56	1008.9
SLC25A46	587.13	341.51	198.47	376.41	571.05	336.79	283.05	285.03	299.25	698.41	423.61	318.57	571.05	248.0	329.84	420.68	371.22	285.03	327.56	121.79	301.33	325.29	341.51	271.48	260.38	291.04	295.11	301.33	307.69	376.41	435.55	400.71	301.33	460.44	493.56	483.38	135.24	180.02	379.04	248.0	607.87	118.43	470.14	343.89	209.84	303.44	314.17	358.54	480.04	392.44	255.0	260.38	426.57	356.05	231.32	540.19	441.64	334.46	371.22	500.46	206.94	325.29	555.41	152.28	307.69	473.41	305.55	281.09	312.0	327.56	236.21	265.87	138.1	242.88	291.04	325.29	271.48	426.57	334.46	381.68	551.56	283.05	429.54	543.96
SLC44A1	318.57	163.28	98.04	256.78	429.54	120.1	201.25	169.07	169.07	583.07	152.28	187.71	444.72	149.12	231.32	297.17	285.03	182.55	149.12	145.02	215.77	217.27	283.05	84.63	191.67	248.0	169.07	161.02	139.07	249.73	215.77	320.8	255.0	193.01	228.13	281.09	53.95	120.1	212.78	171.45	476.71	121.79	231.32	147.06	176.29	154.42	154.42	281.09	260.38	267.73	144.01	153.34	211.31	248.0	127.0	289.02	332.14	172.65	191.67	414.87	111.21	205.5	417.77	253.23	223.41	232.94	175.07	147.06	211.31	117.6	224.97	181.28	126.12	180.02	182.55	211.31	163.28	327.56	206.94	305.55	376.41	228.13	299.25	387.02
SLFN5	271.48	68.55	50.98	157.68	277.2	74.58	81.14	80.57	141.02	314.17	66.65	153.34	316.37	82.29	166.73	180.02	271.48	88.88	56.68	94.01	146.03	90.77	87.65	57.08	102.25	244.57	62.12	106.63	63.45	111.21	86.43	323.03	97.36	102.97	183.82	138.1	44.57	56.68	232.94	65.72	305.55	49.91	164.42	68.07	97.36	90.77	133.36	120.1	198.47	115.97	101.54	91.41	346.29	129.69	94.01	189.02	283.05	72.52	116.78	173.85	46.18	96.68	258.57	52.45	111.21	136.19	81.71	70.01	170.25	56.68	96.01	62.12	89.51	76.17	71.0	153.34	61.25	166.73	88.88	195.72	348.71	99.43	199.85	224.97
SMAD1	312.0	201.25	98.73	309.83	318.57	141.02	147.06	175.07	201.25	414.87	136.19	237.86	395.18	132.44	206.94	239.52	312.0	211.31	176.29	155.5	293.07	206.94	162.14	139.07	202.66	339.14	195.72	189.02	128.79	206.94	303.44	339.14	195.72	232.94	239.52	291.04	76.71	81.71	237.86	112.77	373.81	96.68	208.38	147.06	265.87	190.34	157.68	231.32	279.14	242.88	152.28	220.32	316.37	246.28	136.19	287.01	358.54	137.14	214.27	320.8	96.68	220.32	277.2	130.6	187.71	460.44	178.77	182.55	180.02	132.44	178.77	128.79	138.1	215.77	119.26	249.73	130.6	303.44	249.73	249.73	318.57	171.45	297.17	409.15
SMAD5	503.95	395.18	139.07	253.23	591.22	169.07	297.17	244.57	353.59	703.28	275.28	236.21	713.11	262.2	312.0	381.68	351.14	265.87	204.07	199.85	271.48	253.23	264.03	194.36	267.73	351.14	329.84	202.66	221.86	353.59	329.84	400.71	297.17	287.01	363.56	409.15	125.24	162.14	234.57	186.4	693.58	158.79	249.73	194.36	264.03	258.57	264.03	325.29	376.41	332.14	189.02	269.6	521.76	373.81	199.85	480.04	435.55	271.48	316.37	651.58	165.57	141.02	579.04	147.06	249.73	376.41	189.02	208.38	265.87	223.41	281.09	156.59	264.03	242.88	199.85	316.37	226.54	420.68	287.01	336.79	547.75	277.2	379.04	460.44
SMARCAD1	325.29	193.01	60.82	185.11	397.93	191.67	164.42	220.32	208.38	414.87	249.73	201.25	348.71	141.02	248.0	277.2	246.28	181.28	201.25	205.5	234.57	144.01	191.67	159.9	191.67	376.41	185.11	199.85	249.73	269.6	237.86	264.03	236.21	281.09	329.84	358.54	193.01	102.25	229.72	153.34	417.77	140.04	271.48	195.72	301.33	185.11	215.77	277.2	314.17	223.41	209.84	226.54	339.14	232.94	186.4	325.29	287.01	189.02	271.48	314.17	105.89	262.2	406.31	169.07	208.38	297.17	202.66	178.77	226.54	159.9	202.66	133.36	107.38	215.77	187.71	165.57	175.07	253.23	236.21	214.27	307.69	182.55	260.38	281.09
SMC1A	860.08	343.89	132.44	412.0	684.02	366.09	231.32	299.25	351.14	624.99	226.54	376.41	848.22	215.77	397.93	599.49	435.55	273.37	271.48	275.28	511.0	332.14	397.93	197.09	334.46	536.45	412.0	381.68	256.78	426.57	309.83	457.25	356.05	463.65	426.57	651.58	121.79	145.02	395.18	147.06	713.11	185.11	420.68	329.84	384.34	195.72	258.57	246.28	638.15	486.75	295.11	348.71	785.88	348.71	283.05	583.07	633.73	323.03	412.0	638.15	171.45	423.61	660.68	193.01	258.57	660.68	299.25	231.32	339.14	244.57	320.8	186.4	211.31	209.84	202.66	438.59	239.52	660.68	480.04	559.28	753.83	239.52	638.15	688.78
SMEK2	921.88	693.58	389.72	748.61	1216.75	536.45	693.58	647.07	638.15	1268.46	780.44	633.73	947.83	616.37	638.15	884.29	698.41	559.28	693.58	426.57	688.78	651.58	647.07	466.88	642.59	866.07	713.11	633.73	591.22	748.61	775.05	808.0	620.67	819.3	896.64	830.75	381.68	463.65	693.58	507.46	1175.27	309.83	819.3	684.02	575.03	507.46	723.08	780.44	775.05	796.86	363.56	587.13	902.89	693.58	567.1	947.83	748.61	660.68	713.11	934.76	444.72	688.78	1081.39	753.83	647.07	764.36	633.73	591.22	733.19	551.56	629.35	579.04	432.53	543.96	642.59	748.61	591.22	854.13	733.19	733.19	896.64	660.68	825.0	872.1
SMG1	329.84	264.03	73.03	169.07	483.38	149.12	153.34	206.94	291.04	307.69	199.85	194.36	409.15	146.03	265.87	371.22	193.01	155.5	191.67	181.28	236.21	130.6	289.02	146.03	122.64	432.53	246.28	175.07	177.53	361.04	226.54	223.41	172.65	232.94	157.68	249.73	97.36	84.63	265.87	86.43	432.53	100.13	221.86	189.02	182.55	167.9	218.79	229.72	239.52	195.72	180.02	255.0	356.05	217.27	173.85	327.56	312.0	228.13	262.2	381.68	104.42	248.0	366.09	123.5	218.79	273.37	204.07	176.29	228.13	115.97	140.04	91.41	248.0	170.25	191.67	228.13	153.34	297.17	277.2	215.77	314.17	108.14	267.73	256.78
SOCS5	237.86	154.42	67.12	148.09	314.17	103.69	167.9	117.6	181.28	325.29	122.64	131.51	291.04	119.26	173.85	221.86	167.9	136.19	154.42	93.35	132.44	187.71	157.68	73.54	134.3	214.27	137.14	116.78	158.79	215.77	241.19	212.78	136.19	172.65	244.57	209.84	64.8	92.05	131.51	105.15	287.01	61.68	189.02	140.04	142.01	153.34	140.04	204.07	181.28	194.36	138.1	154.42	208.38	193.01	120.94	262.2	232.94	170.25	138.1	236.21	80.01	132.44	271.48	134.3	155.5	211.31	137.14	136.19	155.5	99.43	139.07	89.51	136.19	151.22	95.34	133.36	132.44	239.52	171.45	176.29	291.04	170.25	209.84	267.73
SOS1	417.77	201.25	95.34	199.85	466.88	159.9	194.36	194.36	199.85	470.14	205.5	212.78	387.02	187.71	258.57	301.33	205.5	215.77	164.42	171.45	199.85	264.03	217.27	165.57	169.07	379.04	182.55	193.01	187.71	260.38	202.66	265.87	202.66	224.97	291.04	332.14	81.14	72.52	224.97	149.12	420.68	76.71	234.57	208.38	191.67	178.77	191.67	178.77	316.37	260.38	181.28	205.5	334.46	185.11	218.79	387.02	339.14	226.54	221.86	358.54	127.0	195.72	341.51	139.07	248.0	283.05	193.01	198.47	256.78	221.86	214.27	154.42	264.03	161.02	197.09	180.02	143.01	384.34	258.57	256.78	480.04	167.9	341.51	406.31
SOS2	363.56	244.57	134.3	289.02	450.94	173.85	264.03	220.32	269.6	490.14	237.86	224.97	381.68	236.21	242.88	327.56	258.57	226.54	281.09	147.06	197.09	271.48	289.02	135.24	214.27	387.02	218.79	177.53	218.79	318.57	264.03	320.8	255.0	209.84	297.17	329.84	95.34	134.3	262.2	178.77	438.59	173.85	258.57	287.01	271.48	199.85	191.67	301.33	237.86	323.03	195.72	198.47	325.29	281.09	190.34	387.02	303.44	291.04	241.19	285.03	181.28	231.32	409.15	255.0	248.0	244.57	249.73	244.57	237.86	159.9	206.94	169.07	194.36	214.27	202.66	212.78	204.07	358.54	295.11	305.55	444.72	275.28	379.04	392.44
SP1	780.44	521.76	244.57	450.94	872.1	327.56	387.02	460.44	450.94	753.83	389.72	483.38	860.08	368.65	503.95	591.22	547.75	381.68	363.56	371.22	490.14	476.71	480.04	293.07	381.68	728.11	429.54	379.04	271.48	595.34	363.56	693.58	454.09	507.46	511.0	612.11	256.78	226.54	476.71	262.2	769.69	299.25	507.46	412.0	389.72	332.14	389.72	414.87	599.49	563.18	341.51	457.25	988.12	435.55	373.81	633.73	665.29	483.38	503.95	759.08	253.23	444.72	733.19	373.81	406.31	500.46	420.68	329.84	575.03	395.18	397.93	348.71	406.31	395.18	356.05	420.68	343.89	688.78	571.05	551.56	743.43	387.02	595.34	629.35
SPAG9	656.11	293.07	146.03	271.48	642.59	185.11	199.85	329.84	343.89	599.49	289.02	260.38	571.05	183.82	373.81	426.57	339.14	248.0	336.79	249.73	239.52	249.73	299.25	212.78	248.0	473.41	351.14	195.72	226.54	346.29	368.65	373.81	316.37	289.02	336.79	371.22	138.1	154.42	303.44	149.12	551.56	159.9	323.03	346.29	299.25	291.04	236.21	351.14	414.87	320.8	209.84	314.17	483.38	299.25	215.77	476.71	503.95	314.17	283.05	507.46	136.19	244.57	483.38	169.07	299.25	460.44	234.57	205.5	358.54	218.79	291.04	205.5	253.23	249.73	229.72	244.57	197.09	417.77	346.29	348.71	665.29	171.45	525.39	656.11
SPATA5	45.53	23.93	16.51	25.17	59.97	26.28	29.91	35.0	19.39	63.0	36.79	26.47	52.45	24.99	37.59	30.34	23.08	20.11	34.26	25.35	38.67	34.51	28.24	21.47	33.06	53.19	29.91	32.82	27.05	35.0	31.0	38.4	25.17	30.78	47.5	48.87	18.29	16.15	25.54	22.26	67.59	18.29	43.94	26.1	28.04	25.91	30.78	40.36	35.76	32.36	22.26	25.35	57.89	28.86	24.11	49.21	39.79	32.59	38.67	51.35	17.77	30.34	53.57	29.7	31.9	34.75	25.91	24.11	34.75	30.78	31.22	27.44	15.34	22.59	21.16	29.7	29.06	51.35	40.36	36.53	62.56	22.92	41.52	40.93
SPIN1	1216.75	679.29	320.8	830.75	1295.13	575.03	733.19	674.59	660.68	1304.15	688.78	718.08	1216.75	738.29	872.1	1023.0	974.5	780.44	753.83	438.59	688.78	748.61	629.35	476.71	629.35	947.83	612.11	638.15	599.49	902.89	713.11	1008.9	733.19	612.11	1044.52	1044.52	291.04	343.89	728.11	547.75	1295.13	480.04	791.35	620.67	660.68	679.29	660.68	860.08	854.13	848.22	599.49	616.37	848.22	842.36	591.22	1111.82	1135.2	616.37	679.29	1037.29	361.04	713.11	1216.75	591.22	775.05	921.88	738.29	669.92	785.88	669.92	733.19	547.75	660.68	563.18	559.28	723.08	507.46	1159.07	921.88	842.36	1350.18	679.29	1096.5	1508.65
STAM	466.88	265.87	211.31	346.29	366.09	293.07	336.79	251.48	293.07	429.54	229.72	309.83	432.53	242.88	277.2	339.14	387.02	262.2	285.03	209.84	301.33	291.04	264.03	211.31	260.38	329.84	291.04	264.03	275.28	283.05	253.23	287.01	275.28	271.48	361.04	363.56	152.28	170.25	329.84	253.23	470.14	191.67	323.03	237.86	318.57	120.1	264.03	277.2	368.65	381.68	244.57	136.19	435.55	323.03	244.57	403.5	341.51	262.2	275.28	316.37	180.02	273.37	400.71	221.86	239.52	353.59	339.14	220.32	295.11	258.57	351.14	251.48	224.97	267.73	361.04	305.55	234.57	373.81	332.14	295.11	318.57	325.29	384.34	379.04
STXBP4	108.14	46.18	29.27	55.49	131.51	38.95	60.39	55.1	57.89	183.82	53.95	53.95	98.73	54.72	71.5	74.58	64.34	50.63	67.12	32.13	54.72	71.5	49.91	31.9	64.8	65.72	57.08	53.95	63.89	125.24	65.26	76.71	69.03	62.12	86.43	82.87	25.35	33.3	38.67	38.4	126.12	27.84	55.89	45.85	74.06	60.39	51.35	61.25	81.71	80.57	52.45	37.59	128.79	57.89	50.27	120.1	100.83	46.84	65.72	91.41	32.82	57.08	118.43	42.11	64.34	84.63	61.68	37.59	48.87	69.52	71.0	48.18	35.0	46.5	48.87	108.14	41.81	78.34	64.34	83.45	165.57	48.18	92.05	126.12
TAF1	353.59	264.03	102.25	293.07	343.89	223.41	181.28	241.19	242.88	417.77	223.41	218.79	435.55	161.02	258.57	361.04	232.94	191.67	190.34	194.36	208.38	206.94	323.03	127.89	181.28	339.14	262.2	164.42	186.4	309.83	221.86	297.17	285.03	260.38	217.27	287.01	95.34	86.43	262.2	133.36	392.44	137.14	249.73	189.02	269.6	211.31	191.67	246.28	283.05	255.0	197.09	239.52	450.94	309.83	159.9	249.73	325.29	275.28	248.0	450.94	95.34	253.23	353.59	180.02	226.54	318.57	209.84	175.07	221.86	159.9	199.85	132.44	198.47	176.29	176.29	220.32	195.72	339.14	253.23	241.19	384.34	138.1	325.29	318.57
TBC1D5	551.56	260.38	156.59	301.33	480.04	265.87	234.57	236.21	226.54	532.74	198.47	283.05	540.19	248.0	281.09	376.41	406.31	267.73	244.57	206.94	318.57	301.33	214.27	211.31	269.6	348.71	255.0	236.21	173.85	258.57	217.27	366.09	228.13	289.02	332.14	480.04	94.67	111.99	307.69	155.5	599.49	181.28	305.55	224.97	204.07	211.31	264.03	224.97	409.15	368.65	275.28	234.57	429.54	348.71	228.13	457.25	460.44	249.73	307.69	518.15	153.34	289.02	543.96	251.48	232.94	463.65	281.09	223.41	343.89	187.71	231.32	154.42	144.01	176.29	166.73	309.83	164.42	514.56	353.59	395.18	551.56	231.32	441.64	497.0
TBCEL	327.56	176.29	98.04	205.5	392.44	122.64	191.67	123.5	144.01	395.18	187.71	140.04	316.37	147.06	178.77	231.32	215.77	153.34	189.02	151.22	164.42	195.72	171.45	158.79	157.68	260.38	131.51	172.65	165.57	283.05	228.13	223.41	146.03	173.85	236.21	249.73	78.34	92.7	143.01	152.28	314.17	71.5	193.01	155.5	120.1	123.5	172.65	226.54	241.19	265.87	142.01	125.24	242.88	215.77	152.28	269.6	248.0	149.12	201.25	295.11	111.99	190.34	332.14	156.59	197.09	201.25	172.65	129.69	150.17	149.12	145.02	147.06	133.36	150.17	123.5	169.07	149.12	246.28	208.38	218.79	314.17	142.01	279.14	323.03
TCF12	941.27	450.94	221.86	543.96	896.64	334.46	429.54	409.15	403.5	872.1	521.76	435.55	825.0	406.31	567.1	698.41	532.74	438.59	473.41	444.72	563.18	490.14	412.0	329.84	460.44	759.08	444.72	435.55	412.0	536.45	579.04	571.05	525.39	432.53	764.36	791.35	195.72	229.72	441.64	366.09	872.1	314.17	603.67	409.15	480.04	447.82	500.46	493.56	708.18	587.13	423.61	384.34	693.58	476.71	423.61	728.11	842.36	460.44	507.46	974.5	258.57	480.04	878.17	423.61	454.09	629.35	490.14	384.34	507.46	412.0	536.45	387.02	323.03	371.22	395.18	371.22	346.29	733.19	603.67	591.22	1135.2	426.57	733.19	947.83
TET2	135.24	80.57	17.77	81.14	161.02	63.0	68.55	99.43	87.65	154.42	85.82	80.01	173.85	46.5	81.71	141.02	91.41	83.45	90.14	80.57	83.45	71.0	108.9	52.45	56.68	175.07	74.58	76.17	76.71	120.1	88.26	102.97	84.63	82.87	82.87	76.71	39.22	37.85	88.26	44.57	183.82	32.59	82.87	68.07	93.35	52.45	84.63	85.22	102.25	80.57	59.13	77.25	132.44	101.54	77.25	113.56	122.64	120.94	95.34	157.68	47.84	91.41	146.03	57.89	71.5	104.42	74.58	87.65	85.82	58.3	79.45	43.32	108.14	71.0	78.34	86.43	57.08	124.37	99.43	86.43	141.02	59.97	114.36	101.54
TGOLN2	2032.85	1477.58	836.53	1896.65	2133.97	1322.37	1378.57	723.08	1437.15	2090.03	1477.58	1639.59	1950.0	1199.98	1437.15	1977.24	1447.15	1304.15	1295.13	1081.39	1594.73	1896.65	1662.49	981.29	1286.18	1498.22	1674.06	1397.83	1477.58	1923.14	1487.87	1923.14	1529.73	1857.6	1674.06	2061.24	281.09	961.07	1561.89	825.0	2209.26	1066.48	1617.0	813.63	1250.98	1104.13	1331.57	1159.07	1733.13	1963.57	934.76	1331.57	2032.85	1662.49	1407.55	2193.99	2163.77	1340.84	1427.22	1923.14	915.51	1417.35	2502.97	1199.98	1508.65	1745.2	1685.71	1340.84	1322.37	934.76	1540.37	1015.93	961.07	1242.34	1059.11	1529.73	1208.34	2319.15	1757.34	2032.85	2178.83	1304.15	2148.82	2319.15
TGS1	201.25	220.32	115.97	163.28	295.11	139.07	153.34	191.67	190.34	229.72	141.02	185.11	220.32	171.45	164.42	187.71	175.07	144.01	185.11	120.1	172.65	165.57	128.79	195.72	122.64	198.47	181.28	137.14	126.12	152.28	146.03	187.71	141.02	178.77	171.45	178.77	99.43	108.14	170.25	111.21	221.86	116.78	161.02	269.6	117.6	159.9	170.25	175.07	237.86	195.72	114.36	161.02	202.66	159.9	124.37	209.84	180.02	149.12	175.07	191.67	113.56	153.34	214.27	132.44	152.28	177.53	166.73	142.01	251.48	155.5	144.01	111.99	138.1	146.03	133.36	151.22	145.02	204.07	195.72	195.72	258.57	169.07	267.73	211.31
TMEM106B	802.41	361.04	316.37	486.75	791.35	332.14	429.54	341.51	314.17	1051.79	348.71	363.56	708.18	379.04	293.07	563.18	532.74	358.54	351.14	177.53	346.29	463.65	447.82	275.28	376.41	514.56	283.05	361.04	341.51	258.57	435.55	497.0	339.14	373.81	583.07	684.02	140.04	201.25	463.65	327.56	974.5	211.31	536.45	414.87	353.59	348.71	334.46	435.55	563.18	486.75	275.28	249.73	473.41	387.02	329.84	884.29	656.11	392.44	406.31	633.73	351.14	323.03	813.63	450.94	363.56	587.13	358.54	353.59	351.14	217.27	420.68	241.19	130.6	273.37	400.71	403.5	314.17	854.13	563.18	525.39	909.17	532.74	607.87	1001.93
TMEM170B	92.7	45.53	21.32	40.64	84.04	31.45	32.13	31.67	27.84	100.83	31.0	27.25	79.45	36.01	53.57	70.01	40.07	27.84	44.25	29.06	53.95	41.52	27.05	38.4	36.27	55.89	39.5	41.52	34.75	64.8	46.18	56.68	34.51	44.25	59.13	56.68	15.91	18.16	30.34	25.54	111.21	22.1	47.5	50.98	41.22	32.82	29.48	50.63	70.51	47.17	31.22	17.77	70.51	71.0	23.25	90.14	48.52	52.08	47.17	98.04	21.78	38.95	83.45	43.32	38.12	96.68	37.32	33.78	39.79	43.02	45.85	27.84	42.11	31.0	29.48	24.63	28.86	66.65	29.91	42.11	87.65	38.95	54.33	97.36
TOX4	1044.52	1030.12	555.41	872.1	1015.93	780.44	669.92	878.17	854.13	1119.56	769.69	848.22	1225.22	775.05	796.86	848.22	872.1	860.08	808.0	665.29	1104.13	866.07	753.83	703.28	842.36	1037.29	1001.93	802.41	629.35	854.13	813.63	1051.79	995.0	813.63	974.5	974.5	457.25	748.61	728.11	575.03	1111.82	743.43	890.44	928.3	830.75	802.41	796.86	860.08	988.12	1001.93	753.83	785.88	1242.34	854.13	642.59	947.83	1015.93	718.08	808.0	1030.12	607.87	909.17	961.07	759.08	688.78	1008.9	780.44	660.68	878.17	884.29	1104.13	830.75	543.96	718.08	555.41	759.08	688.78	967.76	921.88	961.07	1001.93	748.61	1119.56	1088.92
TRAF6	85.22	96.68	43.32	70.01	106.63	67.12	94.01	82.87	97.36	144.01	70.01	83.45	141.02	86.43	90.14	102.97	100.83	97.36	80.01	82.87	76.71	81.71	76.71	49.56	69.52	102.25	83.45	94.67	76.17	85.82	79.45	91.41	74.06	87.65	95.34	114.36	30.56	45.21	90.14	71.5	115.97	60.82	81.14	71.0	87.65	80.57	92.05	78.34	115.97	103.69	60.82	90.77	111.21	82.87	71.5	116.78	98.73	80.57	84.63	111.99	48.87	73.03	126.12	66.65	88.88	97.36	77.79	66.65	92.7	64.34	75.11	72.52	70.51	87.03	71.5	68.55	70.51	105.89	94.67	85.82	115.16	93.35	133.36	116.78
TRAK2	316.37	191.67	106.63	293.07	339.14	195.72	220.32	212.78	228.13	376.41	171.45	267.73	392.44	208.38	271.48	287.01	293.07	229.72	255.0	158.79	229.72	248.0	291.04	182.55	190.34	312.0	208.38	260.38	211.31	293.07	289.02	323.03	199.85	237.86	334.46	309.83	92.7	157.68	197.09	231.32	392.44	159.9	336.79	177.53	303.44	148.09	293.07	297.17	373.81	341.51	170.25	212.78	379.04	323.03	211.31	348.71	309.83	281.09	264.03	293.07	154.42	212.78	403.5	215.77	264.03	363.56	234.57	161.02	264.03	148.09	248.0	273.37	212.78	212.78	208.38	314.17	186.4	334.46	316.37	248.0	356.05	214.27	356.05	351.14
TRAPPC6B	384.34	320.8	189.02	293.07	363.56	260.38	221.86	277.2	267.73	395.18	281.09	281.09	366.09	220.32	287.01	348.71	253.23	228.13	303.44	185.11	241.19	255.0	242.88	202.66	218.79	460.44	275.28	277.2	334.46	303.44	332.14	299.25	249.73	291.04	325.29	279.14	175.07	218.79	297.17	260.38	420.68	198.47	301.33	279.14	265.87	186.4	332.14	361.04	341.51	289.02	220.32	265.87	343.89	316.37	285.03	376.41	363.56	303.44	271.48	384.34	214.27	260.38	373.81	242.88	334.46	320.8	323.03	279.14	239.52	231.32	223.41	231.32	262.2	249.73	246.28	249.73	253.23	376.41	327.56	275.28	432.53	255.0	441.64	441.64
