	GTEX.TMMY.1526.SM.4DXST	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.VS.A9UI.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.PVOW.1626.SM.48TC9	GTEX.145LV.1326.SM.5S2QI	GTEX.ZVE2.1326.SM.5NQ94	GTEX.144FL.2726.SM.5O98Z	GTEX.13U4I.1126.SM.5LU3S	GTEX.11ONC.1526.SM.5GU6S	GTEX.12WSA.1426.SM.5EGJU	GTEX.R45C.1226.SM.48FEE	GTEX.13O3Q.0826.SM.5IFGF	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.XK95.1026.SM.4GIDV	GTEX.13NZB.1226.SM.5J2MW	GTEX.145LS.1826.SM.5LUAZ	GTEX.X4LF.0626.SM.4QASB	GTEX.11DYG.1326.SM.5N9DO	GTEX.YFC4.1226.SM.5LU9R	GTEX.WVLH.1426.SM.4MVNX	GTEX.11ZU8.1526.SM.5EGHX	GTEX.139TU.1226.SM.5J2NL	GTEX.X585.1226.SM.46MW7	GTEX.ZTPG.1626.SM.5DUX2	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZAB4.1126.SM.5HL86	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.P78B.1026.SM.3NMC4	GTEX.XQ8I.1526.SM.4BOOH	GTEX.11ZTS.2626.SM.5EGIC	GTEX.132AR.2226.SM.5J2NT	GTEX.S33H.0826.SM.4AD5Y	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6021.01A.11R.1686.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.YJ8A.1526.SM.5P9FT	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
HEXDC	358.54	532.74	307.69	191.67	540.19	595.34	334.46	283.05	253.23	1151.06	743.43	373.81	463.65	293.07	547.75	486.75	525.39	703.28	400.71	579.04	497.0	543.96	1119.56	830.75	693.58	928.3	529.06	579.04	679.29	728.11	466.88	540.19	819.3	312.0	511.0	361.04	366.09	551.56	860.08	595.34	713.11	463.65	954.43	587.13	551.56	718.08	483.38	559.28	934.76	1757.34	366.09	1143.1	466.88	476.71	540.19	460.44	616.37	435.55	1044.52	1081.39	480.04	764.36	728.11	409.15	1051.79	387.02	1378.57	1733.13	1233.75	1008.9	854.13	1191.69	1331.57	599.49	1216.75	674.59	1208.34	1008.9	1457.23	647.07	1096.5	532.74	825.0	547.75	1225.22	3589.58	480.04	1447.15	733.19	1467.37	1819.35	1477.58	1950.0	466.88	928.3	1651.0	902.89	813.63	674.59	1662.49	909.17	607.87	118.43	130.6	140.04	130.6	136.19	164.42	134.3	346.29	525.39	113.56	146.03	189.02	400.71	269.6	848.22	314.17	145.02	153.34	373.81	343.89	185.11	262.2	164.42	341.51	217.27	1781.89	351.14	339.14
HINFP	140.04	387.02	234.57	154.42	265.87	228.13	199.85	152.28	303.44	199.85	353.59	129.69	241.19	175.07	389.72	158.79	208.38	199.85	336.79	242.88	397.93	226.54	366.09	297.17	500.46	624.99	460.44	318.57	460.44	518.15	339.14	490.14	371.22	532.74	507.46	381.68	684.02	392.44	373.81	507.46	441.64	339.14	327.56	309.83	334.46	486.75	231.32	320.8	435.55	698.41	503.95	312.0	423.61	417.77	575.03	547.75	265.87	297.17	444.72	291.04	307.69	400.71	463.65	423.61	791.35	444.72	551.56	738.29	674.59	551.56	486.75	476.71	842.36	743.43	759.08	559.28	728.11	616.37	836.53	361.04	679.29	547.75	500.46	346.29	775.05	764.36	353.59	693.58	486.75	723.08	674.59	713.11	860.08	389.72	656.11	860.08	624.99	567.1	559.28	698.41	1059.11	211.31	156.59	186.4	336.79	195.72	166.73	190.34	162.14	228.13	264.03	255.0	281.09	141.02	281.09	229.72	329.84	248.0	103.69	122.64	140.04	205.5	169.07	190.34	115.16	397.93	361.04	791.35	241.19	256.78
HSPB1	201440.3	205673.01	132900.7	197294.7	197294.7	334117.42	279017.26	161367.56	269512.87	260332.24	383800.28	194578.47	215898.44	256748.15	322736.12	348306.01	214407.12	320506.81	322736.12	348306.01	606436.73	191899.64	221968.2	290865.98	236256.4	241220.67	282912.21	254974.66	239554.43	231394.29	221968.2	331809.5	411347.03	370726.6	211455.3	309589.14	405683.88	450134.56	251464.33	244588.0	286861.53	242898.5	201440.3	327241.36	248002.34	248002.34	205673.01	341137.96	267651.2	353168.2	336441.4	307450.64	373305.21	284880.02	324980.94	254974.66	275175.93	303217.87	256748.15	256748.15	207103.59	299043.36	229795.93	280957.98	229795.93	221968.2	180294.02	79572.48	94628.34	118127.7	165904.25	95949.32	116501.39	194578.47	163620.18	254974.66	143430.26	200048.85	104996.83	171754.88	73221.53	256748.15	233003.78	214407.12	151608.43	100023.92	201440.3	194578.47	169390.27	176583.6	190574.09	145432.49	117311.73	348306.01	195931.88	93974.69	181548.07	214407.12	363097.14	154794.07	239554.43	218912.29	118127.7	118127.7	140478.49	165904.25	110216.97	179048.63	93325.55	205673.01	263966.36	112532.89	116501.39	100719.65	309589.14	386469.83	265802.39	200048.85	131071.0	246289.25	172949.54	179048.63	190574.09	228208.61	198667.0	229795.93	160252.91	417089.23	299043.36	296977.71
ING5	258.57	126.12	101.54	170.25	107.38	236.21	135.24	187.71	202.66	283.05	406.31	212.78	260.38	435.55	169.07	189.02	332.14	234.57	253.23	258.57	366.09	249.73	202.66	346.29	327.56	540.19	199.85	198.47	339.14	273.37	197.09	312.0	226.54	223.41	138.1	309.83	169.07	249.73	255.0	249.73	329.84	295.11	379.04	299.25	283.05	232.94	271.48	234.57	463.65	376.41	242.88	441.64	232.94	305.55	381.68	239.52	260.38	277.2	312.0	287.01	205.5	346.29	583.07	248.0	256.78	234.57	376.41	698.41	514.56	438.59	351.14	836.53	759.08	325.29	723.08	503.95	563.18	361.04	525.39	426.57	819.3	295.11	291.04	351.14	500.46	624.99	265.87	647.07	412.0	511.0	651.58	575.03	647.07	301.33	460.44	514.56	483.38	358.54	246.28	409.15	334.46	215.77	63.89	101.54	92.05	139.07	98.04	122.64	96.68	185.11	86.43	70.51	150.17	144.01	341.51	283.05	264.03	170.25	76.71	127.0	175.07	140.04	109.66	125.24	92.05	232.94	158.79	470.14	199.85	155.5
IP6K2	1023.0	4388.98	775.05	1651.0	1819.35	1662.49	1498.22	1350.18	3124.78	1081.39	1769.57	1023.0	2104.58	1819.35	2148.82	995.0	2997.45	2555.58	1030.12	2400.97	1936.53	3039.3	2682.69	2417.67	2047.0	4543.8	1151.06	1135.2	1295.13	2664.15	1167.14	1617.0	2367.9	2935.74	1259.69	1350.18	2537.92	1819.35	1561.89	1594.73	1628.26	1529.73	2777.33	1605.83	1991.0	1268.46	1628.26	759.08	2758.13	3124.78	2956.17	2209.26	1977.24	1674.06	1628.26	1427.22	2047.0	2148.82	1844.76	1119.56	764.36	2303.12	2758.13	1617.0	1397.83	2573.36	3257.52	3124.78	3190.46	2875.3	3081.75	3280.18	4298.64	3614.55	3325.99	2835.7	3146.52	2875.3	4328.55	2796.65	3212.66	2271.4	2976.74	2758.13	3639.7	3874.05	1259.69	3257.52	2609.3	3589.58	4671.57	2976.74	3794.3	2303.12	2997.45	3955.48	2609.3	3146.52	2119.22	2573.36	1008.9	1051.79	638.15	1135.2	1639.59	1088.92	1561.89	813.63	669.92	2075.59	1135.2	1268.46	1397.83	1709.26	1023.0	1583.71	1572.76	2255.7	854.13	1477.58	1322.37	1662.49	1896.65	1081.39	1781.89	1844.76	1159.07	2255.7	1135.2	1467.37
JMJD7-PLA2G4B	28.45	21.94	27.64	45.85	36.53	75.11	92.7	84.04	267.73	105.89	101.54	101.54	145.02	73.54	112.77	54.33	100.13	41.52	37.85	32.59	43.02	105.89	224.97	212.78	209.84	151.22	131.51	109.66	138.1	172.65	318.57	190.34	327.56	130.6	128.79	82.87	165.57	226.54	161.02	363.56	214.27	117.6	633.73	208.38	143.01	161.02	84.04	152.28	414.87	460.44	351.14	361.04	264.03	180.02	417.77	87.03	190.34	185.11	181.28	239.52	150.17	249.73	88.26	299.25	189.02	246.28	473.41	555.41	447.82	341.51	223.41	536.45	256.78	332.14	536.45	353.59	406.31	295.11	214.27	269.6	444.72	177.53	277.2	281.09	414.87	616.37	406.31	460.44	170.25	384.34	540.19	514.56	490.14	190.34	224.97	441.64	444.72	156.59	303.44	368.65	198.47	100.83	56.68	29.91	52.45	70.51	63.89	18.29	16.88	103.69	29.7	103.69	75.11	142.01	117.6	103.69	127.0	18.56	8.45	105.15	84.04	89.51	99.43	52.45	46.5	97.36	9.78	260.38	18.16	19.82
KIAA0141	1104.13	703.28	612.11	860.08	748.61	884.29	684.02	679.29	551.56	656.11	995.0	555.41	813.63	1008.9	642.59	872.1	967.76	567.1	1008.9	1073.91	808.0	334.46	974.5	890.44	819.3	974.5	988.12	890.44	896.64	796.86	947.83	1111.82	518.15	860.08	612.11	1066.48	579.04	954.43	616.37	753.83	785.88	540.19	872.1	909.17	764.36	703.28	679.29	813.63	748.61	785.88	872.1	909.17	825.0	915.51	1104.13	587.13	599.49	620.67	785.88	620.67	703.28	808.0	1104.13	1208.34	1923.14	1331.57	1143.1	1594.73	1369.04	1437.15	1167.14	1745.2	1617.0	1199.98	1594.73	1359.57	1175.27	1191.69	1685.71	1378.57	2319.15	954.43	1208.34	1066.48	1605.83	1369.04	967.76	1369.04	1388.16	1697.45	1397.83	1583.71	1883.54	909.17	1175.27	1769.57	1233.75	1313.23	651.58	1073.91	1037.29	529.06	698.41	435.55	368.65	460.44	583.07	764.36	389.72	638.15	361.04	476.71	896.64	555.41	1498.22	1096.5	884.29	616.37	728.11	693.58	559.28	872.1	934.76	555.41	612.11	1073.91	808.0	967.76	836.53	1066.48
KIAA1009	54.33	43.94	79.45	49.21	67.12	51.71	66.18	49.21	43.94	190.34	51.71	40.64	105.15	93.35	134.3	85.82	127.89	69.03	111.21	131.51	65.72	156.59	165.57	98.73	94.01	90.14	93.35	54.33	82.87	295.11	71.5	70.51	96.01	48.87	76.71	66.65	46.84	43.63	125.24	92.7	102.97	100.83	130.6	83.45	152.28	76.17	132.44	92.7	123.5	176.29	133.36	64.8	74.06	58.71	138.1	120.1	52.82	80.01	155.5	70.01	85.22	123.5	71.0	47.84	180.02	73.54	105.15	157.68	177.53	119.26	107.38	121.79	226.54	81.71	90.77	136.19	131.51	104.42	264.03	74.58	171.45	94.01	97.36	86.43	126.12	183.82	50.63	114.36	115.97	127.0	120.94	128.79	118.43	94.67	157.68	147.06	96.01	95.34	85.22	121.79	193.01	68.55	24.28	61.25	49.56	42.11	35.0	44.57	33.06	57.49	34.51	23.08	43.32	40.64	139.07	143.01	70.01	41.81	51.71	29.27	36.53	51.71	41.52	38.12	60.82	62.12	23.76	376.41	102.25	81.71
L3MBTL1	71.0	57.89	16.88	50.98	48.52	68.07	74.58	20.11	182.55	162.14	37.05	33.3	88.26	92.7	135.24	52.45	119.26	27.44	46.84	116.78	71.5	60.82	87.65	260.38	291.04	368.65	376.41	215.77	327.56	336.79	212.78	253.23	209.84	63.45	157.68	85.22	301.33	236.21	244.57	157.68	191.67	295.11	332.14	262.2	318.57	138.1	182.55	343.89	373.81	551.56	62.12	463.65	198.47	180.02	221.86	172.65	154.42	159.9	262.2	248.0	214.27	343.89	368.65	176.29	447.82	100.13	348.71	551.56	802.41	373.81	265.87	708.18	514.56	318.57	529.06	718.08	500.46	180.02	334.46	141.02	540.19	60.82	323.03	148.09	480.04	361.04	164.42	780.44	111.99	429.54	555.41	915.51	733.19	120.94	224.97	660.68	417.77	146.03	381.68	312.0	314.17	92.7	14.14	17.38	65.72	13.32	7.28	27.84	11.64	17.38	62.56	8.38	32.13	4.03	35.0	125.24	123.5	56.68	1.07	17.0	47.5	34.02	18.29	16.03	11.47	98.73	59.97	190.34	30.34	28.86
LENG8	1066.48	988.12	532.74	665.29	1030.12	842.36	802.41	890.44	753.83	2720.15	1216.75	902.89	2875.3	2271.4	2224.63	981.29	3874.05	684.02	1331.57	2591.27	2032.85	1216.75	2303.12	2209.26	2976.74	3235.01	3768.09	2758.13	3212.66	1963.57	2468.49	3716.2	2555.58	4152.18	2609.3	2417.67	3589.58	3742.05	1617.0	3081.75	3235.01	4123.49	4903.87	2835.7	2976.74	2090.03	1819.35	2520.38	3124.78	8778.97	7130.55	5517.27	2758.13	3190.46	2485.67	2032.85	3928.15	1733.13	4268.94	1977.24	2485.67	4066.71	3716.2	3039.3	5255.91	5954.47	3901.01	4639.29	4607.24	4181.07	3768.09	4937.99	6561.36	5751.61	7911.95	4328.55	3742.05	3768.09	5633.22	3928.15	7032.37	3060.45	4736.79	4704.07	5995.9	5954.47	2417.67	3491.39	4937.99	5403.7	5147.73	4937.99	5366.37	4388.98	4066.71	5329.3	5183.54	4836.35	1923.14	3768.09	4937.99	2451.44	417.77	486.75	563.18	423.61	525.39	624.99	438.59	1259.69	860.08	420.68	314.17	339.14	1794.29	2061.24	1477.58	902.89	77.25	466.88	559.28	507.46	320.8	255.0	191.67	1697.45	1639.59	6121.9	1508.65	961.07
LRRC48	27.44	17.25	17.9	15.22	19.39	26.1	20.86	27.64	65.26	45.21	32.82	15.11	37.85	80.01	20.86	29.06	33.78	19.53	14.45	40.07	15.45	20.41	38.95	29.7	41.52	74.06	50.27	14.03	55.89	36.27	13.03	67.12	47.17	30.56	40.07	36.53	37.85	41.22	26.1	37.05	66.65	39.22	64.34	67.12	46.5	36.01	37.85	24.63	79.45	98.73	47.84	102.25	47.17	38.67	53.57	57.89	52.45	29.06	64.8	39.22	22.43	49.21	86.43	40.36	95.34	120.94	102.25	100.83	63.45	78.34	77.25	105.15	107.38	60.82	83.45	36.53	74.58	68.07	62.12	54.33	111.21	44.57	113.56	86.43	78.34	120.1	40.07	70.01	64.8	109.66	78.89	67.12	48.52	39.79	86.43	120.1	68.55	63.89	45.21	62.12	124.37	19.68	8.45	19.25	17.38	7.51	20.71	28.86	17.13	20.71	82.87	20.71	19.82	22.59	197.09	1709.26	249.73	232.94	5.54	40.64	11.04	17.51	19.82	16.88	19.39	27.64	9.85	412.0	42.11	49.56
MED23	130.6	226.54	206.94	181.28	150.17	173.85	177.53	167.9	156.59	343.89	157.68	162.14	275.28	371.22	198.47	217.27	307.69	114.36	215.77	246.28	241.19	220.32	358.54	312.0	620.67	214.27	327.56	289.02	249.73	361.04	287.01	320.8	221.86	217.27	348.71	198.47	258.57	251.48	463.65	348.71	395.18	246.28	325.29	244.57	409.15	346.29	264.03	260.38	297.17	551.56	351.14	320.8	332.14	289.02	299.25	205.5	246.28	228.13	332.14	283.05	224.97	341.51	395.18	316.37	555.41	228.13	571.05	579.04	518.15	629.35	371.22	575.03	525.39	571.05	490.14	463.65	389.72	332.14	529.06	351.14	688.78	373.81	334.46	336.79	547.75	567.1	269.6	547.75	403.5	555.41	575.03	529.06	669.92	220.32	460.44	656.11	406.31	406.31	463.65	473.41	444.72	180.02	148.09	236.21	226.54	169.07	130.6	201.25	151.22	167.9	155.5	115.97	154.42	147.06	199.85	231.32	127.89	149.12	100.13	157.68	100.13	143.01	118.43	131.51	117.6	318.57	167.9	460.44	190.34	181.28
METAP1D	50.98	81.14	44.57	52.82	40.64	45.21	47.5	45.85	45.21	138.1	59.13	48.87	47.84	89.51	31.9	32.13	55.1	66.65	52.08	73.54	70.51	99.43	108.9	144.01	133.36	159.9	114.36	65.26	84.04	123.5	409.15	86.43	115.97	76.17	125.24	77.79	66.65	82.87	140.04	68.55	92.7	161.02	148.09	79.45	75.64	50.27	287.01	149.12	167.9	162.14	201.25	132.44	72.52	111.21	123.5	109.66	91.41	113.56	104.42	110.43	73.54	74.06	119.26	80.57	138.1	134.3	172.65	144.01	208.38	167.9	115.16	228.13	226.54	119.26	249.73	54.33	130.6	100.13	220.32	105.15	231.32	133.36	116.78	143.01	144.01	176.29	115.97	131.51	158.79	173.85	148.09	141.02	128.79	78.89	157.68	206.94	119.26	146.03	111.99	161.02	189.02	66.18	26.47	44.89	73.03	31.45	46.84	81.71	55.49	53.57	71.0	17.9	40.36	40.93	74.58	86.43	80.01	50.27	47.17	54.72	39.79	61.68	35.76	71.5	29.27	56.68	20.41	205.5	65.72	137.14
MLLT6	733.19	624.99	275.28	432.53	403.5	629.35	633.73	595.34	647.07	796.86	1111.82	836.53	878.17	1551.09	878.17	532.74	1268.46	409.15	591.22	1135.2	688.78	543.96	1151.06	1088.92	1073.91	1199.98	981.29	297.17	674.59	836.53	878.17	1467.37	616.37	529.06	802.41	3124.78	665.29	866.07	624.99	490.14	909.17	409.15	1008.9	1127.35	1407.55	376.41	748.61	629.35	1051.79	1242.34	1721.16	1135.2	769.69	967.76	967.76	733.19	974.5	698.41	1051.79	872.1	819.3	1088.92	1015.93	1295.13	2645.74	1216.75	1023.0	2224.63	1844.76	1617.0	1135.2	1844.76	2193.99	1883.54	1594.73	1242.34	1498.22	1167.14	1407.55	854.13	1639.59	575.03	1008.9	866.07	1857.6	2240.11	1066.48	1794.29	1135.2	1819.35	2148.82	2178.83	2555.58	728.11	1143.1	2271.4	1709.26	1001.93	1936.53	1437.15	5041.77	974.5	208.38	379.04	708.18	457.25	291.04	493.56	265.87	457.25	595.34	189.02	189.02	356.05	1572.76	785.88	620.67	320.8	147.06	387.02	995.0	633.73	368.65	368.65	191.67	934.76	921.88	4066.71	559.28	684.02
MON2	265.87	120.1	182.55	171.45	231.32	218.79	249.73	224.97	275.28	312.0	356.05	327.56	275.28	295.11	232.94	269.6	251.48	141.02	289.02	223.41	307.69	275.28	346.29	239.52	358.54	329.84	323.03	176.29	351.14	361.04	325.29	409.15	248.0	325.29	441.64	187.71	351.14	343.89	295.11	325.29	543.96	205.5	507.46	314.17	490.14	343.89	209.84	438.59	368.65	1001.93	426.57	384.34	511.0	417.77	318.57	172.65	329.84	260.38	483.38	295.11	305.55	376.41	579.04	432.53	854.13	616.37	529.06	791.35	656.11	753.83	808.0	575.03	599.49	1023.0	575.03	693.58	551.56	647.07	915.51	429.54	1119.56	713.11	540.19	708.18	753.83	780.44	332.14	638.15	551.56	825.0	529.06	802.41	665.29	454.09	733.19	723.08	503.95	660.68	301.33	603.67	414.87	249.73	199.85	241.19	241.19	201.25	299.25	198.47	242.88	256.78	194.36	205.5	178.77	221.86	486.75	490.14	223.41	149.12	108.9	201.25	170.25	166.73	189.02	187.71	189.02	329.84	285.03	441.64	191.67	201.25
MSANTD2	48.87	108.14	76.17	41.22	56.68	74.06	66.65	65.26	77.25	90.77	85.22	26.47	75.11	75.11	108.9	38.67	57.49	50.27	70.51	77.25	65.72	63.0	140.04	107.38	108.9	163.28	138.1	103.69	149.12	165.57	74.06	124.37	111.99	79.45	100.83	131.51	122.64	98.73	141.02	122.64	145.02	80.01	199.85	73.03	115.97	176.29	74.06	127.89	157.68	249.73	177.53	131.51	116.78	114.36	197.09	115.97	90.77	89.51	177.53	77.79	82.87	158.79	134.3	112.77	297.17	125.24	269.6	258.57	281.09	267.73	190.34	371.22	406.31	291.04	346.29	181.28	366.09	190.34	318.57	185.11	493.56	214.27	206.94	194.36	297.17	395.18	115.16	264.03	199.85	297.17	305.55	218.79	305.55	132.44	256.78	426.57	262.2	220.32	234.57	246.28	356.05	87.03	28.86	37.59	97.36	31.67	25.17	37.85	34.02	69.52	32.36	35.0	43.32	37.59	84.63	98.73	69.03	46.5	15.91	29.06	39.22	42.41	31.0	27.05	34.02	120.1	85.22	642.59	106.63	92.05
MSS51	6.26	16.03	4.98	9.13	6.67	18.84	10.79	11.21	7.22	15.56	30.56	7.28	16.15	12.93	19.39	9.27	18.29	12.64	8.0	10.47	8.71	18.7	33.54	12.0	34.02	34.75	28.04	58.3	26.28	35.5	8.45	27.64	25.72	18.03	18.16	24.46	23.93	32.82	42.71	25.91	35.25	16.15	63.0	10.24	42.11	20.11	46.5	22.59	27.64	82.29	53.57	9.85	25.17	20.26	30.12	13.12	20.56	11.04	50.27	50.98	20.11	13.03	57.89	19.39	74.06	16.03	63.45	57.49	49.56	47.17	27.64	61.68	88.26	59.13	66.65	33.3	77.79	35.25	63.45	52.45	80.57	20.26	25.17	19.97	53.19	85.82	18.29	50.63	45.85	64.34	65.72	55.89	70.01	40.64	57.08	68.07	46.18	32.59	30.34	47.84	69.52	11.3	3.63	1.08	8.92	2.81	3.86	3.44	4.66	9.2	4.86	4.1	2.68	7.17	6.78	4.46	19.53	8.51	2.03	3.47	10.39	7.88	6.89	3.89	5.82	12.09	8.99	81.14	13.03	13.12
MTRF1	69.52	111.21	69.03	94.67	115.16	165.57	116.78	95.34	169.07	159.9	170.25	116.78	158.79	211.31	205.5	144.01	167.9	91.41	159.9	116.78	186.4	85.82	309.83	167.9	201.25	204.07	155.5	221.86	186.4	150.17	165.57	176.29	167.9	163.28	111.99	142.01	127.0	120.1	137.14	198.47	202.66	289.02	309.83	303.44	220.32	195.72	144.01	189.02	239.52	148.09	214.27	110.43	175.07	158.79	142.01	201.25	105.15	141.02	228.13	155.5	116.78	164.42	218.79	170.25	514.56	130.6	532.74	432.53	426.57	320.8	197.09	450.94	486.75	206.94	403.5	414.87	341.51	262.2	417.77	297.17	540.19	242.88	249.73	236.21	373.81	412.0	122.64	318.57	218.79	395.18	346.29	432.53	279.14	147.06	291.04	470.14	224.97	198.47	199.85	346.29	232.94	129.69	66.18	68.55	81.71	67.12	63.0	98.04	65.26	107.38	94.67	55.1	161.02	76.71	99.43	90.77	80.01	102.25	102.97	158.79	33.54	111.99	111.21	102.97	97.36	138.1	78.34	228.13	97.36	109.66
MZF1	115.97	237.86	104.42	127.89	223.41	180.02	212.78	154.42	239.52	389.72	457.25	199.85	412.0	258.57	231.32	143.01	353.59	135.24	185.11	289.02	231.32	127.89	251.48	356.05	392.44	813.63	361.04	271.48	262.2	229.72	334.46	463.65	532.74	441.64	323.03	361.04	457.25	432.53	309.83	363.56	432.53	303.44	647.07	339.14	514.56	289.02	156.59	293.07	575.03	733.19	633.73	713.11	463.65	435.55	633.73	366.09	435.55	256.78	490.14	255.0	236.21	497.0	406.31	536.45	1088.92	629.35	995.0	1216.75	1073.91	890.44	665.29	723.08	1519.15	651.58	1397.83	583.07	1304.15	813.63	1044.52	547.75	1225.22	587.13	872.1	802.41	1183.45	1175.27	490.14	1340.84	842.36	1001.93	1369.04	909.17	1119.56	379.04	1143.1	1225.22	961.07	830.75	878.17	1350.18	743.43	198.47	63.89	60.39	93.35	111.99	81.14	171.45	84.04	167.9	218.79	68.55	72.01	124.37	208.38	234.57	271.48	237.86	34.02	123.5	111.99	177.53	100.83	105.15	99.43	371.22	214.27	1030.12	144.01	256.78
