	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
PPIL6	82.87	84.63	12.74	8.0	12.83	23.93	25.35	9.13	16.03	19.82	45.53	39.5	47.84	15.34	71.5	234.57	193.01	72.52	195.72	21.16	107.38	102.25	89.51	150.17	45.21	140.04	66.18	83.45	264.03	114.36	177.53	251.48	98.04	82.87	267.73	150.17	206.94	84.63	82.87	182.55	48.18	197.09	255.0	113.56	204.07	131.51	157.68	85.82	149.12	193.01	90.77	105.89	89.51	187.71	153.34	61.25	206.94	94.67	148.09	111.99	260.38	40.36	114.36	139.07	86.43	32.59	154.42	183.82	177.53	58.71	87.65	172.65	105.15	125.24	93.35	88.26	162.14	108.14	44.57	94.67	19.53	161.02	54.72	130.6	73.54	26.86	244.57	202.66	134.3	232.94	231.32	53.95	197.09	191.67	87.65	51.35	185.11	144.01	251.48	120.1	48.52	63.0	180.02	119.26	108.14	124.37	80.01	166.73	183.82	0.0	0.0	23.25	33.3	26.28	12.83	164.42	46.18	85.82	31.22	29.91	20.26	14.24	14.24	21.47	61.25	40.93	314.17
PPP1R42	0.0	0.0	0.0	3.53	0.0	0.0	0.0	2.12	0.0	0.0	0.87	0.0	6.41	0.0	0.0	24.63	31.9	15.45	12.36	2.97	9.48	46.18	13.62	37.59	23.25	96.68	10.88	20.86	92.05	28.45	85.22	42.11	24.28	39.79	105.15	8.13	51.35	27.05	14.56	108.14	13.72	21.78	53.57	15.8	49.56	19.25	21.01	27.25	34.51	61.68	31.22	2.71	16.27	92.05	35.76	44.25	125.24	33.54	73.03	6.57	76.17	22.59	25.54	36.53	16.51	23.93	15.34	51.71	33.3	3.72	24.46	14.89	4.62	7.11	77.25	34.51	102.25	50.27	11.21	2.56	6.73	21.47	26.86	44.57	26.86	9.93	42.41	73.03	26.1	46.5	57.49	26.67	28.86	87.03	35.0	5.73	74.06	50.27	6.26	11.73	7.57	18.29	30.78	43.94	28.24	64.34	9.93	27.25	75.11	0.0	0.0	0.0	20.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97	0.0	0.0	112.77
RAB36	22.26	27.44	43.02	15.11	29.27	108.14	43.63	7.75	18.16	33.54	14.24	62.12	39.79	82.87	193.01	40.93	559.28	397.93	253.23	131.51	303.44	426.57	336.79	490.14	381.68	567.1	253.23	323.03	525.39	299.25	603.67	532.74	412.0	642.59	738.29	265.87	500.46	400.71	204.07	738.29	743.43	221.86	599.49	397.93	285.03	368.65	224.97	381.68	651.58	599.49	336.79	363.56	343.89	595.34	563.18	444.72	674.59	389.72	532.74	392.44	769.69	283.05	435.55	532.74	297.17	314.17	529.06	961.07	647.07	273.37	679.29	387.02	114.36	392.44	555.41	346.29	934.76	595.34	223.41	153.34	91.41	395.18	303.44	348.71	503.95	305.55	460.44	748.61	497.0	842.36	620.67	395.18	518.15	536.45	348.71	182.55	540.19	426.57	159.9	497.0	158.79	133.36	336.79	403.5	323.03	571.05	341.51	325.29	733.19	0.0	0.0	73.54	74.58	34.02	65.26	30.56	39.22	130.6	34.51	19.11	23.08	32.59	57.08	98.04	50.63	7.06	371.22
RABL2A	149.12	144.01	108.14	42.11	47.5	114.36	92.7	40.93	42.41	102.25	76.17	60.82	107.38	248.0	98.73	129.69	239.52	147.06	629.35	123.5	314.17	346.29	409.15	255.0	420.68	490.14	114.36	223.41	490.14	368.65	486.75	256.78	343.89	780.44	480.04	307.69	547.75	283.05	285.03	536.45	1639.59	318.57	738.29	336.79	325.29	170.25	366.09	651.58	285.03	195.72	490.14	435.55	189.02	264.03	314.17	277.2	277.2	172.65	476.71	258.57	426.57	591.22	426.57	638.15	204.07	151.22	325.29	638.15	412.0	199.85	420.68	220.32	264.03	248.0	703.28	231.32	417.77	309.83	107.38	169.07	187.71	289.02	161.02	358.54	403.5	158.79	283.05	371.22	379.04	525.39	476.71	248.0	575.03	511.0	476.71	109.66	555.41	476.71	163.28	144.01	269.6	323.03	312.0	423.61	220.32	764.36	161.02	267.73	587.13	0.0	0.13	176.29	125.24	209.84	139.07	156.59	115.97	134.3	229.72	122.64	143.01	114.36	85.22	164.42	178.77	24.63	825.0
RIBC1	14.35	13.42	12.93	2.89	9.56	22.1	17.77	2.51	4.82	7.4	18.84	13.42	21.63	24.99	14.89	53.19	98.04	131.51	76.17	88.26	204.07	170.25	113.56	120.1	90.77	224.97	67.12	82.29	172.65	69.03	325.29	137.14	137.14	132.44	142.01	82.87	159.9	140.04	226.54	164.42	181.28	111.99	144.01	123.5	98.73	120.1	88.88	119.26	139.07	131.51	106.63	106.63	58.71	220.32	153.34	170.25	159.9	67.59	169.07	129.69	202.66	202.66	166.73	141.02	35.0	43.94	146.03	130.6	85.22	19.11	101.54	90.77	80.57	127.0	183.82	65.26	154.42	125.24	18.29	41.22	64.8	136.19	86.43	96.68	130.6	137.14	158.79	143.01	131.51	157.68	153.34	110.43	151.22	182.55	191.67	59.55	173.85	155.5	65.72	75.64	45.21	114.36	123.5	175.07	92.05	163.28	51.71	113.56	190.34	0.0	0.0	13.62	35.5	27.44	23.93	18.56	18.7	13.83	9.78	24.46	21.78	17.51	22.75	22.59	30.34	5.5	220.32
RP11-195F19.5	67.12	197.09	85.22	117.6	52.08	25.91	423.61	29.27	57.89	118.43	633.73	122.64	454.09	403.5	193.01	118.43	117.6	186.4	110.43	70.01	583.07	656.11	400.71	473.41	753.83	961.07	194.36	176.29	713.11	651.58	1277.29	384.34	450.94	1015.93	325.29	325.29	454.09	607.87	175.07	480.04	64.34	438.59	423.61	392.44	336.79	353.59	241.19	366.09	312.0	583.07	293.07	599.49	334.46	642.59	575.03	785.88	651.58	305.55	473.41	483.38	387.02	466.88	748.61	813.63	138.1	258.57	332.14	616.37	470.14	490.14	295.11	211.31	262.2	316.37	579.04	591.22	414.87	536.45	325.29	273.37	99.43	587.13	395.18	450.94	753.83	281.09	320.8	417.77	309.83	536.45	497.0	733.19	483.38	444.72	703.28	713.11	567.1	595.34	145.02	239.52	476.71	201.25	500.46	688.78	921.88	796.86	441.64	412.0	497.0	0.0	0.36	41.22	575.03	173.85	89.51	633.73	86.43	43.63	132.44	59.55	36.27	104.42	122.64	74.58	77.25	89.51	532.74
SAMD15	20.11	21.01	9.7	1.2	11.21	2.32	12.45	17.38	9.48	15.8	3.35	2.81	3.47	11.47	9.63	57.49	38.4	29.48	56.28	29.7	84.04	31.0	35.25	30.56	41.22	47.5	40.07	80.01	53.57	40.93	66.65	32.36	53.57	48.87	39.79	48.87	46.5	27.25	27.64	79.45	76.17	42.71	66.18	38.67	101.54	32.13	23.59	62.56	61.25	47.84	34.51	14.35	46.5	102.25	26.47	43.02	40.64	34.51	62.12	58.71	144.01	34.75	36.79	27.44	34.02	48.52	109.66	44.57	93.35	42.71	53.57	50.27	25.54	48.52	38.12	15.34	53.19	26.67	11.3	65.26	54.72	48.87	26.67	33.06	49.91	31.22	29.7	60.82	67.12	53.57	42.41	96.01	46.84	75.11	48.87	14.03	49.21	39.5	26.1	47.84	32.36	74.06	50.98	43.32	28.45	45.85	18.56	45.85	64.8	0.0	0.0	3.44	8.92	14.89	0.36	1.17	7.11	2.66	4.35	5.45	5.92	3.5	14.14	4.54	12.64	0.0	78.34
SKAP1	39.5	57.89	90.77	19.25	156.59	103.69	173.85	19.53	36.27	143.01	31.9	15.11	34.51	351.14	318.57	53.57	890.44	287.01	947.83	409.15	591.22	1733.13	967.76	65.72	571.05	1233.75	115.97	1088.92	1617.0	157.68	1883.54	265.87	698.41	220.32	54.72	28.86	802.41	220.32	1259.69	348.71	2645.74	115.97	934.76	348.71	934.76	1175.27	872.1	941.27	728.11	1023.0	961.07	525.39	507.46	483.38	796.86	76.17	239.52	23.42	21.01	954.43	518.15	1088.92	309.83	1950.0	171.45	830.75	665.29	1119.56	928.3	27.44	444.72	37.59	642.59	764.36	1030.12	748.61	91.41	145.02	251.48	71.0	836.53	647.07	122.64	264.03	633.73	450.94	1059.11	753.83	967.76	1268.46	934.76	283.05	775.05	909.17	291.04	202.66	995.0	624.99	58.3	154.42	403.5	575.03	802.41	1950.0	466.88	738.29	40.07	656.11	1199.98	0.0	0.29	21.94	12.36	57.08	51.71	111.99	87.03	38.12	44.89	147.06	47.5	77.79	145.02	187.71	67.59	32.82	70.51
SLC25A37	356.05	423.61	176.29	395.18	142.01	103.69	674.59	189.02	212.78	226.54	417.77	111.21	301.33	82.29	303.44	183.82	571.05	211.31	1605.83	305.55	312.0	842.36	420.68	429.54	620.67	470.14	262.2	1417.35	878.17	120.94	1216.75	511.0	723.08	1111.82	1340.84	368.65	679.29	656.11	403.5	866.07	2319.15	153.34	559.28	454.09	759.08	346.29	638.15	466.88	420.68	323.03	514.56	1259.69	299.25	642.59	633.73	483.38	368.65	366.09	1322.37	483.38	651.58	688.78	660.68	1896.65	483.38	283.05	638.15	866.07	660.68	301.33	579.04	358.54	414.87	320.8	2351.53	813.63	988.12	555.41	151.22	281.09	159.9	490.14	392.44	656.11	698.41	389.72	466.88	633.73	417.77	961.07	633.73	358.54	595.34	1295.13	669.92	426.57	713.11	813.63	185.11	301.33	392.44	231.32	466.88	435.55	305.55	1259.69	454.09	429.54	785.88	389.72	1350.18	403.5	232.94	214.27	228.13	130.6	336.79	236.21	262.2	896.64	579.04	279.14	490.14	183.82	217.27	486.75	514.56
SPA17	195.72	163.28	100.13	187.71	153.34	208.38	199.85	241.19	59.13	167.9	111.21	215.77	87.03	72.01	139.07	242.88	441.64	202.66	514.56	169.07	884.29	603.67	291.04	1135.2	674.59	688.78	229.72	373.81	651.58	450.94	769.69	525.39	334.46	571.05	441.64	124.37	514.56	559.28	503.95	759.08	348.71	642.59	536.45	387.02	329.84	438.59	187.71	309.83	463.65	842.36	371.22	397.93	397.93	490.14	587.13	417.77	665.29	447.82	507.46	514.56	796.86	476.71	532.74	525.39	366.09	293.07	429.54	521.76	525.39	269.6	341.51	301.33	353.59	228.13	688.78	483.38	603.67	540.19	126.12	368.65	232.94	525.39	366.09	438.59	629.35	336.79	540.19	470.14	476.71	444.72	638.15	454.09	366.09	669.92	412.0	423.61	563.18	514.56	241.19	265.87	497.0	444.72	540.19	591.22	426.57	497.0	269.6	466.88	551.56	0.0	0.0	74.06	104.42	195.72	82.29	251.48	241.19	189.02	258.57	144.01	79.45	244.57	279.14	170.25	202.66	104.42	500.46
SPAG17	2.94	17.0	147.06	78.89	17.13	17.77	2.86	136.19	3.53	31.0	202.66	299.25	23.42	3.5	22.92	291.04	110.43	128.79	146.03	23.25	61.68	152.28	106.63	115.97	353.59	285.03	32.13	1.07	242.88	68.07	241.19	100.83	59.97	351.14	435.55	27.25	255.0	123.5	107.38	265.87	1427.22	72.01	444.72	121.79	29.06	38.4	98.73	258.57	62.56	86.43	110.43	157.68	64.34	106.63	173.85	92.7	82.87	180.02	314.17	57.89	194.36	381.68	215.77	215.77	10.55	27.25	82.87	423.61	64.8	5.19	113.56	70.51	35.25	74.06	329.84	130.6	181.28	62.12	8.32	30.34	19.11	124.37	102.25	178.77	120.94	24.63	155.5	131.51	120.1	208.38	191.67	134.3	165.57	291.04	145.02	24.81	202.66	299.25	55.49	85.22	37.85	214.27	88.26	206.94	43.94	500.46	32.82	100.13	221.86	0.0	0.0	42.71	241.19	7.22	138.1	30.12	3.63	1.01	1.58	1.93	1.83	1.64	26.28	4.82	2.41	0.0	100.13
SPAG8	44.89	31.22	7.63	2.81	4.58	10.96	22.75	3.66	2.2	1.64	15.56	2.39	34.26	22.1	11.13	48.18	40.93	16.88	125.24	30.34	37.85	76.71	17.64	102.25	31.67	100.13	14.24	7.82	161.02	33.78	208.38	56.28	61.68	183.82	131.51	34.75	103.69	75.11	61.25	127.89	325.29	37.59	75.64	66.65	48.87	53.19	49.56	64.34	56.28	33.06	37.59	90.77	53.57	75.64	143.01	41.52	82.29	26.47	125.24	57.89	140.04	102.97	113.56	117.6	21.32	30.34	50.27	106.63	46.18	8.99	43.94	40.64	17.77	28.45	151.22	40.93	104.42	73.03	23.93	24.28	12.18	65.26	17.51	68.07	57.49	42.71	47.84	72.01	43.94	128.79	132.44	49.21	130.6	134.3	118.43	24.11	93.35	88.88	37.59	36.27	40.64	24.11	63.0	80.01	64.34	191.67	42.11	42.41	117.6	0.0	0.06	17.64	13.93	15.56	28.24	47.5	9.85	5.68	6.46	8.71	12.45	0.96	12.45	12.09	13.83	0.66	197.09
SPEF1	4.86	1.25	0.0	0.0	0.0	0.37	1.2	1.57	0.39	2.53	1.93	0.99	2.34	2.48	4.9	21.32	135.24	27.84	63.0	12.83	94.01	218.79	146.03	195.72	108.14	460.44	61.25	88.88	241.19	20.26	363.56	137.14	195.72	260.38	221.86	26.86	173.85	236.21	98.04	221.86	265.87	60.82	215.77	82.29	139.07	112.77	49.21	169.07	307.69	115.16	118.43	100.13	77.79	518.15	228.13	153.34	133.36	44.57	123.5	180.02	297.17	151.22	148.09	142.01	15.45	81.71	141.02	204.07	61.68	53.57	185.11	83.45	22.1	69.03	358.54	68.07	267.73	202.66	51.35	28.45	5.19	96.01	115.97	94.01	220.32	132.44	104.42	191.67	194.36	118.43	195.72	57.89	226.54	164.42	170.25	52.08	256.78	194.36	37.59	68.55	37.85	24.46	171.45	128.79	84.63	256.78	37.59	102.97	242.88	0.0	0.0	1.85	2.46	4.54	6.62	1.83	8.92	1.43	16.27	13.93	1.64	0.99	1.36	4.46	2.66	12.83	100.83
SPEF2	82.29	49.21	12.18	5.23	5.73	22.26	5.77	3.44	3.17	23.42	7.06	9.06	47.17	33.06	63.0	80.01	82.87	52.08	273.37	52.45	128.79	167.9	60.39	97.36	376.41	128.79	43.94	173.85	234.57	202.66	236.21	82.87	108.9	301.33	166.73	75.64	189.02	89.51	267.73	291.04	674.59	164.42	151.22	79.45	114.36	28.45	249.73	94.67	88.88	100.83	90.77	159.9	47.5	327.56	297.17	137.14	122.64	136.19	191.67	96.01	361.04	329.84	142.01	195.72	120.1	55.1	209.84	180.02	223.41	73.54	204.07	84.63	109.66	52.08	336.79	156.59	215.77	85.82	4.94	43.02	85.82	74.58	66.65	108.14	307.69	28.65	167.9	181.28	148.09	262.2	226.54	190.34	195.72	193.01	108.9	18.84	139.07	204.07	58.71	68.55	80.57	262.2	104.42	94.67	73.54	236.21	61.68	41.22	226.54	0.0	0.18	69.52	25.54	9.27	40.36	17.77	9.13	52.08	11.55	76.71	54.72	26.28	84.04	58.3	15.34	0.06	426.57
SRR	105.15	183.82	57.89	75.11	95.34	77.25	176.29	39.79	59.13	105.89	131.51	131.51	127.89	51.71	48.87	208.38	356.05	103.69	182.55	86.43	175.07	140.04	346.29	273.37	94.67	132.44	178.77	89.51	291.04	149.12	389.72	318.57	190.34	371.22	251.48	135.24	348.71	242.88	260.38	173.85	237.86	122.64	466.88	31.67	109.66	211.31	72.01	242.88	253.23	500.46	206.94	183.82	116.78	460.44	181.28	353.59	94.01	314.17	334.46	265.87	409.15	172.65	167.9	277.2	94.67	248.0	214.27	287.01	271.48	105.15	255.0	353.59	267.73	279.14	156.59	116.78	115.97	147.06	106.63	108.14	125.24	320.8	88.88	124.37	140.04	183.82	291.04	255.0	339.14	314.17	353.59	107.38	368.65	281.09	251.48	76.71	312.0	229.72	206.94	164.42	88.88	136.19	253.23	287.01	76.17	209.84	242.88	229.72	258.57	0.0	0.1	140.04	58.71	100.83	193.01	72.52	73.03	123.5	68.07	63.45	62.12	88.26	46.18	185.11	53.57	156.59	127.89
TAF6	928.3	902.89	842.36	423.61	785.88	423.61	1023.0	450.94	647.07	836.53	518.15	567.1	915.51	743.43	1923.14	1151.06	1487.87	1216.75	1096.5	1001.93	1216.75	1896.65	1697.45	2739.08	1651.0	1857.6	967.76	1250.98	2520.38	1037.29	2119.22	1963.57	2018.8	2163.77	2032.85	1001.93	2555.58	1832.01	1651.0	1674.06	2417.67	1088.92	2627.46	1369.04	2384.37	2075.59	1417.35	1697.45	2119.22	2075.59	1936.53	1806.78	1023.0	1605.83	2178.83	1508.65	2609.3	1096.5	2417.67	2075.59	1870.53	2224.63	1806.78	3081.75	890.44	1199.98	2090.03	3018.3	1572.76	872.1	3081.75	1977.24	1044.52	1757.34	1923.14	1331.57	1721.16	1832.01	1008.9	967.76	967.76	1674.06	1268.46	1733.13	1378.57	1487.87	1651.0	2895.31	2255.7	2384.37	2720.15	1519.15	2816.11	1963.57	1685.71	2319.15	1883.54	2018.8	1697.45	1857.6	1059.11	1044.52	2255.7	1781.89	1733.13	2319.15	1529.73	1233.75	2319.15	0.0	0.71	1037.29	1030.12	896.64	836.53	842.36	1191.69	1437.15	2004.85	1437.15	1268.46	1135.2	884.29	1519.15	1417.35	320.8	1111.82
TCEA2	728.11	1477.58	493.56	234.57	191.67	420.68	728.11	123.5	170.25	656.11	679.29	253.23	1023.0	1023.0	603.67	698.41	1199.98	884.29	764.36	387.02	785.88	2163.77	981.29	2255.7	759.08	2193.99	1111.82	2255.7	2384.37	1340.84	2720.15	1340.84	1794.29	2758.13	1259.69	1030.12	1295.13	1844.76	2061.24	1477.58	3018.3	1467.37	1378.57	1304.15	1378.57	1313.23	934.76	1407.55	2417.67	1242.34	1331.57	1378.57	1359.57	2537.92	1340.84	2061.24	1369.04	684.02	1397.83	2119.22	1259.69	2835.7	1572.76	1896.65	518.15	928.3	1369.04	1883.54	1286.18	1135.2	1216.75	974.5	791.35	785.88	2133.97	1369.04	1519.15	1159.07	1806.78	890.44	679.29	1594.73	1104.13	1331.57	1745.2	1819.35	1191.69	1540.37	1350.18	1519.15	1447.15	1769.57	1857.6	1268.46	2240.11	1685.71	1561.89	1322.37	860.08	961.07	819.3	1037.29	1617.0	1304.15	3018.3	2758.13	1427.22	1183.45	2104.58	0.0	0.58	435.55	1066.48	941.27	1199.98	1127.35	493.56	97.36	1175.27	79.45	287.01	409.15	301.33	1088.92	202.66	316.37	2271.4
TCTEX1D2	341.51	262.2	137.14	144.01	62.56	620.67	215.77	309.83	96.68	170.25	237.86	470.14	128.79	265.87	177.53	264.03	612.11	343.89	723.08	220.32	305.55	435.55	718.08	660.68	429.54	1081.39	406.31	486.75	656.11	633.73	713.11	780.44	361.04	665.29	848.22	532.74	813.63	483.38	476.71	295.11	384.34	1051.79	1259.69	215.77	708.18	780.44	281.09	836.53	490.14	808.0	466.88	748.61	473.41	638.15	403.5	521.76	896.64	514.56	764.36	450.94	406.31	796.86	1051.79	603.67	332.14	493.56	392.44	743.43	476.71	122.64	239.52	595.34	497.0	353.59	872.1	518.15	507.46	242.88	258.57	551.56	279.14	688.78	381.68	836.53	414.87	271.48	642.59	884.29	555.41	599.49	753.83	450.94	656.11	764.36	753.83	325.29	1250.98	921.88	265.87	579.04	638.15	339.14	571.05	1388.16	587.13	909.17	255.0	988.12	486.75	0.0	0.39	1135.2	457.25	297.17	409.15	490.14	199.85	231.32	108.14	45.53	71.0	72.01	309.83	191.67	96.68	64.34	571.05
TEX9	20.41	67.12	64.8	11.91	40.07	47.5	34.75	27.44	16.63	39.79	38.67	61.68	80.01	83.45	135.24	166.73	172.65	52.08	273.37	59.13	275.28	91.41	127.89	140.04	126.12	150.17	71.5	275.28	152.28	143.01	246.28	149.12	163.28	226.54	145.02	133.36	181.28	90.14	251.48	318.57	291.04	86.43	173.85	99.43	186.4	48.52	198.47	157.68	208.38	137.14	162.14	138.1	82.87	353.59	220.32	194.36	285.03	217.27	358.54	185.11	490.14	151.22	114.36	132.44	167.9	66.65	269.6	135.24	318.57	96.68	194.36	137.14	165.57	110.43	158.79	96.01	142.01	47.84	7.4	115.16	241.19	118.43	128.79	144.01	195.72	69.52	191.67	316.37	165.57	301.33	191.67	265.87	150.17	206.94	159.9	58.71	173.85	223.41	155.5	214.27	140.04	303.44	145.02	129.69	124.37	226.54	185.11	74.58	269.6	0.0	0.0	27.44	52.45	37.59	18.97	42.11	49.21	4.74	49.56	63.45	73.54	22.92	116.78	35.25	78.89	46.84	373.81
TIGD4	10.55	5.32	0.43	3.66	0.49	0.77	1.31	1.28	0.0	3.14	10.39	1.55	6.67	6.16	11.47	10.47	10.96	3.69	24.63	3.96	19.11	21.01	7.75	14.35	6.62	11.55	4.82	8.78	24.11	13.52	18.7	13.12	13.72	20.11	32.82	6.31	19.97	10.63	12.64	13.22	24.28	4.21	18.84	7.4	11.3	4.13	11.3	8.06	15.45	13.72	7.94	16.51	1.91	13.62	19.82	10.08	24.46	15.0	22.26	10.47	28.24	15.91	10.31	27.05	11.13	3.99	23.08	27.05	11.38	5.32	23.59	16.03	9.13	8.71	19.39	6.36	13.03	14.03	1.08	3.63	3.69	5.5	8.45	14.89	6.41	10.96	17.64	17.0	11.73	22.26	31.45	14.03	15.11	25.17	8.78	1.43	14.14	20.71	8.19	6.84	10.0	2.18	11.04	5.45	4.03	17.38	8.45	3.79	19.82	0.0	0.0	0.95	1.83	0.52	3.11	2.78	8.19	1.31	4.5	2.58	1.51	0.49	17.13	3.82	3.35	0.85	13.93
