	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
LGALS8	2537.92	1143.1	633.73	511.0	323.03	1119.56	884.29	896.64	547.75	769.69	995.0	1208.34	915.51	819.3	947.83	764.36	1617.0	813.63	688.78	1183.45	1135.2	1233.75	536.45	1477.58	612.11	1088.92	1359.57	718.08	1242.34	665.29	775.05	802.41	813.63	1225.22	928.3	693.58	665.29	511.0	928.3	587.13	457.25	503.95	1127.35	791.35	819.3	764.36	902.89	819.3	769.69	791.35	591.22	708.18	660.68	1066.48	500.46	819.3	1286.18	483.38	728.11	1081.39	1111.82	353.59	1651.0	1295.13	780.44	466.88	563.18	1081.39	1030.12	842.36	981.29	1183.45	967.76	571.05	1832.01	808.0	791.35	1111.82	1159.07	579.04	733.19	1313.23	1104.13	819.3	1023.0	571.05	1242.34	1225.22	366.09	808.0	500.46	1135.2	529.06	954.43	1216.75	791.35	1529.73	698.41	872.1	780.44	1111.82	1313.23	748.61	1407.55	1081.39	728.11	571.05	633.73	698.41	688.78	426.57	718.08	674.59	866.07	733.19	1008.9	536.45	1088.92	928.3	575.03	825.0	718.08	156.59	255.0	269.6	223.41	361.04
LRCH3	563.18	723.08	92.7	249.73	363.56	417.77	273.37	291.04	231.32	208.38	279.14	420.68	376.41	135.24	395.18	351.14	356.05	231.32	180.02	381.68	373.81	351.14	163.28	320.8	147.06	476.71	185.11	153.34	329.84	161.02	181.28	146.03	195.72	460.44	309.83	144.01	198.47	79.45	343.89	224.97	236.21	336.79	543.96	325.29	309.83	273.37	503.95	287.01	318.57	295.11	253.23	312.0	376.41	447.82	122.64	256.78	403.5	289.02	167.9	387.02	332.14	217.27	356.05	316.37	193.01	314.17	170.25	518.15	356.05	348.71	320.8	329.84	376.41	356.05	320.8	309.83	267.73	376.41	309.83	269.6	180.02	420.68	329.84	297.17	323.03	241.19	567.1	497.0	27.05	285.03	181.28	251.48	299.25	273.37	579.04	214.27	351.14	211.31	314.17	332.14	457.25	417.77	187.71	420.68	426.57	273.37	228.13	265.87	190.34	211.31	237.86	283.05	198.47	314.17	332.14	277.2	183.82	476.71	191.67	246.28	397.93	490.14	126.12	106.63	49.56	115.16	115.97
LSG1	848.22	647.07	223.41	373.81	343.89	480.04	305.55	397.93	381.68	283.05	470.14	447.82	426.57	260.38	483.38	551.56	571.05	341.51	397.93	620.67	521.76	441.64	454.09	463.65	236.21	638.15	221.86	231.32	420.68	212.78	295.11	253.23	514.56	603.67	389.72	289.02	312.0	201.25	521.76	400.71	283.05	381.68	460.44	351.14	441.64	341.51	529.06	521.76	473.41	536.45	480.04	339.14	387.02	595.34	301.33	656.11	470.14	409.15	211.31	476.71	423.61	483.38	486.75	483.38	246.28	480.04	366.09	441.64	441.64	483.38	525.39	392.44	412.0	346.29	387.02	486.75	486.75	483.38	371.22	371.22	260.38	356.05	412.0	363.56	463.65	423.61	567.1	387.02	92.7	312.0	346.29	414.87	343.89	356.05	403.5	373.81	441.64	341.51	368.65	366.09	423.61	470.14	191.67	595.34	483.38	483.38	432.53	279.14	339.14	334.46	587.13	299.25	346.29	563.18	325.29	603.67	244.57	454.09	400.71	438.59	305.55	395.18	269.6	193.01	287.01	275.28	175.07
MAK16	334.46	417.77	82.87	135.24	105.15	144.01	199.85	157.68	87.03	150.17	251.48	149.12	198.47	166.73	134.3	169.07	215.77	140.04	115.97	255.0	249.73	159.9	172.65	162.14	158.79	262.2	142.01	122.64	182.55	162.14	121.79	141.02	155.5	256.78	189.02	74.58	118.43	120.1	178.77	120.1	121.79	138.1	107.38	126.12	146.03	127.89	209.84	120.94	173.85	248.0	146.03	150.17	143.01	89.51	87.65	186.4	285.03	60.39	167.9	202.66	239.52	165.57	336.79	199.85	137.14	109.66	165.57	237.86	208.38	217.27	163.28	128.79	134.3	130.6	154.42	163.28	163.28	156.59	177.53	126.12	176.29	131.51	182.55	209.84	202.66	112.77	175.07	170.25	55.49	122.64	111.99	194.36	88.88	122.64	105.89	117.6	105.15	158.79	190.34	231.32	226.54	151.22	97.36	119.26	173.85	105.15	127.0	151.22	127.0	113.56	99.43	80.57	154.42	138.1	173.85	170.25	69.03	303.44	157.68	88.88	49.21	121.79	103.69	32.36	81.14	38.4	26.67
MALT1	395.18	629.35	1167.14	199.85	208.38	457.25	460.44	303.44	305.55	332.14	532.74	409.15	281.09	620.67	511.0	343.89	616.37	368.65	181.28	325.29	624.99	599.49	180.02	708.18	281.09	819.3	255.0	363.56	368.65	457.25	283.05	217.27	301.33	480.04	738.29	183.82	373.81	177.53	476.71	180.02	244.57	353.59	480.04	260.38	329.84	301.33	371.22	289.02	289.02	511.0	346.29	256.78	334.46	400.71	249.73	423.61	444.72	400.71	258.57	361.04	457.25	327.56	665.29	500.46	301.33	234.57	368.65	633.73	460.44	341.51	460.44	307.69	595.34	244.57	395.18	353.59	343.89	688.78	423.61	314.17	441.64	389.72	435.55	397.93	409.15	283.05	454.09	624.99	46.5	143.01	376.41	490.14	177.53	212.78	1059.11	265.87	493.56	327.56	454.09	674.59	507.46	595.34	279.14	127.89	571.05	373.81	289.02	220.32	185.11	312.0	320.8	371.22	237.86	429.54	208.38	429.54	332.14	748.61	316.37	356.05	500.46	381.68	47.17	42.71	138.1	41.81	32.82
MAP3K2	518.15	665.29	79.45	172.65	162.14	409.15	299.25	248.0	239.52	176.29	336.79	273.37	406.31	244.57	336.79	195.72	486.75	239.52	112.77	379.04	373.81	334.46	163.28	334.46	138.1	376.41	262.2	159.9	305.55	182.55	220.32	182.55	163.28	353.59	441.64	171.45	309.83	108.14	363.56	211.31	171.45	169.07	218.79	191.67	279.14	211.31	361.04	205.5	217.27	316.37	239.52	209.84	231.32	195.72	138.1	197.09	353.59	193.01	283.05	334.46	208.38	223.41	346.29	265.87	128.79	224.97	175.07	387.02	336.79	194.36	420.68	194.36	353.59	162.14	244.57	248.0	212.78	339.14	329.84	190.34	197.09	316.37	291.04	211.31	341.51	167.9	258.57	358.54	36.27	190.34	151.22	183.82	193.01	149.12	237.86	198.47	237.86	173.85	193.01	327.56	356.05	299.25	212.78	366.09	363.56	163.28	178.77	190.34	144.01	217.27	181.28	260.38	194.36	204.07	183.82	185.11	161.02	320.8	209.84	170.25	211.31	256.78	85.22	43.32	79.45	99.43	43.94
MAP3K7	551.56	1030.12	191.67	195.72	256.78	387.02	332.14	273.37	214.27	226.54	325.29	329.84	457.25	171.45	395.18	285.03	426.57	295.11	199.85	329.84	371.22	397.93	175.07	336.79	217.27	392.44	307.69	236.21	346.29	133.36	159.9	186.4	211.31	363.56	334.46	197.09	299.25	172.65	332.14	314.17	251.48	323.03	318.57	248.0	363.56	194.36	371.22	299.25	325.29	397.93	201.25	265.87	265.87	195.72	234.57	291.04	351.14	249.73	301.33	366.09	281.09	318.57	409.15	389.72	164.42	191.67	251.48	454.09	429.54	307.69	384.34	343.89	429.54	232.94	332.14	309.83	299.25	444.72	353.59	262.2	307.69	346.29	316.37	303.44	329.84	289.02	460.44	376.41	111.21	215.77	275.28	258.57	242.88	228.13	420.68	197.09	373.81	277.2	307.69	291.04	423.61	358.54	214.27	389.72	470.14	273.37	251.48	231.32	189.02	255.0	158.79	234.57	201.25	320.8	229.72	312.0	183.82	307.69	318.57	285.03	191.67	417.77	155.5	101.54	208.38	111.99	64.34
MFN1	934.76	1088.92	327.56	163.28	275.28	547.75	395.18	255.0	295.11	236.21	353.59	329.84	412.0	180.02	429.54	314.17	438.59	244.57	171.45	493.56	587.13	389.72	256.78	392.44	339.14	463.65	232.94	138.1	327.56	118.43	186.4	142.01	301.33	432.53	332.14	193.01	293.07	100.13	283.05	206.94	218.79	307.69	532.74	307.69	305.55	241.19	587.13	293.07	332.14	412.0	285.03	271.48	295.11	285.03	205.5	314.17	463.65	273.37	170.25	426.57	420.68	264.03	473.41	301.33	197.09	297.17	206.94	414.87	444.72	329.84	346.29	332.14	265.87	205.5	325.29	309.83	246.28	281.09	309.83	224.97	229.72	343.89	368.65	334.46	336.79	301.33	432.53	414.87	217.27	198.47	197.09	289.02	309.83	191.67	426.57	295.11	507.46	239.52	246.28	353.59	423.61	348.71	166.73	353.59	429.54	253.23	150.17	208.38	129.69	273.37	281.09	275.28	161.02	297.17	202.66	249.73	356.05	486.75	217.27	339.14	281.09	329.84	163.28	62.56	111.21	129.69	81.71
MIS12	441.64	426.57	205.5	155.5	211.31	320.8	366.09	281.09	299.25	176.29	341.51	332.14	339.14	251.48	358.54	242.88	387.02	198.47	214.27	476.71	441.64	265.87	258.57	283.05	457.25	348.71	241.19	226.54	285.03	215.77	218.79	297.17	363.56	353.59	264.03	253.23	264.03	234.57	334.46	212.78	258.57	332.14	450.94	329.84	248.0	173.85	327.56	265.87	323.03	327.56	224.97	287.01	206.94	242.88	187.71	226.54	379.04	258.57	301.33	334.46	429.54	199.85	466.88	275.28	195.72	185.11	283.05	343.89	353.59	267.73	329.84	417.77	279.14	190.34	262.2	242.88	361.04	228.13	384.34	251.48	237.86	406.31	167.9	239.52	389.72	277.2	312.0	289.02	108.14	182.55	348.71	197.09	341.51	260.38	199.85	264.03	295.11	209.84	211.31	417.77	312.0	336.79	197.09	318.57	297.17	248.0	228.13	251.48	189.02	301.33	202.66	249.73	242.88	191.67	271.48	336.79	155.5	356.05	273.37	214.27	197.09	295.11	50.63	67.12	223.41	108.14	78.89
MIS18BP1	587.13	312.0	190.34	115.97	69.03	258.57	185.11	175.07	99.43	147.06	237.86	303.44	293.07	148.09	299.25	159.9	309.83	163.28	82.29	291.04	389.72	182.55	111.99	237.86	124.37	242.88	120.1	208.38	229.72	111.21	98.73	57.08	151.22	343.89	236.21	116.78	107.38	47.17	327.56	98.04	92.7	102.25	224.97	183.82	234.57	122.64	212.78	130.6	256.78	187.71	111.21	149.12	89.51	92.7	107.38	90.77	211.31	195.72	113.56	371.22	189.02	106.63	403.5	409.15	78.89	111.99	107.38	220.32	409.15	136.19	237.86	211.31	403.5	82.29	217.27	195.72	116.78	186.4	229.72	77.79	108.14	303.44	176.29	181.28	236.21	77.25	158.79	348.71	47.5	157.68	72.52	163.28	91.41	76.71	260.38	181.28	217.27	84.04	159.9	255.0	249.73	229.72	122.64	111.21	299.25	115.16	100.83	100.13	84.63	198.47	135.24	183.82	131.51	121.79	117.6	146.03	46.84	236.21	157.68	105.15	132.44	94.67	39.79	33.54	70.01	39.79	16.27
MORC3	660.68	1151.06	1167.14	181.28	214.27	389.72	417.77	341.51	173.85	264.03	368.65	395.18	379.04	260.38	460.44	323.03	358.54	206.94	151.22	447.82	346.29	336.79	209.84	373.81	234.57	406.31	209.84	242.88	366.09	236.21	217.27	175.07	281.09	483.38	373.81	205.5	255.0	118.43	320.8	212.78	211.31	251.48	387.02	232.94	361.04	279.14	346.29	336.79	297.17	368.65	303.44	297.17	246.28	287.01	166.73	318.57	438.59	151.22	343.89	420.68	336.79	260.38	457.25	607.87	165.57	271.48	198.47	514.56	480.04	293.07	358.54	301.33	363.56	162.14	363.56	336.79	332.14	320.8	318.57	236.21	234.57	476.71	426.57	353.59	423.61	224.97	318.57	521.76	78.89	251.48	242.88	381.68	228.13	236.21	336.79	255.0	343.89	201.25	246.28	381.68	381.68	450.94	253.23	397.93	432.53	226.54	209.84	226.54	121.79	236.21	194.36	187.71	253.23	371.22	269.6	234.57	223.41	476.71	303.44	339.14	186.4	320.8	72.01	35.76	74.06	91.41	89.51
MTBP	98.04	143.01	57.08	13.72	21.32	33.78	41.52	26.28	29.06	27.05	38.67	43.94	46.84	23.93	59.55	27.64	38.4	31.67	24.46	50.98	68.55	29.7	28.24	50.98	30.12	51.71	18.29	44.89	32.82	22.59	20.26	15.91	37.59	46.5	29.48	18.43	19.82	12.83	47.17	31.22	21.94	32.82	63.0	30.56	32.82	20.56	47.5	36.79	37.05	27.44	20.56	24.63	21.47	28.04	16.15	30.34	43.02	27.64	22.75	43.63	17.64	40.93	53.19	42.11	23.76	53.19	20.86	44.89	42.41	38.67	48.18	52.45	59.13	25.35	44.57	31.67	39.5	38.12	34.75	27.64	21.94	66.18	40.93	41.22	33.54	20.41	42.11	50.98	6.16	24.28	28.65	29.48	25.54	22.75	40.93	25.35	44.25	38.4	34.26	42.11	56.28	38.4	26.86	26.28	38.95	23.08	21.01	26.1	16.03	32.59	36.79	50.63	22.43	33.78	27.05	48.52	17.0	46.18	32.36	31.45	21.16	59.55	12.0	1.83	10.08	9.7	3.86
MTF2	400.71	490.14	197.09	115.16	167.9	297.17	267.73	224.97	189.02	224.97	260.38	291.04	358.54	221.86	242.88	234.57	285.03	195.72	176.29	397.93	329.84	339.14	246.28	275.28	157.68	273.37	176.29	135.24	249.73	176.29	158.79	105.89	211.31	376.41	237.86	129.69	185.11	98.04	253.23	214.27	163.28	212.78	366.09	224.97	295.11	194.36	271.48	283.05	246.28	293.07	148.09	201.25	169.07	297.17	130.6	241.19	307.69	172.65	150.17	329.84	148.09	102.25	336.79	299.25	128.79	143.01	248.0	279.14	309.83	236.21	264.03	260.38	289.02	135.24	251.48	262.2	204.07	251.48	224.97	191.67	177.53	305.55	246.28	265.87	287.01	204.07	327.56	283.05	16.39	172.65	206.94	183.82	162.14	217.27	403.5	231.32	346.29	178.77	209.84	275.28	320.8	285.03	171.45	171.45	332.14	283.05	118.43	186.4	162.14	314.17	176.29	204.07	193.01	267.73	205.5	242.88	110.43	226.54	264.03	176.29	169.07	336.79	88.88	34.26	67.12	54.72	29.7
NDE1	703.28	825.0	2935.74	265.87	166.73	417.77	371.22	289.02	336.79	239.52	466.88	381.68	400.71	480.04	412.0	343.89	483.38	258.57	215.77	575.03	748.61	387.02	248.0	420.68	208.38	441.64	291.04	273.37	551.56	447.82	341.51	327.56	194.36	387.02	403.5	267.73	215.77	221.86	571.05	303.44	246.28	366.09	353.59	316.37	450.94	305.55	603.67	237.86	323.03	511.0	412.0	293.07	361.04	281.09	260.38	271.48	414.87	251.48	248.0	470.14	269.6	237.86	466.88	387.02	251.48	307.69	348.71	420.68	414.87	241.19	400.71	406.31	397.93	186.4	429.54	325.29	212.78	575.03	291.04	314.17	239.52	500.46	409.15	454.09	450.94	291.04	264.03	450.94	20.86	327.56	271.48	426.57	253.23	253.23	236.21	273.37	329.84	397.93	483.38	293.07	447.82	289.02	309.83	241.19	454.09	293.07	301.33	248.0	323.03	466.88	583.07	307.69	420.68	281.09	246.28	358.54	249.73	320.8	295.11	242.88	224.97	343.89	241.19	162.14	158.79	65.72	39.22
NDUFA4L2	248.0	269.6	327241.36	71219.26	47642.77	36610.26	43537.38	73221.53	69271.73	83528.61	33224.42	43840.21	56265.94	90773.53	46986.85	124000.67	32315.87	88905.42	75803.72	28525.2	38966.94	93325.55	96616.71	35118.87	91404.92	40341.14	73221.53	70238.75	39510.91	85283.74	77396.54	120609.84	54727.32	32315.87	44452.21	96616.71	79572.48	67377.47	41763.8	88905.42	80683.28	76330.98	48982.22	65535.0	42937.97	93325.55	28525.2	62431.08	72213.45	37639.55	59887.86	81809.59	72715.74	77396.54	81809.59	91404.92	31215.04	94628.34	70238.75	35363.15	90146.51	70238.75	19348.38	102836.01	77934.88	97288.74	59474.18	23986.58	22380.2	71714.63	58250.19	70727.3	52863.07	70727.3	33688.23	72715.74	70238.75	60304.42	36106.23	167058.21	102836.01	62865.33	36357.37	65535.0	18950.18	100023.92	77396.54	46019.85	629.35	79572.48	162489.97	93325.55	64632.75	97288.74	93974.69	64632.75	75280.1	95286.54	71714.63	31432.17	78476.96	25530.66	68318.04	109455.64	43840.21	96616.71	81809.59	95949.32	73221.53	65535.0	87681.42	85283.74	71219.26	97288.74	92040.7	88905.42	118127.7	35856.82	72715.74	124000.67	94628.34	90773.53	460.44	1066.48	23.93	366.09	120.1
NEDD4	249.73	591.22	19.68	575.03	134.3	373.81	318.57	206.94	211.31	214.27	226.54	208.38	343.89	146.03	275.28	204.07	239.52	305.55	153.34	486.75	239.52	124.37	118.43	314.17	185.11	246.28	161.02	153.34	283.05	187.71	157.68	376.41	127.89	277.2	246.28	176.29	211.31	123.5	164.42	164.42	132.44	198.47	144.01	130.6	262.2	167.9	525.39	152.28	255.0	229.72	305.55	249.73	146.03	159.9	170.25	155.5	287.01	108.9	226.54	363.56	264.03	201.25	902.89	180.02	197.09	246.28	234.57	273.37	414.87	181.28	234.57	287.01	133.36	242.88	248.0	187.71	169.07	206.94	214.27	121.79	133.36	190.34	265.87	244.57	260.38	127.0	208.38	167.9	7.4	215.77	140.04	199.85	130.6	110.43	143.01	125.24	144.01	197.09	164.42	457.25	232.94	291.04	232.94	193.01	244.57	134.3	193.01	217.27	158.79	161.02	84.04	114.36	158.79	120.1	204.07	120.1	175.07	231.32	119.26	150.17	76.17	146.03	145.02	10.0	45.85	185.11	66.18
NFAT5	348.71	555.41	249.73	74.58	43.02	305.55	201.25	171.45	52.45	119.26	148.09	249.73	353.59	114.36	199.85	167.9	323.03	123.5	56.28	231.32	217.27	215.77	91.41	208.38	50.27	220.32	85.22	79.45	232.94	73.03	105.15	126.12	68.07	301.33	223.41	95.34	117.6	25.72	236.21	57.49	40.07	76.17	146.03	105.15	211.31	99.43	228.13	124.37	136.19	283.05	127.89	127.0	120.94	170.25	63.0	120.1	232.94	76.71	115.16	299.25	167.9	146.03	161.02	191.67	63.89	66.18	81.14	309.83	191.67	204.07	301.33	171.45	279.14	87.65	223.41	185.11	75.64	381.68	193.01	102.25	112.77	218.79	237.86	186.4	218.79	78.34	275.28	273.37	14.67	108.14	67.12	103.69	50.27	105.15	214.27	108.9	226.54	112.77	175.07	211.31	237.86	249.73	124.37	139.07	438.59	88.26	73.03	112.77	69.52	67.12	53.95	90.77	83.45	145.02	154.42	127.89	57.89	150.17	115.97	95.34	85.22	153.34	47.5	17.64	38.95	5.41	12.09
NOTCH2	2240.11	2468.49	1159.07	309.83	255.0	759.08	571.05	540.19	392.44	379.04	571.05	607.87	890.44	423.61	540.19	283.05	947.83	514.56	170.25	961.07	842.36	366.09	248.0	463.65	165.57	579.04	406.31	295.11	941.27	271.48	341.51	193.01	194.36	595.34	665.29	303.44	297.17	167.9	651.58	376.41	190.34	248.0	450.94	316.37	728.11	329.84	693.58	307.69	285.03	500.46	291.04	457.25	267.73	339.14	232.94	271.48	579.04	220.32	480.04	728.11	423.61	381.68	1175.27	665.29	264.03	417.77	279.14	620.67	567.1	312.0	389.72	190.34	642.59	239.52	480.04	384.34	181.28	476.71	363.56	412.0	283.05	848.22	591.22	412.0	703.28	295.11	575.03	842.36	11.64	514.56	241.19	559.28	214.27	226.54	318.57	187.71	316.37	271.48	339.14	551.56	629.35	438.59	327.56	813.63	769.69	242.88	171.45	412.0	220.32	366.09	277.2	514.56	285.03	400.71	423.61	363.56	305.55	409.15	273.37	232.94	325.29	392.44	114.36	500.46	165.57	81.14	147.06
NR2C2	339.14	117.6	98.04	55.89	42.41	211.31	103.69	101.54	59.13	77.79	122.64	182.55	165.57	55.89	181.28	80.57	223.41	111.21	49.56	224.97	164.42	140.04	65.26	130.6	34.26	164.42	102.97	48.52	100.13	40.64	82.29	44.25	59.55	224.97	218.79	77.79	71.0	25.17	194.36	40.36	47.5	45.53	197.09	64.34	75.64	94.67	159.9	62.56	134.3	138.1	63.0	72.01	66.18	84.04	30.12	53.95	156.59	45.21	92.7	299.25	111.99	100.83	152.28	116.78	65.72	52.45	48.87	183.82	148.09	111.99	143.01	76.17	208.38	53.57	149.12	91.41	63.0	172.65	137.14	69.52	53.95	152.28	147.06	95.34	199.85	54.33	139.07	260.38	10.16	72.01	45.85	85.82	47.17	88.26	147.06	59.55	93.35	82.87	108.9	194.36	176.29	122.64	102.97	107.38	229.72	87.03	49.91	112.77	43.63	84.63	48.87	85.22	59.13	71.0	69.03	103.69	63.0	147.06	47.17	108.9	72.52	76.17	27.64	28.45	24.11	19.97	19.25
NSUN3	271.48	170.25	77.79	107.38	55.49	156.59	149.12	121.79	129.69	109.66	182.55	156.59	152.28	75.64	164.42	139.07	255.0	111.99	90.14	170.25	185.11	111.99	93.35	169.07	194.36	181.28	144.01	63.89	237.86	82.29	126.12	99.43	69.52	145.02	134.3	96.01	113.56	61.25	180.02	112.77	47.5	98.73	197.09	112.77	190.34	109.66	271.48	88.88	127.89	96.68	137.14	144.01	62.56	136.19	118.43	50.27	185.11	102.97	79.45	170.25	133.36	63.89	211.31	88.26	87.03	62.12	97.36	223.41	143.01	99.43	137.14	143.01	117.6	100.83	116.78	106.63	135.24	144.01	105.15	87.65	88.26	158.79	116.78	181.28	173.85	116.78	237.86	211.31	65.72	146.03	107.38	135.24	144.01	89.51	76.71	87.03	131.51	71.5	127.89	163.28	115.97	147.06	75.64	98.73	193.01	87.65	107.38	128.79	59.97	138.1	83.45	107.38	114.36	101.54	105.15	124.37	159.9	193.01	89.51	94.01	56.68	159.9	85.22	58.3	62.56	44.25	64.34
NUP50	713.11	473.41	1733.13	339.14	279.14	559.28	486.75	384.34	283.05	275.28	420.68	460.44	688.78	373.81	543.96	412.0	629.35	392.44	223.41	414.87	536.45	384.34	323.03	463.65	193.01	503.95	358.54	301.33	403.5	232.94	406.31	320.8	323.03	511.0	460.44	211.31	301.33	232.94	490.14	409.15	264.03	307.69	403.5	291.04	444.72	273.37	466.88	283.05	387.02	543.96	351.14	356.05	412.0	285.03	236.21	334.46	503.95	285.03	376.41	555.41	376.41	518.15	575.03	273.37	297.17	204.07	381.68	540.19	518.15	339.14	480.04	339.14	507.46	239.52	316.37	348.71	267.73	595.34	417.77	366.09	363.56	373.81	521.76	373.81	503.95	329.84	432.53	529.06	100.13	316.37	248.0	221.86	279.14	241.19	307.69	381.68	376.41	318.57	371.22	466.88	348.71	457.25	327.56	262.2	483.38	239.52	373.81	373.81	223.41	312.0	262.2	376.41	432.53	251.48	339.14	400.71	267.73	435.55	353.59	297.17	353.59	336.79	202.66	107.38	133.36	154.42	108.9
