	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
LURAP1	1.22	8.71	10.47	15.56	22.43	11.82	5.19	86.43	93.35	127.89	153.34	91.41	96.68	105.89	182.55	78.34	117.6	129.69	18.56	55.49	80.57	223.41	139.07	90.77	36.79	121.79	148.09	57.08	109.66	80.57	72.52	53.95	58.71	185.11	84.63	33.3	68.55	52.82	57.49	77.25	429.54	80.01	154.42	37.05	169.07	47.84	63.45	41.22	115.97	80.01	26.86	50.27	74.06	104.42	100.83	33.78	111.21	62.12	3.0	3.08	13.42	1.66	1.3	1.91	6.84	7.0	0.71	0.68	22.59	1.13	3.66	1.11	1.11	0.74	4.1	4.43	0.0	2.25	23.25	3.56	3.86	18.16	0.79	1.55	2.51	11.04	1.43	4.46	4.7	25.54	57.89	1.77	13.03	31.67	40.93	78.34	84.63	77.25	34.51	229.72	85.82	74.06	94.01
MAG	0.0	3.5	0.0	3.14	1.04	0.0	0.16	3.03	0.0	31.0	3.29	0.0	1.41	0.51	84.63	0.0	46.5	0.55	11.64	53.95	198.47	264.03	52.08	8.32	1030.12	1127.35	329.84	111.21	323.03	32.59	1540.37	244.57	941.27	603.67	295.11	638.15	536.45	842.36	97.36	42.41	186.4	11.21	1.11	703.28	132.44	53.19	182.55	830.75	37.85	11.91	0.4	0.0	2.29	123.5	373.81	4.31	43.94	0.0	0.0	0.0	0.0	11.47	5.36	2.03	40.07	0.0	0.0	1.69	1.27	0.0	8.65	0.0	1.79	2.97	24.63	22.1	8.13	1.83	17.0	0.0	3.17	11.04	2.51	0.0	0.0	1.27	6.73	12.55	3.06	15.11	0.68	2.12	0.0	0.0	16.63	0.51	0.0	12.55	6.78	9.93	41.81	84.04	0.0
MAP1B	12.09	40.93	47.5	61.25	173.85	35.76	15.56	490.14	400.71	312.0	277.2	435.55	343.89	463.65	246.28	323.03	483.38	813.63	2004.85	444.72	490.14	547.75	397.93	31.22	93.35	384.34	1977.24	305.55	813.63	1304.15	1199.98	470.14	981.29	1295.13	988.12	138.1	974.5	1135.2	860.08	57.89	109.66	40.07	99.43	559.28	612.11	142.01	684.02	387.02	164.42	187.71	217.27	25.91	77.25	163.28	660.68	106.63	175.07	113.56	33.3	60.82	197.09	11.04	14.03	7.82	8.13	36.27	20.41	7.28	4.62	7.4	81.71	28.86	7.69	6.46	28.24	20.26	25.17	11.47	22.43	7.63	22.26	34.51	6.21	56.28	5.96	26.47	13.62	9.2	9.27	301.33	656.11	110.43	61.25	54.72	46.84	154.42	363.56	246.28	149.12	224.97	329.84	265.87	325.29
MATR3	1388.16	2384.37	2287.2	2502.97	2739.08	2520.38	1781.89	2319.15	3665.02	2935.74	3325.99	2664.15	2976.74	2758.13	3280.18	2351.53	3349.13	2796.65	3235.01	2468.49	2434.5	1457.23	1467.37	607.87	703.28	2209.26	2997.45	2609.3	3103.19	3303.0	2720.15	1467.37	3768.09	5791.62	1806.78	2367.9	2384.37	3491.39	3564.78	3768.09	5711.87	2855.44	5594.3	2271.4	3467.27	1733.13	1051.79	4181.07	3982.99	4869.99	1806.78	1397.83	1529.73	1572.76	3847.29	2148.82	1950.0	2119.22	2018.8	1709.26	2148.82	1350.18	1242.34	1540.37	514.56	1359.57	1417.35	1583.71	954.43	1388.16	1733.13	967.76	1104.13	1286.18	1437.15	1508.65	1467.37	1407.55	1233.75	1127.35	1806.78	896.64	1519.15	1008.9	1350.18	941.27	1167.14	1322.37	1819.35	2400.97	2573.36	1417.35	1127.35	1745.2	1259.69	1896.65	2701.35	1832.01	1870.53	2956.17	3325.99	3768.09	2178.83
MCOLN3	4.94	10.55	26.1	37.85	15.56	19.53	3.29	336.79	915.51	656.11	1487.87	346.29	633.73	61.68	1119.56	125.24	444.72	182.55	65.26	329.84	180.02	242.88	98.04	2.89	106.63	143.01	128.79	69.52	127.0	94.01	98.73	161.02	236.21	379.04	171.45	8.78	187.71	127.89	65.72	379.04	35.0	104.42	55.49	147.06	346.29	403.5	144.01	255.0	115.16	101.54	5.02	24.63	62.12	70.51	74.06	4.9	25.35	30.34	1.91	0.89	2.03	0.0	2.2	6.84	2.39	4.03	5.45	4.5	2.23	4.78	37.59	0.56	2.56	5.41	26.1	5.11	19.68	4.13	13.52	0.97	3.82	33.54	18.29	20.71	1.89	0.13	10.96	8.78	0.26	116.78	5.19	20.41	50.98	53.19	34.26	53.57	94.67	37.05	178.77	237.86	63.45	71.5	137.14
MDFIC	123.5	84.04	81.71	119.26	215.77	59.55	33.06	409.15	348.71	269.6	228.13	379.04	346.29	198.47	281.09	420.68	595.34	246.28	629.35	947.83	368.65	229.72	212.78	206.94	603.67	595.34	961.07	309.83	376.41	195.72	406.31	208.38	620.67	1023.0	356.05	660.68	414.87	269.6	1001.93	872.1	759.08	387.02	361.04	327.56	511.0	379.04	197.09	563.18	470.14	532.74	110.43	69.52	125.24	187.71	511.0	150.17	249.73	199.85	466.88	138.1	154.42	146.03	64.34	108.9	48.18	153.34	141.02	128.79	112.77	169.07	232.94	197.09	84.63	218.79	226.54	231.32	92.7	56.68	44.57	96.68	112.77	76.17	80.01	143.01	129.69	181.28	27.44	202.66	186.4	102.25	178.77	116.78	81.71	163.28	28.86	88.26	529.06	171.45	237.86	159.9	476.71	318.57	267.73
MEF2A	279.14	281.09	248.0	285.03	521.76	231.32	201.25	620.67	830.75	759.08	848.22	660.68	688.78	1111.82	728.11	733.19	718.08	808.0	842.36	713.11	915.51	483.38	693.58	389.72	693.58	813.63	1030.12	902.89	866.07	921.88	1111.82	738.29	1388.16	1135.2	629.35	934.76	909.17	995.0	1259.69	780.44	1167.14	497.0	543.96	941.27	1127.35	244.57	450.94	1151.06	743.43	915.51	232.94	209.84	195.72	208.38	1331.57	301.33	256.78	283.05	346.29	221.86	406.31	191.67	253.23	279.14	110.43	283.05	228.13	223.41	150.17	218.79	299.25	269.6	211.31	305.55	249.73	262.2	463.65	423.61	237.86	327.56	583.07	348.71	400.71	148.09	295.11	158.79	103.69	336.79	343.89	327.56	571.05	293.07	218.79	493.56	256.78	353.59	633.73	435.55	503.95	454.09	480.04	595.34	379.04
MFAP3	131.51	223.41	221.86	214.27	205.5	209.84	187.71	193.01	412.0	291.04	239.52	144.01	218.79	273.37	420.68	409.15	189.02	346.29	571.05	371.22	341.51	332.14	356.05	122.64	155.5	226.54	327.56	397.93	277.2	366.09	373.81	226.54	426.57	353.59	255.0	361.04	373.81	339.14	616.37	271.48	738.29	289.02	629.35	246.28	293.07	161.02	351.14	563.18	332.14	384.34	157.68	90.14	201.25	209.84	384.34	165.57	165.57	178.77	163.28	157.68	260.38	112.77	100.83	146.03	110.43	175.07	147.06	98.73	102.97	128.79	198.47	224.97	124.37	161.02	193.01	153.34	103.69	100.83	190.34	105.89	117.6	120.94	112.77	104.42	146.03	66.18	123.5	129.69	137.14	147.06	226.54	201.25	205.5	341.51	136.19	199.85	303.44	220.32	260.38	234.57	309.83	379.04	187.71
MOB1B	72.01	123.5	93.35	115.16	145.02	105.15	54.33	202.66	186.4	149.12	265.87	312.0	169.07	206.94	170.25	215.77	232.94	157.68	2018.8	878.17	1417.35	457.25	1286.18	733.19	1583.71	1977.24	921.88	3395.89	1844.76	1331.57	1001.93	1529.73	1685.71	796.86	2351.53	1286.18	1151.06	2047.0	2224.63	1143.1	1286.18	785.88	780.44	1015.93	1757.34	206.94	791.35	1378.57	769.69	698.41	166.73	154.42	116.78	117.6	3190.46	111.21	163.28	211.31	142.01	51.71	134.3	41.22	46.84	57.49	17.25	63.89	76.71	52.82	23.76	65.26	76.71	125.24	39.5	131.51	154.42	52.82	78.89	46.18	105.15	36.01	63.89	41.22	43.63	35.76	55.1	47.17	144.01	76.17	80.01	113.56	88.26	70.51	45.21	100.13	53.57	96.01	206.94	93.35	142.01	187.71	165.57	208.38	151.22
MOG	0.0	2.94	0.0	6.36	0.6	0.58	0.0	2.12	9.2	0.67	4.58	21.32	19.39	4.21	4.21	0.73	12.45	0.69	224.97	624.99	150.17	0.48	490.14	5.11	33.54	5.77	0.8	1304.15	152.28	463.65	237.86	339.14	1119.56	3.2	92.7	6.21	450.94	473.41	66.18	0.0	0.0	0.0	9.7	1066.48	11.47	647.07	120.94	175.07	0.0	0.0	0.0	0.0	0.0	0.45	67.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	1.62	0.59	0.0	0.45	0.0	0.27	0.28	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.54	4.74	2.63	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MT-CO3	1318073.06	2171106.91	2581895.97	2945333.38	2493947.08	2326934.84	2068278.89	2068278.89	2442622.37	2186208.16	2493947.08	2216726.5	2564061.5	2279047.19	2392353.91	2805836.45	2068278.89	2528761.3	1048575.0	3007221.12	2156109.97	3754006.24	2476720.12	2476720.12	2294899.22	2359417.65	1656835.72	1970321.01	2636147.11	2924988.47	1318073.06	2476720.12	1204496.53	2247670.86	1788103.97	1838374.44	1929772.37	1238359.56	1916442.45	3091765.64	1514068.5	2845004.48	3478417.29	3601083.44	2011721.67	2476720.12	3336720.86	2672946.37	3007221.12	2392353.91	2126426.15	3313672.43	2729110.67	3383299.76	1063212.58	2141216.62	2442622.37	4165330.83	3049200.37	2216726.5	3223059.86	1851161.35	1567462.05	1318073.06	1535204.12	1943195.01	1622738.51	1800541.22	1970321.01	1751305.3	1825675.85	1482909.4	1611529.43	1634025.56	1668359.93	1679964.3	2126426.15	1600397.78	1943195.01	1715263.94	1800541.22	1943195.01	1412675.8	1634025.56	1462493.73	1318073.06	1800541.22	1997825.68	1703415.74	2201414.44	2546350.23	2786455.11	1838374.44	2216726.5	2786455.11	2279047.19	3028138.0	3806410.22	2805836.45	3178687.03	3049200.37	2294899.22	2767207.65
MYO5A	16.88	29.91	35.0	42.41	63.45	18.16	30.12	116.78	283.05	172.65	145.02	96.68	120.94	164.42	178.77	105.89	138.1	161.02	483.38	251.48	426.57	403.5	151.22	334.46	242.88	128.79	547.75	392.44	563.18	500.46	525.39	277.2	500.46	256.78	279.14	239.52	376.41	432.53	400.71	94.01	246.28	53.19	154.42	194.36	343.89	83.45	152.28	269.6	115.97	147.06	79.45	60.82	127.89	135.24	915.51	74.06	88.88	73.03	82.29	56.68	120.94	16.88	10.08	32.36	15.0	34.02	33.3	31.0	14.03	11.64	34.26	14.35	25.54	10.96	25.35	11.73	32.82	17.64	19.97	13.32	20.26	47.5	47.17	40.07	20.86	19.97	14.67	16.15	29.91	77.79	65.26	92.05	36.79	43.02	35.5	55.89	139.07	40.36	72.52	297.17	178.77	158.79	153.34
NARG2	312.0	277.2	279.14	287.01	381.68	336.79	158.79	521.76	571.05	540.19	497.0	463.65	620.67	389.72	432.53	363.56	536.45	373.81	392.44	470.14	409.15	318.57	473.41	334.46	312.0	389.72	620.67	397.93	432.53	579.04	450.94	316.37	693.58	878.17	423.61	463.65	403.5	414.87	660.68	612.11	435.55	486.75	753.83	486.75	878.17	480.04	295.11	503.95	607.87	529.06	262.2	260.38	163.28	197.09	583.07	397.93	316.37	273.37	279.14	166.73	301.33	163.28	220.32	255.0	73.54	249.73	218.79	490.14	265.87	490.14	165.57	307.69	336.79	231.32	334.46	414.87	346.29	361.04	215.77	244.57	285.03	379.04	285.03	217.27	387.02	139.07	71.5	325.29	332.14	417.77	420.68	334.46	194.36	521.76	435.55	441.64	417.77	403.5	497.0	457.25	406.31	417.77	291.04
NDNL2	269.6	231.32	193.01	206.94	368.65	161.02	142.01	339.14	269.6	332.14	327.56	255.0	334.46	217.27	329.84	379.04	316.37	241.19	450.94	381.68	514.56	463.65	780.44	529.06	325.29	493.56	447.82	633.73	642.59	412.0	476.71	463.65	473.41	743.43	612.11	417.77	438.59	463.65	536.45	363.56	429.54	318.57	379.04	480.04	514.56	444.72	703.28	476.71	371.22	447.82	289.02	417.77	397.93	423.61	463.65	389.72	514.56	397.93	283.05	226.54	444.72	223.41	267.73	226.54	212.78	262.2	329.84	260.38	208.38	279.14	194.36	303.44	242.88	271.48	281.09	346.29	312.0	144.01	318.57	224.97	181.28	224.97	229.72	265.87	341.51	172.65	115.97	275.28	329.84	301.33	260.38	334.46	241.19	400.71	260.38	323.03	389.72	435.55	329.84	371.22	395.18	543.96	256.78
NEK1	50.63	51.71	58.71	81.71	77.79	50.63	37.32	111.21	248.0	173.85	171.45	132.44	119.26	126.12	236.21	120.94	206.94	130.6	147.06	128.79	102.97	135.24	63.89	117.6	62.56	72.52	136.19	88.88	98.04	151.22	127.89	67.59	173.85	264.03	74.06	91.41	125.24	145.02	102.97	158.79	204.07	122.64	133.36	75.64	178.77	48.52	48.87	195.72	143.01	153.34	82.87	42.11	76.71	78.89	82.87	116.78	107.38	106.63	50.63	29.91	66.65	59.13	32.59	59.13	19.53	42.71	36.53	71.0	49.21	39.79	59.55	24.46	60.39	73.03	49.56	75.64	56.68	54.72	82.87	44.89	76.71	56.28	37.05	36.27	37.32	42.11	11.82	72.01	67.12	65.72	97.36	52.45	52.82	113.56	76.71	106.63	87.65	162.14	82.29	124.37	66.18	156.59	82.87
NFAT5	48.87	69.52	122.64	97.36	129.69	98.04	39.22	118.43	208.38	194.36	164.42	122.64	137.14	166.73	154.42	123.5	182.55	157.68	575.03	271.48	303.44	514.56	253.23	80.57	97.36	295.11	371.22	417.77	253.23	277.2	341.51	128.79	432.53	688.78	197.09	295.11	237.86	444.72	277.2	244.57	361.04	97.36	129.69	293.07	802.41	14.67	131.51	669.92	314.17	221.86	88.26	47.5	98.04	40.93	785.88	72.01	47.84	120.1	109.66	25.17	85.22	24.81	37.32	48.87	12.09	50.98	23.25	15.11	8.25	42.41	28.86	30.34	29.27	15.0	28.86	58.71	58.3	57.49	29.7	12.36	44.89	53.57	48.87	5.96	50.63	9.41	6.84	34.26	36.53	236.21	307.69	186.4	68.55	194.36	41.22	127.89	148.09	63.0	152.28	81.14	107.38	189.02	78.34
NPTN	728.11	2303.12	1447.15	2004.85	3060.45	2047.0	1909.85	3303.0	2573.36	2163.77	1991.0	3742.05	2895.31	1923.14	1844.76	2485.67	2573.36	1757.34	9808.75	9409.14	5995.9	4419.52	4010.71	3820.7	5791.62	6745.86	6471.02	5913.33	5831.91	8191.0	7642.41	5076.84	9673.69	8538.88	5112.16	7485.11	8191.0	7230.1	9606.86	3168.41	5255.91	2739.08	3124.78	4450.27	8598.28	5292.48	8778.97	7280.4	3395.89	3639.7	1963.57	1208.34	2032.85	2061.24	8363.13	1467.37	1757.34	1844.76	1909.85	1081.39	1467.37	890.44	753.83	921.88	785.88	1001.93	759.08	902.89	423.61	493.56	1467.37	1259.69	567.1	759.08	1023.0	595.34	688.78	638.15	836.53	547.75	665.29	647.07	830.75	638.15	435.55	583.07	417.77	521.76	1001.93	1030.12	1819.35	2502.97	2255.7	2956.17	2004.85	2682.69	2956.17	2400.97	1685.71	1561.89	2193.99	1662.49	896.64
ODAM	0.0	2.29	0.0	27.64	23.25	4.46	2.41	30.78	0.0	0.0	10.47	0.0	0.0	9.27	0.0	0.0	3.76	13.72	848.22	56.68	551.56	27.84	204.07	220.32	339.14	748.61	514.56	19.39	301.33	457.25	432.53	551.56	511.0	1143.1	299.25	1023.0	169.07	981.29	1757.34	185.11	220.32	457.25	60.82	587.13	217.27	10.71	66.65	1111.82	19.53	27.44	0.0	0.0	0.0	0.0	228.13	0.0	0.0	0.0	162.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.82	0.0	0.0	43.94	0.0	154.42	14.14	0.0	0.0	0.0	0.0	21.01	0.0	0.0	18.43	21.16	0.0	0.0	0.0	63.0	0.0	14.89	43.63	37.59	97.36	54.33	638.15	307.69	198.47	45.21	314.17	244.57	11.04	0.0	18.7	204.07
PABPC4L	1.58	0.53	1.89	2.73	3.59	0.19	0.49	38.12	37.59	28.45	23.93	29.48	100.83	10.79	17.51	35.25	36.79	12.64	129.69	95.34	99.43	156.59	88.26	39.79	59.13	59.97	117.6	114.36	77.25	141.02	112.77	67.59	111.21	45.21	96.01	93.35	111.21	97.36	86.43	6.36	33.54	18.29	7.57	110.43	217.27	15.56	28.24	46.5	21.01	22.1	4.06	3.0	1.16	3.59	100.13	13.42	8.92	8.58	2.73	6.78	14.89	1.55	0.59	0.58	0.0	2.23	1.2	0.39	0.54	0.0	3.11	0.44	0.44	1.04	1.75	0.0	1.89	0.45	0.48	1.04	1.13	0.44	0.0	0.47	1.03	0.0	0.42	1.23	1.07	6.94	15.56	3.17	1.5	6.36	1.04	3.2	18.84	17.0	5.68	20.56	34.51	16.88	18.43
PCDH17	2.43	7.46	8.13	13.42	12.36	5.77	1.87	48.18	65.26	72.01	88.88	52.82	143.01	32.13	95.34	47.17	74.06	118.43	86.43	18.43	63.45	35.25	9.34	22.92	19.11	18.84	58.3	303.44	76.71	31.9	141.02	18.29	73.54	50.27	12.64	65.26	22.92	25.54	669.92	19.25	1225.22	25.91	486.75	74.06	80.57	7.75	5.06	53.19	59.55	108.14	2.51	3.06	0.8	6.36	31.9	0.83	19.82	5.82	35.0	45.53	201.25	13.32	2.05	3.59	1.23	11.04	10.55	11.38	3.63	3.23	7.94	11.04	4.54	4.54	23.42	12.83	4.94	6.67	2.68	1.87	15.22	11.04	1.23	1.22	2.51	3.63	2.48	2.07	3.96	42.11	141.02	145.02	26.28	81.14	14.03	42.41	69.03	41.22	22.43	131.51	215.77	134.3	84.63
PCYOX1L	20.41	117.6	255.0	155.5	126.12	149.12	77.25	201.25	199.85	289.02	295.11	177.53	297.17	140.04	253.23	189.02	239.52	159.9	217.27	176.29	154.42	64.34	267.73	60.39	105.15	366.09	51.71	47.5	123.5	190.34	122.64	144.01	152.28	141.02	180.02	232.94	147.06	232.94	426.57	157.68	134.3	183.82	55.89	150.17	74.06	21.01	206.94	318.57	126.12	108.9	99.43	103.69	61.25	127.89	126.12	189.02	53.57	98.73	18.56	74.58	96.01	13.93	17.0	19.11	12.27	12.83	28.24	54.33	13.22	29.48	102.25	15.11	15.22	22.43	97.36	63.45	51.71	30.78	33.3	34.26	30.12	30.12	26.47	24.11	61.68	2.76	7.0	13.72	16.88	140.04	201.25	97.36	111.99	147.06	148.09	113.56	176.29	147.06	130.6	99.43	134.3	92.7	104.42
PDCL	72.52	220.32	175.07	171.45	157.68	185.11	182.55	161.02	197.09	251.48	194.36	175.07	181.28	142.01	187.71	279.14	202.66	170.25	759.08	363.56	329.84	279.14	348.71	170.25	191.67	503.95	417.77	327.56	287.01	395.18	356.05	316.37	318.57	438.59	303.44	529.06	387.02	373.81	693.58	206.94	376.41	186.4	127.0	267.73	503.95	107.38	358.54	450.94	246.28	307.69	92.05	106.63	138.1	123.5	332.14	132.44	154.42	123.5	135.24	76.71	205.5	85.22	76.71	86.43	49.21	81.71	94.01	109.66	59.13	68.07	180.02	105.89	51.35	102.25	97.36	106.63	80.57	57.08	76.17	57.49	67.59	60.82	83.45	53.95	56.68	32.13	43.32	85.82	86.43	285.03	189.02	293.07	143.01	221.86	107.38	197.09	231.32	209.84	234.57	127.89	221.86	185.11	167.9
PDE1C	0.79	42.41	52.45	59.13	72.52	29.7	23.93	353.59	332.14	202.66	318.57	281.09	483.38	229.72	151.22	244.57	346.29	153.34	555.41	647.07	409.15	27.64	156.59	22.75	638.15	575.03	651.58	187.71	172.65	713.11	373.81	480.04	507.46	1104.13	379.04	38.95	400.71	507.46	693.58	50.98	616.37	153.34	258.57	450.94	318.57	6.26	305.55	470.14	164.42	127.89	0.45	2.58	2.78	10.08	703.28	0.0	5.5	0.53	7.82	9.56	62.56	0.83	0.83	1.45	0.0	0.83	1.53	12.09	4.35	0.09	2.81	6.26	0.0	3.56	20.56	0.11	2.66	6.01	2.53	1.51	39.5	4.43	0.13	0.47	4.35	0.0	3.86	0.19	3.69	37.32	34.02	56.68	41.81	92.05	45.85	118.43	389.72	102.25	91.41	112.77	71.5	51.71	39.79
PDZD2	5.45	23.59	25.91	28.65	30.34	19.39	11.13	176.29	336.79	212.78	253.23	176.29	379.04	90.77	121.79	148.09	209.84	256.78	503.95	156.59	293.07	10.63	73.54	60.39	123.5	497.0	182.55	336.79	353.59	279.14	373.81	169.07	329.84	295.11	248.0	463.65	111.21	199.85	490.14	1001.93	229.72	204.07	44.89	236.21	83.45	28.86	226.54	759.08	267.73	199.85	29.91	13.12	18.56	11.38	429.54	7.69	45.21	32.59	21.63	18.16	89.51	8.78	8.38	5.06	2.07	21.94	8.78	10.39	2.03	13.72	8.25	8.38	3.66	1.53	23.76	8.45	17.77	1.91	3.69	4.28	4.1	16.27	2.71	5.36	0.06	1.69	8.78	3.06	3.14	36.79	59.13	34.51	49.91	63.45	84.63	107.38	190.34	80.57	57.49	35.76	125.24	54.72	37.32
PHF6	67.12	178.77	201.25	172.65	112.77	153.34	97.36	162.14	170.25	158.79	148.09	159.9	147.06	150.17	177.53	167.9	211.31	130.6	269.6	244.57	220.32	224.97	145.02	143.01	154.42	224.97	376.41	239.52	214.27	351.14	209.84	162.14	267.73	518.15	209.84	202.66	256.78	229.72	285.03	271.48	309.83	187.71	242.88	169.07	406.31	159.9	100.83	248.0	206.94	241.19	94.01	68.55	105.89	88.88	251.48	100.13	127.0	101.54	131.51	82.29	142.01	70.51	54.33	82.87	36.27	84.04	90.77	76.17	59.55	82.29	77.79	109.66	58.3	106.63	111.21	88.88	102.97	76.17	118.43	54.72	87.03	50.63	63.89	45.53	65.72	35.0	17.51	76.71	95.34	144.01	171.45	157.68	59.13	113.56	112.77	135.24	159.9	136.19	144.01	170.25	170.25	234.57	194.36
PIK3CA	84.63	85.82	92.05	102.97	164.42	78.34	74.06	139.07	287.01	293.07	204.07	190.34	191.67	98.04	189.02	217.27	187.71	381.68	316.37	217.27	129.69	95.34	64.34	44.89	102.97	133.36	148.09	327.56	248.0	139.07	241.19	76.17	327.56	325.29	92.7	151.22	119.26	189.02	307.69	231.32	356.05	116.78	318.57	119.26	187.71	35.25	59.55	275.28	285.03	346.29	158.79	58.71	113.56	68.55	507.46	96.01	100.13	111.21	140.04	82.29	82.29	77.25	66.18	102.97	32.13	85.22	86.43	102.97	32.13	58.71	166.73	75.11	66.18	78.89	92.05	76.17	88.88	100.83	93.35	75.11	70.51	72.01	69.03	76.17	51.35	102.25	29.06	79.45	66.65	142.01	128.79	85.22	57.49	94.01	66.18	108.14	173.85	135.24	110.43	86.43	205.5	217.27	96.01
