	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
GRIK1	0.85	1.39	1.31	0.6	1.77	0.78	0.32	0.44	1.33	1.64	0.88	0.44	0.45	7.51	0.0	3.47	0.31	4.86	1.0	0.28	0.0	0.56	0.27	0.99	16.27	0.59	52.45	27.64	1.95	0.0	0.0	15.45	82.29	0.0	0.37	25.17	0.0	0.3	13.32	0.32	0.0	0.3	0.0	85.22	0.0	1.0	0.31	1.22	0.99	0.3	20.11	0.3	0.28	0.0	27.05	22.92	17.13	2.03	13.22	16.27	0.59	0.27	4.13	24.81	165.57	93.35	0.72	8.06	12.0	27.84	77.25	39.22	37.85	40.93	0.36	62.56	3.5	22.59	17.38	44.25	9.78	107.38	21.47	33.54	23.59	57.08	24.28	18.16	11.38	44.57	25.72	51.71	26.86	23.76	40.64	20.56	46.18	277.2	24.99	52.45	68.07	26.86	23.59	100.13	16.88	9.63	15.91	15.91	18.03	9.85	20.26	3.2	45.21	33.06	303.44	9.06	63.0	39.5	35.0	19.53	59.55	0.55	21.32	108.14	4.58	47.17	28.24	41.81	40.07	11.13	31.9	8.25	22.75	4.28	21.63	51.35	2.81	40.64	45.53	18.97	8.19	10.39	26.86	37.59	4.28	16.51	1.97	51.71	7.82	46.5	2.63	1.6	0.33	6.06	7.4	0.0	0.0	1.27	3.72	2.51	2.86	14.45	8.99	3.03	4.5	55.1	0.92	16.88	2.39	1.73	0.21	2.94	0.0	7.63	3.56
GRP	0.0	0.0	0.0	158.79	0.0	3.11	55.89	1.77	0.0	4.46	0.0	0.0	0.0	1662.49	507.46	239.52	120.94	108.14	134.3	71.5	202.66	27.44	76.71	260.38	223.41	332.14	836.53	733.19	61.25	339.14	14.45	0.0	146.03	30.56	583.07	669.92	104.42	6.78	336.79	981.29	13.52	118.43	85.22	88.26	647.07	81.71	172.65	150.17	98.04	107.38	624.99	285.03	144.01	42.41	1674.06	366.09	836.53	111.21	150.17	348.71	206.94	33.06	44.25	3.26	189.02	51.71	0.0	1378.57	113.56	111.21	52.45	234.57	85.22	167.9	0.0	518.15	74.58	1127.35	127.0	110.43	54.33	139.07	400.71	74.58	738.29	417.77	595.34	529.06	231.32	379.04	165.57	241.19	74.58	1477.58	84.63	139.07	368.65	802.41	616.37	124.37	38.4	287.01	463.65	642.59	307.69	1233.75	224.97	53.19	339.14	77.79	607.87	22.43	195.72	669.92	53.19	69.52	1350.18	703.28	384.34	115.97	66.65	341.51	89.51	99.43	126.12	7433.4	218.79	255.0	94.67	13.03	0.0	38.95	265.87	567.1	599.49	409.15	195.72	258.57	607.87	248.0	0.0	66.18	27.25	1331.57	1551.09	0.0	75.11	15.34	366.09	1487.87	1.04	0.0	1.75	53.19	20.41	0.0	0.05	35.0	22.26	16.15	43.02	351.14	854.13	281.09	75.11	368.65	0.0	86.43	6.01	0.0	0.0	27.25	26.86	21.47	16.03
HCAR1	5.11	6.26	3.11	0.0	2.2	4.35	164.42	1.79	1.81	15.91	2.2	1.35	0.91	265.87	10.0	389.72	277.2	381.68	199.85	152.28	204.07	384.34	162.14	86.43	612.11	532.74	796.86	316.37	309.83	194.36	866.07	264.03	450.94	180.02	376.41	507.46	94.67	16.15	178.77	551.56	31.0	587.13	647.07	180.02	68.55	135.24	166.73	674.59	239.52	134.3	511.0	70.01	83.45	28.65	429.54	104.42	743.43	50.27	81.71	493.56	409.15	75.11	253.23	295.11	267.73	470.14	173.85	234.57	412.0	444.72	441.64	493.56	371.22	389.72	148.09	884.29	221.86	432.53	318.57	275.28	130.6	297.17	536.45	318.57	612.11	403.5	514.56	674.59	583.07	400.71	361.04	351.14	277.2	872.1	743.43	323.03	277.2	2119.22	647.07	444.72	379.04	866.07	525.39	698.41	612.11	332.14	363.56	187.71	651.58	186.4	463.65	414.87	1487.87	447.82	1572.76	559.28	191.67	3982.99	825.0	281.09	96.01	366.09	854.13	603.67	70.51	1119.56	647.07	6426.31	555.41	93.35	830.75	264.03	97.36	540.19	854.13	1697.45	231.32	836.53	3146.52	94.01	297.17	218.79	234.57	1135.2	813.63	543.96	665.29	718.08	595.34	293.07	2.43	0.0	0.0	0.79	0.77	0.0	0.1	18.03	2.32	1.57	6.89	2.23	0.97	0.34	0.0	1.55	3.96	2.48	16.51	12.74	8.71	2.97	3.0	0.58	31.0
IFNLR1	5.28	6.57	7.57	5.02	6.36	8.13	2.78	0.44	1.33	23.08	4.74	0.44	0.44	75.11	32.59	53.57	28.24	42.71	39.79	49.91	26.1	40.93	77.25	43.63	140.04	21.32	122.64	41.52	61.25	45.85	52.82	121.79	92.05	131.51	52.82	117.6	12.27	9.85	39.79	46.5	46.18	52.82	43.94	46.84	12.93	21.94	65.26	55.49	43.94	152.28	112.77	47.17	135.24	45.53	74.06	55.1	108.9	31.22	57.49	66.65	90.14	30.56	38.12	47.17	8.78	122.64	9.63	70.01	80.01	55.49	161.02	126.12	81.14	77.79	1.25	122.64	72.52	106.63	82.29	69.52	75.64	108.14	206.94	121.79	124.37	100.83	133.36	111.21	98.04	150.17	129.69	66.65	48.87	115.97	94.67	149.12	108.9	115.16	127.89	88.88	127.0	143.01	119.26	178.77	115.97	93.35	92.05	82.87	131.51	53.95	85.22	68.55	118.43	114.36	121.79	101.54	51.35	92.05	100.83	51.35	48.52	157.68	94.01	120.1	55.49	74.58	84.04	90.77	92.05	73.54	100.13	90.14	50.63	73.03	108.9	76.17	52.82	106.63	101.54	79.45	68.55	65.72	67.59	87.65	109.66	91.41	81.14	129.69	74.58	83.45	3.23	11.21	28.65	23.93	5.82	0.0	0.04	44.57	72.52	87.65	5.06	17.25	13.03	11.38	8.78	9.56	3.41	2.94	17.77	14.78	76.17	21.94	9.41	78.89	5.28
IL17RD	102.97	148.09	165.57	186.4	115.97	47.17	718.08	283.05	178.77	206.94	253.23	195.72	262.2	269.6	25.72	167.9	38.4	161.02	76.17	198.47	130.6	16.39	13.72	105.89	128.79	55.49	215.77	177.53	123.5	132.44	77.25	92.05	318.57	246.28	67.12	444.72	193.01	169.07	102.97	114.36	190.34	75.64	118.43	60.82	53.95	175.07	119.26	109.66	63.0	444.72	878.17	199.85	182.55	82.87	395.18	205.5	379.04	206.94	201.25	309.83	73.54	237.86	384.34	47.5	61.25	555.41	91.41	318.57	287.01	165.57	728.11	579.04	199.85	277.2	57.89	1008.9	253.23	384.34	371.22	277.2	130.6	277.2	665.29	351.14	551.56	414.87	775.05	612.11	480.04	409.15	400.71	514.56	406.31	921.88	547.75	327.56	307.69	497.0	476.71	249.73	287.01	547.75	454.09	400.71	476.71	450.94	353.59	291.04	435.55	307.69	363.56	157.68	521.76	775.05	559.28	470.14	414.87	909.17	429.54	336.79	348.71	334.46	191.67	860.08	217.27	785.88	603.67	420.68	358.54	267.73	312.0	503.95	289.02	703.28	514.56	358.54	175.07	493.56	1051.79	275.28	376.41	237.86	205.5	616.37	698.41	289.02	248.0	587.13	476.71	480.04	518.15	132.44	31.45	11.64	206.94	0.0	0.1	13.32	27.84	43.94	351.14	275.28	170.25	78.89	177.53	202.66	579.04	444.72	293.07	454.09	373.81	441.64	571.05	343.89	166.73
IL20RA	18.29	135.24	76.71	28.86	46.84	64.34	85.82	54.33	24.81	130.6	21.32	31.22	27.44	703.28	246.28	202.66	90.77	1037.29	307.69	59.13	144.01	269.6	19.97	42.71	743.43	575.03	1844.76	334.46	67.59	414.87	356.05	361.04	698.41	283.05	551.56	738.29	38.67	55.1	256.78	796.86	39.22	470.14	429.54	1407.55	189.02	18.97	679.29	206.94	226.54	151.22	1233.75	29.7	17.51	35.0	819.3	412.0	988.12	87.65	291.04	583.07	769.69	82.29	1397.83	1313.23	463.65	684.02	44.89	674.59	743.43	540.19	988.12	921.88	660.68	521.76	37.59	497.0	909.17	775.05	563.18	603.67	246.28	460.44	1059.11	753.83	1059.11	954.43	660.68	759.08	463.65	679.29	575.03	503.95	371.22	934.76	638.15	743.43	684.02	1909.85	1081.39	423.61	620.67	1037.29	543.96	713.11	1001.93	1427.22	665.29	389.72	1037.29	656.11	1540.37	255.0	1950.0	1628.26	1617.0	450.94	244.57	1870.53	1044.52	406.31	366.09	376.41	1008.9	693.58	830.75	1225.22	1519.15	819.3	698.41	348.71	1628.26	547.75	713.11	1199.98	1233.75	1806.78	775.05	830.75	1733.13	679.29	1427.22	708.18	521.76	2485.67	1322.37	2240.11	281.09	1540.37	429.54	909.17	68.07	41.52	66.65	31.45	161.02	0.0	0.0	171.45	32.82	52.82	112.77	218.79	102.97	26.67	57.49	116.78	346.29	100.13	193.01	190.34	100.13	249.73	137.14	36.53	39.5
IRF6	63.89	190.34	90.14	127.0	76.71	44.89	1.91	6.21	12.0	620.67	18.29	14.56	28.65	1350.18	620.67	1340.84	563.18	1963.57	1015.93	703.28	1199.98	318.57	406.31	1233.75	1662.49	1378.57	1685.71	1208.34	1199.98	928.3	915.51	703.28	2956.17	1745.2	1467.37	2591.27	1233.75	463.65	872.1	1015.93	543.96	1143.1	733.19	2664.15	2271.4	785.88	921.88	2255.7	363.56	3168.41	1697.45	1991.0	961.07	780.44	1909.85	1037.29	1709.26	693.58	470.14	2935.74	1159.07	567.1	2645.74	693.58	1208.34	1909.85	36.01	1561.89	1259.69	866.07	1806.78	1605.83	1059.11	1225.22	71.5	2133.97	1806.78	1870.53	1369.04	1359.57	476.71	1757.34	2351.53	1277.29	2271.4	1870.53	1923.14	1487.87	1369.04	2351.53	1617.0	1295.13	941.27	2104.58	2004.85	2451.44	1605.83	2178.83	1870.53	1313.23	1709.26	2104.58	2133.97	2240.11	1605.83	2627.46	1819.35	1685.71	3395.89	1697.45	1378.57	854.13	1369.04	1594.73	1870.53	1295.13	796.86	1437.15	1857.6	934.76	624.99	2193.99	1088.92	1745.2	1111.82	1674.06	1331.57	1023.0	1883.54	909.17	1111.82	1216.75	669.92	1519.15	995.0	1225.22	1167.14	1551.09	1417.35	1135.2	1628.26	1096.5	836.53	1923.14	1721.16	1001.93	1051.79	1819.35	1096.5	1397.83	22.26	84.04	14.45	14.56	35.25	0.0	0.42	131.51	41.22	41.52	53.57	41.22	35.5	25.91	44.57	96.01	49.91	7.0	104.42	100.13	92.05	78.34	90.14	291.04	46.18
IRX1	2.07	0.0	0.66	0.0	0.29	7.69	0.0	0.0	0.88	0.0	2.16	0.0	0.88	1059.11	7.69	177.53	38.67	134.3	40.64	305.55	3.14	31.22	116.78	81.71	559.28	12.0	854.13	314.17	54.33	28.86	9.06	4.17	195.72	5.11	46.5	1001.93	3901.01	8.06	480.04	12.74	1167.14	66.18	1.11	60.39	53.19	6.36	14.45	7.17	32.82	3.26	718.08	447.82	587.13	6.01	1832.01	612.11	273.37	638.15	2133.97	279.14	50.98	2119.22	18.43	5.63	27.05	607.87	40.93	1721.16	1059.11	251.48	1388.16	1199.98	450.94	432.53	90.77	1151.06	665.29	796.86	571.05	808.0	825.0	529.06	1498.22	432.53	620.67	1001.93	748.61	693.58	555.41	1977.24	551.56	543.96	153.34	909.17	785.88	305.55	808.0	902.89	1096.5	540.19	775.05	1651.0	769.69	579.04	1259.69	409.15	444.72	543.96	518.15	97.36	780.44	397.93	713.11	1216.75	2319.15	842.36	518.15	954.43	603.67	256.78	118.43	1037.29	928.3	2319.15	1268.46	1225.22	3212.66	1073.91	563.18	708.18	312.0	660.68	74.06	866.07	884.29	1572.76	423.61	1427.22	1551.09	1127.35	154.42	599.49	460.44	1407.55	3540.14	409.15	748.61	981.29	420.68	1259.69	0.78	0.6	6.84	0.01	0.0	0.0	0.13	9.93	4.06	0.0	2.84	9.48	1.62	0.0	0.0	15.56	0.0	0.0	0.43	1.93	0.0	1.46	2.12	0.0	9.85
IRX3	121.79	31.0	77.79	43.63	9.63	125.24	22.75	10.24	12.55	55.1	58.3	31.22	5.41	3146.52	1697.45	4388.98	4358.66	3081.75	1498.22	1111.82	1628.26	1529.73	1447.15	1561.89	2935.74	1832.01	4095.0	1551.09	2895.31	1088.92	1417.35	5076.84	2777.33	1143.1	3060.45	3395.89	1467.37	1844.76	1781.89	2148.82	1628.26	775.05	1519.15	4802.93	1572.76	1199.98	3325.99	2609.3	3467.27	3349.13	5441.3	1709.26	1923.14	2485.67	4972.34	2163.77	2384.37	3589.58	2796.65	2209.26	1015.93	1572.76	775.05	1322.37	3039.3	2682.69	178.77	2163.77	1950.0	1583.71	1721.16	2119.22	2335.28	1781.89	112.77	2720.15	1819.35	2591.27	1407.55	1896.65	934.76	1208.34	2287.2	1457.23	3467.27	2287.2	1963.57	1477.58	2075.59	3303.0	2935.74	2271.4	1427.22	3847.29	2895.31	1991.0	2148.82	2739.08	2935.74	2240.11	1617.0	2796.65	2739.08	3419.52	2255.7	4704.07	1551.09	1208.34	2835.7	2004.85	2997.45	967.76	3060.45	2224.63	2255.7	1819.35	2367.9	3018.3	2255.7	1051.79	854.13	2451.44	1857.6	2032.85	2240.11	3515.68	2193.99	2303.12	1208.34	1806.78	2271.4	988.12	1008.9	2224.63	1896.65	3665.02	1030.12	1857.6	2271.4	2645.74	1991.0	1572.76	1447.15	2758.13	2609.3	2335.28	808.0	2468.49	1135.2	1819.35	42.11	4.43	0.04	17.0	41.52	0.0	0.03	1151.06	82.29	170.25	16.03	18.16	14.45	6.52	12.36	20.86	139.07	53.19	101.54	132.44	10.88	157.68	87.03	70.51	647.07
IRX5	11.91	7.22	3.86	12.18	2.34	7.0	0.65	3.11	4.43	10.55	2.63	1.79	3.56	1286.18	1216.75	1407.55	3419.52	1417.35	693.58	271.48	476.71	684.02	1286.18	567.1	1304.15	1963.57	1216.75	547.75	1127.35	500.46	521.76	1397.83	928.3	1519.15	1191.69	947.83	264.03	620.67	1159.07	878.17	178.77	346.29	769.69	1936.53	674.59	493.56	1508.65	1378.57	1127.35	567.1	1397.83	314.17	674.59	921.88	1605.83	607.87	753.83	1088.92	808.0	860.08	3060.45	483.38	236.21	616.37	1397.83	693.58	43.02	733.19	713.11	329.84	620.67	669.92	435.55	514.56	63.89	981.29	559.28	1037.29	371.22	500.46	307.69	417.77	836.53	713.11	785.88	915.51	703.28	764.36	647.07	1175.27	878.17	567.1	275.28	1331.57	651.58	547.75	698.41	1015.93	890.44	599.49	591.22	1313.23	791.35	1044.52	854.13	1277.29	441.64	253.23	547.75	389.72	878.17	371.22	1143.1	791.35	738.29	432.53	1066.48	1015.93	791.35	389.72	273.37	536.45	457.25	656.11	708.18	1127.35	802.41	890.44	457.25	417.77	583.07	301.33	438.59	854.13	674.59	981.29	312.0	764.36	616.37	612.11	620.67	392.44	426.57	1023.0	785.88	532.74	305.55	808.0	368.65	638.15	3.72	0.0	0.0	4.06	2.84	0.0	0.0	60.39	10.55	6.16	3.11	15.34	3.03	0.0	1.99	5.32	8.51	3.06	9.85	8.92	0.0	2.2	14.45	22.59	29.06
ITGA2	32.82	44.57	26.1	29.48	23.08	35.76	80.57	17.64	39.22	82.29	17.0	27.64	16.39	239.52	124.37	277.2	158.79	139.07	87.03	182.55	232.94	53.19	66.18	130.6	201.25	98.04	212.78	248.0	97.36	363.56	279.14	155.5	483.38	73.03	607.87	587.13	220.32	119.26	108.9	108.14	24.99	205.5	363.56	106.63	176.29	277.2	249.73	441.64	103.69	733.19	466.88	281.09	50.98	38.12	371.22	141.02	409.15	113.56	1242.34	273.37	199.85	77.25	69.52	181.28	194.36	514.56	31.9	231.32	231.32	211.31	500.46	473.41	228.13	262.2	21.63	616.37	373.81	309.83	255.0	387.02	84.63	348.71	507.46	329.84	435.55	587.13	836.53	563.18	521.76	503.95	339.14	490.14	529.06	748.61	785.88	426.57	204.07	543.96	620.67	297.17	432.53	507.46	400.71	486.75	518.15	540.19	325.29	332.14	612.11	403.5	275.28	221.86	543.96	638.15	808.0	389.72	325.29	595.34	988.12	253.23	90.14	1066.48	166.73	674.59	232.94	603.67	376.41	309.83	780.44	202.66	341.51	429.54	253.23	591.22	358.54	435.55	180.02	759.08	334.46	205.5	591.22	185.11	130.6	813.63	543.96	211.31	384.34	616.37	420.68	583.07	41.22	19.97	170.25	17.25	40.07	139.07	108.9	301.33	1295.13	301.33	30.56	191.67	33.3	27.25	46.84	90.77	39.5	37.05	48.52	22.92	32.36	138.1	15.11	78.34	98.73
ITPR2	74.58	61.25	100.13	45.85	9.13	47.5	69.52	62.56	50.63	100.13	75.64	49.56	72.52	106.63	58.71	532.74	77.25	684.02	212.78	241.19	269.6	82.87	33.06	162.14	299.25	97.36	165.57	148.09	444.72	339.14	307.69	43.02	642.59	211.31	1605.83	555.41	260.38	52.45	151.22	271.48	59.97	228.13	3639.7	60.39	323.03	262.2	147.06	1250.98	111.21	177.53	299.25	830.75	63.0	65.26	271.48	88.26	368.65	149.12	373.81	387.02	183.82	283.05	366.09	177.53	129.69	480.04	115.97	195.72	381.68	265.87	624.99	679.29	301.33	429.54	124.37	759.08	228.13	497.0	285.03	426.57	98.73	339.14	612.11	368.65	420.68	947.83	836.53	633.73	629.35	334.46	392.44	551.56	743.43	967.76	1030.12	703.28	156.59	514.56	791.35	457.25	518.15	500.46	420.68	426.57	967.76	473.41	361.04	429.54	470.14	457.25	348.71	473.41	616.37	1151.06	1457.23	1096.5	301.33	2555.58	1015.93	224.97	320.8	403.5	236.21	1088.92	134.3	1427.22	753.83	287.01	808.0	152.28	642.59	764.36	293.07	1175.27	420.68	293.07	318.57	995.0	854.13	61.25	420.68	291.04	102.97	878.17	1159.07	190.34	684.02	1340.84	303.44	1135.2	74.58	76.17	141.02	26.67	34.26	0.0	0.41	111.21	83.45	66.18	86.43	31.9	80.57	60.82	134.3	43.63	96.01	43.63	87.03	51.71	19.39	96.01	59.55	69.52	50.98
KCNJ13	1.81	0.0	1.66	0.0	0.0	0.0	0.0	0.45	0.0	0.42	0.0	0.0	1.33	3.79	0.92	3.66	0.0	3.06	0.72	0.0	2.89	2.68	19.97	16.75	0.33	0.33	2.18	1.03	1.04	5.5	4.62	2.58	3.99	4.74	2.36	7.75	0.64	0.68	1.93	4.5	0.95	0.35	2.56	1.23	0.68	2.81	1.69	0.0	0.71	0.35	16.88	1.35	0.0	3.29	3.76	3.69	3.26	1.43	1.17	6.62	1.57	0.61	1.57	0.32	0.67	1.89	0.0	6.52	7.75	4.13	5.63	15.0	4.06	8.13	0.0	11.13	0.73	5.92	0.79	4.5	2.53	2.16	15.56	2.97	6.94	7.75	5.41	8.45	6.26	3.79	4.9	9.2	10.39	27.84	1.85	3.92	3.38	9.93	4.5	4.66	0.0	9.48	4.98	14.03	5.23	5.82	4.98	1.85	10.31	2.92	6.26	1.11	23.76	6.78	12.36	5.02	12.0	12.09	8.92	2.34	11.13	11.82	4.5	9.93	4.7	24.28	6.62	2.66	16.63	0.14	1.43	2.81	13.72	8.13	2.76	13.32	8.19	7.17	4.54	0.0	4.86	5.92	0.77	18.56	20.56	4.03	1.16	11.13	0.8	4.98	0.0	0.0	5.73	0.0	0.0	0.0	0.0	0.85	0.0	0.53	6.16	1.64	0.0	4.43	1.57	6.73	0.0	0.0	0.0	0.0	0.0	1.95	0.0	7.4	0.88
