	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
PPFIA2	13.22	22.43	17.25	26.47	31.22	22.1	74.06	14.78	19.25	6.78	7.06	39.79	19.82	21.78	43.94	2.29	1.99	2.71	4.86	2.97	2.18	3.32	11.47	17.13	1.57	16.63	6.16	5.68	4.43	4.24	1.87	5.63	3.66	3.53	4.39	7.4	7.75	9.34	2.23	3.08	8.65	3.08	10.55	2.16	5.32	2.48	5.54	8.19	1.5	5.32	2.32	4.43	14.35	3.86	38.12	2.25	1.53	22.26	2.56	0.08	4.24	7.57	77.79	14.67	1.57	7.51	0.91	2.39	4.31	2.86	2.07	1.14	3.17	1.41	4.06	12.83	1.43	1.48	2.68	7.63	1.3	1.58	2.1	10.96	2.16	8.92	112.77	54.33	20.26	87.03	14.03
PPP2R3A	199.85	178.77	173.85	157.68	199.85	197.09	104.42	157.68	73.54	18.84	187.71	314.17	201.25	223.41	264.03	8.71	13.52	17.38	12.83	3.35	6.62	15.22	3.23	10.79	7.51	30.12	1.14	5.19	2.18	4.21	22.26	17.9	17.38	12.09	13.93	9.78	26.86	9.85	10.55	5.06	22.1	6.52	9.13	13.72	22.43	6.57	17.13	16.88	8.25	11.38	7.94	3.23	71.5	20.56	31.0	5.23	10.08	39.79	8.92	28.04	7.82	14.45	113.56	63.89	5.28	17.25	9.13	13.22	3.14	32.13	7.63	36.01	10.24	10.0	0.77	15.45	7.28	18.16	11.55	5.82	11.82	3.0	3.96	10.88	31.45	18.7	170.25	146.03	167.9	88.88	111.21
PRDM11	139.07	108.9	145.02	97.36	152.28	173.85	109.66	151.22	172.65	30.12	99.43	124.37	138.1	130.6	155.5	19.11	21.32	15.8	15.68	7.11	28.45	23.59	24.99	12.36	32.59	57.08	31.22	24.11	18.16	10.24	15.68	31.9	29.7	45.85	30.78	23.93	60.39	19.25	36.53	7.94	55.89	14.35	37.32	24.46	38.4	17.25	23.42	47.17	25.54	34.26	25.17	32.36	71.0	52.82	70.01	19.68	27.05	49.21	24.11	43.32	29.91	26.28	212.78	24.28	31.0	17.13	38.67	38.67	56.28	92.05	70.51	88.26	47.84	10.55	21.94	42.11	22.75	28.45	43.02	52.82	75.11	26.67	13.03	25.72	18.03	59.13	232.94	291.04	403.5	253.23	275.28
PRELP	1540.37	813.63	2271.4	1519.15	1529.73	1844.76	483.38	2287.2	1167.14	62.56	785.88	642.59	902.89	1806.78	1561.89	150.17	87.03	157.68	127.89	0.93	9.13	108.14	58.3	139.07	8.32	1175.27	2.32	120.94	19.82	72.01	1.85	135.24	106.63	100.13	198.47	223.41	791.35	583.07	123.5	13.32	583.07	15.56	43.94	180.02	327.56	92.7	166.73	181.28	162.14	137.14	314.17	44.89	748.61	890.44	11035.54	8.19	866.07	1745.2	131.51	13.22	420.68	189.02	14361.31	43.63	120.1	11.91	441.64	414.87	44.57	764.36	656.11	185.11	256.78	51.35	33.78	7485.11	476.71	79.45	1127.35	90.14	1583.71	45.53	215.77	78.89	212.78	334.46	9088.59	2935.74	2303.12	1508.65	2875.3
PRICKLE1	201.25	173.85	143.01	198.47	185.11	249.73	38.12	293.07	130.6	7.22	137.14	157.68	123.5	141.02	85.22	11.47	4.46	20.11	17.77	0.0	1.81	5.68	11.21	9.13	0.52	117.6	1.2	5.11	3.35	3.92	1.53	20.71	13.32	9.85	7.4	15.56	67.59	25.35	14.78	0.77	112.77	3.76	15.68	38.12	47.84	5.15	17.13	27.05	7.69	18.84	8.51	2.63	305.55	69.52	87.65	22.92	45.53	144.01	35.0	8.51	12.09	35.5	131.51	28.45	1.33	4.46	17.25	20.26	0.33	65.26	32.13	16.15	15.8	3.79	6.21	52.45	9.78	8.45	70.51	14.67	145.02	4.5	2.53	29.7	10.55	141.02	1008.9	358.54	138.1	305.55	169.07
PRKAR2B	2895.31	2537.92	4419.52	2739.08	1991.0	2591.27	8134.41	2573.36	80.01	53.95	540.19	703.28	483.38	698.41	497.0	32.59	18.56	12.0	7.51	0.52	1.45	4.13	6.41	11.13	2.81	57.08	0.53	6.94	2.23	3.29	0.52	6.36	4.78	7.46	7.88	12.09	64.8	18.16	7.88	3.82	40.36	1.43	13.22	43.02	58.71	16.03	27.64	37.85	33.06	63.89	68.55	16.88	182.55	53.95	94.67	20.26	42.41	265.87	23.08	15.0	114.36	111.99	819.3	33.54	12.93	13.03	41.52	7.94	21.63	46.5	28.65	29.27	61.68	21.78	29.48	133.36	68.55	33.54	149.12	33.54	24.81	4.28	43.94	85.82	10.24	67.12	309.83	420.68	395.18	603.67	493.56
PRKX	164.42	198.47	241.19	198.47	223.41	241.19	341.51	713.11	231.32	54.72	77.25	140.04	122.64	67.59	149.12	51.71	16.75	44.89	25.72	8.13	18.56	17.9	36.79	87.65	16.03	99.43	5.36	49.56	16.88	11.3	4.06	43.63	35.25	58.3	26.1	30.78	98.73	85.82	47.17	5.77	94.01	5.23	52.45	32.59	63.45	12.83	36.27	57.49	39.5	41.52	53.95	36.53	215.77	329.84	334.46	8.85	103.69	144.01	24.99	15.68	12.55	20.11	403.5	18.84	9.85	37.05	108.9	127.0	9.63	148.09	58.3	90.77	50.27	46.18	7.88	112.77	42.11	2.51	86.43	30.12	167.9	6.21	33.3	37.59	48.87	56.28	124.37	117.6	106.63	155.5	353.59
PRSS22	214.27	540.19	108.14	138.1	242.88	204.07	6.94	156.59	1242.34	17.38	6.57	0.0	0.0	0.0	0.0	13.83	0.0	3.66	19.53	0.0	0.0	1.87	0.0	3.47	1.62	220.32	4.58	0.0	0.0	5.82	1.91	2.73	0.0	0.0	4.78	10.16	211.31	16.51	2.27	0.0	71.5	3.08	8.13	23.93	17.51	13.12	37.32	22.26	27.25	38.67	19.68	18.03	226.54	1081.39	341.51	9.06	224.97	890.44	10.47	8.0	2.63	6.21	4736.79	14.67	16.63	42.71	384.34	24.63	18.56	303.44	258.57	23.42	19.11	21.47	10.79	110.43	206.94	4.28	1175.27	68.55	96.01	3.0	3.41	4.66	93.35	309.83	26.47	158.79	178.77	143.01	172.65
PTPN13	273.37	212.78	303.44	269.6	307.69	226.54	2240.11	218.79	91.41	24.46	88.26	199.85	141.02	103.69	117.6	8.25	3.72	5.28	5.54	0.55	1.07	2.05	1.99	4.62	0.59	47.84	0.57	7.4	44.25	1.83	1.28	14.03	8.0	9.27	3.5	7.63	36.27	16.51	2.81	2.12	37.32	2.32	6.36	15.68	19.11	9.34	17.9	23.59	10.71	14.45	14.67	1.57	119.26	73.03	94.67	7.28	66.65	177.53	3.92	2.41	26.28	18.43	860.08	2.43	10.24	3.66	13.72	12.18	11.47	50.63	31.0	15.8	45.85	5.45	2.86	75.11	36.01	7.34	108.14	24.28	40.36	2.58	8.58	4.31	9.27	82.29	921.88	403.5	141.02	186.4	212.78
QSOX1	1977.24	2090.03	1519.15	1662.49	1467.37	2133.97	591.22	2468.49	3325.99	995.0	2163.77	2319.15	2609.3	2178.83	2701.35	633.73	325.29	500.46	503.95	58.3	185.11	361.04	316.37	1023.0	381.68	3168.41	483.38	607.87	209.84	460.44	118.43	769.69	320.8	463.65	595.34	1111.82	2573.36	796.86	299.25	84.04	1457.23	169.07	808.0	1051.79	1233.75	872.1	748.61	1350.18	1216.75	1066.48	1977.24	139.07	5913.33	13968.57	8479.89	406.31	19618.49	16843.62	358.54	665.29	2004.85	813.63	26067.14	242.88	540.19	1806.78	4010.71	1437.15	1769.57	4481.23	3039.3	947.83	2777.33	830.75	1594.73	7382.04	1697.45	693.58	14065.74	1540.37	2384.37	429.54	1508.65	842.36	825.0	1151.06	4066.71	8134.41	4937.99	4239.45	2739.08
RAB25	1477.58	1781.89	1111.82	1175.27	1508.65	1242.34	58.71	1127.35	1397.83	55.89	629.35	454.09	242.88	228.13	159.9	8.65	0.0	11.82	8.45	1.43	0.0	2.27	0.0	1.69	0.0	234.57	2.14	1.57	3.2	19.97	51.35	2.66	0.0	10.79	18.56	31.45	182.55	4.5	5.19	1.03	190.34	14.67	5.82	47.17	30.34	18.97	56.28	135.24	48.87	23.76	115.97	41.81	878.17	2255.7	275.28	4.31	9808.75	21768.19	2.29	36.79	10.08	17.25	11424.74	23.93	41.22	10.55	1806.78	193.01	1.68	9088.59	361.04	37.05	34.51	63.45	27.84	156.59	31.22	0.0	7803.01	46.18	320.8	6.67	5.36	43.02	287.01	246.28	902.89	796.86	1628.26	2287.2	1950.0
RAB34	1467.37	1529.73	1250.98	1159.07	1467.37	1397.83	444.72	1233.75	1936.53	145.02	1508.65	1369.04	1467.37	1551.09	1594.73	325.29	137.14	260.38	273.37	43.63	71.5	98.73	91.41	208.38	70.51	679.29	35.25	248.0	88.88	170.25	41.52	228.13	121.79	480.04	228.13	343.89	563.18	397.93	183.82	76.71	376.41	258.57	211.31	149.12	246.28	63.0	134.3	242.88	162.14	226.54	193.01	26.67	1151.06	1378.57	2104.58	187.71	579.04	2976.74	83.45	249.73	158.79	208.38	3928.15	147.06	131.51	83.45	325.29	206.94	173.85	417.77	376.41	237.86	366.09	110.43	176.29	819.3	84.63	52.45	1295.13	125.24	825.0	16.88	53.19	127.89	122.64	305.55	1923.14	3443.31	2384.37	2956.17	1583.71
RAB3IL1	500.46	409.15	312.0	361.04	414.87	674.59	115.16	253.23	320.8	149.12	444.72	441.64	450.94	301.33	473.41	117.6	58.3	88.88	111.99	30.12	40.36	104.42	85.22	199.85	31.0	264.03	6.67	109.66	26.47	68.07	6.16	139.07	49.56	94.01	127.0	74.06	269.6	197.09	180.02	53.57	187.71	12.83	215.77	255.0	229.72	63.0	100.13	255.0	161.02	249.73	190.34	187.71	1388.16	392.44	441.64	279.14	173.85	540.19	51.35	466.88	95.34	332.14	1733.13	334.46	242.88	277.2	1259.69	167.9	33.06	169.07	87.03	205.5	135.24	93.35	221.86	303.44	108.9	147.06	332.14	154.42	674.59	129.69	47.17	409.15	356.05	289.02	540.19	612.11	633.73	583.07	441.64
RAI2	665.29	529.06	665.29	947.83	954.43	791.35	1304.15	1540.37	450.94	49.56	490.14	426.57	612.11	563.18	684.02	72.52	113.56	80.01	58.71	2.73	13.93	36.27	20.41	120.94	40.93	248.0	8.25	47.5	28.65	35.76	13.83	87.65	47.17	41.52	49.21	63.0	220.32	187.71	38.67	6.62	170.25	28.45	45.85	56.28	95.34	29.7	84.63	83.45	48.87	49.91	71.0	24.28	295.11	368.65	403.5	16.03	172.65	389.72	37.85	24.81	110.43	60.39	2047.0	38.4	57.49	16.51	85.22	69.52	22.26	199.85	166.73	57.89	82.29	50.63	38.12	325.29	113.56	32.13	363.56	43.32	232.94	5.28	37.05	66.65	49.91	149.12	2664.15	2335.28	1250.98	1044.52	1143.1
RAP1GAP2	94.01	158.79	137.14	177.53	209.84	123.5	30.78	297.17	202.66	27.64	255.0	189.02	205.5	140.04	167.9	39.5	12.74	72.01	26.28	1.1	5.68	9.41	72.52	63.45	3.76	81.71	4.5	52.45	5.59	6.36	1.6	10.31	55.1	21.16	11.55	15.68	75.11	27.64	18.16	2.36	53.19	3.47	48.87	18.7	30.34	11.64	14.35	33.3	10.88	22.26	34.51	4.35	84.63	37.85	183.82	59.13	43.63	67.59	11.13	17.64	34.75	14.56	536.45	18.97	16.03	9.13	16.39	54.72	9.27	29.7	29.91	95.34	23.93	8.51	9.06	60.82	3.03	0.16	54.33	84.63	24.81	3.53	11.47	22.43	27.05	47.5	78.34	86.43	314.17	208.38	309.83
RASGEF1A	80.01	113.56	144.01	61.68	149.12	161.02	1.38	120.94	50.63	3.96	68.55	66.18	62.12	62.56	26.47	4.66	1.99	4.94	3.79	0.69	2.66	3.29	2.71	5.15	4.03	15.68	0.0	1.99	2.16	2.51	0.0	4.94	3.63	18.84	2.14	5.87	15.22	11.91	0.79	1.01	7.82	0.0	6.46	4.86	6.06	2.34	1.39	8.58	13.32	5.5	9.27	1.46	35.25	2.39	8.85	1.45	20.11	20.86	2.05	0.0	7.94	23.59	221.86	1.81	0.0	5.82	5.68	1.81	0.88	3.86	27.84	2.27	82.29	5.73	0.0	1.55	0.39	24.81	19.82	34.51	53.19	0.0	0.0	4.39	0.83	18.29	31.22	25.54	33.3	92.7	30.78
RASSF9	135.24	66.65	34.51	175.07	143.01	100.13	21.16	36.27	49.21	12.83	84.04	70.01	44.89	29.48	53.19	6.62	1.58	8.99	7.17	0.0	1.36	1.01	6.46	8.51	0.0	54.72	2.51	1.93	4.35	1.28	4.35	2.68	9.34	4.17	2.48	8.99	36.53	11.3	1.38	1.93	34.75	2.89	2.66	29.7	28.24	3.63	16.15	16.39	11.38	11.38	9.34	15.34	137.14	30.56	95.34	20.86	20.11	106.63	0.89	5.68	23.08	17.38	379.04	39.22	25.54	6.94	14.78	20.26	8.0	54.33	12.64	5.5	8.92	2.25	41.22	37.32	4.35	5.41	114.36	6.11	74.06	3.11	0.42	53.57	4.31	97.36	2997.45	414.87	31.0	214.27	153.34
RAVER2	202.66	197.09	193.01	189.02	226.54	155.5	77.25	190.34	99.43	31.22	417.77	460.44	447.82	473.41	346.29	27.25	25.91	38.4	24.63	5.19	7.57	13.42	19.11	45.85	10.31	68.07	2.76	26.1	34.75	13.03	2.32	34.26	19.39	16.51	11.47	12.09	41.81	38.95	17.0	3.14	57.08	4.9	28.65	19.97	31.22	5.41	19.97	20.41	42.11	17.9	31.9	8.85	132.44	18.97	36.27	13.52	10.96	76.17	42.71	366.09	8.0	29.7	289.02	7.22	7.06	11.04	7.75	38.67	8.58	19.97	23.42	94.01	17.13	8.32	13.22	44.25	7.57	6.36	63.0	28.04	36.27	4.03	1.97	39.5	12.83	69.03	490.14	120.94	314.17	775.05	642.59
RBP1	759.08	1857.6	599.49	543.96	785.88	819.3	59.13	896.64	6607.01	2119.22	607.87	1388.16	2855.44	2209.26	1088.92	371.22	1151.06	1991.0	808.0	12.93	16.63	135.24	262.2	285.03	37.05	3303.0	214.27	480.04	1111.82	785.88	2163.77	679.29	71.0	218.79	125.24	1397.83	3303.0	718.08	50.27	275.28	2004.85	164.42	4836.35	1977.24	2417.67	1540.37	1583.71	2720.15	2224.63	1508.65	3190.46	339.14	21026.65	2240.11	3874.05	1081.39	9740.98	23330.64	1175.27	1794.29	1685.71	2816.11	26986.43	493.56	1639.59	67.12	5041.77	1639.59	981.29	6516.03	3589.58	1268.46	3168.41	447.82	2240.11	2555.58	3716.2	836.53	10154.69	1427.22	6745.86	1268.46	2271.4	3614.55	954.43	4869.99	17558.94	2209.26	854.13	3349.13	2303.12
RNF150	279.14	217.27	353.59	273.37	197.09	253.23	262.2	289.02	35.76	6.36	229.72	201.25	183.82	249.73	206.94	6.94	3.63	7.51	4.17	0.0	0.59	1.08	1.48	2.61	0.0	23.42	0.53	2.41	0.58	1.75	1.23	6.84	3.56	1.62	3.41	4.39	20.56	9.2	4.78	0.8	18.03	0.59	2.81	12.36	18.43	3.89	7.82	11.38	5.32	12.18	7.11	0.58	21.94	7.75	154.42	1.3	7.94	102.97	9.85	3.66	25.54	12.64	148.09	2.58	2.29	0.82	10.79	5.68	3.96	8.65	16.88	23.08	6.67	3.82	1.33	85.82	8.99	3.41	16.51	6.67	45.85	2.84	1.55	6.01	16.51	24.63	166.73	33.06	356.05	341.51	271.48
RORB	2.43	1.41	6.21	4.98	15.0	3.56	4.28	7.88	7.57	0.61	5.73	12.27	7.34	8.0	8.25	2.2	0.0	0.87	0.47	0.0	0.0	2.23	0.0	0.83	0.0	3.47	0.0	1.13	0.0	1.57	0.0	0.0	0.0	0.97	1.23	0.44	4.31	1.73	0.0	0.0	3.99	0.0	0.55	1.13	0.59	0.0	0.0	2.78	0.57	0.0	0.62	0.0	2.16	4.82	7.57	0.0	2.2	6.57	0.0	0.0	1.08	0.96	33.06	0.45	0.42	0.0	0.42	1.33	0.47	1.51	1.5	0.35	0.0	0.0	0.0	3.53	1.55	0.0	0.36	1.01	0.44	0.0	0.0	0.44	1.0	2.94	34.51	11.73	23.59	17.64	8.99
SAA1	209994.66	161367.56	148488.36	156954.93	151608.43	204252.32	2068278.89	145432.49	4937.99	1290947.48	38.4	63.89	30.12	53.19	9.56	978355.0	520665.48	535303.41	711250.37	3982.99	87681.42	2343119.96	1715263.94	606436.73	5791.62	4010.71	2163.77	721179.07	16383.0	558035.51	4481.23	1668359.93	706337.4	585779.24	343510.77	431797.89	365622.68	561916.97	912837.43	1135.2	11664.82	9215.48	2845004.48	4194303.0	2126426.15	520665.48	1221310.69	789181.81	2011721.67	3336720.86	3178687.03	606436.73	783730.52	506427.83	52497.92	706337.4	1085552.95	1529.73	531605.79	900270.11	998912.34	1012856.65	106462.55	1070607.81	1775752.63	875652.15	1255646.43	811368.76	1204496.53	485798.0	573724.06	672883.8	2097151.0	1055868.42	517068.97	144427.91	1535204.12	839981.65	358098.26	1229805.58	305326.92	1364554.84	789181.81	1327240.99	1116072.03	181548.07	92.05	223.41	921.88	14.89	165.57
SAMD11	47.17	46.5	5.32	37.05	71.0	51.71	0.39	12.55	140.04	43.63	105.89	115.97	170.25	186.4	148.09	34.26	41.22	13.03	40.07	17.13	1.36	101.54	6.73	29.27	1.71	309.83	1.2	17.9	1.35	11.55	0.77	46.84	1.38	11.47	57.08	88.88	232.94	38.95	0.0	0.72	120.94	7.34	15.68	73.03	56.68	50.98	55.1	109.66	58.71	62.12	69.03	18.84	460.44	186.4	1674.06	63.45	389.72	928.3	11.64	53.19	62.12	75.64	2997.45	17.25	119.26	5.59	231.32	163.28	84.63	384.34	163.28	90.14	19.97	49.91	35.0	1119.56	94.67	9.7	231.32	27.64	813.63	18.56	3.79	51.35	212.78	154.42	356.05	178.77	624.99	1250.98	336.79
SCRN1	435.55	620.67	441.64	500.46	656.11	551.56	139.07	842.36	358.54	30.12	532.74	567.1	493.56	612.11	460.44	38.95	15.68	69.03	37.32	9.63	16.15	16.88	24.99	27.84	5.92	150.17	10.0	25.54	19.39	18.7	9.13	24.28	73.54	30.56	51.71	38.4	217.27	63.0	25.54	15.34	130.6	6.36	35.25	46.18	53.19	15.0	29.7	54.33	19.97	43.02	31.0	5.77	429.54	285.03	406.31	11.64	54.72	239.52	20.71	31.22	55.49	27.25	947.83	30.34	9.41	1.48	42.41	45.85	20.71	84.63	65.72	69.03	45.21	21.94	15.68	150.17	24.11	45.21	536.45	31.22	202.66	3.92	4.13	22.75	12.45	128.79	1159.07	1001.93	860.08	470.14	486.75
SGCA	19.25	40.93	16.63	32.59	43.63	32.59	29.7	42.71	409.15	42.11	902.89	825.0	1540.37	775.05	1151.06	96.68	36.01	53.57	53.57	0.0	5.59	40.07	16.63	48.87	5.06	551.56	1.99	128.79	2.71	14.35	2.76	63.0	15.22	47.17	22.26	116.78	264.03	206.94	10.71	2.84	154.42	13.32	44.89	34.02	72.52	15.45	92.7	158.79	72.01	82.29	115.16	13.42	130.6	366.09	1561.89	54.72	54.33	1051.79	37.32	130.6	5.06	60.39	2739.08	9.56	56.28	19.97	118.43	75.11	6.26	125.24	209.84	75.64	119.26	16.88	24.28	366.09	133.36	59.97	343.89	14.45	332.14	8.58	63.45	41.81	44.25	159.9	575.03	723.08	2133.97	3018.3	764.36
SLC22A17	728.11	486.75	514.56	532.74	642.59	395.18	40.36	356.05	363.56	68.07	769.69	1059.11	974.5	813.63	723.08	62.56	29.48	50.98	60.82	9.48	13.22	16.51	38.4	39.79	11.3	231.32	3.66	52.82	172.65	23.25	5.68	127.89	20.86	20.56	41.22	52.08	139.07	88.26	22.59	5.15	89.51	29.06	74.06	59.13	98.73	34.26	64.34	71.5	67.59	49.56	74.58	12.55	336.79	182.55	536.45	173.85	116.78	612.11	31.22	18.84	71.0	66.18	2104.58	6.16	44.25	1.81	90.14	157.68	61.25	81.71	122.64	127.89	29.27	111.99	8.78	366.09	38.67	11.04	103.69	8.58	409.15	31.67	8.65	140.04	493.56	159.9	802.41	363.56	1519.15	1447.15	1950.0
SLC24A3	323.03	232.94	389.72	414.87	297.17	343.89	551.56	412.0	264.03	4.74	301.33	312.0	293.07	403.5	253.23	11.13	1.87	12.36	5.82	0.0	1.62	4.46	1.66	8.78	1.89	63.0	0.0	10.16	1.14	2.34	0.62	1.97	9.63	6.11	4.1	15.56	40.07	19.97	1.64	1.27	33.78	1.14	16.39	8.32	13.42	3.5	8.51	12.09	8.13	10.16	12.45	0.66	76.71	138.1	88.26	1.93	50.98	92.7	5.02	5.77	25.54	13.42	395.18	3.86	5.15	0.59	9.63	10.08	7.06	29.7	22.1	13.32	16.39	1.81	1.39	47.84	11.38	4.94	7.06	2.92	59.97	0.0	3.56	10.31	5.32	23.25	1208.34	232.94	106.63	872.1	366.09
SLC35F2	100.83	99.43	87.03	90.77	108.14	108.14	29.7	133.36	507.46	12.18	158.79	228.13	204.07	197.09	283.05	26.1	3.29	13.22	13.12	1.99	1.53	3.89	5.41	7.75	1.01	35.5	3.11	7.17	8.19	4.94	0.57	9.56	13.93	14.24	12.27	7.0	32.36	19.53	13.93	3.08	18.97	2.36	8.45	6.57	9.27	2.63	7.28	9.06	7.4	9.78	28.04	1.36	29.48	22.26	55.49	5.92	13.42	72.52	7.4	8.38	3.63	12.83	143.01	10.71	9.63	6.67	13.03	48.18	3.2	20.56	51.71	4.17	6.16	2.36	1.39	33.06	4.78	4.1	127.0	12.64	38.95	0.95	1.43	3.56	33.78	25.72	454.09	325.29	97.36	100.83	126.12
SRPX	2645.74	1378.57	2682.69	2303.12	1991.0	3515.68	3349.13	2400.97	343.89	209.84	928.3	1259.69	1447.15	1233.75	1225.22	37.05	92.7	80.57	84.04	19.68	4.62	54.33	46.5	66.65	5.82	902.89	3.17	63.89	19.39	159.9	1.14	159.9	46.5	45.53	62.56	128.79	775.05	113.56	16.88	29.27	234.57	17.51	64.34	218.79	316.37	138.1	171.45	224.97	244.57	214.27	429.54	88.88	2468.49	1857.6	1477.58	72.01	392.44	4903.87	69.52	75.64	1051.79	414.87	5555.65	82.87	81.71	24.46	371.22	175.07	334.46	490.14	406.31	214.27	450.94	172.65	441.64	2018.8	82.87	61.25	2468.49	158.79	934.76	49.91	44.89	260.38	205.5	723.08	2573.36	2816.11	1540.37	1277.29	2796.65
SRRM3	84.04	65.26	57.08	57.49	92.7	66.65	5.41	47.84	100.13	0.88	34.02	106.63	86.43	52.45	77.79	9.2	1.55	10.71	10.31	1.16	1.85	4.5	4.82	11.91	2.58	54.33	2.03	5.87	2.29	5.28	0.0	7.57	6.21	1.5	9.41	8.99	32.59	20.56	1.89	1.46	16.63	1.83	6.31	2.63	3.29	1.83	3.06	8.71	1.99	3.86	4.7	0.19	17.64	123.5	80.01	0.0	26.1	53.95	0.96	10.08	7.17	2.61	339.14	0.0	0.99	0.0	16.75	25.72	0.36	13.12	23.08	0.6	49.21	0.74	0.95	71.5	1.2	2.34	16.39	0.0	65.72	2.46	4.1	0.27	19.11	11.73	71.0	84.63	45.21	447.82	642.59
SSC5D	603.67	94.01	189.02	314.17	226.54	336.79	31.45	139.07	211.31	19.68	764.36	703.28	1167.14	1051.79	921.88	32.59	6.78	38.4	34.26	1.17	0.99	6.16	4.74	23.76	1.28	255.0	0.87	19.39	3.76	7.94	0.49	26.67	9.41	19.39	13.22	35.76	229.72	61.68	5.92	2.61	81.71	2.2	6.21	36.27	38.4	13.83	36.27	37.32	28.45	50.27	24.46	7.0	373.81	299.25	353.59	17.13	73.03	674.59	15.68	5.59	34.51	34.51	1175.27	8.65	10.31	2.76	18.16	78.34	5.41	74.06	38.4	25.35	59.13	4.17	17.0	204.07	21.63	20.71	39.5	18.43	753.83	3.72	18.29	14.45	9.63	183.82	1167.14	1295.13	1088.92	1540.37	583.07
