	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.E8.A2JQ.11A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
KIT	0.0	0.45	57.89	376.41	96.01	180.02	77.79	166.73	41.81	17.64	105.89	66.18	48.52	36.79	24.81	19.25	132.44	400.71	62.56	66.65	39.5	34.02	42.71	12.0	232.94	37.05	21.94	80.57	45.85	92.05	43.94	265.87	61.68	112.77	211.31	18.56	17.38	60.82	127.0	85.22	27.64	202.66	81.71	80.57	387.02	120.94	115.16	23.08	583.07	1605.83	1350.18	2367.9	2119.22	2956.17	1651.0	1721.16	551.56	1119.56	1950.0	3325.99	3212.66	119.26	2104.58	412.0	2255.7	507.46	684.02	500.46	1427.22	669.92	967.76	480.04	693.58	2591.27	2047.0	191.67	1844.76	256.78	3039.3	343.89	1286.18	1757.34	2032.85	1295.13	3325.99	3395.89	3564.78	1519.15	669.92	1304.15	559.28	836.53	1437.15	490.14	441.64	1498.22	813.63	403.5	249.73	1936.53	713.11	2384.37	941.27	603.67	909.17	384.34	947.83	1151.06	974.5	748.61	373.81	45.53	3081.75	1477.58	3395.89
KLHL10	0.0	0.01	2.48	1.97	6.46	1.51	8.32	6.36	6.36	3.14	1.2	2.73	2.63	7.0	8.65	3.72	3.89	6.67	3.69	4.86	0.47	1.6	3.69	2.94	4.31	2.51	2.07	2.05	5.45	1.51	2.92	6.31	8.32	3.96	2.29	2.36	5.02	1.81	2.29	3.47	1.11	1.53	7.17	7.22	1.6	3.41	4.7	3.08	12.0	8.58	18.29	9.41	7.57	14.03	7.22	7.22	7.94	5.87	8.38	14.35	3.17	7.75	29.06	8.92	10.55	7.94	8.92	9.13	12.55	7.51	10.0	7.28	22.59	17.13	3.63	14.89	6.62	0.46	15.34	5.59	9.85	16.88	13.72	3.41	21.63	2.41	3.41	30.56	4.66	16.03	4.9	11.82	3.99	13.42	12.55	8.65	22.26	6.57	4.98	50.27	7.11	11.38	2.48	11.47	2.97	10.31	4.9	6.01	16.75	10.39	12.0	12.0	15.22	15.91	13.22
LATS2	0.0	0.39	221.86	343.89	170.25	253.23	152.28	182.55	154.42	186.4	307.69	209.84	236.21	186.4	161.02	198.47	277.2	231.32	221.86	229.72	120.1	217.27	211.31	152.28	241.19	281.09	162.14	156.59	144.01	218.79	353.59	208.38	169.07	214.27	241.19	110.43	155.5	189.02	426.57	185.11	220.32	271.48	271.48	201.25	368.65	223.41	190.34	84.63	267.73	305.55	500.46	503.95	409.15	470.14	497.0	318.57	426.57	395.18	703.28	547.75	417.77	450.94	258.57	500.46	366.09	457.25	371.22	241.19	320.8	420.68	460.44	381.68	363.56	343.89	281.09	218.79	379.04	251.48	353.59	327.56	403.5	376.41	381.68	507.46	358.54	490.14	521.76	395.18	258.57	277.2	320.8	624.99	260.38	529.06	363.56	258.57	312.0	435.55	447.82	429.54	571.05	358.54	295.11	366.09	384.34	595.34	563.18	532.74	486.75	229.72	361.04	201.25	325.29	753.83	384.34
LAYN	0.0	0.6	166.73	182.55	102.25	113.56	72.52	94.67	157.68	115.16	92.05	69.03	177.53	142.01	104.42	181.28	199.85	202.66	177.53	125.24	68.55	121.79	146.03	128.79	236.21	130.6	96.01	361.04	125.24	162.14	180.02	409.15	74.58	169.07	177.53	64.8	57.08	134.3	379.04	108.14	88.88	147.06	105.89	125.24	329.84	119.26	208.38	100.13	320.8	748.61	733.19	1437.15	825.0	1233.75	679.29	1119.56	579.04	438.59	1135.2	665.29	1127.35	633.73	915.51	334.46	1519.15	435.55	780.44	743.43	1313.23	466.88	503.95	1051.79	1104.13	518.15	764.36	988.12	872.1	229.72	647.07	693.58	674.59	738.29	995.0	796.86	473.41	890.44	1191.69	995.0	191.67	348.71	1096.5	1037.29	1001.93	198.47	974.5	738.29	836.53	915.51	825.0	1781.89	665.29	397.93	909.17	363.56	718.08	262.2	896.64	1081.39	429.54	368.65	307.69	341.51	583.07	1662.49	420.68
LGMN	0.0	0.62	1819.35	4937.99	1015.93	3901.01	1709.26	2451.44	2417.67	1498.22	3639.7	2434.5	2682.69	1745.2	1313.23	1127.35	3639.7	3820.7	1832.01	2255.7	3847.29	3467.27	1857.6	1369.04	1963.57	1030.12	5479.15	1769.57	1498.22	4010.71	1977.24	2271.4	2682.69	3665.02	3280.18	1397.83	1447.15	1844.76	2351.53	1572.76	1417.35	5006.93	1167.14	1540.37	1540.37	1388.16	1757.34	2119.22	5329.3	2835.7	4972.34	2319.15	4639.29	3467.27	3443.31	2555.58	6561.36	6652.97	4010.71	2609.3	3257.52	5112.16	3235.01	3235.01	2555.58	5913.33	7695.57	5479.15	3257.52	6471.02	5995.9	2997.45	3349.13	2816.11	2400.97	2701.35	3168.41	4095.0	2240.11	3235.01	5255.91	4181.07	3955.48	6471.02	2255.7	7589.61	2956.17	3124.78	6037.61	4450.27	3901.01	7081.29	3419.52	3212.66	9088.59	8191.0	3982.99	3928.15	4671.57	2997.45	7280.4	6381.92	9740.98	8134.41	5041.77	6079.61	2319.15	6607.01	3257.52	3955.48	3515.68	3665.02	2645.74	3443.31	2627.46
LRP1B	0.0	0.0	1.95	59.13	1.93	21.94	1.31	6.89	1.2	1.45	11.82	25.91	14.35	15.68	0.39	2.14	46.18	12.09	1.79	0.42	2.27	5.28	2.05	0.39	47.5	1.99	24.28	0.92	3.26	63.45	6.36	10.71	9.85	64.8	21.01	0.43	1.66	1.97	37.59	7.46	34.51	25.54	4.74	0.99	22.92	13.32	23.08	0.47	77.25	961.07	444.72	187.71	981.29	1487.87	1259.69	583.07	102.97	417.77	620.67	748.61	503.95	82.29	312.0	318.57	507.46	301.33	379.04	76.71	518.15	138.1	108.14	289.02	511.0	473.41	90.77	258.57	620.67	780.44	221.86	429.54	591.22	379.04	312.0	137.14	163.28	283.05	2319.15	679.29	205.5	988.12	1199.98	133.36	1119.56	318.57	212.78	373.81	224.97	291.04	181.28	75.64	190.34	1208.34	159.9	182.55	65.26	1044.52	177.53	242.88	137.14	299.25	291.04	114.36	108.14	1159.07	2119.22
MAFB	312.0	547.75	314.17	1059.11	154.42	1340.84	395.18	214.27	246.28	142.01	651.58	363.56	371.22	500.46	110.43	140.04	480.04	796.86	241.19	371.22	279.14	483.38	195.72	116.78	579.04	134.3	336.79	466.88	220.32	414.87	1001.93	417.77	346.29	353.59	450.94	170.25	234.57	146.03	543.96	414.87	323.03	603.67	283.05	258.57	114.36	327.56	387.02	255.0	493.56	718.08	995.0	595.34	3190.46	1639.59	1059.11	2351.53	1216.75	974.5	679.29	2537.92	1119.56	1295.13	1369.04	1059.11	1757.34	1081.39	1151.06	642.59	1059.11	1268.46	1216.75	1268.46	1605.83	1167.14	842.36	764.36	1127.35	638.15	1322.37	995.0	1498.22	2209.26	2384.37	1397.83	728.11	1340.84	2133.97	1250.98	909.17	2895.31	2573.36	967.76	1605.83	728.11	981.29	1331.57	1286.18	941.27	1023.0	2895.31	1417.35	1051.79	921.88	1304.15	1870.53	961.07	473.41	1268.46	872.1	511.0	536.45	503.95	1322.37	2720.15	764.36
MAGED4	0.0	0.05	159.9	28.65	12.36	153.34	71.0	262.2	36.79	30.34	183.82	64.8	166.73	82.87	29.7	64.34	49.21	88.88	175.07	76.17	3.79	34.26	7.57	35.5	175.07	92.7	112.77	90.14	45.53	81.71	55.49	99.43	88.88	42.71	90.14	50.98	2.78	129.69	152.28	147.06	67.59	30.12	17.9	96.68	114.36	159.9	161.02	124.37	175.07	182.55	389.72	348.71	127.0	466.88	80.57	181.28	155.5	423.61	105.15	249.73	189.02	22.43	103.69	35.5	309.83	147.06	748.61	325.29	271.48	260.38	579.04	642.59	547.75	329.84	14.35	183.82	237.86	157.68	503.95	356.05	123.5	273.37	170.25	258.57	125.24	181.28	14.67	189.02	128.79	114.36	361.04	91.41	511.0	205.5	244.57	921.88	579.04	283.05	122.64	438.59	154.42	351.14	507.46	84.04	194.36	197.09	157.68	387.02	191.67	426.57	323.03	444.72	559.28	73.03	244.57
MAGEH1	0.0	0.61	583.07	599.49	759.08	616.37	595.34	647.07	460.44	703.28	674.59	500.46	507.46	693.58	674.59	813.63	802.41	521.76	688.78	642.59	656.11	387.02	563.18	473.41	543.96	638.15	665.29	521.76	748.61	674.59	532.74	583.07	454.09	555.41	718.08	366.09	454.09	733.19	567.1	575.03	514.56	529.06	518.15	583.07	587.13	633.73	642.59	633.73	579.04	1073.91	1674.06	961.07	1151.06	1397.83	954.43	1277.29	1051.79	854.13	1378.57	830.75	995.0	884.29	988.12	884.29	866.07	1183.45	1268.46	1519.15	1268.46	1088.92	1081.39	974.5	808.0	775.05	909.17	738.29	830.75	728.11	1135.2	1015.93	860.08	1369.04	961.07	1331.57	1104.13	1167.14	1059.11	1259.69	688.78	1340.84	947.83	1167.14	981.29	583.07	1457.23	1350.18	728.11	872.1	1044.52	825.0	1073.91	1242.34	1167.14	896.64	1208.34	1015.93	1151.06	1295.13	860.08	769.69	587.13	529.06	854.13	1331.57	1037.29
MAGI2	0.0	0.26	61.25	86.43	90.77	115.97	53.57	91.41	59.55	57.08	81.71	47.84	96.01	96.01	88.26	37.05	66.18	69.52	66.18	72.01	27.25	74.58	57.89	50.63	74.06	68.55	87.03	42.41	57.49	72.01	64.8	57.49	44.57	88.26	88.88	49.21	48.18	55.1	106.63	56.68	80.57	84.04	73.54	40.93	52.08	85.82	60.82	43.63	85.82	136.19	153.34	237.86	157.68	195.72	190.34	124.37	129.69	133.36	194.36	117.6	167.9	120.1	145.02	130.6	166.73	208.38	164.42	125.24	142.01	150.17	133.36	152.28	111.99	136.19	118.43	130.6	109.66	92.7	122.64	153.34	139.07	148.09	204.07	164.42	132.44	154.42	209.84	164.42	71.5	193.01	149.12	204.07	163.28	122.64	132.44	121.79	117.6	140.04	194.36	139.07	157.68	171.45	115.16	158.79	68.07	194.36	171.45	202.66	129.69	126.12	55.1	75.64	154.42	133.36	175.07
MAP7D3	0.0	0.61	145.02	218.79	194.36	156.59	157.68	118.43	127.89	117.6	159.9	147.06	134.3	146.03	108.9	181.28	148.09	186.4	145.02	212.78	73.03	132.44	121.79	104.42	176.29	145.02	98.73	198.47	100.83	156.59	189.02	177.53	170.25	156.59	162.14	111.99	154.42	178.77	202.66	136.19	136.19	158.79	144.01	122.64	205.5	193.01	159.9	100.83	220.32	348.71	318.57	470.14	287.01	295.11	162.14	346.29	228.13	181.28	212.78	170.25	198.47	351.14	232.94	199.85	400.71	178.77	339.14	253.23	387.02	303.44	221.86	336.79	271.48	414.87	193.01	242.88	297.17	273.37	264.03	198.47	271.48	297.17	277.2	181.28	214.27	397.93	460.44	248.0	173.85	167.9	323.03	176.29	348.71	301.33	169.07	178.77	361.04	299.25	358.54	287.01	228.13	133.36	185.11	211.31	260.38	177.53	255.0	220.32	289.02	218.79	193.01	231.32	211.31	220.32	271.48
MAPK4	0.0	0.03	2.16	21.63	2.34	10.88	0.82	13.72	14.03	0.74	16.27	42.71	15.68	2.1	2.51	0.96	15.8	8.19	1.3	3.23	19.82	12.93	4.94	0.45	33.06	2.18	9.85	6.46	4.62	20.86	8.65	11.13	24.99	19.68	31.22	1.62	2.51	3.5	16.88	6.62	4.13	14.24	11.73	0.78	12.09	10.0	30.12	1.81	47.84	518.15	397.93	312.0	884.29	651.58	121.79	1199.98	125.24	144.01	279.14	476.71	395.18	178.77	490.14	409.15	297.17	204.07	228.13	234.57	1233.75	170.25	264.03	791.35	291.04	511.0	305.55	232.94	389.72	132.44	201.25	638.15	791.35	167.9	395.18	164.42	325.29	94.01	656.11	182.55	99.43	417.77	1508.65	163.28	115.97	74.06	94.01	71.5	486.75	633.73	271.48	341.51	105.89	70.01	129.69	69.03	189.02	295.11	1208.34	224.97	540.19	144.01	11.55	18.03	189.02	759.08	583.07
MATN2	0.0	0.39	688.78	1397.83	1015.93	1167.14	559.28	2075.59	1651.0	447.82	1268.46	1143.1	1295.13	769.69	651.58	571.05	1437.15	1388.16	454.09	842.36	1519.15	934.76	718.08	500.46	2367.9	529.06	921.88	555.41	466.88	1073.91	1183.45	1119.56	902.89	1143.1	1250.98	334.46	848.22	842.36	1977.24	559.28	454.09	967.76	728.11	325.29	638.15	669.92	1199.98	177.53	2895.31	19214.73	5791.62	9740.98	26614.89	21320.18	5913.33	22535.88	4704.07	5711.87	18950.18	11035.54	16843.62	4123.49	13033.07	3349.13	14065.74	3540.14	7382.04	2915.45	17078.76	6561.36	5147.73	13586.57	18052.61	12589.08	11189.6	9808.75	13968.57	4736.79	7857.29	13306.94	14867.79	11664.82	17078.76	4038.61	7589.61	8598.28	21768.19	16843.62	2319.15	24832.5	13776.25	5672.41	26248.46	3847.29	4419.52	3443.31	6935.54	5672.41	7382.04	10014.87	3395.89	5292.48	3018.3	6207.38	4038.61	8022.41	4010.71	4903.87	6294.04	4769.75	9876.98	2209.26	17558.94	20451.65	12764.83
METTL21B	0.0	0.36	125.24	253.23	159.9	186.4	161.02	204.07	190.34	144.01	234.57	195.72	195.72	170.25	140.04	111.99	178.77	201.25	116.78	163.28	155.5	167.9	149.12	108.14	165.57	113.56	146.03	118.43	144.01	208.38	161.02	153.34	173.85	157.68	175.07	129.69	112.77	108.14	186.4	147.06	149.12	204.07	127.89	141.02	170.25	183.82	142.01	102.97	197.09	228.13	281.09	343.89	281.09	297.17	206.94	246.28	220.32	295.11	209.84	181.28	224.97	167.9	223.41	209.84	348.71	267.73	190.34	297.17	269.6	212.78	211.31	182.55	260.38	332.14	229.72	163.28	194.36	242.88	336.79	351.14	217.27	251.48	297.17	148.09	262.2	297.17	277.2	226.54	134.3	283.05	215.77	201.25	376.41	221.86	273.37	228.13	189.02	172.65	163.28	231.32	205.5	264.03	193.01	234.57	289.02	159.9	314.17	164.42	191.67	226.54	253.23	146.03	269.6	209.84	232.94
MGAT1	0.0	0.83	2451.44	2209.26	2133.97	2255.7	2209.26	1909.85	2468.49	1870.53	2609.3	3018.3	2485.67	2018.8	1757.34	2193.99	2468.49	2434.5	2682.69	2720.15	2400.97	2520.38	2240.11	1832.01	2271.4	2047.0	2240.11	2468.49	1883.54	2018.8	2664.15	2758.13	2816.11	2485.67	2627.46	1844.76	1870.53	2224.63	2720.15	2255.7	1883.54	2061.24	2255.7	2178.83	2591.27	2351.53	2287.2	3060.45	3060.45	3614.55	4937.99	2451.44	3589.58	2682.69	4095.0	4388.98	3982.99	3419.52	5255.91	2997.45	3419.52	4512.4	3212.66	4358.66	3257.52	3419.52	4575.41	4607.24	3212.66	3103.19	4152.18	3847.29	3874.05	2935.74	3372.43	4152.18	4038.61	2255.7	3564.78	2875.3	3928.15	3280.18	3349.13	3467.27	2485.67	3103.19	2935.74	3349.13	3168.41	2777.33	3820.7	4704.07	3039.3	3103.19	3443.31	2502.97	2720.15	3874.05	4066.71	3716.2	3768.09	2701.35	3639.7	3639.7	4512.4	3690.52	4512.4	3690.52	3168.41	3768.09	2935.74	2895.31	2895.31	4152.18	3614.55
MPP6	107.38	50.98	67.12	158.79	111.99	96.68	50.98	76.71	67.59	64.8	103.69	115.16	70.01	29.27	35.0	35.76	120.94	88.26	40.07	77.25	54.72	69.03	63.0	33.54	76.71	52.82	37.85	49.91	29.91	77.25	57.49	60.39	112.77	51.35	96.01	24.99	39.5	35.25	134.3	43.02	36.01	119.26	52.82	45.85	69.03	75.11	69.52	32.36	121.79	135.24	273.37	198.47	67.59	170.25	169.07	105.15	262.2	231.32	86.43	88.88	166.73	178.77	84.04	82.87	144.01	204.07	201.25	194.36	93.35	126.12	209.84	88.26	105.89	102.97	58.3	85.82	106.63	136.19	178.77	149.12	76.17	156.59	141.02	226.54	114.36	211.31	182.55	104.42	136.19	98.73	81.14	229.72	128.79	59.97	256.78	218.79	102.25	142.01	158.79	126.12	226.54	201.25	275.28	232.94	116.78	149.12	285.03	256.78	125.24	178.77	224.97	93.35	84.04	100.13	105.15
MRO	0.0	0.04	9.34	54.72	4.17	24.63	19.82	20.71	17.51	4.39	34.51	26.28	9.56	6.46	0.85	4.5	39.22	33.3	6.06	4.5	47.5	14.03	3.2	2.43	24.63	2.25	20.71	13.12	8.65	26.28	2.92	11.38	42.41	23.08	32.59	2.2	0.62	2.46	41.52	3.99	9.27	45.53	8.58	1.39	40.93	11.13	22.75	5.19	66.18	299.25	518.15	102.25	214.27	287.01	156.59	55.89	148.09	173.85	246.28	129.69	209.84	209.84	208.38	84.04	111.99	209.84	166.73	271.48	403.5	99.43	339.14	211.31	156.59	325.29	198.47	99.43	351.14	47.17	293.07	79.45	356.05	318.57	134.3	384.34	131.51	194.36	265.87	166.73	211.31	332.14	232.94	119.26	253.23	25.72	137.14	339.14	80.57	162.14	88.26	119.26	40.36	264.03	136.19	237.86	152.28	267.73	173.85	255.0	198.47	113.56	54.72	38.4	181.28	220.32	525.39
MSX2	0.0	0.28	5.45	8.99	0.34	13.72	1.0	14.24	7.88	8.58	13.62	16.03	10.79	4.35	4.1	2.43	7.11	7.17	10.96	0.97	20.41	12.64	5.73	3.06	7.28	3.82	2.2	3.14	5.32	12.18	9.56	3.56	8.06	12.64	8.78	11.21	6.78	3.32	12.64	3.72	2.27	8.92	4.39	8.32	9.27	8.32	3.63	1.11	5.92	27.84	8.78	22.26	19.11	6.16	20.41	14.03	12.36	20.11	12.64	7.22	30.56	9.56	23.25	10.71	9.93	19.53	5.63	14.03	9.85	18.29	37.05	25.35	18.7	26.86	9.63	19.97	16.63	7.57	35.25	9.63	2.36	16.88	45.85	52.82	9.48	10.96	25.35	5.19	12.18	35.0	18.43	11.91	4.31	19.82	8.99	12.45	8.92	10.96	18.43	23.25	29.27	5.59	24.28	16.88	27.25	13.32	7.75	13.12	6.26	9.7	4.43	9.34	7.34	7.51	12.45
MYO1H	0.0	0.16	8.51	3.99	2.53	12.93	3.2	6.21	6.57	2.56	10.08	4.03	7.94	5.19	0.79	4.9	3.66	6.21	2.73	6.11	5.15	5.59	4.21	2.73	7.75	5.11	4.24	6.84	2.86	6.01	7.34	12.09	0.96	11.91	16.27	1.68	3.5	1.19	3.53	4.28	3.66	11.64	3.76	1.95	4.82	5.06	1.2	0.99	5.68	20.11	36.01	10.71	4.58	10.63	5.87	2.12	9.27	18.16	6.16	18.16	16.88	6.67	13.03	5.15	14.03	22.75	33.3	13.12	5.36	29.48	7.57	6.62	6.11	15.68	29.27	8.65	11.64	8.13	8.06	2.94	3.92	31.45	7.22	15.11	27.44	7.4	8.65	10.16	23.93	23.25	4.03	20.26	3.44	13.32	12.55	35.25	18.56	5.59	12.45	23.08	9.63	18.43	28.45	13.83	18.7	11.64	11.21	21.47	8.92	9.85	5.41	10.0	15.11	10.96	19.97
NCS1	176.29	89.51	312.0	323.03	271.48	205.5	201.25	193.01	172.65	279.14	309.83	217.27	242.88	215.77	246.28	289.02	406.31	267.73	204.07	271.48	253.23	223.41	291.04	305.55	429.54	351.14	166.73	260.38	244.57	293.07	182.55	295.11	171.45	339.14	332.14	264.03	255.0	253.23	379.04	262.2	197.09	303.44	336.79	314.17	490.14	283.05	334.46	228.13	435.55	1268.46	1427.22	514.56	878.17	941.27	1008.9	1030.12	860.08	723.08	941.27	743.43	813.63	587.13	769.69	759.08	1407.55	896.64	866.07	819.3	733.19	1030.12	603.67	934.76	909.17	1015.93	743.43	373.81	688.78	551.56	878.17	620.67	848.22	764.36	928.3	934.76	802.41	529.06	748.61	1721.16	688.78	693.58	759.08	915.51	674.59	547.75	928.3	665.29	733.19	796.86	571.05	698.41	684.02	1001.93	854.13	796.86	633.73	915.51	713.11	909.17	607.87	842.36	559.28	395.18	1008.9	1277.29	1304.15
NDNL2	0.0	0.27	426.57	480.04	447.82	507.46	381.68	444.72	460.44	507.46	518.15	555.41	514.56	503.95	507.46	450.94	497.0	521.76	426.57	429.54	387.02	483.38	336.79	376.41	447.82	373.81	441.64	473.41	341.51	414.87	511.0	450.94	432.53	473.41	503.95	293.07	356.05	343.89	551.56	417.77	414.87	733.19	323.03	314.17	551.56	483.38	406.31	314.17	476.71	616.37	896.64	420.68	660.68	866.07	825.0	665.29	764.36	688.78	486.75	1044.52	579.04	656.11	723.08	651.58	842.36	866.07	753.83	693.58	575.03	753.83	718.08	603.67	476.71	503.95	521.76	432.53	460.44	432.53	974.5	624.99	490.14	1167.14	723.08	878.17	647.07	915.51	780.44	753.83	665.29	718.08	525.39	743.43	674.59	540.19	872.1	796.86	525.39	693.58	703.28	780.44	764.36	728.11	796.86	759.08	890.44	665.29	693.58	802.41	620.67	536.45	503.95	429.54	759.08	518.15	629.35
NEK11	0.0	0.01	152.28	251.48	217.27	194.36	194.36	178.77	149.12	127.0	181.28	151.22	128.79	212.78	164.42	182.55	191.67	244.57	128.79	212.78	79.45	156.59	176.29	162.14	165.57	172.65	167.9	125.24	223.41	180.02	166.73	189.02	140.04	166.73	190.34	96.68	72.01	164.42	316.37	138.1	127.0	178.77	215.77	161.02	162.14	146.03	209.84	111.21	176.29	480.04	381.68	490.14	540.19	397.93	395.18	305.55	273.37	273.37	438.59	444.72	441.64	287.01	381.68	309.83	412.0	301.33	336.79	287.01	336.79	441.64	366.09	395.18	336.79	497.0	318.57	323.03	423.61	285.03	232.94	395.18	379.04	417.77	395.18	277.2	373.81	403.5	547.75	406.31	329.84	463.65	339.14	373.81	441.64	348.71	358.54	260.38	435.55	289.02	336.79	693.58	264.03	358.54	269.6	237.86	297.17	444.72	414.87	368.65	387.02	165.57	253.23	208.38	366.09	409.15	514.56
NFS1	0.0	0.11	463.65	368.65	379.04	457.25	417.77	435.55	473.41	587.13	463.65	591.22	507.46	441.64	366.09	438.59	441.64	438.59	376.41	373.81	532.74	497.0	444.72	457.25	426.57	389.72	559.28	483.38	447.82	500.46	435.55	435.55	540.19	514.56	480.04	334.46	395.18	305.55	381.68	406.31	423.61	438.59	379.04	318.57	351.14	450.94	417.77	444.72	493.56	808.0	684.02	607.87	612.11	647.07	703.28	607.87	420.68	521.76	583.07	529.06	486.75	466.88	651.58	780.44	713.11	713.11	624.99	529.06	540.19	674.59	616.37	647.07	633.73	748.61	551.56	473.41	547.75	395.18	616.37	476.71	579.04	651.58	674.59	575.03	563.18	575.03	718.08	638.15	723.08	830.75	603.67	486.75	551.56	660.68	738.29	660.68	547.75	543.96	400.71	575.03	514.56	540.19	559.28	525.39	785.88	624.99	575.03	497.0	698.41	466.88	480.04	435.55	642.59	607.87	825.0
