	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
PLA2G6	303.44	486.75	358.54	269.6	728.11	728.11	241.19	941.27	206.94	262.2	318.57	289.02	162.14	246.28	303.44	273.37	77.25	146.03	186.4	423.61	162.14	161.02	343.89	117.6	329.84	423.61	351.14	67.59	165.57	299.25	118.43	239.52	143.01	236.21	145.02	74.58	2240.11	934.76	633.73	1457.23	2485.67	2090.03	3081.75	1331.57	341.51	674.59	1008.9	642.59	2591.27	2287.2	384.34	1745.2	1781.89	2287.2	934.76	1617.0	1594.73	1233.75	866.07	665.29	981.29	1044.52	1259.69	1242.34	1350.18	2335.28	536.45	733.19	1508.65	571.05	1923.14	1487.87	1051.79	1745.2	896.64	934.76	1583.71	733.19	1794.29	518.15	366.09	1427.22	1096.5	1015.93	775.05	2119.22	1216.75	1407.55	2335.28	775.05	1378.57	1127.35	493.56	2434.5	277.2	802.41	819.3	2796.65	507.46	633.73	1487.87	1388.16	947.83	967.76	497.0	1073.91	921.88	1322.37	532.74	1135.2	1909.85	1008.9	423.61	1111.82	1340.84	941.27	2018.8	1709.26	1088.92	511.0	1794.29	2271.4	1407.55	713.11	1529.73	1183.45	775.05	536.45	1350.18	414.87	392.44	1225.22	1977.24	738.29	490.14	1073.91	406.31	1331.57	785.88	674.59	1159.07	1427.22	769.69	2739.08	1051.79	2537.92	1059.11	884.29	1073.91	679.29	1331.57	595.34	559.28	3280.18	2384.37	3515.68	1508.65	514.56	1769.57	1044.52	497.0	890.44	890.44	1457.23	3081.75	1870.53	1467.37	693.58	1639.59	1883.54	1467.37	1806.78	563.18	703.28	1250.98	1233.75	1350.18	1104.13	587.13	1721.16	854.13	642.59	1088.92
PPOX	511.0	343.89	287.01	536.45	353.59	651.58	599.49	995.0	476.71	163.28	373.81	249.73	285.03	334.46	269.6	248.0	187.71	246.28	309.83	295.11	236.21	332.14	293.07	186.4	483.38	412.0	363.56	182.55	177.53	220.32	289.02	341.51	108.9	339.14	244.57	162.14	842.36	607.87	480.04	738.29	748.61	780.44	775.05	629.35	379.04	486.75	536.45	392.44	563.18	764.36	414.87	595.34	674.59	693.58	848.22	733.19	470.14	575.03	409.15	392.44	466.88	473.41	563.18	483.38	563.18	848.22	417.77	387.02	540.19	497.0	703.28	738.29	571.05	703.28	571.05	450.94	785.88	486.75	808.0	555.41	295.11	651.58	642.59	514.56	500.46	595.34	529.06	624.99	775.05	371.22	575.03	599.49	332.14	743.43	363.56	389.72	587.13	764.36	438.59	373.81	669.92	571.05	490.14	473.41	341.51	450.94	607.87	638.15	486.75	540.19	728.11	738.29	435.55	486.75	511.0	583.07	708.18	559.28	665.29	426.57	607.87	733.19	764.36	463.65	575.03	432.53	420.68	403.5	400.71	387.02	285.03	642.59	688.78	403.5	420.68	547.75	201.25	587.13	540.19	426.57	603.67	575.03	312.0	642.59	579.04	703.28	563.18	559.28	543.96	490.14	583.07	656.11	454.09	934.76	780.44	878.17	599.49	339.14	708.18	753.83	265.87	493.56	571.05	660.68	633.73	669.92	555.41	351.14	591.22	825.0	638.15	733.19	301.33	525.39	575.03	638.15	507.46	500.46	397.93	603.67	423.61	890.44	708.18
PPP1R3E	206.94	307.69	181.28	143.01	381.68	198.47	71.0	638.15	155.5	64.34	208.38	211.31	144.01	140.04	189.02	191.67	65.72	215.77	116.78	120.1	60.39	167.9	262.2	65.72	241.19	212.78	164.42	121.79	161.02	215.77	208.38	221.86	92.7	133.36	155.5	125.24	463.65	447.82	343.89	423.61	450.94	381.68	358.54	423.61	152.28	497.0	395.18	251.48	329.84	441.64	239.52	1044.52	236.21	441.64	320.8	305.55	287.01	423.61	476.71	314.17	353.59	361.04	486.75	381.68	647.07	723.08	543.96	249.73	1066.48	483.38	376.41	536.45	389.72	363.56	583.07	400.71	571.05	178.77	813.63	567.1	656.11	595.34	514.56	327.56	521.76	470.14	320.8	279.14	363.56	258.57	395.18	262.2	171.45	567.1	209.84	305.55	551.56	507.46	490.14	450.94	583.07	587.13	361.04	486.75	277.2	525.39	629.35	514.56	341.51	287.01	450.94	285.03	180.02	376.41	323.03	318.57	246.28	718.08	403.5	660.68	435.55	1037.29	412.0	438.59	503.95	483.38	318.57	297.17	334.46	208.38	348.71	387.02	366.09	255.0	500.46	351.14	150.17	426.57	361.04	265.87	450.94	612.11	490.14	480.04	277.2	733.19	633.73	429.54	473.41	521.76	368.65	457.25	228.13	718.08	599.49	718.08	287.01	303.44	312.0	429.54	220.32	236.21	463.65	759.08	802.41	426.57	361.04	368.65	708.18	483.38	287.01	500.46	262.2	301.33	518.15	287.01	171.45	334.46	323.03	271.48	417.77	387.02	409.15
PRKRIP1	414.87	514.56	412.0	620.67	616.37	532.74	457.25	703.28	392.44	289.02	309.83	231.32	249.73	303.44	351.14	314.17	217.27	363.56	217.27	211.31	303.44	283.05	248.0	327.56	366.09	423.61	414.87	351.14	267.73	325.29	441.64	267.73	206.94	417.77	341.51	327.56	909.17	753.83	579.04	708.18	1096.5	842.36	890.44	872.1	703.28	551.56	693.58	693.58	769.69	825.0	579.04	748.61	753.83	954.43	854.13	802.41	599.49	785.88	738.29	587.13	688.78	723.08	660.68	718.08	583.07	836.53	603.67	651.58	884.29	738.29	1037.29	713.11	796.86	738.29	629.35	579.04	1066.48	567.1	941.27	543.96	624.99	775.05	796.86	759.08	808.0	780.44	753.83	872.1	748.61	555.41	819.3	785.88	642.59	802.41	571.05	536.45	791.35	890.44	463.65	713.11	1073.91	642.59	698.41	591.22	486.75	607.87	733.19	669.92	518.15	708.18	878.17	825.0	547.75	693.58	555.41	848.22	860.08	669.92	848.22	514.56	854.13	1001.93	915.51	703.28	684.02	603.67	638.15	575.03	555.41	591.22	547.75	896.64	764.36	500.46	473.41	743.43	426.57	728.11	567.1	591.22	684.02	575.03	438.59	813.63	813.63	974.5	791.35	764.36	665.29	753.83	775.05	679.29	476.71	1044.52	915.51	928.3	748.61	454.09	981.29	547.75	579.04	718.08	647.07	819.3	860.08	748.61	665.29	563.18	713.11	854.13	684.02	791.35	551.56	651.58	854.13	620.67	713.11	764.36	583.07	825.0	647.07	842.36	775.05
RGL2	1662.49	1950.0	791.35	1417.35	2133.97	1417.35	1259.69	5403.7	1127.35	848.22	1015.93	1066.48	890.44	1008.9	1313.23	974.5	559.28	1015.93	854.13	967.76	928.3	921.88	974.5	718.08	1216.75	1225.22	1151.06	486.75	414.87	941.27	1268.46	728.11	1015.93	961.07	1023.0	769.69	2895.31	2485.67	1639.59	3349.13	3212.66	3349.13	3303.0	1832.01	1617.0	2075.59	2451.44	1733.13	3325.99	3395.89	1119.56	3303.0	2104.58	2537.92	2400.97	1991.0	2119.22	1639.59	1870.53	1806.78	1697.45	1733.13	2758.13	1883.54	2701.35	2816.11	2209.26	1583.71	3212.66	2209.26	3146.52	2485.67	1709.26	2895.31	2573.36	2468.49	2835.7	1617.0	3794.3	1781.89	1628.26	2351.53	2485.67	1819.35	2178.83	3168.41	2018.8	2758.13	3235.01	2400.97	1674.06	2133.97	1487.87	3124.78	836.53	2004.85	2255.7	3103.19	1794.29	1259.69	2777.33	1806.78	1857.6	2224.63	1857.6	2573.36	2645.74	2855.44	1359.57	2351.53	3491.39	2739.08	1487.87	2240.11	2485.67	2451.44	2855.44	2796.65	2209.26	1769.57	2855.44	3124.78	3349.13	2061.24	3060.45	2835.7	1977.24	2287.2	2047.0	1417.35	1417.35	2915.45	2682.69	2018.8	1963.57	2796.65	1191.69	3395.89	2004.85	2240.11	2193.99	2895.31	1857.6	2303.12	1844.76	2319.15	2335.28	2018.8	2417.67	2133.97	2816.11	3190.46	1963.57	3955.48	2573.36	3190.46	1794.29	1697.45	2468.49	2935.74	1447.15	2434.5	3018.3	2133.97	3039.3	3639.7	3665.02	1963.57	2367.9	3716.2	2537.92	2367.9	1628.26	1745.2	3257.52	2104.58	2816.11	1896.65	1781.89	2645.74	2915.45	2537.92	2178.83
RTEL1-TNFRSF6B	30.12	28.65	37.59	33.3	239.52	111.21	24.46	86.43	24.11	28.86	34.26	23.93	29.7	42.11	28.86	31.9	85.22	32.36	29.48	13.62	18.43	16.75	20.71	33.3	31.67	21.94	26.28	50.63	31.67	59.97	11.82	55.49	15.91	40.93	25.91	19.39	201.25	140.04	92.05	173.85	163.28	189.02	239.52	170.25	55.89	72.52	111.21	69.52	169.07	220.32	75.11	136.19	122.64	186.4	187.71	178.77	88.26	120.94	94.01	39.79	69.03	97.36	129.69	65.26	129.69	221.86	65.26	73.54	182.55	106.63	163.28	158.79	105.15	197.09	131.51	104.42	297.17	87.03	271.48	88.88	66.65	119.26	183.82	91.41	74.06	187.71	135.24	141.02	145.02	68.07	103.69	114.36	55.89	115.97	12.27	97.36	152.28	271.48	53.95	35.0	267.73	101.54	98.73	120.1	72.01	101.54	103.69	158.79	58.71	118.43	189.02	231.32	46.18	111.21	87.65	204.07	157.68	136.19	198.47	50.98	156.59	231.32	323.03	111.99	139.07	112.77	74.58	76.17	56.68	62.12	48.87	132.44	167.9	55.49	64.8	125.24	24.46	144.01	75.64	67.59	157.68	116.78	50.63	157.68	98.73	181.28	119.26	128.79	106.63	115.97	153.34	154.42	72.52	265.87	202.66	232.94	90.14	50.27	187.71	107.38	50.27	98.04	141.02	116.78	246.28	121.79	138.1	87.03	133.36	208.38	132.44	147.06	56.28	82.87	226.54	122.64	102.25	111.99	67.12	170.25	100.83	158.79	85.82
RWDD3	277.2	389.72	287.01	406.31	332.14	301.33	384.34	309.83	323.03	187.71	265.87	503.95	299.25	356.05	351.14	384.34	105.15	361.04	289.02	403.5	373.81	309.83	395.18	195.72	403.5	420.68	403.5	305.55	466.88	271.48	356.05	295.11	176.29	417.77	205.5	231.32	607.87	595.34	460.44	493.56	753.83	551.56	507.46	583.07	476.71	525.39	603.67	454.09	563.18	703.28	279.14	563.18	493.56	547.75	543.96	669.92	688.78	563.18	518.15	587.13	629.35	567.1	490.14	603.67	532.74	583.07	420.68	381.68	500.46	633.73	599.49	483.38	656.11	603.67	420.68	291.04	780.44	447.82	713.11	518.15	575.03	612.11	543.96	718.08	493.56	567.1	543.96	493.56	575.03	420.68	575.03	406.31	476.71	547.75	473.41	435.55	629.35	595.34	514.56	353.59	620.67	551.56	454.09	409.15	518.15	518.15	529.06	511.0	500.46	438.59	703.28	575.03	420.68	543.96	486.75	587.13	688.78	412.0	583.07	441.64	679.29	616.37	647.07	521.76	547.75	511.0	511.0	450.94	483.38	295.11	329.84	656.11	616.37	267.73	507.46	466.88	312.0	599.49	591.22	543.96	457.25	603.67	435.55	713.11	483.38	738.29	587.13	470.14	493.56	470.14	438.59	583.07	470.14	854.13	583.07	571.05	497.0	373.81	684.02	414.87	470.14	480.04	463.65	591.22	595.34	723.08	620.67	400.71	559.28	507.46	480.04	500.46	389.72	366.09	595.34	521.76	500.46	599.49	432.53	518.15	514.56	507.46	759.08
SAFB2	366.09	423.61	563.18	466.88	928.3	1073.91	406.31	967.76	703.28	587.13	441.64	423.61	450.94	348.71	543.96	684.02	444.72	343.89	387.02	389.72	656.11	463.65	607.87	642.59	483.38	435.55	503.95	444.72	392.44	454.09	264.03	967.76	497.0	866.07	769.69	412.0	1709.26	1359.57	1151.06	1447.15	1540.37	1674.06	1487.87	2119.22	954.43	1135.2	1369.04	1233.75	1745.2	1617.0	1617.0	1457.23	1639.59	1977.24	1697.45	2224.63	1286.18	1529.73	1199.98	842.36	1159.07	1322.37	1572.76	1175.27	1286.18	2645.74	1407.55	1143.1	2061.24	1857.6	1225.22	1806.78	1639.59	1909.85	1388.16	1268.46	1769.57	1605.83	1806.78	1250.98	1268.46	1572.76	1769.57	1467.37	1583.71	1467.37	1529.73	1378.57	1844.76	947.83	1605.83	1268.46	967.76	1769.57	1304.15	1477.58	1551.09	1909.85	1037.29	1023.0	1757.34	1561.89	1225.22	1277.29	1208.34	1183.45	1242.34	1331.57	1233.75	1447.15	1674.06	1819.35	890.44	1304.15	1304.15	1350.18	1685.71	1340.84	2061.24	1191.69	1870.53	1519.15	2193.99	1781.89	1286.18	1313.23	974.5	967.76	1073.91	974.5	909.17	1350.18	1769.57	1059.11	684.02	1427.22	791.35	1359.57	995.0	1088.92	2255.7	1175.27	1359.57	2133.97	1331.57	1883.54	1457.23	1950.0	1769.57	1059.11	1350.18	1304.15	780.44	2271.4	1794.29	1781.89	1572.76	1111.82	1397.83	1023.0	872.1	1191.69	1477.58	2032.85	1977.24	1685.71	1151.06	1277.29	1936.53	2032.85	1350.18	1487.87	1183.45	1437.15	1572.76	1628.26	1183.45	1167.14	988.12	1427.22	1175.27	2004.85	1331.57
SDR39U1	961.07	1175.27	1259.69	1487.87	1561.89	1529.73	1073.91	2434.5	1001.93	723.08	723.08	1378.57	642.59	1159.07	1081.39	796.86	638.15	579.04	808.0	511.0	616.37	616.37	921.88	656.11	947.83	1322.37	928.3	764.36	638.15	934.76	802.41	915.51	713.11	620.67	1008.9	764.36	2319.15	1844.76	1594.73	1963.57	2193.99	2148.82	2163.77	2119.22	1662.49	1487.87	1721.16	1685.71	1909.85	2032.85	1561.89	1745.2	1745.2	2224.63	2468.49	2209.26	1477.58	1769.57	1540.37	1183.45	1662.49	1685.71	1857.6	1757.34	1832.01	2555.58	1733.13	1551.09	2148.82	2090.03	2400.97	2104.58	1832.01	1963.57	1963.57	1819.35	2434.5	1819.35	2502.97	1697.45	1977.24	2351.53	1977.24	1896.65	1991.0	1883.54	1896.65	1977.24	2319.15	1208.34	1896.65	1832.01	1540.37	2224.63	1259.69	1870.53	1977.24	2451.44	1216.75	1769.57	2178.83	1477.58	1991.0	1519.15	1417.35	1651.0	2133.97	1844.76	1437.15	2119.22	2287.2	2119.22	1340.84	1594.73	1769.57	2178.83	2075.59	1832.01	2367.9	1467.37	2468.49	2591.27	2400.97	2032.85	2061.24	1709.26	1498.22	1457.23	1340.84	1498.22	1477.58	2255.7	1883.54	1794.29	1561.89	1923.14	1066.48	2047.0	1781.89	1417.35	2104.58	1745.2	1359.57	2417.67	1781.89	2417.67	1794.29	1991.0	1963.57	1936.53	2367.9	1844.76	1529.73	2627.46	2104.58	2537.92	2090.03	1397.83	2255.7	1340.84	1151.06	1651.0	1936.53	2319.15	2193.99	2032.85	1832.01	1487.87	1977.24	2573.36	1870.53	2209.26	1277.29	1733.13	2075.59	1870.53	1697.45	1977.24	1322.37	2018.8	1819.35	2271.4	1963.57
SEC31B	65.72	86.43	46.84	64.8	379.04	139.07	38.4	163.28	34.02	23.42	58.3	28.86	20.71	25.72	41.22	28.45	10.39	24.63	9.93	29.27	32.36	29.7	59.13	39.22	57.49	54.33	24.28	11.04	19.53	31.0	36.53	25.91	10.39	64.34	23.59	19.82	205.5	165.57	78.89	199.85	158.79	251.48	223.41	144.01	38.95	81.14	102.25	76.17	214.27	264.03	33.06	228.13	131.51	159.9	161.02	135.24	122.64	125.24	107.38	111.21	88.88	72.01	149.12	146.03	130.6	205.5	108.14	77.25	208.38	93.35	136.19	214.27	103.69	206.94	127.0	103.69	242.88	53.95	178.77	65.26	94.01	153.34	141.02	67.59	89.51	136.19	130.6	218.79	224.97	78.34	118.43	81.71	64.8	256.78	28.45	76.71	217.27	343.89	80.57	34.51	201.25	125.24	79.45	98.04	73.54	131.51	138.1	137.14	57.89	102.97	226.54	153.34	42.41	102.97	108.14	74.06	142.01	123.5	177.53	49.56	177.53	191.67	309.83	123.5	204.07	130.6	77.79	74.58	70.51	43.63	30.12	153.34	183.82	67.59	56.28	152.28	30.78	115.97	64.34	80.57	132.44	194.36	96.01	209.84	69.52	169.07	133.36	108.14	109.66	112.77	194.36	124.37	58.71	291.04	229.72	309.83	81.71	59.97	153.34	92.05	21.78	107.38	123.5	166.73	189.02	199.85	153.34	99.43	120.94	249.73	103.69	190.34	57.89	85.82	176.29	110.43	137.14	87.65	82.29	123.5	71.0	140.04	157.68
SETD4	791.35	351.14	361.04	447.82	361.04	279.14	603.67	318.57	255.0	175.07	143.01	228.13	239.52	246.28	262.2	177.53	193.01	171.45	256.78	197.09	201.25	211.31	265.87	231.32	234.57	208.38	208.38	218.79	208.38	206.94	366.09	285.03	149.12	332.14	180.02	204.07	397.93	332.14	279.14	343.89	454.09	325.29	361.04	301.33	241.19	232.94	334.46	343.89	397.93	373.81	183.82	417.77	334.46	343.89	336.79	305.55	403.5	368.65	269.6	271.48	400.71	285.03	269.6	262.2	285.03	327.56	299.25	363.56	309.83	314.17	392.44	387.02	289.02	323.03	241.19	316.37	343.89	275.28	381.68	256.78	303.44	341.51	320.8	366.09	255.0	507.46	323.03	412.0	450.94	244.57	289.02	283.05	295.11	441.64	371.22	199.85	253.23	389.72	291.04	148.09	234.57	339.14	231.32	305.55	305.55	256.78	303.44	295.11	209.84	303.44	363.56	348.71	285.03	307.69	260.38	277.2	381.68	314.17	299.25	212.78	389.72	486.75	327.56	314.17	327.56	279.14	258.57	277.2	348.71	199.85	305.55	400.71	348.71	208.38	287.01	289.02	201.25	309.83	260.38	327.56	295.11	325.29	312.0	343.89	351.14	466.88	312.0	392.44	232.94	283.05	303.44	283.05	197.09	486.75	339.14	384.34	327.56	205.5	285.03	221.86	267.73	277.2	291.04	346.29	381.68	400.71	329.84	327.56	295.11	332.14	341.51	336.79	277.2	256.78	341.51	435.55	403.5	329.84	295.11	403.5	314.17	217.27	348.71
SETD6	167.9	186.4	358.54	444.72	341.51	470.14	361.04	397.93	176.29	186.4	214.27	318.57	212.78	281.09	299.25	201.25	151.22	110.43	211.31	195.72	223.41	166.73	301.33	214.27	248.0	253.23	251.48	314.17	232.94	303.44	145.02	113.56	197.09	211.31	156.59	185.11	583.07	392.44	400.71	466.88	698.41	571.05	551.56	511.0	353.59	406.31	447.82	343.89	454.09	583.07	426.57	493.56	511.0	503.95	444.72	490.14	429.54	444.72	450.94	426.57	417.77	460.44	441.64	412.0	414.87	507.46	314.17	473.41	514.56	343.89	397.93	559.28	521.76	490.14	363.56	490.14	660.68	400.71	511.0	312.0	447.82	447.82	476.71	525.39	381.68	490.14	420.68	444.72	591.22	363.56	551.56	406.31	353.59	483.38	409.15	368.65	429.54	536.45	323.03	312.0	620.67	397.93	454.09	358.54	423.61	325.29	400.71	514.56	301.33	395.18	633.73	536.45	327.56	429.54	343.89	409.15	500.46	457.25	493.56	332.14	563.18	674.59	579.04	403.5	486.75	409.15	395.18	363.56	412.0	332.14	376.41	412.0	480.04	323.03	341.51	480.04	285.03	547.75	305.55	400.71	514.56	368.65	316.37	679.29	376.41	642.59	429.54	438.59	432.53	466.88	435.55	336.79	339.14	703.28	525.39	941.27	435.55	368.65	708.18	432.53	291.04	346.29	414.87	457.25	551.56	603.67	493.56	323.03	473.41	723.08	379.04	466.88	376.41	318.57	563.18	397.93	486.75	409.15	301.33	432.53	571.05	423.61	426.57
