	TCGA.C8.A12O.01A.11R.A115.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A1AN.01A.11R.A12P.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.C8.A12Z.01A.11R.A115.07	TCGA.A2.A0EV.01A.11R.A034.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.E2.A15C.01A.31R.A12D.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.U3ZN.0626.SM.3DB7U	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9
MFAP3	518.15	753.83	854.13	514.56	780.44	780.44	423.61	638.15	698.41	1111.82	314.17	708.18	532.74	624.99	669.92	587.13	432.53	381.68	406.31	607.87	693.58	890.44	620.67	441.64	483.38	547.75	669.92	277.2	866.07	909.17	764.36	543.96	674.59	909.17	638.15	543.96	854.13	583.07	718.08	974.5	463.65	567.1	884.29	115.16	132.44	995.0	1073.91	187.71	241.19	132.44	152.28	159.9	241.19	127.89	153.34	187.71	161.02	100.13	256.78	190.34	121.79	155.5	130.6	58.71	127.0	126.12	202.66	116.78	100.83	242.88	209.84	98.73	110.43	96.68	132.44	114.36	128.79	198.47	118.43	212.78	143.01	105.15	166.73	101.54	195.72	206.94	122.64	314.17	223.41	212.78	242.88	133.36	173.85	197.09	93.35	275.28	265.87	237.86	120.1	218.79	224.97	77.25	150.17	199.85	157.68	155.5	211.31	125.24	128.79	197.09	169.07	201.25	172.65	223.41	133.36	164.42	127.0	231.32	104.42	138.1	134.3	166.73	185.11	152.28	206.94	248.0	139.07	134.3	102.25	66.18	169.07	87.65	172.65	52.08	181.28	187.71	269.6	108.9	543.96	376.41	246.28
MFSD1	1605.83	1870.53	1427.22	1551.09	2664.15	1844.76	1242.34	2537.92	1721.16	1769.57	1583.71	1819.35	1651.0	1594.73	909.17	1819.35	1191.69	1191.69	2255.7	1044.52	2090.03	2502.97	2075.59	1477.58	1540.37	2255.7	1594.73	2090.03	2148.82	1437.15	1991.0	1583.71	2133.97	2520.38	2956.17	2303.12	1572.76	967.76	1313.23	1540.37	2468.49	2485.67	1991.0	866.07	638.15	2224.63	2319.15	1037.29	830.75	473.41	878.17	713.11	1175.27	698.41	921.88	1008.9	412.0	579.04	444.72	941.27	995.0	1001.93	995.0	674.59	743.43	775.05	1104.13	860.08	612.11	1250.98	1159.07	583.07	718.08	651.58	571.05	587.13	642.59	1088.92	708.18	1111.82	866.07	688.78	860.08	638.15	1104.13	1617.0	748.61	1781.89	1594.73	1617.0	1143.1	1167.14	1277.29	836.53	808.0	1457.23	1583.71	1277.29	1167.14	1350.18	1175.27	819.3	728.11	1191.69	995.0	890.44	1135.2	1167.14	764.36	1111.82	1340.84	1250.98	1277.29	1191.69	624.99	660.68	1369.04	902.89	603.67	1008.9	684.02	1088.92	1088.92	684.02	1437.15	1135.2	796.86	642.59	587.13	733.19	1437.15	866.07	988.12	438.59	1242.34	718.08	679.29	878.17	2627.46	4123.49	1896.65
MKRN2	447.82	447.82	341.51	409.15	426.57	447.82	392.44	379.04	341.51	466.88	536.45	353.59	429.54	457.25	420.68	379.04	403.5	473.41	361.04	334.46	409.15	409.15	406.31	323.03	406.31	356.05	450.94	497.0	486.75	429.54	483.38	466.88	536.45	466.88	438.59	346.29	633.73	314.17	426.57	384.34	612.11	409.15	599.49	202.66	234.57	287.01	400.71	305.55	444.72	171.45	248.0	197.09	353.59	214.27	212.78	457.25	275.28	199.85	309.83	307.69	242.88	190.34	185.11	224.97	336.79	198.47	253.23	198.47	173.85	204.07	269.6	165.57	187.71	172.65	248.0	205.5	191.67	228.13	171.45	170.25	231.32	124.37	211.31	204.07	206.94	132.44	127.0	239.52	186.4	221.86	212.78	169.07	258.57	265.87	234.57	341.51	211.31	237.86	189.02	305.55	249.73	161.02	153.34	239.52	197.09	187.71	209.84	217.27	175.07	204.07	241.19	172.65	301.33	171.45	295.11	198.47	269.6	220.32	112.77	176.29	226.54	295.11	307.69	181.28	325.29	334.46	167.9	164.42	154.42	110.43	209.84	180.02	217.27	96.68	295.11	144.01	406.31	133.36	587.13	679.29	633.73
MOB1A	1437.15	1844.76	1388.16	1008.9	1806.78	1447.15	1081.39	1674.06	1359.57	2004.85	934.76	1407.55	1583.71	1369.04	1175.27	1250.98	1127.35	1304.15	1225.22	1572.76	1388.16	1745.2	1757.34	1127.35	1407.55	1127.35	1447.15	1883.54	2047.0	1529.73	1883.54	1111.82	1806.78	1745.2	2061.24	1066.48	2133.97	928.3	1583.71	1286.18	1832.01	1883.54	1651.0	373.81	400.71	1697.45	3395.89	438.59	579.04	351.14	320.8	432.53	660.68	406.31	351.14	454.09	457.25	244.57	551.56	466.88	356.05	518.15	368.65	281.09	403.5	297.17	503.95	356.05	275.28	547.75	463.65	253.23	228.13	366.09	343.89	327.56	348.71	476.71	301.33	620.67	486.75	343.89	414.87	320.8	591.22	981.29	371.22	1023.0	733.19	638.15	780.44	454.09	497.0	629.35	384.34	764.36	693.58	769.69	521.76	1001.93	669.92	291.04	279.14	759.08	429.54	444.72	571.05	246.28	381.68	703.28	454.09	432.53	551.56	454.09	273.37	607.87	543.96	961.07	229.72	612.11	361.04	486.75	473.41	497.0	503.95	579.04	265.87	273.37	264.03	229.72	579.04	329.84	503.95	224.97	480.04	521.76	536.45	314.17	2178.83	2240.11	1594.73
MTPN	1540.37	1963.57	1378.57	780.44	1936.53	2061.24	1023.0	1685.71	1369.04	2061.24	1498.22	1651.0	1498.22	1447.15	1794.29	1397.83	1135.2	988.12	2255.7	1397.83	1651.0	1674.06	1896.65	1233.75	1628.26	1561.89	1467.37	1225.22	1757.34	1594.73	2061.24	1322.37	2032.85	2224.63	2119.22	1350.18	2209.26	1295.13	2434.5	1417.35	1183.45	2133.97	2555.58	256.78	301.33	2367.9	3280.18	339.14	651.58	223.41	173.85	323.03	733.19	205.5	218.79	466.88	295.11	159.9	547.75	529.06	262.2	273.37	454.09	271.48	299.25	159.9	457.25	318.57	170.25	612.11	591.22	212.78	239.52	231.32	271.48	241.19	363.56	543.96	246.28	616.37	444.72	262.2	454.09	269.6	571.05	819.3	287.01	638.15	651.58	759.08	555.41	406.31	647.07	480.04	277.2	791.35	1037.29	507.46	532.74	1044.52	688.78	211.31	255.0	896.64	444.72	343.89	693.58	420.68	279.14	587.13	591.22	591.22	551.56	483.38	248.0	624.99	718.08	825.0	329.84	414.87	356.05	638.15	490.14	665.29	723.08	723.08	229.72	186.4	215.77	299.25	334.46	267.73	409.15	140.04	612.11	348.71	579.04	281.09	2163.77	1769.57	3768.09
NAA30	297.17	291.04	336.79	234.57	291.04	293.07	218.79	208.38	289.02	368.65	208.38	406.31	229.72	299.25	307.69	226.54	211.31	204.07	234.57	283.05	234.57	483.38	271.48	217.27	275.28	287.01	242.88	395.18	218.79	262.2	363.56	275.28	532.74	376.41	470.14	253.23	785.88	316.37	293.07	181.28	414.87	728.11	543.96	169.07	152.28	229.72	450.94	105.15	224.97	132.44	137.14	150.17	205.5	164.42	173.85	231.32	140.04	108.14	229.72	139.07	163.28	154.42	177.53	90.77	182.55	129.69	201.25	130.6	155.5	226.54	220.32	162.14	115.97	151.22	175.07	193.01	182.55	176.29	156.59	231.32	186.4	137.14	262.2	176.29	156.59	133.36	128.79	186.4	163.28	153.34	190.34	144.01	150.17	165.57	151.22	295.11	237.86	269.6	99.43	320.8	182.55	111.99	158.79	223.41	169.07	199.85	237.86	141.02	131.51	166.73	167.9	142.01	151.22	204.07	122.64	149.12	167.9	246.28	161.02	176.29	156.59	180.02	169.07	185.11	175.07	165.57	149.12	151.22	119.26	114.36	145.02	115.16	211.31	97.36	162.14	181.28	236.21	147.06	299.25	223.41	323.03
NCKAP1	1923.14	1806.78	1551.09	1359.57	896.64	1594.73	1259.69	1313.23	1540.37	2104.58	1023.0	1437.15	2075.59	1685.71	1936.53	1059.11	1183.45	1268.46	2018.8	1477.58	1498.22	2090.03	1909.85	1250.98	1769.57	1183.45	1685.71	2047.0	2075.59	1617.0	2163.77	1594.73	2271.4	2255.7	2627.46	1617.0	3928.15	1340.84	1857.6	1794.29	2240.11	2520.38	1844.76	406.31	559.28	1417.35	3349.13	848.22	669.92	387.02	316.37	450.94	1208.34	591.22	490.14	796.86	571.05	251.48	848.22	575.03	392.44	642.59	486.75	507.46	457.25	521.76	603.67	466.88	366.09	591.22	647.07	305.55	303.44	406.31	466.88	384.34	511.0	529.06	403.5	607.87	514.56	392.44	486.75	493.56	463.65	616.37	358.54	603.67	921.88	896.64	551.56	429.54	642.59	698.41	389.72	1417.35	860.08	607.87	447.82	1437.15	780.44	447.82	409.15	698.41	490.14	320.8	808.0	403.5	454.09	669.92	669.92	665.29	559.28	567.1	297.17	785.88	620.67	583.07	381.68	638.15	470.14	583.07	599.49	426.57	470.14	723.08	371.22	275.28	260.38	309.83	563.18	316.37	656.11	224.97	866.07	718.08	450.94	301.33	2032.85	2303.12	2335.28
NEDD1	525.39	400.71	209.84	327.56	307.69	363.56	395.18	336.79	575.03	543.96	231.32	348.71	271.48	368.65	158.79	373.81	204.07	285.03	236.21	291.04	336.79	748.61	363.56	239.52	309.83	220.32	293.07	318.57	463.65	356.05	486.75	301.33	612.11	400.71	575.03	260.38	536.45	269.6	389.72	301.33	599.49	764.36	587.13	53.95	67.59	420.68	507.46	81.71	100.13	55.89	37.85	60.39	122.64	46.18	60.82	89.51	68.07	20.71	136.19	92.05	45.85	99.43	51.71	70.51	46.18	36.79	54.72	45.85	40.93	68.07	57.89	21.94	17.9	34.75	36.79	38.4	48.18	72.01	40.36	60.39	71.0	38.67	57.08	37.05	90.14	150.17	43.94	157.68	157.68	92.05	45.53	72.01	70.51	61.68	45.21	114.36	116.78	73.54	55.89	108.14	90.77	33.54	26.1	76.71	58.71	36.27	95.34	44.89	61.68	84.04	87.65	69.03	52.08	51.35	48.18	66.65	52.82	90.14	40.64	45.21	42.11	53.57	44.89	86.43	74.06	59.55	31.9	39.79	40.93	24.46	100.83	57.89	84.63	19.25	47.17	48.18	62.12	27.64	571.05	318.57	432.53
NEK10	463.65	995.0	73.54	915.51	2384.37	119.26	32.82	503.95	237.86	620.67	1183.45	18.7	18.84	281.09	134.3	92.05	1104.13	117.6	33.54	316.37	248.0	961.07	89.51	275.28	638.15	258.57	723.08	7.88	361.04	341.51	473.41	400.71	190.34	476.71	348.71	173.85	204.07	346.29	454.09	1250.98	559.28	2335.28	486.75	25.54	42.71	8.06	59.55	8.19	29.06	31.45	14.67	21.78	41.81	1.46	37.85	67.12	55.49	8.32	31.45	21.32	11.73	182.55	33.54	10.31	14.67	67.12	16.51	15.22	8.78	5.23	6.52	21.16	24.46	23.93	39.22	15.45	34.75	17.64	8.32	4.21	17.25	3.08	6.01	3.56	4.74	12.83	59.97	9.7	2.76	19.39	6.46	10.31	25.91	7.57	16.75	6.67	12.0	17.77	4.24	6.11	3.86	6.52	13.42	20.26	7.46	0.48	13.62	22.92	9.56	2.18	12.0	10.0	22.59	13.42	6.62	7.28	10.96	32.13	5.19	4.78	2.51	3.29	40.07	7.06	6.94	22.59	4.74	25.17	21.47	12.36	10.55	52.08	5.41	7.17	11.3	12.18	35.5	12.93	155.5	19.39	435.55
NF1	473.41	503.95	279.14	307.69	392.44	438.59	273.37	480.04	518.15	624.99	267.73	215.77	312.0	220.32	351.14	447.82	249.73	237.86	551.56	444.72	507.46	567.1	353.59	376.41	450.94	289.02	497.0	232.94	620.67	470.14	642.59	346.29	769.69	579.04	525.39	457.25	665.29	329.84	400.71	414.87	543.96	595.34	791.35	108.14	130.6	406.31	587.13	156.59	212.78	113.56	105.15	70.51	249.73	132.44	89.51	169.07	125.24	65.26	253.23	135.24	85.82	100.13	107.38	65.72	131.51	104.42	132.44	74.58	93.35	146.03	182.55	75.64	52.08	115.16	78.34	107.38	129.69	159.9	89.51	194.36	133.36	104.42	105.89	105.15	120.94	108.14	92.05	126.12	93.35	237.86	223.41	104.42	133.36	373.81	84.63	189.02	173.85	106.63	84.63	291.04	143.01	96.01	63.0	158.79	120.94	50.63	197.09	89.51	76.17	161.02	124.37	158.79	148.09	122.64	70.51	195.72	123.5	187.71	43.94	125.24	104.42	69.52	183.82	141.02	114.36	162.14	98.04	89.51	128.79	53.57	166.73	66.65	127.0	87.03	158.79	153.34	253.23	73.54	289.02	307.69	583.07
NFYB	1030.12	866.07	507.46	587.13	703.28	902.89	738.29	884.29	718.08	961.07	555.41	775.05	981.29	802.41	470.14	780.44	607.87	872.1	896.64	764.36	780.44	1304.15	884.29	884.29	802.41	708.18	836.53	1001.93	967.76	941.27	1088.92	909.17	1216.75	1081.39	1259.69	629.35	1127.35	660.68	718.08	698.41	1819.35	1487.87	954.43	688.78	525.39	555.41	1175.27	273.37	616.37	669.92	616.37	493.56	748.61	503.95	607.87	1909.85	376.41	307.69	669.92	473.41	521.76	620.67	441.64	703.28	532.74	647.07	651.58	713.11	454.09	454.09	563.18	403.5	320.8	551.56	412.0	511.0	420.68	559.28	412.0	373.81	438.59	583.07	400.71	587.13	371.22	503.95	669.92	241.19	583.07	514.56	339.14	599.49	206.94	521.76	381.68	571.05	595.34	551.56	473.41	366.09	518.15	866.07	285.03	379.04	234.57	423.61	486.75	316.37	435.55	529.06	507.46	435.55	583.07	525.39	616.37	514.56	420.68	379.04	571.05	514.56	457.25	358.54	791.35	400.71	291.04	866.07	559.28	476.71	314.17	674.59	1008.9	343.89	486.75	206.94	444.72	555.41	764.36	376.41	684.02	1199.98	961.07
NMD3	921.88	1304.15	1135.2	769.69	1242.34	1216.75	698.41	1225.22	708.18	1001.93	1733.13	1119.56	1015.93	921.88	1359.57	669.92	813.63	665.29	995.0	921.88	1304.15	1437.15	1059.11	764.36	1111.82	1023.0	791.35	1030.12	1175.27	1066.48	1369.04	854.13	1870.53	1151.06	1407.55	1250.98	2119.22	1119.56	2335.28	1183.45	1583.71	2133.97	1583.71	988.12	775.05	1104.13	1208.34	603.67	764.36	438.59	780.44	514.56	915.51	529.06	698.41	796.86	368.65	497.0	679.29	769.69	698.41	769.69	759.08	748.61	423.61	429.54	954.43	463.65	693.58	967.76	1051.79	713.11	518.15	884.29	902.89	669.92	665.29	890.44	759.08	718.08	947.83	713.11	954.43	642.59	547.75	684.02	941.27	878.17	890.44	1059.11	1191.69	884.29	1572.76	836.53	947.83	1963.57	1051.79	808.0	688.78	1457.23	961.07	651.58	748.61	1127.35	567.1	392.44	981.29	703.28	521.76	1304.15	995.0	884.29	947.83	1159.07	612.11	1073.91	1208.34	460.44	656.11	1313.23	974.5	1135.2	961.07	684.02	1304.15	743.43	733.19	981.29	718.08	1023.0	947.83	503.95	802.41	575.03	713.11	1119.56	599.49	420.68	1427.22	1135.2	2384.37
NSUN3	111.21	202.66	148.09	146.03	183.82	175.07	96.68	164.42	194.36	205.5	124.37	105.15	142.01	191.67	170.25	152.28	129.69	133.36	119.26	172.65	271.48	341.51	172.65	147.06	180.02	140.04	191.67	109.66	183.82	182.55	237.86	177.53	289.02	189.02	251.48	155.5	170.25	135.24	202.66	134.3	199.85	325.29	283.05	64.8	93.35	209.84	241.19	57.08	120.94	52.45	88.26	88.88	105.89	110.43	93.35	110.43	70.01	78.89	89.51	80.01	80.01	127.89	63.45	57.49	97.36	48.18	91.41	74.06	67.12	87.03	100.83	50.63	64.34	71.5	50.98	72.52	60.39	68.55	60.82	84.04	82.29	78.34	85.22	83.45	84.63	66.18	74.06	111.99	104.42	119.26	82.87	49.56	94.67	120.1	59.55	122.64	83.45	70.51	70.51	86.43	66.65	63.0	31.0	98.04	83.45	97.36	90.14	52.82	61.68	71.0	60.82	68.55	87.65	41.81	87.03	120.1	152.28	181.28	92.7	91.41	86.43	105.15	96.01	83.45	65.72	80.57	102.97	73.03	66.18	84.04	81.14	85.82	62.56	32.13	52.08	49.91	85.82	78.34	234.57	217.27	165.57
NUB1	1369.04	1674.06	1605.83	1233.75	1733.13	1674.06	1286.18	1674.06	1208.34	1572.76	1427.22	1250.98	1304.15	1437.15	1088.92	1674.06	1397.83	1066.48	1313.23	1295.13	1685.71	1896.65	1594.73	1191.69	1447.15	1242.34	1268.46	1151.06	1781.89	1498.22	1977.24	1605.83	1757.34	1561.89	1651.0	1605.83	1909.85	1639.59	1417.35	1159.07	3303.0	1909.85	1769.57	579.04	587.13	2018.8	2271.4	591.22	1037.29	599.49	733.19	1662.49	928.3	473.41	825.0	860.08	836.53	660.68	769.69	1159.07	819.3	1628.26	954.43	921.88	708.18	733.19	813.63	836.53	536.45	656.11	769.69	470.14	500.46	500.46	555.41	555.41	503.95	642.59	555.41	595.34	587.13	511.0	595.34	441.64	728.11	633.73	684.02	713.11	612.11	954.43	890.44	529.06	406.31	902.89	660.68	1519.15	718.08	571.05	551.56	796.86	612.11	753.83	420.68	748.61	603.67	669.92	733.19	480.04	656.11	842.36	872.1	836.53	547.75	669.92	483.38	780.44	860.08	679.29	493.56	500.46	808.0	902.89	599.49	486.75	420.68	988.12	514.56	571.05	463.65	389.72	647.07	532.74	693.58	346.29	679.29	624.99	547.75	470.14	1286.18	1529.73	2119.22
NUP153	384.34	536.45	764.36	341.51	599.49	555.41	289.02	543.96	444.72	759.08	497.0	629.35	457.25	414.87	595.34	470.14	387.02	307.69	417.77	500.46	507.46	607.87	441.64	346.29	521.76	339.14	529.06	503.95	612.11	743.43	629.35	551.56	1088.92	651.58	915.51	521.76	1037.29	429.54	713.11	669.92	981.29	1015.93	718.08	279.14	191.67	444.72	599.49	289.02	293.07	157.68	120.94	189.02	316.37	242.88	178.77	332.14	371.22	153.34	318.57	264.03	154.42	142.01	150.17	151.22	182.55	104.42	218.79	140.04	133.36	287.01	253.23	143.01	144.01	139.07	285.03	175.07	239.52	256.78	152.28	373.81	325.29	195.72	323.03	277.2	256.78	212.78	173.85	148.09	234.57	343.89	234.57	152.28	400.71	283.05	228.13	669.92	299.25	202.66	190.34	607.87	239.52	248.0	85.22	316.37	323.03	121.79	241.19	348.71	171.45	277.2	373.81	277.2	205.5	122.64	176.29	246.28	470.14	490.14	127.89	291.04	178.77	224.97	314.17	172.65	265.87	178.77	112.77	186.4	271.48	154.42	197.09	256.78	167.9	368.65	159.9	205.5	112.77	100.83	633.73	860.08	909.17
NUP54	791.35	651.58	909.17	563.18	629.35	723.08	463.65	638.15	660.68	961.07	1757.34	629.35	536.45	718.08	733.19	599.49	674.59	559.28	595.34	583.07	521.76	785.88	656.11	575.03	785.88	551.56	647.07	890.44	429.54	791.35	902.89	825.0	1295.13	915.51	1151.06	718.08	2119.22	624.99	1331.57	743.43	1008.9	1313.23	961.07	368.65	343.89	575.03	780.44	518.15	480.04	303.44	293.07	312.0	429.54	295.11	381.68	241.19	406.31	297.17	460.44	258.57	289.02	358.54	307.69	299.25	403.5	318.57	363.56	265.87	265.87	253.23	371.22	242.88	99.43	265.87	255.0	281.09	229.72	361.04	231.32	339.14	327.56	255.0	318.57	258.57	289.02	289.02	208.38	205.5	341.51	285.03	397.93	195.72	316.37	389.72	256.78	460.44	221.86	343.89	244.57	450.94	279.14	318.57	169.07	314.17	287.01	199.85	231.32	214.27	190.34	246.28	329.84	242.88	229.72	167.9	320.8	450.94	251.48	318.57	231.32	248.0	299.25	161.02	232.94	275.28	275.28	183.82	291.04	295.11	339.14	120.1	242.88	381.68	232.94	253.23	206.94	138.1	299.25	275.28	802.41	1331.57	1883.54
PCNP	1909.85	3257.52	3443.31	2367.9	2816.11	3190.46	1745.2	3325.99	2367.9	3349.13	2682.69	3103.19	2485.67	3081.75	2434.5	2240.11	2193.99	2591.27	2287.2	2351.53	2384.37	3280.18	3124.78	2119.22	3039.3	2609.3	3060.45	2104.58	2875.3	3257.52	4066.71	3081.75	5183.54	3794.3	5791.62	2796.65	6561.36	3955.48	3665.02	3639.7	4298.64	5183.54	3614.55	1369.04	1427.22	2895.31	4358.66	1551.09	1617.0	1066.48	1233.75	896.64	1832.01	1268.46	1015.93	1745.2	1331.57	703.28	1639.59	1286.18	902.89	1313.23	961.07	909.17	866.07	954.43	1322.37	988.12	848.22	1030.12	1183.45	780.44	514.56	947.83	860.08	1183.45	1023.0	1088.92	902.89	1044.52	1111.82	1059.11	1081.39	1037.29	1081.39	1583.71	1175.27	2032.85	1487.87	1322.37	1233.75	1023.0	1111.82	1733.13	728.11	2090.03	1551.09	988.12	909.17	1832.01	1119.56	848.22	854.13	1081.39	1167.14	1135.2	2004.85	1030.12	902.89	1208.34	988.12	890.44	1044.52	1304.15	896.64	1883.54	1167.14	1909.85	866.07	1225.22	860.08	1001.93	1208.34	1991.0	1191.69	1331.57	836.53	884.29	866.07	866.07	1001.93	688.78	1225.22	651.58	1001.93	1135.2	1322.37	764.36	2777.33	3614.55	4575.41
PIK3C2A	480.04	708.18	500.46	314.17	698.41	620.67	202.66	525.39	486.75	466.88	438.59	713.11	346.29	414.87	400.71	353.59	432.53	258.57	381.68	447.82	595.34	599.49	368.65	312.0	543.96	271.48	612.11	379.04	665.29	796.86	791.35	473.41	791.35	825.0	660.68	579.04	1143.1	450.94	854.13	312.0	665.29	759.08	728.11	104.42	149.12	429.54	1159.07	79.45	226.54	109.66	102.25	87.03	316.37	181.28	106.63	318.57	72.01	62.12	202.66	226.54	49.91	89.51	113.56	65.72	124.37	104.42	148.09	79.45	98.73	181.28	211.31	87.65	23.93	95.34	90.77	102.97	128.79	181.28	97.36	237.86	199.85	104.42	148.09	134.3	127.89	159.9	81.14	185.11	171.45	312.0	293.07	150.17	212.78	183.82	80.57	403.5	358.54	150.17	150.17	414.87	185.11	135.24	107.38	177.53	228.13	111.99	181.28	171.45	71.0	135.24	208.38	242.88	191.67	208.38	113.56	186.4	206.94	363.56	87.03	144.01	97.36	86.43	194.36	133.36	211.31	111.99	92.7	108.9	122.64	77.79	211.31	76.71	131.51	130.6	167.9	224.97	94.01	92.05	547.75	616.37	728.11
