	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
NUMA1	2255.7	4769.75	1639.59	1119.56	1757.34	1208.34	10883.59	3901.01	3081.75	3257.52	1127.35	656.11	1286.18	1191.69	1250.98	995.0	1111.82	1467.37	1477.58	1844.76	2255.7	2047.0	884.29	1709.26	2047.0	981.29	1519.15	1225.22	1417.35	1594.73	1594.73	2224.63	1407.55	1322.37	1407.55	2627.46	1427.22	2075.59	1883.54	1923.14	2682.69	1081.39	2271.4	1427.22	1651.0	1572.76	1819.35	1159.07	1467.37	1159.07	1467.37	1233.75	1059.11	825.0	1322.37	1397.83	1015.93	1135.2	1277.29	1096.5	1313.23	884.29	872.1	934.76	1001.93	1216.75	1628.26	1015.93	921.88	1023.0	1119.56	1001.93	1322.37	1159.07	1721.16	909.17	1059.11	738.29	974.5	595.34	1388.16	1427.22	1183.45	718.08	647.07	1378.57	909.17	633.73	1427.22	1096.5	1225.22	638.15	1259.69	1088.92	988.12	1199.98	813.63	1268.46	1417.35	1015.93	1135.2	1023.0	1268.46	1397.83	909.17	808.0	902.89	941.27	1023.0	854.13	1151.06	1697.45	1151.06	1388.16	1745.2	1304.15	748.61	1583.71	1175.27	579.04	1359.57	1268.46	902.89	902.89	791.35	1044.52	3515.68	5479.15	3639.7	6745.86	4512.4	4010.71	8247.98	5995.9	4704.07	4543.8	5479.15	3257.52	4575.41
NUSAP1	1242.34	995.0	575.03	54.33	95.34	94.67	5517.27	748.61	201.25	348.71	241.19	55.49	182.55	307.69	53.19	166.73	116.78	151.22	381.68	2119.22	1167.14	988.12	131.51	423.61	836.53	191.67	239.52	228.13	769.69	265.87	158.79	332.14	638.15	183.82	199.85	785.88	718.08	514.56	217.27	583.07	629.35	262.2	1896.65	117.6	271.48	825.0	954.43	819.3	563.18	70.51	121.79	62.12	49.21	71.5	83.45	120.1	75.64	89.51	98.04	165.57	39.5	25.35	52.45	115.16	69.52	104.42	76.17	61.68	78.89	78.89	48.18	136.19	214.27	51.35	180.02	37.59	23.76	177.53	31.9	77.25	158.79	51.35	53.57	48.87	44.89	43.63	142.01	172.65	47.84	115.97	139.07	126.12	102.25	90.77	182.55	85.22	27.84	473.41	136.19	206.94	72.01	139.07	83.45	37.32	101.54	27.05	50.27	63.89	130.6	64.34	77.25	92.7	185.11	68.55	92.7	420.68	39.79	170.25	75.64	40.93	89.51	96.01	29.06	204.07	152.28	111.21	423.61	813.63	703.28	902.89	1551.09	134.3	41.52	33.3	1529.73	1250.98	854.13	1498.22	1119.56
ORC1	115.16	59.97	47.84	3.56	4.86	1.97	100.83	289.02	30.56	19.53	28.45	10.55	12.27	25.54	7.0	12.74	9.56	8.19	16.88	134.3	127.0	351.14	12.74	46.18	38.4	15.11	16.88	9.78	73.54	26.86	7.17	33.78	84.04	14.14	22.26	43.32	61.25	36.27	17.77	57.08	47.17	21.63	172.65	31.0	16.03	277.2	98.73	88.88	19.11	5.02	2.18	5.19	7.57	2.58	7.22	2.18	0.79	3.76	2.01	17.77	3.76	0.82	1.27	7.46	2.05	2.97	3.38	3.29	5.92	3.29	0.8	16.51	26.67	0.78	11.82	5.02	4.7	2.84	10.55	4.58	5.87	0.79	9.7	2.53	1.45	1.89	34.75	3.06	5.54	4.28	7.11	3.96	3.29	5.19	7.0	3.92	2.03	21.47	8.0	8.92	4.94	26.47	2.66	9.06	2.89	4.74	4.17	19.25	5.82	1.28	2.07	2.36	6.52	13.03	7.46	21.63	4.82	13.93	0.52	2.29	1.31	2.2	15.91	4.31	13.52	5.06	85.82	51.71	135.24	126.12	248.0	23.42	8.92	25.72	150.17	104.42	88.26	88.88	145.02
ORC6	229.72	183.82	108.9	11.04	23.59	11.3	728.11	423.61	35.25	92.05	54.72	16.39	19.53	71.0	28.65	37.32	20.56	16.75	72.52	291.04	151.22	435.55	36.27	71.5	264.03	37.85	40.64	25.17	110.43	59.13	6.57	56.68	92.05	32.59	38.12	75.11	703.28	112.77	34.02	83.45	52.82	51.71	150.17	48.18	24.99	336.79	71.5	114.36	36.01	1.91	17.25	2.18	18.29	3.82	6.94	4.24	3.66	9.85	8.0	40.93	14.14	1.43	1.83	17.38	6.36	8.65	13.62	7.75	7.46	12.55	4.39	34.02	50.27	3.72	32.36	13.12	9.2	20.56	24.46	14.24	17.13	5.59	25.54	10.96	4.62	3.72	38.95	5.73	9.7	8.85	27.25	5.92	5.36	9.06	10.08	18.43	8.06	76.71	11.55	21.01	0.32	44.25	7.69	9.7	3.08	4.54	8.65	27.25	6.89	1.33	8.51	7.57	4.03	26.28	11.04	66.65	4.28	12.45	3.29	2.2	13.72	11.47	18.43	1.01	5.23	8.06	260.38	279.14	336.79	387.02	647.07	72.52	34.26	20.26	339.14	423.61	336.79	633.73	947.83
ORM1	6.41	29.7	459592.86	1246973.04	811368.76	762299.34	0.0	159.9	0.0	176.29	459592.86	610654.84	313910.86	402881.61	875652.15	822695.06	875652.15	938500.81	311742.51	338781.54	279017.26	63742.91	499455.67	156954.93	146444.06	450134.56	309589.14	938500.81	706337.4	668235.84	659036.03	811368.76	324980.94	938500.81	244588.0	121448.75	701458.36	234624.45	365622.68	146444.06	345900.08	456418.21	492579.5	152662.96	636586.81	554180.87	228208.61	554180.87	91404.92	627822.72	1282030.25	1864037.21	789181.81	469249.9	839981.65	1578364.61	1264380.15	762299.34	1012856.65	422911.59	1524599.69	822695.06	1155430.26	1383603.33	1255646.43	851707.37	1026995.62	1751305.3	1916442.45	627822.72	794671.01	1890058.21	475800.4	851707.37	2156109.97	1345768.59	4136558.78	3676749.88	3070409.25	2691538.19	1482909.4	1656835.72	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	3313672.43	1775752.63	1916442.45	3780117.42	4165330.83	1956711.0	869603.57	2986448.72	2082664.91	3313672.43	1355129.16	2617937.91	2654482.97	1374046.07	5572911.22	767601.56	1070607.81	8505707.6	1851161.35	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1308968.45	1656835.72	985160.01	1600397.78	1514068.5	6183532.28	751804.53	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	2068278.89	1318073.06	1739208.14	119.26	27.84	356.05	1.25	204.07	262143.0	1715263.94	3223059.86	825.0	22.1	753.83	9.27	3.47
PARPBP	285.03	141.02	87.65	11.13	12.27	4.98	368.65	309.83	50.98	55.1	31.45	11.3	23.93	52.45	6.36	21.32	4.78	16.27	82.29	148.09	115.16	271.48	7.28	40.07	73.54	31.22	30.34	13.83	68.07	27.05	14.89	31.45	99.43	24.28	62.56	127.89	154.42	58.3	29.91	47.17	64.8	32.82	212.78	32.59	36.53	152.28	68.07	92.7	75.64	5.19	9.7	6.57	8.19	10.31	6.21	10.79	2.76	8.32	5.06	16.88	5.92	1.79	5.41	8.99	6.26	7.75	9.41	3.59	4.39	11.82	2.32	34.02	27.84	12.18	25.72	7.94	9.93	6.01	8.85	9.7	4.94	4.82	10.16	13.32	5.36	8.51	26.47	19.39	5.15	2.32	13.22	6.41	1.77	11.3	6.26	3.32	3.53	34.02	3.79	17.77	1.87	12.36	8.65	39.5	2.51	6.84	7.94	11.38	6.36	3.0	2.16	6.89	2.41	7.22	8.45	34.26	10.08	13.42	1.11	2.89	7.0	7.46	15.0	3.0	12.18	11.82	132.44	108.9	75.11	209.84	373.81	44.89	23.93	26.86	343.89	224.97	146.03	269.6	336.79
PBK	116.78	201.25	164.42	11.55	0.42	1.31	447.82	738.29	23.59	37.32	66.18	8.71	23.93	98.04	7.46	31.67	4.5	17.0	62.12	273.37	94.67	575.03	19.11	40.07	167.9	50.63	45.53	41.81	128.79	46.18	47.5	35.76	173.85	22.26	105.89	117.6	119.26	75.64	24.46	53.95	142.01	58.3	269.6	76.71	20.11	215.77	186.4	110.43	220.32	2.61	30.34	5.82	8.92	2.32	25.54	5.41	1.27	13.93	2.34	32.82	4.82	0.35	0.0	2.76	3.96	8.0	4.74	6.73	3.72	5.11	1.31	62.12	37.85	1.81	35.25	5.59	4.28	17.51	10.08	30.78	4.86	3.41	13.52	0.0	3.89	3.0	44.89	4.13	1.79	0.0	21.01	3.11	6.11	0.0	6.36	0.0	2.53	105.15	8.25	47.17	3.89	24.63	14.78	0.0	0.0	5.23	3.89	7.0	2.32	0.0	0.0	1.93	0.0	15.91	39.22	69.03	8.85	20.11	0.0	3.32	4.24	10.24	9.48	3.08	5.77	17.38	100.83	152.28	103.69	287.01	583.07	49.91	14.78	25.35	171.45	148.09	283.05	217.27	279.14
PHF19	684.02	483.38	466.88	84.63	114.36	115.16	2178.83	1111.82	353.59	229.72	262.2	50.63	111.21	156.59	206.94	99.43	55.1	80.01	226.54	525.39	651.58	878.17	100.13	153.34	563.18	138.1	141.02	140.04	341.51	239.52	96.68	205.5	264.03	131.51	206.94	684.02	660.68	447.82	277.2	146.03	341.51	223.41	1088.92	327.56	81.71	555.41	409.15	318.57	201.25	85.82	41.52	39.79	84.04	64.34	63.45	60.39	28.86	70.01	50.27	127.0	85.22	46.84	55.49	53.19	48.52	68.55	78.34	68.55	76.17	69.03	39.22	111.21	166.73	19.82	215.77	111.99	112.77	45.53	74.06	99.43	151.22	50.63	80.01	33.3	42.11	23.08	180.02	17.13	45.21	33.54	61.25	63.89	63.0	62.56	115.97	87.65	45.53	239.52	47.17	117.6	57.89	53.57	68.07	98.73	64.8	63.0	27.64	53.19	231.32	39.5	19.25	52.45	60.82	151.22	90.77	312.0	23.93	206.94	30.78	29.91	38.12	54.33	57.08	69.52	134.3	50.27	884.29	312.0	1388.16	785.88	1662.49	307.69	150.17	229.72	665.29	848.22	679.29	848.22	679.29
PKMYT1	1322.37	713.11	599.49	53.19	36.27	27.64	1066.48	518.15	157.68	217.27	241.19	42.11	73.54	260.38	99.43	127.0	65.26	68.55	102.97	679.29	1081.39	688.78	163.28	218.79	575.03	136.19	80.01	78.34	229.72	145.02	86.43	147.06	571.05	91.41	61.25	258.57	190.34	435.55	122.64	289.02	287.01	111.99	860.08	463.65	47.5	796.86	371.22	273.37	92.05	23.42	45.21	18.43	50.63	22.1	40.93	23.76	11.13	36.79	13.42	143.01	55.89	33.06	15.22	34.75	47.84	19.25	11.38	35.76	34.02	29.91	16.88	52.82	137.14	12.36	78.34	31.9	49.21	43.02	19.68	23.59	67.12	23.59	55.49	12.09	31.9	17.38	141.02	7.88	62.56	10.24	39.79	24.63	23.08	26.47	62.56	35.5	6.78	224.97	33.06	58.71	7.34	73.54	12.93	28.86	22.26	19.25	2.46	35.5	35.25	12.83	8.71	23.25	4.31	88.26	52.45	180.02	12.55	63.0	13.22	23.25	9.93	52.82	18.56	7.57	34.51	24.28	896.64	599.49	656.11	563.18	909.17	189.02	232.94	116.78	432.53	463.65	684.02	1225.22	412.0
PLCB1	88.88	85.22	64.8	40.07	26.67	18.97	414.87	199.85	363.56	251.48	22.1	25.72	93.35	112.77	32.36	98.73	18.29	16.03	358.54	113.56	258.57	368.65	41.81	91.41	9.48	15.56	92.7	182.55	248.0	71.0	125.24	173.85	86.43	76.17	68.07	180.02	373.81	147.06	48.87	177.53	267.73	105.15	341.51	84.63	59.97	358.54	61.68	198.47	109.66	42.11	41.52	40.36	21.78	26.86	88.88	73.54	14.03	30.34	12.0	16.15	35.0	29.91	33.06	26.28	33.06	35.0	34.75	32.13	32.36	114.36	32.82	35.5	48.18	6.46	31.9	10.16	13.93	21.63	14.45	64.34	211.31	7.88	4.39	28.65	132.44	26.1	12.18	91.41	91.41	13.12	8.65	31.0	31.0	49.21	12.64	6.94	18.29	10.24	10.63	43.32	50.27	23.59	26.47	44.25	14.78	9.78	34.75	3.38	105.15	22.92	15.91	80.57	124.37	81.71	71.0	28.65	21.78	5.73	77.79	37.59	7.82	41.81	38.12	15.22	7.75	2.23	185.11	211.31	37.85	647.07	450.94	81.14	376.41	148.09	915.51	366.09	318.57	220.32	198.47
PLEKHN1	41.52	96.01	75.11	2.56	6.01	4.7	76.17	11.73	75.11	63.45	60.39	2.43	5.96	24.99	17.0	21.16	16.39	13.22	23.25	10.63	23.76	13.72	49.91	24.81	19.39	11.13	8.13	54.72	1.58	11.73	10.63	12.45	27.05	13.72	17.38	29.27	14.56	33.78	41.22	66.65	26.67	18.43	21.78	31.45	5.92	6.26	3.63	20.11	14.35	2.71	4.54	1.75	4.1	3.53	1.68	3.86	2.78	4.78	2.29	38.4	6.46	4.1	2.05	5.82	6.73	2.16	14.45	2.39	3.17	2.36	1.0	1.11	10.71	2.86	8.78	20.71	31.67	17.38	16.88	2.68	43.02	0.87	4.54	0.65	3.14	2.03	3.96	1.27	11.91	6.16	0.71	43.32	2.76	1.45	14.14	21.16	4.82	4.24	0.69	7.11	4.39	3.2	7.0	11.73	6.31	8.06	2.36	1.71	16.03	5.45	0.6	6.16	7.22	12.45	1.68	3.14	5.92	8.65	5.87	0.47	22.1	3.14	2.97	21.16	59.55	0.79	166.73	231.32	256.78	105.89	22.92	59.13	67.59	38.67	40.93	60.39	26.67	189.02	48.18
PLK1	708.18	403.5	397.93	38.4	16.63	6.78	583.07	1745.2	150.17	114.36	111.99	30.78	59.97	283.05	32.13	73.03	22.26	44.57	92.7	265.87	283.05	1427.22	36.01	166.73	253.23	102.25	72.52	40.36	571.05	61.25	55.1	153.34	543.96	59.55	58.3	339.14	220.32	379.04	74.06	400.71	457.25	108.14	633.73	199.85	59.13	825.0	236.21	303.44	172.65	11.91	28.65	12.27	13.93	19.68	16.27	15.45	7.82	25.54	11.55	45.21	10.47	8.13	7.94	15.56	13.12	10.24	26.47	10.63	14.67	11.3	8.71	118.43	59.55	18.7	51.71	12.74	16.75	16.63	13.12	22.1	19.39	7.28	13.42	1.69	1.99	21.63	20.56	2.27	24.99	17.0	38.12	10.96	20.41	15.56	39.22	12.45	4.21	136.19	8.13	52.82	16.03	18.84	25.91	7.22	11.55	14.14	22.43	5.82	24.46	2.39	2.89	18.84	53.57	7.88	32.82	83.45	2.25	36.79	9.7	0.0	13.42	16.03	11.04	7.0	29.06	12.93	511.0	579.04	669.92	1030.12	743.43	116.78	25.91	14.35	1923.14	854.13	490.14	693.58	1044.52
PLK4	181.28	94.67	35.76	14.67	20.71	3.14	1551.09	466.88	48.18	47.5	13.12	7.63	23.93	21.94	39.5	21.32	9.2	8.78	36.27	325.29	181.28	154.42	15.22	36.01	63.45	7.57	21.01	17.38	31.67	24.46	24.28	39.79	35.25	26.47	25.91	84.04	59.13	55.1	40.64	38.12	55.89	18.29	307.69	17.13	15.8	253.23	71.5	115.97	40.93	10.31	8.32	10.88	13.72	13.83	15.8	7.06	7.06	30.78	16.15	23.76	7.28	3.14	0.95	5.19	12.09	3.99	5.73	10.63	11.82	7.82	4.7	13.12	44.89	1.55	23.08	13.12	9.78	23.42	14.78	10.0	8.32	17.13	21.16	10.63	8.51	11.13	30.78	9.06	8.32	4.28	22.43	3.2	10.63	3.47	6.46	3.23	5.15	55.1	25.91	33.78	14.67	15.45	21.47	10.55	6.36	6.46	10.16	11.04	2.39	3.17	6.67	2.2	3.53	8.19	9.85	71.5	18.43	19.39	7.4	1.85	17.13	19.82	6.36	11.04	5.06	10.63	187.71	156.59	154.42	175.07	239.52	28.86	16.39	49.91	239.52	195.72	194.36	206.94	164.42
PRC1	1051.79	1051.79	1073.91	52.82	46.18	19.82	2956.17	902.89	264.03	289.02	241.19	59.13	100.83	307.69	72.52	155.5	97.36	87.03	336.79	1819.35	1896.65	1159.07	112.77	346.29	1051.79	177.53	142.01	183.82	575.03	229.72	165.57	395.18	450.94	130.6	141.02	915.51	703.28	813.63	190.34	493.56	612.11	202.66	1551.09	197.09	135.24	1447.15	825.0	620.67	599.49	28.86	89.51	28.45	56.28	31.67	37.32	26.67	45.85	96.68	23.08	156.59	46.18	27.25	31.67	41.81	43.02	33.54	46.84	40.36	37.85	43.32	15.22	163.28	162.14	40.64	166.73	41.52	49.21	53.95	55.1	122.64	50.98	19.53	71.0	20.26	31.67	31.45	167.9	18.97	17.77	33.3	106.63	69.03	44.57	41.52	62.56	31.45	20.11	417.77	19.97	161.02	21.32	76.71	40.07	61.25	42.11	44.89	22.92	88.88	45.53	19.25	9.48	36.27	23.42	61.25	96.68	466.88	20.41	102.97	11.21	30.34	45.53	41.22	57.89	41.81	39.5	48.52	591.22	1088.92	995.0	1583.71	2895.31	186.4	55.1	70.51	1508.65	1963.57	1159.07	1936.53	1233.75
PRKCDBP	921.88	1662.49	146.03	153.34	277.2	120.94	206.94	1540.37	273.37	5872.48	389.72	100.83	175.07	307.69	346.29	237.86	281.09	137.14	567.1	384.34	1233.75	563.18	339.14	251.48	647.07	190.34	277.2	525.39	536.45	255.0	164.42	444.72	236.21	305.55	529.06	208.38	159.9	86.43	285.03	329.84	633.73	743.43	226.54	748.61	249.73	579.04	91.41	1001.93	197.09	197.09	102.97	111.21	149.12	37.85	209.84	152.28	84.63	163.28	73.54	74.58	279.14	38.67	62.12	116.78	231.32	43.02	85.22	191.67	96.68	101.54	140.04	127.0	83.45	80.01	341.51	215.77	351.14	72.01	79.45	262.2	77.79	152.28	255.0	44.25	65.26	158.79	92.05	50.27	25.91	193.01	149.12	117.6	112.77	123.5	161.02	153.34	26.67	100.13	65.26	81.71	260.38	79.45	198.47	73.54	39.22	69.52	47.17	38.4	131.51	68.55	14.35	75.11	275.28	466.88	122.64	343.89	63.0	129.69	66.65	38.12	127.0	83.45	63.0	67.12	74.58	90.14	902.89	1127.35	775.05	540.19	341.51	647.07	171.45	185.11	1498.22	981.29	1628.26	896.64	400.71
PRR11	156.59	112.77	66.65	6.01	8.06	6.11	571.05	267.73	91.41	70.01	33.54	7.06	23.93	40.64	7.75	19.97	4.17	10.24	25.72	110.43	87.65	211.31	5.32	22.26	112.77	11.91	18.84	9.48	60.82	20.11	11.47	29.27	84.04	14.24	16.39	82.87	98.73	229.72	22.43	66.18	98.04	23.93	126.12	22.92	19.25	128.79	107.38	43.32	96.68	7.0	6.36	12.45	7.51	10.71	6.31	18.7	1.43	6.73	3.44	11.13	8.92	1.48	0.89	10.47	6.84	10.08	17.25	6.94	15.68	10.71	5.63	30.34	27.25	5.87	43.32	15.68	8.71	12.36	7.88	26.67	8.58	3.72	10.71	7.0	2.05	12.36	17.38	9.85	1.66	4.5	14.24	4.94	5.68	4.62	18.97	5.59	5.82	51.35	12.0	27.84	7.46	15.22	3.26	28.65	13.03	18.84	4.43	14.03	16.27	3.35	1.93	4.13	1.13	15.91	27.84	47.5	1.91	48.87	3.82	2.92	9.41	7.88	7.28	5.73	7.4	6.41	285.03	208.38	194.36	262.2	441.64	37.32	8.19	41.81	669.92	285.03	128.79	149.12	450.94
PTTG1	1388.16	688.78	1540.37	52.45	67.59	12.93	1923.14	1936.53	285.03	620.67	450.94	96.68	124.37	723.08	101.54	152.28	77.25	170.25	318.57	1467.37	2335.28	2645.74	120.94	708.18	785.88	525.39	175.07	167.9	1001.93	255.0	241.19	409.15	1143.1	197.09	124.37	1437.15	1216.75	1819.35	228.13	583.07	1936.53	486.75	4450.27	769.69	123.5	2468.49	638.15	802.41	507.46	52.08	132.44	24.46	66.18	34.75	41.81	26.28	22.59	88.26	36.01	236.21	45.53	20.56	32.36	62.56	43.02	57.89	51.35	36.53	41.52	45.53	18.16	136.19	206.94	39.79	229.72	67.12	38.67	55.89	59.13	129.69	79.45	42.11	87.65	37.05	40.36	37.85	99.43	12.83	26.28	6.36	115.16	43.02	33.54	41.81	140.04	63.89	21.47	511.0	57.89	147.06	57.49	56.28	72.52	54.72	31.22	23.25	38.4	32.36	129.69	29.27	6.31	19.25	0.0	115.16	155.5	514.56	13.93	115.97	16.03	35.25	52.08	94.67	37.32	19.82	73.54	72.52	1617.0	808.0	1277.29	1819.35	2915.45	273.37	53.57	67.12	2796.65	2777.33	1685.71	4704.07	3589.58
RACGAP1	915.51	486.75	320.8	33.3	20.86	21.32	607.87	825.0	201.25	194.36	151.22	32.13	81.14	145.02	29.91	56.68	49.91	51.71	135.24	450.94	264.03	902.89	44.25	126.12	183.82	85.22	95.34	62.12	332.14	127.0	98.73	123.5	239.52	86.43	153.34	336.79	417.77	181.28	108.9	204.07	291.04	97.36	543.96	117.6	65.26	583.07	295.11	223.41	273.37	33.78	30.78	37.05	31.67	19.39	40.93	44.25	11.91	31.22	22.1	70.01	43.94	23.42	30.56	28.65	21.47	30.12	46.84	26.86	43.02	37.05	31.9	85.22	115.97	28.86	103.69	35.25	65.26	24.28	44.57	43.02	57.89	17.77	33.3	24.99	43.94	38.95	72.01	38.4	34.51	13.52	93.35	25.35	20.11	35.25	43.63	55.1	26.1	186.4	44.25	128.79	16.39	49.91	34.51	70.51	41.52	44.57	23.25	26.28	23.42	10.16	24.28	24.63	29.06	37.05	77.25	108.14	59.13	71.0	15.11	24.11	65.72	31.0	40.07	39.5	41.52	32.82	463.65	403.5	409.15	836.53	1437.15	147.06	82.29	106.63	1417.35	764.36	432.53	406.31	733.19
