	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
SMARCA1	26.1	299.25	1088.92	55.49	53.95	124.37	81.14	39.5	26.28	37.59	97.36	102.25	116.78	318.57	118.43	155.5	94.01	28.24	131.51	320.8	42.41	40.36	53.19	316.37	49.21	85.82	323.03	214.27	57.08	143.01	13.32	40.93	108.14	217.27	267.73	34.26	193.01	26.67	89.51	32.82	31.67	75.11	36.79	63.0	49.91	171.45	27.25	163.28	39.79	265.87	102.25	68.07	137.14	58.3	145.02	33.3	27.84	31.9	21.47	303.44	43.63	90.77	19.11	52.45	223.41	29.7	31.9	65.26	101.54	253.23	36.27	25.35	183.82	25.35	48.52	122.64	33.06	39.79	30.34	251.48	215.77	32.13	111.21	117.6	85.22	194.36	215.77	131.51	209.84	305.55	30.12	303.44	39.22	19.11	825.0	941.27
SOGA1	33.06	166.73	547.75	55.49	45.53	78.34	56.68	34.75	35.5	43.32	61.68	66.18	74.58	197.09	73.54	80.57	61.25	20.86	86.43	166.73	42.41	35.76	55.1	164.42	59.55	60.82	201.25	163.28	54.33	140.04	18.97	40.36	76.17	159.9	159.9	48.87	137.14	30.56	71.5	36.27	38.95	63.0	26.47	35.5	53.57	94.01	43.94	85.82	44.25	165.57	81.14	61.25	96.68	46.18	72.52	25.54	42.71	32.13	30.78	158.79	44.57	78.89	32.36	42.71	157.68	29.27	41.22	50.27	71.5	133.36	35.0	38.4	113.56	32.82	41.81	91.41	35.76	46.18	32.36	165.57	127.0	37.05	84.63	108.14	50.63	114.36	154.42	93.35	142.01	136.19	34.75	193.01	52.82	27.05	351.14	281.09
SORCS3	0.0	6.89	42.71	0.0	2.07	1.97	2.1	0.47	0.4	0.92	0.89	3.5	3.32	4.7	1.6	4.74	1.11	0.21	2.27	6.62	0.23	1.31	0.69	11.21	0.93	1.28	9.27	2.18	2.1	5.45	0.22	1.64	2.61	2.43	3.5	0.21	3.06	0.44	2.73	0.45	0.46	2.07	0.67	0.44	2.41	3.17	0.23	2.58	1.22	5.36	2.46	0.71	1.22	0.2	2.78	0.73	0.69	1.53	0.0	9.13	2.16	2.43	0.68	0.21	5.06	0.53	0.42	0.89	4.5	5.15	1.83	0.47	2.78	0.0	1.89	2.94	0.21	0.68	0.43	5.06	4.46	0.23	1.97	1.93	1.68	4.98	18.03	2.32	5.32	7.11	0.69	6.36	0.47	0.0	20.26	33.06
SOX8	20.56	41.52	60.39	23.25	12.27	14.24	30.12	5.5	7.4	6.41	12.83	7.75	11.13	123.5	18.03	25.91	6.06	8.25	39.79	305.55	17.13	23.59	6.41	105.15	21.01	16.27	191.67	45.53	42.71	33.3	4.82	16.27	43.02	49.56	71.5	6.36	23.59	3.89	21.47	6.31	8.78	43.63	3.35	2.97	15.22	38.12	15.8	27.25	9.13	65.26	65.72	13.22	15.34	13.42	15.34	4.39	8.92	0.67	4.98	173.85	10.47	40.07	3.53	4.66	35.76	11.3	7.06	6.94	21.16	55.49	2.36	8.99	22.43	26.47	17.0	29.06	17.51	12.45	7.51	88.88	45.21	2.73	19.39	94.01	24.28	63.0	66.65	91.41	34.02	97.36	9.7	108.9	8.32	12.18	133.36	45.85
SULF1	80.01	988.12	4123.49	139.07	126.12	514.56	253.23	54.33	90.14	67.12	318.57	195.72	170.25	1417.35	480.04	332.14	143.01	42.41	373.81	1359.57	51.35	103.69	129.69	1697.45	101.54	275.28	1304.15	624.99	147.06	466.88	61.25	39.5	249.73	665.29	819.3	86.43	780.44	46.18	236.21	53.95	78.89	187.71	37.32	145.02	88.26	480.04	34.51	307.69	41.81	890.44	169.07	158.79	206.94	96.68	373.81	74.58	37.32	38.4	39.5	1199.98	82.29	180.02	39.79	109.66	547.75	44.25	82.29	180.02	343.89	536.45	72.52	57.49	543.96	50.63	120.94	325.29	46.5	94.01	47.84	406.31	450.94	55.89	323.03	303.44	239.52	507.46	921.88	301.33	476.71	791.35	76.71	848.22	62.56	24.11	1359.57	2047.0
SULT1C4	2.46	71.0	139.07	13.42	1.16	35.0	11.55	3.63	2.78	19.11	14.03	20.11	30.34	85.82	12.36	16.15	16.39	6.73	22.26	55.49	13.62	12.55	8.99	150.17	7.94	19.68	137.14	51.35	6.46	14.14	3.17	0.0	23.93	31.9	54.33	9.56	34.26	4.03	20.56	9.56	9.63	16.39	3.06	23.76	14.35	16.51	5.77	26.28	14.56	59.13	21.47	15.0	29.06	18.29	17.0	10.47	4.7	9.78	4.31	154.42	12.18	13.62	4.35	10.55	53.95	5.54	10.16	13.62	19.25	40.64	7.82	5.92	36.53	6.26	7.88	32.13	11.82	6.06	6.31	48.52	32.82	8.58	30.56	5.82	16.88	63.45	55.89	48.87	39.5	161.02	10.39	52.08	14.45	6.41	136.19	166.73
SYT11	30.34	277.2	693.58	59.13	55.49	132.44	82.29	38.12	31.0	46.5	77.25	66.18	69.52	303.44	77.79	137.14	65.72	29.91	100.83	511.0	37.05	61.68	53.95	283.05	59.97	108.14	323.03	241.19	57.49	142.01	20.86	42.11	109.66	162.14	214.27	52.82	209.84	29.91	100.83	46.18	41.22	92.05	40.93	75.11	45.53	150.17	39.22	115.16	42.71	275.28	106.63	55.89	132.44	59.55	111.21	52.08	33.3	33.54	19.82	450.94	48.87	88.88	34.75	45.53	193.01	36.53	32.36	63.0	94.67	180.02	35.76	30.34	124.37	30.56	46.84	111.21	27.64	64.34	28.24	197.09	199.85	30.78	111.21	96.68	102.25	138.1	215.77	111.99	204.07	307.69	51.35	291.04	47.5	18.03	438.59	540.19
TBC1D19	31.22	100.83	236.21	25.72	27.05	48.52	30.56	35.0	16.15	35.0	55.49	27.25	41.22	103.69	48.18	47.17	37.59	19.25	57.89	77.79	20.26	22.43	29.27	98.73	36.53	46.5	111.21	71.0	25.17	66.65	23.08	23.08	49.91	66.18	71.5	21.63	79.45	20.56	48.52	29.06	40.07	31.9	23.76	40.07	46.18	64.8	26.28	56.68	28.86	98.04	43.32	60.82	50.27	38.67	40.93	37.85	20.41	31.22	41.81	104.42	34.26	40.36	15.22	27.64	89.51	35.76	41.81	41.81	50.63	51.35	21.63	19.25	44.57	17.38	24.99	38.67	28.65	29.06	24.81	72.01	57.89	26.86	52.45	36.01	59.55	57.08	122.64	63.89	63.0	72.52	29.06	90.77	38.67	12.09	123.5	258.57
TCF21	31.22	353.59	507.46	226.54	215.77	197.09	181.28	186.4	110.43	87.03	389.72	172.65	112.77	559.28	180.02	246.28	77.79	69.52	202.66	1540.37	132.44	152.28	92.7	660.68	100.83	231.32	638.15	285.03	146.03	379.04	23.93	128.79	201.25	253.23	314.17	135.24	214.27	67.12	175.07	68.55	139.07	217.27	98.04	139.07	183.82	264.03	62.56	156.59	171.45	255.0	244.57	392.44	239.52	125.24	205.5	145.02	204.07	111.21	43.94	1081.39	78.89	159.9	44.89	114.36	329.84	39.79	171.45	100.13	139.07	320.8	105.15	76.17	173.85	71.0	50.63	291.04	70.51	105.89	271.48	224.97	346.29	57.08	111.99	232.94	144.01	435.55	693.58	231.32	283.05	1023.0	110.43	629.35	112.77	56.68	258.57	435.55
TDRP	15.45	102.25	129.69	31.22	20.86	58.71	20.26	18.29	19.82	36.01	38.95	27.44	52.08	111.99	35.25	42.11	25.17	22.43	96.01	161.02	16.39	15.8	41.22	114.36	26.1	47.84	171.45	85.82	18.56	50.63	36.27	31.9	35.25	82.87	71.0	18.03	39.22	9.63	46.18	17.13	33.06	35.76	14.24	52.08	25.54	81.14	48.87	61.68	24.28	74.58	55.1	31.45	72.52	57.08	66.65	31.0	17.25	20.11	16.88	170.25	45.53	32.13	12.45	17.9	80.01	19.25	28.04	36.53	24.28	50.98	18.03	41.22	58.71	18.16	18.16	78.34	42.41	50.63	19.97	68.55	43.94	17.38	43.02	48.18	55.89	47.5	115.97	70.01	61.25	178.77	20.11	75.64	63.0	18.7	353.59	162.14
THBS2	56.68	332.14	878.17	37.59	42.11	146.03	102.25	23.93	9.48	15.68	63.89	75.64	63.0	363.56	81.14	73.54	62.12	25.54	89.51	961.07	6.78	61.25	18.29	656.11	43.63	49.21	813.63	403.5	34.02	134.3	20.56	40.64	74.58	78.89	136.19	38.95	130.6	30.34	52.08	5.5	39.79	71.5	16.63	85.22	28.65	120.1	11.3	193.01	35.76	218.79	90.14	132.44	49.91	49.56	140.04	34.26	24.63	26.1	8.32	450.94	47.5	125.24	28.04	14.56	293.07	6.78	26.47	30.78	36.53	285.03	19.97	20.41	177.53	28.86	22.26	209.84	10.71	78.89	11.21	305.55	228.13	12.36	63.45	140.04	72.01	341.51	329.84	111.21	131.51	555.41	15.68	183.82	47.5	8.78	218.79	607.87
TIAM2	91.41	161.02	332.14	87.65	72.01	83.45	72.01	69.52	54.33	73.03	87.65	70.51	99.43	141.02	80.01	88.88	93.35	66.65	98.04	187.71	70.01	91.41	50.63	198.47	63.0	60.39	244.57	122.64	72.52	91.41	66.65	77.79	58.71	118.43	126.12	67.12	120.94	59.55	87.03	63.45	50.98	98.73	38.95	61.68	73.54	90.77	60.82	118.43	73.54	170.25	117.6	72.01	86.43	63.45	117.6	70.01	44.25	70.01	67.12	190.34	70.01	50.98	80.01	75.64	133.36	72.52	94.01	50.27	81.14	81.14	54.33	83.45	111.21	70.51	60.82	93.35	61.68	91.41	53.19	109.66	121.79	81.14	113.56	75.11	77.25	115.97	183.82	115.97	101.54	141.02	61.25	122.64	85.82	77.79	285.03	232.94
TMEM200B	20.56	483.38	2090.03	105.15	100.83	151.22	103.69	67.12	53.19	73.03	169.07	94.67	162.14	435.55	175.07	202.66	149.12	46.5	161.02	351.14	50.27	61.68	98.04	435.55	96.68	116.78	490.14	327.56	105.15	332.14	34.02	48.87	187.71	295.11	327.56	53.95	277.2	57.89	163.28	46.84	58.71	167.9	37.85	73.54	71.0	193.01	52.08	208.38	74.06	414.87	173.85	94.01	156.59	73.54	177.53	51.71	61.68	62.56	41.22	432.53	65.72	118.43	40.07	85.22	287.01	42.11	84.63	90.14	140.04	217.27	60.39	64.8	218.79	48.87	57.89	169.07	47.17	82.87	64.34	323.03	256.78	63.0	197.09	166.73	134.3	323.03	358.54	180.02	256.78	351.14	51.35	406.31	78.89	49.91	444.72	796.86
TMEM74	0.97	34.75	111.21	0.16	5.02	8.38	1.51	3.82	2.86	2.01	5.06	2.25	4.54	22.92	8.13	7.63	4.9	3.82	8.58	38.12	1.89	1.62	0.8	17.25	4.03	7.11	22.75	12.55	3.32	12.45	0.0	5.23	8.38	17.64	11.55	0.82	16.51	1.08	7.0	0.8	3.44	4.35	1.38	4.9	3.53	10.0	2.51	7.88	3.35	21.78	2.89	3.2	5.06	4.39	3.79	2.14	4.24	1.1	0.85	36.01	1.73	3.26	0.0	4.39	15.56	3.26	3.26	1.68	2.92	10.08	2.68	0.0	13.83	0.79	2.48	4.03	1.71	1.69	0.0	17.25	4.39	1.87	4.7	4.66	10.0	15.68	31.67	6.36	16.03	21.01	1.43	49.56	1.79	0.87	22.26	181.28
TMOD2	10.79	126.12	371.22	28.24	34.26	64.8	44.57	23.76	18.16	22.26	50.98	32.82	46.5	187.71	48.18	67.12	41.52	21.78	57.89	373.81	29.48	32.82	26.67	271.48	36.53	61.68	297.17	122.64	32.82	78.34	10.96	35.5	51.71	72.01	117.6	27.05	77.79	19.97	48.52	24.46	28.04	43.94	26.67	41.52	38.4	92.05	21.47	66.65	35.0	100.83	59.13	41.52	80.01	38.67	63.45	22.43	21.32	24.46	18.29	295.11	34.26	48.87	22.59	32.36	101.54	26.67	31.9	22.75	35.25	77.25	22.59	19.68	82.87	22.92	32.82	85.22	16.88	42.11	16.15	130.6	105.15	26.86	58.3	60.39	49.21	92.05	156.59	115.97	100.83	249.73	26.86	123.5	34.75	18.03	420.68	669.92
TRIM6	16.88	42.11	148.09	20.56	7.88	22.43	17.25	11.55	5.23	8.99	26.1	17.64	21.32	90.14	26.47	46.5	19.82	6.11	14.24	67.59	13.32	9.41	15.45	78.34	20.71	24.28	65.72	47.5	17.13	21.78	3.86	13.03	26.1	24.46	46.5	10.31	46.5	5.41	20.71	8.65	7.63	16.39	5.15	24.63	14.03	40.36	6.21	28.24	14.24	49.56	30.34	20.41	25.72	12.27	33.06	10.96	9.34	13.62	12.0	56.28	10.31	16.15	9.2	14.89	27.84	10.55	9.48	11.91	16.51	39.79	11.82	7.34	18.03	8.13	7.69	28.65	9.27	12.83	6.94	24.99	36.27	10.31	15.56	11.82	12.27	52.45	33.78	13.22	21.78	45.85	7.63	38.67	11.55	5.15	35.25	126.12
TRO	15.11	163.28	397.93	50.63	50.27	96.01	41.52	24.28	29.7	43.94	73.03	64.34	56.68	205.5	67.59	95.34	64.34	25.91	126.12	155.5	15.0	47.17	34.26	183.82	29.06	71.0	237.86	171.45	22.59	79.45	9.13	22.43	73.03	116.78	104.42	16.63	80.01	23.76	47.5	20.11	22.1	52.08	21.32	35.5	43.32	93.35	22.43	43.32	19.97	105.89	62.12	43.02	70.51	34.75	56.28	19.25	22.92	23.08	8.51	256.78	39.5	48.87	19.11	36.27	79.45	10.71	28.65	31.45	48.87	73.54	22.92	36.01	76.71	22.26	30.12	77.25	20.26	44.25	18.16	72.01	84.63	20.26	39.5	59.97	46.84	136.19	229.72	111.99	72.01	256.78	25.17	115.97	31.0	19.39	571.05	242.88
TSHZ2	7.0	33.54	120.94	7.88	4.43	14.78	11.21	4.31	3.06	5.36	11.64	9.63	11.04	79.45	7.34	10.0	8.06	2.92	17.38	100.13	4.1	4.35	5.82	74.58	5.06	9.85	142.01	27.84	5.23	20.26	2.32	4.82	8.51	19.25	15.11	3.11	22.92	2.71	8.58	2.61	4.13	6.84	1.85	8.92	6.57	10.71	6.46	15.68	3.26	38.95	12.45	10.63	16.15	7.4	16.75	3.23	3.03	3.35	4.5	57.49	3.44	8.32	2.34	2.94	29.48	4.58	4.06	7.57	7.88	22.59	4.17	4.06	17.25	2.94	5.19	20.56	3.86	14.03	1.6	24.28	22.1	5.73	11.04	14.35	9.93	23.42	34.26	18.97	13.52	57.08	5.68	19.53	5.87	1.48	107.38	135.24
TSHZ3	8.13	256.78	1104.13	36.01	39.22	86.43	62.12	26.28	15.11	26.1	72.01	51.35	68.07	279.14	73.03	102.25	54.72	20.56	97.36	236.21	23.25	29.91	40.64	217.27	37.05	63.45	237.86	161.02	38.12	134.3	9.63	29.27	84.63	111.21	171.45	23.59	173.85	21.16	63.45	24.11	17.0	55.1	24.99	33.06	29.27	103.69	25.35	120.1	30.56	158.79	76.17	51.35	92.7	32.13	98.04	20.56	27.05	22.75	14.03	186.4	36.01	51.35	18.03	33.06	88.26	17.77	32.13	38.95	73.03	151.22	28.45	21.32	108.14	22.1	31.0	96.68	19.39	27.25	28.65	108.9	139.07	24.11	71.5	88.88	49.91	130.6	154.42	98.73	148.09	186.4	24.81	176.29	40.64	19.11	358.54	571.05
TTC7B	36.01	583.07	1844.76	121.79	87.65	152.28	142.01	78.34	43.63	51.71	144.01	115.97	142.01	395.18	197.09	162.14	98.04	55.49	136.19	346.29	38.95	72.01	80.57	432.53	113.56	111.21	366.09	320.8	115.16	221.86	37.32	68.07	145.02	336.79	295.11	49.91	262.2	72.52	138.1	46.84	52.82	152.28	50.63	97.36	48.18	190.34	40.93	220.32	60.82	356.05	136.19	136.19	170.25	88.88	170.25	63.45	32.13	38.95	38.95	351.14	80.01	120.94	26.86	73.03	258.57	47.5	59.13	95.34	119.26	323.03	58.71	39.79	224.97	43.94	105.15	170.25	51.35	54.33	49.21	271.48	249.73	49.56	191.67	167.9	112.77	241.19	249.73	181.28	316.37	281.09	46.84	336.79	58.71	36.79	1088.92	1159.07
TTLL7	11.04	75.64	244.57	18.43	27.84	77.25	35.76	18.16	21.32	23.76	44.57	15.45	31.22	96.68	36.53	45.53	25.72	6.73	72.52	158.79	23.25	9.56	26.47	159.9	10.0	31.45	169.07	75.64	22.43	68.55	11.13	22.59	26.47	74.06	55.49	11.73	100.13	12.09	32.59	17.0	13.03	30.34	10.47	49.21	29.91	45.53	14.78	45.85	41.22	67.59	29.27	24.46	63.45	20.41	43.94	9.93	17.38	22.43	8.65	164.42	20.41	30.12	10.31	29.48	58.71	7.63	23.59	14.35	35.0	56.28	11.64	16.03	52.08	10.47	12.64	39.5	10.0	20.56	9.48	111.99	49.21	14.35	22.26	43.32	23.59	76.71	187.71	129.69	66.65	113.56	14.67	77.79	46.5	8.85	813.63	191.67
TTYH2	23.42	139.07	262.2	76.71	37.05	64.34	48.52	87.03	23.93	45.21	51.35	74.06	60.82	206.94	42.71	95.34	35.76	31.0	74.06	297.17	64.34	46.84	35.5	209.84	38.4	47.5	211.31	97.36	42.71	89.51	13.72	31.67	63.0	98.04	111.21	34.02	78.34	25.72	79.45	30.34	30.12	50.98	23.42	33.54	41.81	83.45	43.63	59.13	48.52	99.43	78.34	76.17	75.11	45.85	80.57	30.34	27.64	23.76	15.11	221.86	32.36	57.89	39.5	44.25	80.01	38.95	35.76	56.28	34.26	88.88	30.78	26.47	71.0	24.99	18.84	83.45	39.22	42.11	27.05	89.51	108.9	25.35	55.1	87.03	37.85	108.14	98.73	102.97	98.04	201.25	60.39	175.07	44.89	28.65	202.66	241.19
TXLNB	2.63	18.56	49.21	7.0	4.13	16.75	12.83	8.13	3.44	7.4	12.64	4.9	10.31	36.27	6.46	11.38	4.35	11.73	18.97	42.41	5.23	5.54	1.71	46.84	10.63	6.78	39.5	13.62	4.62	5.41	4.1	6.62	4.58	14.24	24.28	3.66	10.79	2.84	12.36	7.17	6.62	8.65	1.66	17.77	8.78	10.47	7.22	10.24	14.67	15.68	9.63	17.25	20.11	15.68	20.71	6.67	3.86	3.76	3.2	41.81	7.17	7.11	3.5	9.63	21.16	8.32	10.39	8.13	11.73	9.63	7.75	3.69	10.47	3.47	3.2	22.59	6.52	5.28	2.78	24.99	13.42	4.58	6.06	6.46	6.46	26.1	40.64	23.59	11.64	40.07	10.24	21.16	14.89	3.26	64.8	72.01
USP44	4.78	17.64	55.49	8.13	2.25	6.84	4.5	5.23	1.19	9.34	3.69	2.18	11.64	14.78	7.51	3.96	4.58	2.92	4.35	27.05	3.11	6.57	3.66	24.63	1.77	3.96	21.63	13.62	2.01	11.21	1.85	3.69	2.34	16.15	16.27	1.6	5.68	4.54	7.11	1.38	0.23	4.17	3.03	4.28	5.23	5.87	1.93	9.34	6.06	12.0	15.34	8.0	9.06	4.58	6.89	1.27	2.1	1.85	3.06	17.25	3.5	8.13	1.89	2.01	10.0	1.83	1.45	5.19	3.2	10.96	2.07	0.25	8.38	2.73	1.5	6.11	1.71	7.82	0.2	8.32	13.72	4.43	10.88	7.88	8.45	15.91	14.45	12.45	19.11	18.7	4.54	17.38	4.54	3.32	44.25	38.12
UST	43.32	151.22	239.52	28.86	23.42	57.49	57.89	24.46	11.82	24.63	43.63	37.59	41.22	186.4	59.13	101.54	37.32	20.56	35.5	217.27	10.0	24.11	21.63	195.72	27.44	26.67	220.32	132.44	21.63	103.69	9.34	20.26	47.5	130.6	189.02	21.63	147.06	16.03	42.71	21.63	14.14	56.28	11.38	41.22	24.63	54.33	16.63	107.38	22.92	113.56	48.18	36.01	47.17	25.72	60.39	31.22	12.55	25.91	10.24	209.84	23.42	65.72	18.56	15.68	92.7	16.27	26.1	30.12	68.55	153.34	29.91	10.0	60.39	16.27	19.82	56.28	12.0	26.67	14.45	89.51	122.64	11.55	42.11	67.59	32.82	95.34	194.36	73.03	124.37	120.1	29.06	170.25	37.59	12.93	389.72	299.25
VGLL3	16.51	71.0	521.76	11.91	13.22	20.41	17.9	8.32	0.74	7.28	14.56	7.06	14.35	59.97	32.59	25.91	13.72	5.36	16.03	191.67	6.78	15.68	5.87	103.69	15.11	15.34	161.02	46.84	11.91	38.12	6.67	9.78	28.65	69.52	63.89	10.0	80.01	8.32	16.03	5.19	9.06	15.45	6.67	12.64	7.94	35.5	5.36	38.12	9.7	78.89	25.91	10.71	33.54	32.13	28.45	12.74	4.82	6.57	4.46	105.15	10.24	27.64	6.89	6.94	83.45	3.38	4.13	14.35	27.05	83.45	7.4	4.98	36.01	6.06	11.47	19.25	4.74	21.47	6.06	78.34	66.18	5.92	20.41	27.05	25.54	43.63	121.79	46.18	66.18	125.24	5.36	88.26	10.0	3.2	133.36	348.71
VIPR2	7.75	242.88	679.29	7.0	15.0	34.02	18.29	5.73	3.47	5.28	29.27	25.72	32.59	142.01	54.72	55.1	44.57	5.68	47.17	166.73	2.78	22.92	33.06	171.45	12.45	28.04	114.36	124.37	22.26	54.72	4.86	5.77	43.02	71.0	133.36	8.32	106.63	8.38	40.07	1.93	5.36	30.56	3.17	22.92	9.93	55.49	5.45	43.32	5.28	63.89	35.5	22.92	47.5	13.52	44.57	5.63	6.21	3.41	2.73	86.43	16.15	32.13	3.44	18.29	50.63	3.59	7.69	26.28	35.76	100.13	12.93	8.71	69.03	3.23	13.83	33.06	11.64	14.56	6.57	40.93	57.08	6.57	41.81	53.57	24.28	63.89	135.24	66.65	95.34	120.94	8.65	120.1	6.31	2.81	190.34	497.0
WDR86	28.24	191.67	414.87	39.22	35.25	63.89	34.51	28.45	19.25	25.91	45.53	42.41	57.89	127.89	63.45	47.5	53.19	21.32	50.63	336.79	26.1	31.9	26.28	267.73	53.57	49.91	190.34	150.17	40.07	59.13	34.26	31.9	68.55	52.08	91.41	23.42	65.26	33.54	57.89	26.47	32.13	40.36	16.63	35.0	25.17	74.06	31.67	55.1	38.67	92.05	67.59	49.56	69.03	26.67	49.21	26.28	37.59	20.86	36.27	155.5	40.07	40.07	33.3	22.26	70.01	16.75	36.01	33.3	42.41	84.04	17.13	38.4	76.71	40.64	29.91	88.88	32.59	48.87	18.7	98.73	56.28	33.3	73.03	57.89	49.21	111.99	148.09	99.43	87.03	208.38	29.48	101.54	45.53	24.81	120.1	258.57
WNT6	3.79	35.25	141.02	18.56	5.5	10.55	15.0	11.47	3.41	6.52	4.35	8.06	17.51	38.95	21.94	18.97	13.72	4.03	9.85	72.01	3.66	10.24	8.45	98.73	16.88	8.19	45.53	59.97	14.24	17.9	8.32	4.78	23.93	38.67	66.18	3.03	18.43	9.85	43.63	4.9	6.94	40.07	1.04	7.46	2.32	35.76	4.66	24.63	12.93	59.55	32.82	13.72	21.63	10.0	17.0	3.69	5.96	3.59	4.03	48.87	7.69	25.54	5.02	6.26	14.03	6.94	4.74	15.68	14.35	50.63	4.5	6.94	15.34	6.36	7.94	17.38	9.34	8.65	6.57	45.85	29.06	8.51	58.71	34.51	15.91	14.56	27.84	65.26	46.5	41.22	1.43	41.22	6.26	4.03	82.87	47.84
WSCD2	1.25	131.51	187.71	3.35	19.25	23.76	15.22	1.69	0.43	7.63	21.47	9.56	12.83	130.6	12.0	18.56	18.84	3.35	16.15	92.7	6.84	8.85	3.72	50.98	10.0	20.56	59.13	89.51	6.78	20.41	1.71	5.54	34.26	27.64	31.0	4.62	97.36	2.86	25.35	2.16	2.46	11.55	2.84	11.47	12.27	18.16	2.07	35.76	2.32	63.0	18.29	14.56	24.46	7.57	16.27	2.86	1.35	1.58	1.46	98.73	8.65	19.11	2.14	12.18	105.15	3.11	3.03	5.82	23.08	19.11	5.11	3.86	33.78	2.36	14.78	25.17	2.94	7.34	4.03	39.5	37.32	0.87	22.43	14.45	33.78	63.45	100.13	19.39	37.59	54.72	5.02	79.45	6.01	1.79	967.76	215.77
