	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
MLK4	3.06	37.05	17.51	28.86	748.61	19.39	98.73	55.49	28.65	44.57	57.89	42.71	74.58	91.41	258.57	231.32	24.28	237.86	249.73	183.82	293.07	258.57	197.09	262.2	221.86	205.5	236.21	224.97	226.54	220.32	327.56	307.69	305.55	251.48	363.56	236.21	109.66	27.44	193.01	151.22	258.57	157.68	185.11	283.05	295.11	223.41	31.67	176.29	100.13	244.57	297.17	126.12	265.87	231.32	127.89	205.5	269.6	260.38	182.55	275.28	264.03	35.25	253.23	273.37	223.41	26.1	258.57	198.47	255.0	147.06	285.03	291.04	244.57	26.47	244.57	264.03	281.09	211.31	256.78	124.37	277.2	226.54	299.25	325.29	229.72	237.86	343.89	224.97	327.56	258.57	265.87	285.03	205.5	299.25	303.44	265.87	329.84	318.57	275.28	271.48	291.04	43.63	212.78	177.53	10.0	305.55	258.57	241.19	228.13	137.14	237.86	264.03	301.33	220.32	242.88	318.57	34.02	104.42	287.01	221.86	246.28	248.0	35.0	244.57	242.88	339.14	256.78	22.43	293.07	228.13	28.04	20.56	281.09	18.97	236.21	18.03	14.56	211.31	285.03	187.71	239.52	176.29	231.32	30.34	18.16	301.33	262.2	237.86	2.56	7.28	4.82	5.5	7.28	144.01
MLLT4	169.07	708.18	1605.83	1104.13	1572.76	384.34	872.1	791.35	769.69	1498.22	1286.18	1498.22	1191.69	1081.39	1685.71	1769.57	961.07	2520.38	1769.57	703.28	1923.14	1331.57	1639.59	2119.22	1781.89	1508.65	1709.26	2255.7	1709.26	2163.77	2178.83	1806.78	1769.57	2104.58	2018.8	1331.57	954.43	1191.69	2061.24	1605.83	2255.7	1508.65	1529.73	2502.97	2104.58	1561.89	1104.13	1662.49	1639.59	1674.06	2209.26	1477.58	1407.55	1350.18	1119.56	1745.2	2032.85	1733.13	995.0	1909.85	1857.6	872.1	2367.9	2148.82	1628.26	1127.35	2875.3	1757.34	1745.2	1023.0	2209.26	2335.28	1519.15	1088.92	1651.0	2224.63	2032.85	1757.34	1977.24	1199.98	2119.22	2384.37	2287.2	1857.6	1651.0	2075.59	2193.99	1832.01	2255.7	3039.3	2209.26	2255.7	1617.0	2485.67	2163.77	2609.3	2367.9	2537.92	2701.35	1870.53	1832.01	1233.75	1963.57	1561.89	466.88	1883.54	2061.24	1594.73	1909.85	1594.73	2335.28	1628.26	1923.14	1757.34	2319.15	2319.15	1088.92	1561.89	2609.3	2090.03	947.83	1617.0	1159.07	2417.67	1242.34	2255.7	1685.71	591.22	1819.35	2271.4	1304.15	915.51	2451.44	1104.13	1437.15	1030.12	447.82	1806.78	1733.13	1183.45	1936.53	1662.49	1295.13	665.29	819.3	2451.44	1883.54	1233.75	255.0	947.83	988.12	733.19	656.11	1427.22
MTUS1	332.14	403.5	1008.9	490.14	595.34	500.46	466.88	660.68	218.79	1073.91	1059.11	890.44	981.29	967.76	1721.16	1340.84	921.88	1407.55	1340.84	872.1	1088.92	860.08	1127.35	981.29	2133.97	1073.91	1143.1	1233.75	1467.37	1051.79	1819.35	1369.04	1781.89	981.29	1313.23	1159.07	1268.46	466.88	1127.35	902.89	1709.26	848.22	1662.49	1397.83	1350.18	1225.22	743.43	1242.34	941.27	1277.29	2061.24	988.12	1030.12	1250.98	642.59	1088.92	1508.65	1540.37	1233.75	1066.48	723.08	1277.29	1322.37	1183.45	1286.18	669.92	1119.56	1498.22	1369.04	624.99	1397.83	1477.58	1304.15	571.05	1167.14	2075.59	1233.75	1457.23	1457.23	1073.91	1447.15	1359.57	1250.98	1963.57	1277.29	1697.45	1674.06	1697.45	1167.14	1991.0	1674.06	1457.23	1030.12	1467.37	1819.35	1259.69	1119.56	2004.85	1477.58	1268.46	1417.35	934.76	1508.65	1295.13	587.13	1551.09	1304.15	1250.98	1216.75	860.08	1447.15	1151.06	1561.89	1167.14	1529.73	1477.58	830.75	1023.0	1561.89	1242.34	947.83	1540.37	1015.93	1417.35	1662.49	1340.84	1447.15	775.05	1594.73	961.07	860.08	743.43	1551.09	981.29	878.17	406.31	688.78	660.68	1216.75	896.64	1286.18	1119.56	974.5	703.28	536.45	1369.04	1104.13	1369.04	384.34	1066.48	603.67	796.86	836.53	769.69
MYO10	16.88	195.72	161.02	341.51	271.48	44.25	221.86	258.57	124.37	237.86	323.03	343.89	269.6	271.48	629.35	429.54	173.85	693.58	591.22	414.87	567.1	536.45	543.96	514.56	476.71	473.41	536.45	555.41	579.04	503.95	656.11	629.35	599.49	591.22	703.28	493.56	223.41	193.01	441.64	264.03	603.67	384.34	525.39	660.68	583.07	486.75	220.32	420.68	285.03	559.28	703.28	293.07	547.75	438.59	271.48	540.19	616.37	607.87	341.51	575.03	493.56	232.94	723.08	733.19	480.04	112.77	599.49	409.15	587.13	297.17	563.18	703.28	480.04	143.01	587.13	579.04	521.76	460.44	559.28	356.05	629.35	603.67	819.3	603.67	514.56	684.02	759.08	438.59	595.34	679.29	551.56	559.28	460.44	642.59	607.87	665.29	708.18	616.37	688.78	536.45	575.03	129.69	559.28	403.5	135.24	660.68	579.04	503.95	547.75	368.65	656.11	629.35	612.11	480.04	551.56	647.07	141.02	265.87	684.02	493.56	403.5	624.99	159.9	563.18	525.39	698.41	529.06	181.28	688.78	466.88	136.19	136.19	642.59	214.27	547.75	189.02	98.73	476.71	521.76	400.71	497.0	420.68	486.75	104.42	135.24	599.49	616.37	525.39	43.63	88.26	88.88	99.43	93.35	503.95
MYO5C	14.24	90.14	507.46	214.27	808.0	40.64	59.13	177.53	299.25	176.29	226.54	208.38	163.28	145.02	438.59	403.5	108.9	551.56	490.14	297.17	463.65	353.59	376.41	420.68	540.19	400.71	406.31	414.87	476.71	447.82	521.76	599.49	660.68	450.94	656.11	457.25	177.53	121.79	334.46	277.2	483.38	301.33	346.29	583.07	599.49	376.41	129.69	356.05	279.14	559.28	551.56	314.17	493.56	417.77	236.21	426.57	483.38	555.41	379.04	595.34	460.44	149.12	503.95	420.68	507.46	82.87	583.07	366.09	511.0	242.88	656.11	587.13	500.46	81.71	409.15	532.74	473.41	412.0	555.41	293.07	521.76	521.76	660.68	629.35	423.61	525.39	624.99	429.54	483.38	595.34	514.56	521.76	397.93	571.05	612.11	521.76	684.02	620.67	559.28	463.65	507.46	121.79	403.5	301.33	76.17	536.45	457.25	470.14	500.46	279.14	511.0	521.76	624.99	343.89	575.03	579.04	117.6	218.79	616.37	403.5	438.59	438.59	99.43	525.39	587.13	532.74	438.59	91.41	583.07	387.02	124.37	85.82	503.95	126.12	454.09	62.56	52.08	395.18	497.0	303.44	463.65	301.33	417.77	55.89	66.18	559.28	518.15	454.09	41.81	111.21	62.56	58.3	70.51	163.28
NCKAP5	1.17	1.0	10.96	9.63	5.02	3.5	2.01	8.78	9.27	11.64	17.51	11.73	15.45	13.52	30.56	20.56	3.32	58.71	31.67	24.46	22.59	23.42	28.86	12.36	10.24	26.86	28.04	19.97	20.56	27.44	72.01	15.11	34.26	41.52	24.11	22.92	7.75	4.24	40.64	3.99	46.84	9.27	25.17	25.91	18.43	16.39	12.55	17.38	8.0	14.03	29.27	15.34	13.83	14.35	7.51	18.29	32.59	16.75	10.96	18.84	36.27	3.96	37.59	23.76	21.94	31.22	21.78	18.56	23.76	16.75	43.63	22.1	18.03	21.32	20.11	20.26	30.78	16.51	14.56	7.17	23.08	47.5	44.57	40.93	17.38	27.64	30.12	12.09	16.15	47.5	9.2	82.87	11.91	33.06	76.71	58.3	87.65	34.51	37.05	21.01	21.47	9.93	19.11	21.16	3.08	23.08	21.47	18.97	23.08	10.79	40.64	37.05	20.41	17.13	30.12	60.39	3.76	4.43	22.26	27.25	15.8	31.45	2.29	94.01	24.46	25.35	25.17	2.05	32.82	20.11	9.63	4.39	32.59	6.73	19.82	2.05	7.69	22.43	34.02	18.16	10.47	12.0	30.34	1.36	4.06	36.01	21.47	37.32	2.2	3.47	2.81	12.74	3.11	35.5
NIPAL1	21.63	29.27	260.38	78.89	186.4	43.02	29.48	94.67	24.28	102.25	140.04	106.63	82.29	249.73	591.22	412.0	28.86	819.3	616.37	318.57	629.35	466.88	547.75	629.35	503.95	514.56	525.39	616.37	525.39	490.14	854.13	620.67	733.19	507.46	638.15	444.72	199.85	55.1	575.03	279.14	563.18	251.48	674.59	651.58	480.04	551.56	56.28	379.04	287.01	490.14	748.61	279.14	543.96	397.93	220.32	493.56	651.58	633.73	414.87	567.1	463.65	76.17	703.28	733.19	483.38	59.55	595.34	559.28	612.11	293.07	743.43	718.08	503.95	73.03	703.28	595.34	579.04	470.14	624.99	248.0	607.87	723.08	693.58	764.36	493.56	808.0	813.63	500.46	733.19	674.59	567.1	748.61	381.68	665.29	713.11	656.11	647.07	743.43	698.41	551.56	624.99	90.14	514.56	392.44	27.64	748.61	679.29	503.95	575.03	289.02	612.11	753.83	595.34	435.55	547.75	842.36	63.89	189.02	684.02	503.95	429.54	575.03	52.82	603.67	476.71	713.11	529.06	29.06	603.67	507.46	59.55	37.85	698.41	63.89	583.07	35.25	17.0	454.09	540.19	381.68	536.45	325.29	579.04	57.08	50.63	651.58	551.56	551.56	2.12	9.13	16.75	3.99	4.43	114.36
NIPSNAP3A	299.25	229.72	353.59	688.78	429.54	395.18	325.29	334.46	406.31	728.11	796.86	713.11	669.92	890.44	1417.35	947.83	511.0	1529.73	1216.75	974.5	974.5	1073.91	1143.1	902.89	842.36	1225.22	1151.06	1233.75	1167.14	1008.9	2209.26	1233.75	1183.45	1250.98	1088.92	1015.93	684.02	476.71	1023.0	616.37	1350.18	536.45	1233.75	1378.57	1167.14	1088.92	555.41	872.1	718.08	1199.98	1259.69	921.88	1167.14	642.59	769.69	1167.14	2104.58	1733.13	981.29	1277.29	1183.45	629.35	785.88	1417.35	947.83	599.49	1044.52	1159.07	1286.18	902.89	1059.11	1208.34	1167.14	595.34	1216.75	1340.84	878.17	947.83	1073.91	551.56	1277.29	1001.93	1583.71	1806.78	1081.39	1242.34	1583.71	718.08	1397.83	928.3	1044.52	1331.57	830.75	1369.04	1277.29	1447.15	1583.71	1697.45	1417.35	1088.92	1721.16	536.45	791.35	1127.35	438.59	1721.16	1685.71	1111.82	1397.83	780.44	995.0	1870.53	1467.37	995.0	1111.82	1674.06	441.64	638.15	1286.18	1081.39	1015.93	1350.18	928.3	1135.2	1242.34	1519.15	1127.35	503.95	1519.15	928.3	351.14	603.67	1583.71	915.51	1870.53	728.11	915.51	1199.98	1104.13	1008.9	1143.1	1081.39	1159.07	733.19	529.06	1417.35	1407.55	1259.69	603.67	507.46	368.65	392.44	368.65	426.57
NR5A2	4.58	79.45	151.22	61.25	67.59	9.85	26.47	102.97	13.22	137.14	147.06	183.82	115.97	205.5	514.56	379.04	95.34	693.58	579.04	392.44	571.05	450.94	412.0	511.0	389.72	500.46	400.71	603.67	579.04	567.1	791.35	571.05	563.18	583.07	748.61	395.18	143.01	63.45	366.09	226.54	660.68	265.87	728.11	656.11	438.59	473.41	103.69	314.17	275.28	579.04	638.15	248.0	490.14	444.72	229.72	490.14	651.58	507.46	320.8	435.55	693.58	87.03	583.07	599.49	454.09	48.52	555.41	532.74	583.07	217.27	738.29	703.28	363.56	43.02	591.22	547.75	567.1	540.19	486.75	232.94	563.18	599.49	571.05	674.59	500.46	703.28	780.44	503.95	651.58	599.49	543.96	633.73	256.78	733.19	656.11	728.11	525.39	579.04	743.43	638.15	642.59	79.45	514.56	318.57	45.21	603.67	633.73	423.61	591.22	256.78	660.68	599.49	543.96	320.8	624.99	743.43	75.11	165.57	629.35	486.75	447.82	642.59	57.49	599.49	540.19	738.29	525.39	44.57	551.56	500.46	74.06	33.06	708.18	70.01	514.56	37.05	47.5	392.44	583.07	379.04	511.0	327.56	454.09	46.5	38.67	748.61	486.75	511.0	10.47	16.27	21.32	8.58	11.47	57.08
NUMB	1127.35	599.49	1143.1	896.64	1023.0	529.06	896.64	759.08	688.78	1313.23	1111.82	1111.82	1111.82	1151.06	1191.69	1250.98	1277.29	1639.59	1216.75	684.02	1350.18	1135.2	1167.14	1359.57	1059.11	1242.34	1088.92	1151.06	1259.69	1313.23	1572.76	1044.52	1304.15	1388.16	1487.87	1001.93	934.76	1023.0	988.12	1135.2	1331.57	1151.06	1175.27	1407.55	1359.57	1216.75	884.29	967.76	1477.58	884.29	1628.26	1023.0	896.64	1066.48	954.43	1225.22	1529.73	1175.27	703.28	1331.57	1096.5	995.0	1950.0	1794.29	1340.84	909.17	1487.87	1233.75	1437.15	1331.57	1709.26	1498.22	1143.1	941.27	1457.23	1369.04	1651.0	1268.46	1225.22	1044.52	1175.27	1350.18	1397.83	1096.5	902.89	1551.09	1397.83	1081.39	1674.06	1417.35	1225.22	1487.87	780.44	1794.29	1437.15	1508.65	1359.57	1572.76	1350.18	1359.57	1250.98	1096.5	1304.15	1208.34	703.28	1216.75	1467.37	1127.35	1467.37	1143.1	1277.29	1397.83	967.76	1127.35	1467.37	1594.73	1015.93	1151.06	1250.98	1467.37	791.35	1295.13	1051.79	1322.37	872.1	1378.57	1127.35	854.13	1216.75	1208.34	995.0	1111.82	1508.65	1175.27	1242.34	915.51	591.22	1322.37	1059.11	896.64	1519.15	1151.06	1167.14	764.36	1331.57	1397.83	1304.15	1015.93	463.65	825.0	1183.45	1183.45	1066.48	1044.52
NXT2	182.55	154.42	75.64	81.71	152.28	104.42	206.94	167.9	159.9	104.42	100.13	88.26	100.13	140.04	171.45	131.51	88.26	169.07	195.72	121.79	127.0	191.67	162.14	176.29	117.6	193.01	154.42	167.9	186.4	145.02	273.37	201.25	194.36	142.01	183.82	143.01	115.97	64.34	128.79	84.04	248.0	78.89	191.67	211.31	148.09	176.29	90.14	119.26	105.15	155.5	239.52	101.54	127.0	67.12	119.26	129.69	234.57	190.34	137.14	166.73	172.65	102.97	205.5	211.31	130.6	46.5	142.01	154.42	173.85	135.24	283.05	190.34	122.64	83.45	144.01	151.22	141.02	147.06	169.07	69.52	147.06	224.97	305.55	244.57	138.1	224.97	241.19	137.14	209.84	139.07	194.36	177.53	102.97	199.85	241.19	208.38	169.07	236.21	220.32	162.14	178.77	78.89	159.9	140.04	74.58	215.77	204.07	137.14	201.25	130.6	176.29	239.52	158.79	108.14	166.73	215.77	92.05	82.29	171.45	147.06	162.14	208.38	94.67	211.31	161.02	221.86	111.21	62.12	169.07	147.06	72.01	68.55	218.79	78.89	161.02	63.45	62.12	147.06	144.01	138.1	145.02	115.16	198.47	64.34	72.52	205.5	183.82	145.02	44.25	32.82	26.1	37.85	61.25	88.26
PDXDC1	1167.14	1832.01	1923.14	1233.75	1832.01	941.27	1277.29	1572.76	1167.14	1936.53	1709.26	1806.78	1651.0	1857.6	3124.78	3103.19	1498.22	2875.3	3060.45	2502.97	3168.41	3103.19	2816.11	3212.66	3124.78	2816.11	2468.49	2682.69	3124.78	3419.52	3303.0	2645.74	3716.2	3146.52	3665.02	3124.78	1769.57	1628.26	3168.41	2193.99	3564.78	2163.77	2271.4	3768.09	3716.2	2303.12	1832.01	2451.44	2209.26	2664.15	3690.52	2502.97	3690.52	2720.15	2384.37	2915.45	2915.45	3589.58	2303.12	2915.45	2816.11	1594.73	3081.75	3372.43	2739.08	1477.58	3443.31	2816.11	2895.31	1963.57	3235.01	3372.43	2796.65	1674.06	3235.01	3614.55	3168.41	2591.27	3794.3	2573.36	3039.3	3190.46	3039.3	3168.41	3419.52	3419.52	4239.45	2855.44	3564.78	3768.09	3614.55	3280.18	2816.11	3847.29	3928.15	2956.17	2664.15	3820.7	3665.02	3280.18	3395.89	1832.01	3018.3	2645.74	1242.34	3349.13	2997.45	3124.78	3419.52	2119.22	2997.45	3018.3	3081.75	2855.44	3540.14	3515.68	1844.76	2335.28	3742.05	2468.49	2720.15	3325.99	1225.22	3235.01	2915.45	3540.14	2758.13	1331.57	3716.2	2720.15	1457.23	1651.0	3235.01	1359.57	3060.45	1572.76	1467.37	2816.11	2417.67	2664.15	2895.31	2777.33	2895.31	1540.37	1388.16	2915.45	2875.3	2384.37	583.07	1119.56	1487.87	595.34	1397.83	1359.57
PFKFB2	48.18	202.66	275.28	343.89	1135.2	37.85	241.19	376.41	115.16	334.46	358.54	299.25	303.44	403.5	1008.9	785.88	204.07	947.83	988.12	703.28	1199.98	669.92	842.36	974.5	988.12	866.07	825.0	974.5	1119.56	748.61	1295.13	1175.27	1199.98	909.17	1388.16	830.75	414.87	183.82	674.59	583.07	1175.27	703.28	825.0	1378.57	1199.98	866.07	181.28	748.61	466.88	981.29	1127.35	540.19	1073.91	713.11	642.59	890.44	1250.98	1151.06	748.61	1175.27	1015.93	228.13	961.07	934.76	769.69	218.79	1008.9	860.08	1008.9	444.72	878.17	1259.69	941.27	185.11	825.0	967.76	866.07	819.3	1183.45	497.0	1008.9	1096.5	1199.98	1191.69	825.0	941.27	1208.34	674.59	1037.29	1242.34	1159.07	1088.92	928.3	974.5	1066.48	1225.22	896.64	1388.16	1242.34	1199.98	1111.82	241.19	825.0	642.59	143.01	1313.23	928.3	1135.2	1008.9	642.59	1030.12	954.43	1304.15	884.29	1151.06	1127.35	217.27	395.18	1183.45	915.51	785.88	934.76	169.07	1268.46	1135.2	1208.34	1059.11	152.28	1322.37	921.88	212.78	194.36	1322.37	159.9	909.17	151.22	111.21	651.58	1104.13	713.11	728.11	660.68	961.07	150.17	214.27	1242.34	1167.14	1073.91	35.0	63.0	97.36	75.64	74.06	599.49
PHGR1	2.03	121448.75	783730.52	141455.6	389157.95	29943.43	68318.04	62865.33	279017.26	81809.59	172949.54	90146.51	75280.1	472513.8	269512.87	180294.02	9673.69	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	253213.41	233003.78	149521.18	338781.54	348306.01	267651.2	355624.68	307450.64	193234.41	301123.38	271387.49	248002.34	133825.1	4937.99	174152.51	107948.72	288856.81	175363.84	509950.32	271387.49	189257.69	262143.0	11664.82	126606.21	138544.47	320506.81	234624.45	208544.12	299043.36	234624.45	137587.47	229795.93	253213.41	437825.58	414208.18	311742.51	189257.69	10808.41	341137.96	267651.2	228208.61	8538.88	279017.26	225066.78	301123.38	119776.72	234624.45	165904.25	226632.25	4836.35	256748.15	237899.7	198667.0	220434.95	187950.38	98646.85	290865.98	239554.43	271387.49	249727.34	249727.34	279017.26	313910.86	198667.0	271387.49	220434.95	187950.38	338781.54	311742.51	241220.67	218912.29	194578.47	211455.3	185362.8	307450.64	273275.14	256748.15	8598.28	174152.51	140478.49	15824.9	204252.32	284880.02	303217.87	248002.34	148488.36	378516.38	221968.2	253213.41	244588.0	370726.6	239554.43	10014.87	90146.51	322736.12	389157.95	273275.14	209994.66	10368.08	269512.87	400098.69	290865.98	226632.25	10225.32	229795.93	184082.4	8538.88	9279.58	244588.0	7966.99	419990.32	6607.01	0.0	135693.24	223512.12	249727.34	253213.41	134755.94	263966.36	29943.43	7485.11	288856.81	168220.2	294926.33	9.27	9.56	13.72	37.85	0.0	139508.13
PHKB	503.95	679.29	595.34	674.59	808.0	536.45	473.41	591.22	748.61	909.17	775.05	830.75	890.44	860.08	1073.91	1059.11	890.44	1199.98	1199.98	1119.56	1183.45	995.0	981.29	1111.82	915.51	1030.12	1127.35	1081.39	981.29	1044.52	1250.98	988.12	1331.57	1233.75	1111.82	1030.12	723.08	928.3	866.07	764.36	1208.34	775.05	961.07	1167.14	1051.79	988.12	698.41	902.89	884.29	1051.79	1268.46	909.17	1081.39	825.0	651.58	995.0	1216.75	1104.13	808.0	1322.37	1015.93	785.88	1175.27	1199.98	974.5	878.17	1183.45	1008.9	1081.39	981.29	1259.69	1143.1	1051.79	890.44	1088.92	1119.56	1175.27	1088.92	954.43	791.35	967.76	974.5	1427.22	1191.69	775.05	1199.98	1286.18	988.12	1167.14	1030.12	1119.56	1104.13	713.11	1167.14	1081.39	1313.23	1208.34	1208.34	1127.35	1151.06	1233.75	728.11	1233.75	1051.79	567.1	1250.98	1051.79	995.0	1331.57	988.12	1037.29	1119.56	1037.29	974.5	1167.14	1277.29	708.18	819.3	1208.34	941.27	1008.9	995.0	718.08	995.0	995.0	1127.35	890.44	748.61	1104.13	1044.52	796.86	647.07	1135.2	1030.12	1233.75	842.36	753.83	934.76	974.5	890.44	1143.1	967.76	995.0	532.74	612.11	1167.14	974.5	1151.06	583.07	808.0	698.41	503.95	532.74	616.37
