	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
TP53I13	540.19	403.5	759.08	633.73	555.41	1709.26	775.05	674.59	836.53	1250.98	915.51	1081.39	575.03	848.22	432.53	642.59	1594.73	890.44	764.36	728.11	733.19	684.02	1447.15	1844.76	860.08	1119.56	780.44	629.35	1001.93	591.22	1331.57	669.92	813.63	555.41	665.29	842.36	579.04	669.92	514.56	748.61	563.18	872.1	514.56	665.29	808.0	555.41	679.29	607.87	884.29	866.07	1583.71	688.78	532.74	928.3	555.41	961.07	961.07	728.11	764.36	848.22	902.89	463.65	1143.1	1508.65	559.28	995.0	995.0	995.0	1208.34	1529.73	559.28	785.88	547.75	507.46	1304.15	769.69	518.15	1963.57	1233.75	1519.15	387.02	995.0	642.59	967.76	1015.93	884.29	497.0	1088.92	1023.0	674.59	1447.15	674.59	483.38	1447.15	616.37	490.14	497.0	470.14	490.14	995.0	1001.93	674.59	647.07	583.07	981.29	780.44	1037.29	460.44	1104.13	1066.48	830.75	842.36	1088.92	1605.83	1066.48	1175.27	1037.29	1313.23	1191.69	866.07	1030.12	1572.76	1104.13	684.02	1191.69	921.88	808.0	819.3	1685.71	1023.0	547.75	1081.39	1628.26	1350.18	1159.07	1685.71	1286.18	1111.82	1183.45	1359.57	780.44	954.43	1651.0	1259.69	1008.9	1369.04	1572.76	825.0	896.64	1304.15	934.76	1159.07	825.0	1044.52	1447.15	743.43	921.88	1350.18	1378.57	1088.92	967.76	1388.16	1225.22	1388.16	1066.48	884.29	1073.91	1081.39	967.76	1151.06	902.89	947.83	1295.13	723.08	884.29	836.53	723.08	547.75	603.67	660.68	497.0	961.07	791.35	890.44	819.3	521.76	915.51	361.04	1096.5	1127.35	915.51	1259.69	514.56	791.35	1044.52	518.15	633.73	679.29	1066.48
TRADD	159.9	420.68	379.04	320.8	348.71	733.19	420.68	334.46	309.83	555.41	395.18	591.22	435.55	363.56	275.28	379.04	633.73	287.01	426.57	376.41	463.65	314.17	624.99	909.17	406.31	529.06	307.69	314.17	371.22	363.56	525.39	327.56	346.29	262.2	316.37	303.44	305.55	318.57	237.86	547.75	395.18	503.95	295.11	336.79	316.37	277.2	368.65	264.03	336.79	329.84	775.05	426.57	229.72	273.37	287.01	412.0	575.03	273.37	409.15	343.89	503.95	241.19	679.29	651.58	312.0	423.61	327.56	450.94	543.96	624.99	301.33	358.54	332.14	223.41	500.46	356.05	281.09	728.11	563.18	693.58	197.09	368.65	297.17	379.04	435.55	325.29	209.84	387.02	373.81	178.77	633.73	341.51	211.31	819.3	351.14	228.13	224.97	279.14	384.34	291.04	351.14	262.2	395.18	264.03	463.65	348.71	460.44	162.14	476.71	420.68	318.57	463.65	511.0	775.05	497.0	599.49	463.65	540.19	500.46	403.5	551.56	497.0	414.87	241.19	473.41	389.72	318.57	511.0	723.08	463.65	325.29	571.05	620.67	551.56	460.44	679.29	684.02	559.28	567.1	674.59	334.46	624.99	693.58	595.34	493.56	743.43	599.49	518.15	361.04	507.46	532.74	540.19	660.68	529.06	518.15	521.76	518.15	480.04	518.15	503.95	651.58	612.11	575.03	595.34	521.76	587.13	444.72	473.41	500.46	414.87	563.18	381.68	490.14	547.75	490.14	325.29	813.63	307.69	490.14	497.0	432.53	426.57	346.29	327.56	371.22	295.11	309.83	172.65	909.17	633.73	738.29	954.43	403.5	414.87	454.09	269.6	493.56	595.34	591.22
TRIM52	109.66	166.73	325.29	204.07	209.84	182.55	379.04	241.19	358.54	314.17	323.03	199.85	269.6	329.84	197.09	267.73	193.01	273.37	241.19	147.06	189.02	152.28	166.73	139.07	161.02	356.05	384.34	260.38	305.55	182.55	133.36	381.68	353.59	154.42	209.84	273.37	148.09	177.53	228.13	147.06	212.78	412.0	181.28	154.42	239.52	395.18	269.6	189.02	293.07	185.11	195.72	241.19	211.31	251.48	182.55	157.68	244.57	334.46	256.78	334.46	175.07	170.25	226.54	209.84	244.57	486.75	273.37	175.07	246.28	199.85	152.28	305.55	208.38	110.43	214.27	81.71	176.29	285.03	293.07	497.0	190.34	400.71	336.79	339.14	473.41	358.54	131.51	334.46	441.64	181.28	269.6	334.46	260.38	251.48	131.51	155.5	127.89	144.01	123.5	305.55	371.22	197.09	159.9	228.13	289.02	118.43	241.19	135.24	295.11	293.07	144.01	264.03	400.71	301.33	275.28	361.04	363.56	447.82	460.44	529.06	400.71	483.38	457.25	379.04	348.71	384.34	392.44	381.68	603.67	381.68	194.36	454.09	497.0	460.44	473.41	575.03	381.68	432.53	314.17	371.22	423.61	490.14	551.56	599.49	567.1	532.74	603.67	435.55	400.71	486.75	363.56	438.59	318.57	438.59	486.75	400.71	223.41	595.34	583.07	476.71	432.53	486.75	567.1	466.88	511.0	363.56	473.41	432.53	353.59	450.94	457.25	420.68	521.76	320.8	191.67	180.02	269.6	231.32	271.48	368.65	226.54	217.27	120.1	191.67	264.03	66.65	197.09	127.0	224.97	217.27	167.9	90.14	197.09	87.03	115.16	68.07	135.24	122.64	114.36
TRIM65	162.14	275.28	249.73	287.01	293.07	195.72	397.93	339.14	301.33	381.68	373.81	267.73	285.03	269.6	228.13	329.84	234.57	323.03	275.28	285.03	346.29	161.02	223.41	92.05	244.57	392.44	327.56	264.03	403.5	204.07	214.27	329.84	476.71	242.88	329.84	361.04	198.47	232.94	318.57	279.14	305.55	305.55	303.44	258.57	295.11	381.68	460.44	265.87	289.02	202.66	127.0	293.07	273.37	320.8	329.84	226.54	414.87	381.68	248.0	253.23	175.07	291.04	156.59	264.03	285.03	368.65	297.17	323.03	316.37	180.02	199.85	318.57	316.37	156.59	320.8	244.57	309.83	318.57	149.12	441.64	258.57	395.18	387.02	289.02	348.71	361.04	182.55	242.88	397.93	221.86	258.57	363.56	271.48	395.18	256.78	258.57	249.73	249.73	206.94	417.77	395.18	249.73	303.44	267.73	412.0	175.07	336.79	130.6	476.71	334.46	312.0	234.57	483.38	320.8	460.44	277.2	295.11	417.77	493.56	356.05	493.56	376.41	371.22	205.5	371.22	325.29	226.54	348.71	518.15	450.94	220.32	343.89	500.46	361.04	381.68	444.72	441.64	406.31	320.8	289.02	366.09	432.53	486.75	529.06	466.88	507.46	470.14	473.41	249.73	490.14	373.81	543.96	273.37	301.33	368.65	473.41	209.84	559.28	579.04	291.04	356.05	583.07	420.68	483.38	395.18	363.56	463.65	346.29	429.54	346.29	371.22	336.79	346.29	269.6	289.02	249.73	246.28	242.88	193.01	246.28	228.13	267.73	218.79	234.57	215.77	258.57	248.0	217.27	279.14	293.07	199.85	277.2	241.19	133.36	137.14	121.79	267.73	307.69	281.09
TRMT1	555.41	395.18	466.88	457.25	371.22	444.72	460.44	384.34	633.73	713.11	543.96	376.41	463.65	684.02	438.59	384.34	497.0	571.05	368.65	438.59	334.46	503.95	379.04	454.09	376.41	830.75	525.39	327.56	796.86	454.09	463.65	356.05	607.87	351.14	441.64	486.75	353.59	438.59	511.0	325.29	361.04	713.11	320.8	371.22	656.11	507.46	441.64	595.34	543.96	473.41	414.87	361.04	371.22	473.41	363.56	450.94	878.17	738.29	503.95	514.56	301.33	341.51	490.14	503.95	432.53	836.53	559.28	514.56	521.76	314.17	392.44	381.68	490.14	376.41	417.77	381.68	409.15	620.67	511.0	769.69	423.61	934.76	447.82	629.35	954.43	563.18	353.59	698.41	941.27	444.72	579.04	591.22	444.72	620.67	329.84	309.83	507.46	358.54	438.59	529.06	743.43	316.37	486.75	463.65	412.0	400.71	432.53	579.04	591.22	633.73	318.57	343.89	624.99	616.37	825.0	612.11	551.56	796.86	738.29	651.58	723.08	884.29	775.05	638.15	575.03	547.75	490.14	551.56	947.83	551.56	454.09	708.18	753.83	769.69	674.59	1151.06	748.61	753.83	669.92	620.67	497.0	669.92	1030.12	813.63	718.08	698.41	928.3	521.76	607.87	703.28	483.38	612.11	423.61	733.19	884.29	447.82	412.0	738.29	915.51	934.76	529.06	934.76	785.88	684.02	688.78	444.72	733.19	642.59	559.28	684.02	669.92	547.75	780.44	473.41	343.89	420.68	698.41	339.14	387.02	420.68	460.44	536.45	540.19	587.13	420.68	414.87	441.64	441.64	412.0	251.48	323.03	307.69	343.89	202.66	297.17	287.01	312.0	305.55	674.59
TTLL4	128.79	176.29	327.56	287.01	178.77	253.23	232.94	164.42	423.61	361.04	249.73	279.14	208.38	540.19	289.02	251.48	264.03	329.84	218.79	150.17	279.14	303.44	228.13	305.55	299.25	507.46	381.68	175.07	412.0	271.48	260.38	258.57	441.64	226.54	256.78	379.04	209.84	241.19	291.04	205.5	307.69	387.02	206.94	229.72	197.09	341.51	271.48	285.03	397.93	260.38	241.19	212.78	182.55	299.25	205.5	289.02	406.31	341.51	400.71	397.93	218.79	197.09	318.57	273.37	156.59	629.35	325.29	262.2	228.13	279.14	180.02	170.25	224.97	126.12	226.54	175.07	251.48	473.41	423.61	540.19	283.05	480.04	293.07	414.87	463.65	314.17	161.02	307.69	764.36	181.28	215.77	283.05	242.88	332.14	246.28	182.55	256.78	195.72	155.5	381.68	379.04	237.86	197.09	187.71	218.79	161.02	305.55	223.41	351.14	348.71	208.38	241.19	403.5	307.69	329.84	441.64	309.83	348.71	607.87	363.56	395.18	435.55	543.96	392.44	595.34	265.87	295.11	285.03	543.96	285.03	301.33	579.04	559.28	647.07	599.49	616.37	547.75	376.41	529.06	361.04	334.46	656.11	595.34	738.29	466.88	309.83	759.08	256.78	343.89	457.25	351.14	587.13	295.11	460.44	567.1	303.44	228.13	432.53	708.18	866.07	325.29	607.87	651.58	309.83	447.82	232.94	547.75	441.64	356.05	642.59	264.03	432.53	669.92	376.41	212.78	164.42	381.68	193.01	409.15	241.19	339.14	316.37	295.11	293.07	297.17	167.9	132.44	226.54	718.08	237.86	392.44	426.57	204.07	371.22	198.47	201.25	159.9	136.19	159.9
UBE2O	171.45	214.27	295.11	295.11	208.38	165.57	361.04	293.07	320.8	387.02	271.48	212.78	301.33	346.29	260.38	258.57	241.19	215.77	218.79	234.57	209.84	221.86	177.53	92.05	199.85	244.57	271.48	285.03	301.33	223.41	156.59	457.25	381.68	239.52	231.32	237.86	130.6	248.0	226.54	256.78	242.88	307.69	234.57	217.27	256.78	334.46	285.03	211.31	242.88	165.57	208.38	356.05	156.59	262.2	265.87	231.32	332.14	285.03	214.27	297.17	204.07	264.03	159.9	251.48	267.73	275.28	318.57	239.52	201.25	153.34	208.38	295.11	237.86	172.65	223.41	177.53	318.57	269.6	198.47	363.56	275.28	281.09	376.41	295.11	343.89	262.2	180.02	289.02	271.48	199.85	199.85	325.29	265.87	242.88	129.69	267.73	194.36	133.36	209.84	226.54	262.2	236.21	253.23	229.72	320.8	226.54	267.73	199.85	289.02	215.77	199.85	275.28	275.28	242.88	275.28	212.78	232.94	343.89	341.51	392.44	376.41	264.03	435.55	285.03	323.03	392.44	285.03	329.84	387.02	258.57	279.14	297.17	384.34	368.65	334.46	420.68	339.14	353.59	307.69	346.29	309.83	389.72	400.71	447.82	305.55	406.31	368.65	348.71	343.89	420.68	264.03	438.59	275.28	258.57	275.28	361.04	195.72	316.37	291.04	353.59	314.17	346.29	373.81	356.05	384.34	303.44	409.15	309.83	293.07	283.05	363.56	363.56	423.61	229.72	163.28	232.94	264.03	269.6	376.41	309.83	358.54	255.0	234.57	236.21	170.25	490.14	195.72	193.01	214.27	242.88	234.57	143.01	180.02	181.28	151.22	157.68	214.27	212.78	214.27
UPF1	813.63	728.11	842.36	1008.9	896.64	961.07	1081.39	1104.13	1119.56	1427.22	1096.5	884.29	1037.29	1119.56	713.11	974.5	866.07	961.07	684.02	769.69	974.5	836.53	902.89	1030.12	878.17	1313.23	974.5	802.41	1096.5	733.19	674.59	1088.92	1015.93	780.44	909.17	1096.5	674.59	854.13	633.73	921.88	928.3	1001.93	884.29	878.17	1127.35	808.0	1001.93	866.07	1225.22	819.3	866.07	1340.84	595.34	902.89	785.88	884.29	1159.07	947.83	1167.14	967.76	884.29	848.22	1191.69	1183.45	825.0	954.43	1233.75	896.64	1088.92	769.69	860.08	1208.34	796.86	819.3	1159.07	728.11	813.63	1001.93	1066.48	1304.15	703.28	878.17	1059.11	909.17	1127.35	1044.52	656.11	947.83	1135.2	896.64	1008.9	1151.06	825.0	1216.75	679.29	753.83	785.88	656.11	836.53	748.61	1088.92	884.29	890.44	981.29	1250.98	872.1	1008.9	708.18	1151.06	1127.35	808.0	1044.52	1225.22	1104.13	1183.45	1143.1	1066.48	1111.82	1427.22	1088.92	1199.98	1111.82	1037.29	947.83	1397.83	830.75	819.3	1030.12	1508.65	947.83	764.36	1159.07	1096.5	1437.15	1104.13	1477.58	1159.07	1242.34	1191.69	1397.83	961.07	1369.04	1340.84	1295.13	1159.07	1143.1	1313.23	1159.07	1015.93	1259.69	1066.48	1340.84	1008.9	1119.56	1111.82	1096.5	896.64	1427.22	1151.06	1119.56	1015.93	1304.15	1277.29	1242.34	1242.34	1159.07	1437.15	1175.27	928.3	1191.69	1127.35	941.27	1216.75	830.75	1119.56	1051.79	1487.87	854.13	1159.07	1250.98	1233.75	988.12	1044.52	1119.56	830.75	529.06	909.17	435.55	1073.91	802.41	748.61	753.83	688.78	603.67	547.75	563.18	995.0	563.18	848.22
USP21	463.65	583.07	525.39	583.07	500.46	470.14	764.36	595.34	819.3	854.13	703.28	555.41	656.11	547.75	563.18	693.58	426.57	743.43	486.75	486.75	660.68	397.93	403.5	262.2	642.59	579.04	595.34	414.87	808.0	638.15	420.68	684.02	860.08	651.58	753.83	718.08	423.61	518.15	559.28	555.41	660.68	647.07	503.95	543.96	536.45	647.07	743.43	595.34	693.58	518.15	463.65	497.0	454.09	567.1	698.41	432.53	780.44	842.36	642.59	679.29	400.71	466.88	412.0	638.15	567.1	743.43	738.29	620.67	575.03	361.04	429.54	669.92	665.29	299.25	629.35	507.46	493.56	595.34	529.06	928.3	529.06	780.44	647.07	599.49	718.08	660.68	414.87	703.28	743.43	500.46	470.14	941.27	551.56	638.15	563.18	503.95	447.82	616.37	529.06	819.3	769.69	473.41	432.53	684.02	698.41	303.44	633.73	320.8	583.07	708.18	473.41	483.38	785.88	507.46	830.75	665.29	796.86	848.22	890.44	819.3	909.17	941.27	928.3	733.19	878.17	753.83	688.78	769.69	1044.52	961.07	599.49	723.08	1023.0	934.76	941.27	1127.35	1001.93	1073.91	961.07	651.58	775.05	995.0	1397.83	1001.93	947.83	1059.11	1242.34	825.0	733.19	1001.93	902.89	1183.45	579.04	796.86	872.1	753.83	466.88	825.0	995.0	723.08	764.36	1081.39	1059.11	1225.22	967.76	679.29	921.88	647.07	629.35	836.53	884.29	764.36	921.88	559.28	521.76	551.56	629.35	514.56	624.99	579.04	493.56	423.61	366.09	490.14	454.09	376.41	708.18	500.46	698.41	603.67	624.99	693.58	684.02	346.29	423.61	384.34	718.08	624.99	466.88
VARS2	341.51	212.78	406.31	309.83	273.37	389.72	320.8	341.51	551.56	460.44	514.56	483.38	289.02	483.38	318.57	229.72	503.95	353.59	329.84	297.17	267.73	426.57	339.14	371.22	249.73	480.04	612.11	187.71	660.68	339.14	329.84	339.14	559.28	287.01	379.04	579.04	151.22	334.46	273.37	297.17	312.0	587.13	271.48	361.04	209.84	314.17	318.57	463.65	361.04	264.03	490.14	215.77	438.59	371.22	293.07	285.03	490.14	547.75	514.56	323.03	497.0	358.54	392.44	429.54	224.97	748.61	486.75	497.0	518.15	309.83	231.32	387.02	301.33	283.05	395.18	186.4	214.27	540.19	329.84	540.19	379.04	616.37	305.55	483.38	633.73	392.44	229.72	392.44	563.18	299.25	351.14	426.57	299.25	571.05	201.25	241.19	279.14	305.55	242.88	476.71	633.73	255.0	249.73	332.14	309.83	307.69	514.56	318.57	403.5	447.82	226.54	307.69	376.41	543.96	624.99	231.32	551.56	540.19	583.07	389.72	356.05	651.58	507.46	316.37	447.82	503.95	384.34	255.0	748.61	387.02	406.31	376.41	540.19	583.07	511.0	836.53	518.15	500.46	684.02	336.79	295.11	493.56	764.36	547.75	435.55	361.04	764.36	358.54	341.51	514.56	511.0	447.82	339.14	460.44	575.03	432.53	234.57	409.15	473.41	642.59	438.59	660.68	723.08	624.99	543.96	253.23	514.56	412.0	277.2	470.14	376.41	503.95	470.14	457.25	341.51	316.37	435.55	327.56	356.05	283.05	343.89	417.77	265.87	269.6	400.71	470.14	185.11	297.17	371.22	540.19	432.53	583.07	457.25	253.23	363.56	283.05	420.68	376.41	182.55
VPS16	381.68	483.38	567.1	463.65	463.65	934.76	543.96	500.46	591.22	775.05	603.67	665.29	518.15	769.69	454.09	490.14	1001.93	503.95	483.38	346.29	507.46	511.0	753.83	854.13	748.61	1127.35	665.29	403.5	503.95	595.34	860.08	486.75	718.08	395.18	583.07	624.99	447.82	454.09	575.03	358.54	493.56	878.17	441.64	532.74	507.46	647.07	540.19	559.28	559.28	417.77	819.3	480.04	414.87	723.08	480.04	607.87	941.27	579.04	674.59	616.37	575.03	493.56	551.56	842.36	476.71	928.3	559.28	693.58	684.02	1008.9	334.46	444.72	525.39	406.31	587.13	454.09	620.67	842.36	842.36	1023.0	397.93	764.36	507.46	791.35	796.86	575.03	423.61	1066.48	1127.35	318.57	660.68	457.25	525.39	759.08	536.45	379.04	518.15	525.39	599.49	595.34	866.07	392.44	521.76	463.65	563.18	353.59	718.08	521.76	500.46	612.11	432.53	379.04	579.04	896.64	665.29	642.59	660.68	759.08	785.88	612.11	769.69	884.29	748.61	543.96	738.29	591.22	620.67	612.11	902.89	647.07	559.28	830.75	1001.93	738.29	698.41	878.17	961.07	698.41	674.59	591.22	497.0	836.53	890.44	1023.0	651.58	665.29	860.08	718.08	647.07	703.28	607.87	769.69	591.22	780.44	1088.92	583.07	559.28	693.58	1051.79	1119.56	674.59	872.1	1037.29	708.18	808.0	529.06	693.58	713.11	633.73	684.02	656.11	656.11	723.08	669.92	473.41	400.71	1216.75	466.88	819.3	708.18	854.13	525.39	466.88	486.75	603.67	540.19	466.88	348.71	642.59	529.06	497.0	514.56	543.96	429.54	353.59	454.09	457.25	376.41	718.08
