	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
TAF1A	348.71	336.79	251.48	186.4	39.5	26.67	182.55	72.52	35.0	105.15	67.12	29.06	58.3	38.12	43.32	96.68	85.22	40.07	66.18	98.73	159.9	61.25	81.14	82.87	80.57	84.63	18.43	57.08	107.38	244.57	16.27	39.79	48.18	79.45	88.88	147.06	204.07	92.05	73.54	152.28	14.89	71.5	89.51	24.11	41.22	29.06	129.69	95.34	113.56	64.34	42.71	75.11	100.13	134.3	61.68	80.57	25.72	38.95	94.67	186.4	75.11	163.28	30.78	17.38	15.68	21.94	30.34	26.67	32.13	20.71	8.13	52.45	26.28	13.52	13.32	47.5	36.53	23.25	40.07	24.28	21.94	22.1	13.62	27.64	34.26	27.64	21.01	23.42	22.59	15.68	77.79	22.1	13.32	23.93	11.91	28.86	51.71	220.32	224.97
TAF1B	237.86	271.48	226.54	197.09	73.54	66.65	197.09	281.09	90.14	94.01	47.5	130.6	91.41	61.25	74.58	212.78	120.1	67.59	131.51	86.43	159.9	105.89	108.9	93.35	161.02	108.14	86.43	214.27	135.24	167.9	75.64	98.04	91.41	64.34	108.9	112.77	187.71	88.26	108.14	150.17	59.13	137.14	141.02	116.78	97.36	62.56	135.24	109.66	115.97	63.0	130.6	108.14	88.88	113.56	86.43	169.07	82.87	53.19	114.36	73.03	112.77	191.67	46.84	47.5	22.43	57.08	34.75	39.5	41.22	50.27	30.34	62.56	40.93	47.5	64.8	60.82	58.3	49.91	70.01	64.8	40.36	36.01	36.53	45.85	65.26	74.58	69.52	64.34	75.64	40.07	73.03	49.56	49.91	70.01	30.12	49.21	67.59	260.38	303.44
TAF2	447.82	733.19	854.13	366.09	144.01	93.35	285.03	242.88	480.04	285.03	108.14	142.01	98.73	144.01	194.36	164.42	303.44	45.53	134.3	172.65	373.81	144.01	329.84	148.09	351.14	215.77	361.04	264.03	361.04	309.83	221.86	303.44	108.14	171.45	289.02	351.14	283.05	214.27	165.57	236.21	44.25	193.01	281.09	191.67	112.77	98.04	341.51	241.19	281.09	70.51	214.27	111.99	175.07	145.02	195.72	318.57	118.43	96.68	325.29	199.85	169.07	387.02	77.25	81.14	46.18	120.1	78.89	100.83	88.26	61.25	68.55	166.73	87.65	90.14	63.89	134.3	105.89	57.49	141.02	85.22	70.01	54.33	128.79	94.01	111.99	112.77	98.73	127.0	132.44	49.91	155.5	95.34	112.77	112.77	41.52	61.68	155.5	480.04	540.19
TAOK1	366.09	336.79	476.71	351.14	115.97	88.88	414.87	253.23	140.04	122.64	78.34	146.03	81.14	121.79	142.01	186.4	224.97	59.55	173.85	125.24	332.14	98.73	145.02	114.36	197.09	181.28	86.43	146.03	201.25	312.0	129.69	129.69	112.77	75.11	183.82	172.65	226.54	72.52	106.63	194.36	50.98	108.9	102.97	104.42	82.29	90.77	154.42	173.85	162.14	124.37	204.07	108.9	193.01	84.63	127.89	205.5	91.41	78.89	176.29	262.2	98.04	201.25	62.12	48.18	28.65	97.36	65.72	74.06	89.51	92.05	46.18	154.42	94.67	77.25	63.45	84.63	133.36	44.57	92.7	92.05	71.5	34.75	90.77	45.21	78.34	63.0	54.72	65.72	127.0	63.89	95.34	125.24	112.77	61.68	46.18	54.72	70.01	368.65	450.94
TCF20	480.04	669.92	412.0	295.11	166.73	143.01	403.5	246.28	271.48	199.85	195.72	283.05	281.09	277.2	116.78	283.05	215.77	125.24	138.1	258.57	327.56	239.52	480.04	236.21	379.04	189.02	236.21	124.37	366.09	497.0	232.94	547.75	130.6	134.3	271.48	159.9	314.17	260.38	120.1	381.68	70.51	343.89	320.8	341.51	125.24	122.64	287.01	221.86	253.23	208.38	241.19	231.32	241.19	307.69	358.54	265.87	237.86	249.73	303.44	400.71	273.37	363.56	96.01	108.14	67.12	153.34	116.78	117.6	99.43	63.45	120.1	87.65	99.43	142.01	100.83	166.73	61.25	111.99	187.71	134.3	105.15	84.63	95.34	105.15	103.69	88.88	117.6	185.11	145.02	175.07	199.85	78.89	112.77	115.97	74.58	79.45	190.34	346.29	764.36
TDG	660.68	629.35	454.09	450.94	175.07	140.04	343.89	244.57	206.94	218.79	85.82	435.55	264.03	165.57	248.0	291.04	264.03	135.24	228.13	209.84	466.88	202.66	226.54	158.79	679.29	289.02	152.28	265.87	258.57	476.71	253.23	218.79	303.44	122.64	301.33	283.05	403.5	258.57	571.05	412.0	59.13	191.67	320.8	186.4	163.28	101.54	346.29	285.03	476.71	98.73	175.07	271.48	285.03	277.2	236.21	463.65	197.09	141.02	400.71	389.72	205.5	441.64	149.12	117.6	87.65	147.06	172.65	109.66	71.0	109.66	166.73	193.01	166.73	113.56	167.9	198.47	185.11	92.05	82.87	153.34	143.01	98.04	167.9	101.54	169.07	116.78	93.35	87.65	94.67	121.79	197.09	121.79	136.19	170.25	40.64	127.89	114.36	954.43	400.71
TFCP2	607.87	591.22	559.28	447.82	171.45	138.1	525.39	470.14	204.07	239.52	229.72	218.79	197.09	19.68	35.76	384.34	185.11	177.53	314.17	314.17	503.95	169.07	239.52	248.0	381.68	332.14	185.11	149.12	260.38	432.53	140.04	193.01	166.73	159.9	249.73	220.32	521.76	277.2	144.01	392.44	128.79	217.27	361.04	186.4	197.09	178.77	253.23	289.02	262.2	177.53	299.25	281.09	295.11	309.83	40.64	307.69	205.5	206.94	351.14	536.45	376.41	262.2	129.69	105.15	120.94	177.53	167.9	146.03	166.73	169.07	108.9	181.28	199.85	136.19	115.16	258.57	166.73	106.63	175.07	120.1	159.9	111.99	208.38	70.51	173.85	104.42	127.0	305.55	95.34	89.51	327.56	138.1	65.26	141.02	64.34	120.94	153.34	532.74	629.35
TGFBRAP1	341.51	624.99	234.57	258.57	79.45	46.18	291.04	242.88	78.34	94.01	53.19	99.43	52.08	94.67	76.71	141.02	103.69	61.68	217.27	92.05	133.36	97.36	120.94	118.43	106.63	111.99	51.71	43.94	126.12	187.71	49.91	76.17	37.32	61.68	122.64	85.22	170.25	78.89	73.54	186.4	23.08	72.52	161.02	55.49	59.55	55.49	115.16	126.12	80.57	59.13	103.69	91.41	92.7	111.21	67.59	121.79	51.35	58.3	115.16	190.34	81.14	96.68	45.21	48.52	53.57	66.65	43.94	56.68	30.34	29.27	117.6	80.01	47.17	37.59	56.68	103.69	41.81	43.32	94.67	120.94	31.22	53.19	77.25	53.57	68.55	51.71	50.63	94.01	84.04	27.44	70.01	55.89	42.41	45.21	24.28	31.9	89.51	212.78	500.46
TM9SF3	1977.24	2956.17	1870.53	1697.45	934.76	825.0	2104.58	941.27	813.63	981.29	718.08	928.3	791.35	679.29	775.05	1183.45	1277.29	379.04	928.3	896.64	2018.8	1015.93	1417.35	679.29	1023.0	713.11	563.18	947.83	1639.59	1651.0	915.51	934.76	808.0	656.11	1233.75	1104.13	1628.26	1191.69	669.92	1350.18	521.76	1023.0	1015.93	902.89	551.56	733.19	1096.5	1322.37	1583.71	764.36	1651.0	759.08	941.27	947.83	947.83	1088.92	387.02	633.73	878.17	1781.89	981.29	1331.57	688.78	583.07	493.56	854.13	759.08	764.36	780.44	638.15	612.11	718.08	660.68	547.75	629.35	878.17	909.17	698.41	1030.12	684.02	713.11	599.49	624.99	555.41	884.29	647.07	638.15	808.0	738.29	684.02	934.76	693.58	638.15	620.67	674.59	1135.2	1044.52	1519.15	2816.11
TOP1	1135.2	1340.84	1794.29	1977.24	624.99	480.04	1909.85	902.89	723.08	607.87	348.71	728.11	525.39	525.39	454.09	713.11	665.29	289.02	665.29	665.29	785.88	603.67	785.88	543.96	1030.12	785.88	532.74	642.59	830.75	1191.69	403.5	674.59	473.41	444.72	860.08	909.17	1051.79	660.68	457.25	808.0	373.81	669.92	753.83	728.11	543.96	389.72	599.49	540.19	947.83	571.05	595.34	603.67	555.41	848.22	718.08	842.36	438.59	358.54	693.58	941.27	684.02	928.3	426.57	406.31	248.0	507.46	497.0	403.5	397.93	470.14	312.0	438.59	358.54	444.72	412.0	743.43	660.68	368.65	738.29	400.71	381.68	327.56	420.68	551.56	476.71	450.94	409.15	775.05	507.46	490.14	698.41	371.22	470.14	450.94	406.31	312.0	703.28	1529.73	1936.53
TOPBP1	660.68	947.83	540.19	607.87	150.17	92.7	571.05	217.27	220.32	186.4	108.9	395.18	118.43	176.29	126.12	309.83	264.03	115.16	167.9	193.01	447.82	173.85	199.85	177.53	483.38	329.84	163.28	275.28	384.34	514.56	260.38	291.04	195.72	125.24	293.07	303.44	406.31	161.02	277.2	563.18	123.5	420.68	312.0	271.48	191.67	137.14	316.37	363.56	301.33	157.68	253.23	167.9	212.78	221.86	265.87	255.0	129.69	107.38	297.17	291.04	214.27	476.71	80.57	66.18	41.22	113.56	72.52	72.01	35.0	92.05	76.17	239.52	124.37	48.18	82.29	127.0	68.07	88.26	93.35	42.41	85.22	70.01	189.02	71.0	135.24	154.42	53.95	61.25	102.97	88.26	153.34	80.01	108.14	348.71	57.49	64.34	99.43	748.61	934.76
TRIP12	2075.59	3280.18	2271.4	2209.26	591.22	403.5	2645.74	1159.07	493.56	567.1	460.44	647.07	518.15	476.71	529.06	555.41	796.86	323.03	743.43	866.07	1733.13	808.0	1015.93	307.69	1023.0	819.3	403.5	438.59	830.75	928.3	329.84	934.76	423.61	301.33	1044.52	872.1	1378.57	595.34	397.93	1030.12	409.15	738.29	896.64	567.1	341.51	368.65	728.11	511.0	713.11	497.0	1350.18	669.92	854.13	579.04	575.03	848.22	521.76	368.65	941.27	1208.34	521.76	563.18	264.03	381.68	316.37	688.78	314.17	420.68	466.88	551.56	325.29	559.28	316.37	371.22	325.29	698.41	497.0	307.69	836.53	368.65	316.37	255.0	447.82	490.14	457.25	563.18	373.81	743.43	775.05	435.55	808.0	371.22	607.87	466.88	441.64	366.09	775.05	1991.0	1561.89
TRRAP	414.87	511.0	403.5	599.49	128.79	81.71	669.92	287.01	142.01	162.14	89.51	138.1	241.19	127.0	120.1	165.57	197.09	73.03	135.24	154.42	236.21	161.02	175.07	108.14	206.94	206.94	88.88	163.28	277.2	244.57	109.66	145.02	118.43	111.21	167.9	122.64	211.31	133.36	139.07	289.02	57.89	165.57	224.97	142.01	59.13	117.6	180.02	199.85	142.01	82.87	228.13	138.1	202.66	199.85	166.73	150.17	103.69	100.83	195.72	209.84	157.68	206.94	74.58	75.64	73.03	122.64	67.12	87.65	107.38	63.89	51.35	122.64	77.79	61.68	78.34	159.9	64.34	63.0	205.5	65.72	60.39	78.89	84.63	80.57	94.67	83.45	74.06	139.07	101.54	39.5	144.01	74.06	96.68	67.59	37.32	56.28	195.72	403.5	420.68
U2SURP	1857.6	3235.01	1359.57	1685.71	381.68	373.81	1268.46	796.86	450.94	896.64	318.57	633.73	460.44	320.8	583.07	764.36	802.41	299.25	567.1	463.65	1216.75	518.15	743.43	559.28	1909.85	825.0	529.06	612.11	813.63	842.36	769.69	688.78	466.88	361.04	571.05	995.0	1340.84	450.94	638.15	1015.93	423.61	836.53	915.51	457.25	392.44	348.71	791.35	808.0	878.17	429.54	567.1	642.59	620.67	775.05	563.18	902.89	447.82	291.04	1268.46	1008.9	660.68	1286.18	332.14	241.19	61.25	229.72	258.57	223.41	457.25	211.31	356.05	1001.93	403.5	283.05	551.56	327.56	285.03	242.88	234.57	376.41	189.02	251.48	532.74	202.66	371.22	583.07	316.37	201.25	348.71	264.03	244.57	409.15	486.75	563.18	113.56	297.17	163.28	1199.98	1844.76
UHRF1BP1	125.24	251.48	208.38	253.23	44.25	25.17	236.21	201.25	71.0	53.19	31.9	108.14	77.25	43.63	134.3	133.36	127.89	20.26	90.14	90.14	108.14	84.04	75.64	55.49	72.52	120.1	52.45	49.91	183.82	133.36	92.05	100.83	48.52	58.71	85.82	82.87	120.1	59.13	37.32	102.97	17.38	64.34	125.24	74.58	40.64	42.11	111.21	114.36	194.36	42.11	77.25	57.08	94.01	85.82	55.49	125.24	25.54	42.71	223.41	194.36	76.17	133.36	30.34	26.86	18.43	49.91	20.71	37.59	20.56	42.11	27.44	51.35	29.7	11.73	36.01	36.27	20.41	22.92	45.85	28.45	32.13	14.14	27.64	28.86	40.36	31.9	24.11	31.22	49.21	44.57	47.17	38.67	46.84	39.5	14.24	23.59	41.81	224.97	316.37
UTP20	229.72	346.29	163.28	159.9	55.1	33.3	241.19	92.7	56.68	56.68	34.02	90.77	24.46	54.72	46.5	120.1	87.65	32.82	63.45	57.49	159.9	47.84	63.45	53.19	96.68	94.01	38.12	72.52	90.77	127.0	36.01	91.41	54.33	50.27	96.01	61.68	111.99	68.55	129.69	138.1	26.28	74.06	108.14	50.27	42.41	49.21	89.51	75.11	141.02	38.12	74.06	68.07	63.45	69.52	66.65	116.78	37.85	39.79	79.45	124.37	30.78	106.63	33.78	28.04	20.11	44.25	29.27	31.9	25.54	33.78	24.81	37.85	37.05	29.06	23.42	59.97	35.76	38.12	48.52	34.26	20.41	30.12	40.07	29.06	26.67	36.01	37.59	36.53	43.63	29.7	40.64	29.7	38.95	23.42	15.45	25.17	59.13	191.67	267.73
VPS26A	1359.57	2287.2	1199.98	830.75	423.61	351.14	1119.56	708.18	563.18	567.1	366.09	563.18	470.14	435.55	607.87	713.11	674.59	291.04	669.92	450.94	1030.12	521.76	599.49	403.5	595.34	412.0	341.51	748.61	651.58	819.3	406.31	587.13	536.45	409.15	624.99	612.11	890.44	444.72	759.08	842.36	363.56	567.1	785.88	454.09	305.55	339.14	764.36	718.08	947.83	417.77	486.75	612.11	563.18	563.18	536.45	607.87	265.87	256.78	591.22	1023.0	473.41	624.99	307.69	332.14	220.32	387.02	363.56	381.68	316.37	392.44	231.32	486.75	205.5	283.05	376.41	466.88	417.77	366.09	536.45	303.44	287.01	316.37	351.14	409.15	283.05	275.28	327.56	403.5	457.25	351.14	400.71	275.28	332.14	376.41	295.11	295.11	571.05	967.76	1572.76
VRK2	571.05	723.08	620.67	312.0	212.78	150.17	536.45	281.09	149.12	212.78	129.69	191.67	88.26	103.69	158.79	327.56	291.04	122.64	258.57	186.4	511.0	137.14	189.02	182.55	255.0	303.44	144.01	358.54	172.65	199.85	140.04	237.86	134.3	94.01	248.0	260.38	454.09	159.9	201.25	253.23	70.01	180.02	329.84	153.34	150.17	133.36	198.47	348.71	206.94	123.5	249.73	143.01	215.77	98.73	183.82	229.72	165.57	117.6	293.07	248.0	93.35	267.73	114.36	95.34	37.32	128.79	116.78	153.34	105.89	121.79	57.49	316.37	137.14	120.94	264.03	129.69	183.82	90.14	201.25	96.01	127.0	80.01	118.43	102.97	130.6	201.25	91.41	158.79	148.09	78.34	142.01	154.42	162.14	157.68	68.55	125.24	141.02	460.44	819.3
VTI1A	376.41	244.57	429.54	271.48	126.12	86.43	262.2	194.36	144.01	167.9	106.63	209.84	118.43	105.15	144.01	164.42	170.25	127.0	167.9	169.07	275.28	145.02	175.07	92.05	176.29	138.1	141.02	199.85	187.71	161.02	87.65	144.01	129.69	65.72	140.04	189.02	251.48	198.47	178.77	173.85	138.1	172.65	190.34	108.9	140.04	128.79	221.86	201.25	262.2	105.15	175.07	129.69	148.09	132.44	147.06	181.28	62.12	102.97	162.14	167.9	147.06	175.07	92.05	88.26	98.73	100.83	96.68	124.37	98.73	145.02	49.56	208.38	82.87	55.49	96.01	130.6	125.24	115.97	137.14	74.58	78.89	84.63	100.83	137.14	90.14	157.68	124.37	115.16	146.03	176.29	97.36	128.79	141.02	146.03	95.34	104.42	161.02	334.46	341.51
WAC	2287.2	2537.92	1963.57	1745.2	808.0	563.18	1628.26	1250.98	825.0	743.43	536.45	884.29	679.29	660.68	718.08	1295.13	1081.39	323.03	896.64	848.22	1259.69	915.51	1216.75	1023.0	1008.9	780.44	629.35	1044.52	1322.37	1487.87	567.1	1104.13	748.61	536.45	1023.0	1233.75	1662.49	1151.06	808.0	1870.53	395.18	947.83	1304.15	1023.0	638.15	571.05	1175.27	1167.14	1498.22	575.03	921.88	848.22	1008.9	981.29	723.08	1044.52	536.45	500.46	1417.35	1697.45	743.43	1167.14	547.75	450.94	343.89	698.41	540.19	547.75	470.14	688.78	397.93	1066.48	447.82	559.28	620.67	974.5	775.05	483.38	928.3	629.35	381.68	514.56	547.75	612.11	620.67	708.18	616.37	688.78	733.19	368.65	988.12	703.28	612.11	679.29	470.14	518.15	981.29	2148.82	2956.17
WDR26	1447.15	1594.73	1709.26	1066.48	559.28	412.0	1073.91	836.53	595.34	1001.93	708.18	563.18	555.41	620.67	599.49	884.29	733.19	325.29	1487.87	1119.56	1757.34	915.51	808.0	775.05	1427.22	954.43	543.96	728.11	1135.2	1508.65	503.95	723.08	620.67	1037.29	967.76	1199.98	1119.56	995.0	543.96	1167.14	275.28	703.28	813.63	540.19	420.68	353.59	1135.2	1295.13	1331.57	507.46	579.04	808.0	860.08	656.11	500.46	703.28	432.53	738.29	1225.22	1651.0	796.86	909.17	346.29	366.09	299.25	486.75	371.22	312.0	703.28	409.15	332.14	679.29	336.79	293.07	429.54	579.04	480.04	403.5	460.44	343.89	312.0	314.17	441.64	432.53	412.0	591.22	454.09	392.44	420.68	450.94	796.86	532.74	417.77	423.61	287.01	651.58	314.17	1286.18	743.43
WHSC1	1286.18	825.0	684.02	1081.39	112.77	91.41	775.05	236.21	260.38	248.0	108.9	457.25	543.96	120.94	191.67	412.0	291.04	58.3	223.41	314.17	265.87	178.77	204.07	223.41	647.07	435.55	211.31	351.14	339.14	529.06	307.69	239.52	273.37	171.45	264.03	226.54	363.56	93.35	400.71	819.3	98.04	197.09	674.59	157.68	186.4	104.42	507.46	493.56	297.17	94.67	164.42	260.38	201.25	316.37	291.04	409.15	148.09	100.83	607.87	420.68	414.87	353.59	78.89	60.82	50.98	129.69	85.22	75.64	67.12	59.13	33.78	181.28	59.13	63.0	81.71	94.01	98.04	60.39	101.54	73.03	66.65	49.56	53.19	100.83	92.05	105.15	48.87	109.66	105.15	69.03	116.78	129.69	158.79	91.41	20.41	31.9	148.09	633.73	961.07
WIPF2	426.57	429.54	470.14	368.65	154.42	94.67	480.04	567.1	152.28	191.67	130.6	242.88	143.01	182.55	241.19	262.2	228.13	96.68	208.38	136.19	414.87	150.17	214.27	237.86	208.38	204.07	142.01	199.85	273.37	366.09	156.59	204.07	140.04	132.44	198.47	224.97	208.38	128.79	241.19	215.77	86.43	138.1	248.0	123.5	117.6	108.9	237.86	264.03	185.11	55.89	162.14	165.57	244.57	197.09	176.29	221.86	94.01	117.6	226.54	339.14	183.82	269.6	106.63	87.03	92.7	159.9	106.63	108.9	117.6	87.65	71.0	123.5	103.69	79.45	102.97	159.9	135.24	57.49	126.12	94.67	111.99	106.63	112.77	84.63	132.44	111.21	136.19	180.02	87.65	93.35	287.01	134.3	105.89	128.79	48.52	151.22	195.72	525.39	460.44
XPNPEP1	1397.83	1111.82	1175.27	1477.58	507.46	262.2	981.29	1073.91	483.38	733.19	521.76	718.08	521.76	470.14	954.43	1001.93	872.1	285.03	688.78	540.19	1008.9	438.59	660.68	353.59	629.35	693.58	400.71	791.35	791.35	599.49	381.68	802.41	902.89	327.56	723.08	872.1	848.22	612.11	842.36	769.69	351.14	629.35	612.11	547.75	470.14	320.8	878.17	698.41	728.11	403.5	450.94	490.14	842.36	555.41	642.59	688.78	358.54	231.32	638.15	620.67	543.96	728.11	295.11	309.83	358.54	406.31	277.2	334.46	507.46	373.81	269.6	412.0	299.25	242.88	269.6	376.41	389.72	275.28	387.02	329.84	289.02	260.38	341.51	336.79	403.5	332.14	305.55	303.44	303.44	329.84	514.56	228.13	299.25	299.25	211.31	934.76	379.04	1250.98	1819.35
XPO1	2061.24	2956.17	1733.13	2627.46	791.35	674.59	1572.76	1250.98	860.08	1191.69	579.04	1104.13	769.69	860.08	780.44	1104.13	995.0	780.44	1277.29	915.51	1427.22	1081.39	836.53	1015.93	2417.67	1417.35	1199.98	1250.98	1233.75	1583.71	1208.34	961.07	808.0	575.03	1096.5	1216.75	1844.76	896.64	1104.13	1757.34	743.43	1359.57	1268.46	1304.15	723.08	854.13	1143.1	1059.11	1407.55	769.69	1340.84	866.07	954.43	909.17	988.12	1175.27	872.1	511.0	1015.93	1605.83	1242.34	1757.34	497.0	470.14	301.33	567.1	624.99	486.75	718.08	511.0	1030.12	791.35	679.29	470.14	547.75	775.05	669.92	988.12	579.04	1104.13	612.11	563.18	1066.48	366.09	759.08	547.75	642.59	679.29	450.94	743.43	1313.23	529.06	460.44	476.71	371.22	473.41	656.11	1769.57	2895.31
YEATS2	1135.2	728.11	414.87	616.37	58.71	49.56	447.82	246.28	116.78	155.5	63.0	131.51	110.43	52.08	108.14	214.27	218.79	49.91	406.31	122.64	215.77	154.42	142.01	79.45	234.57	162.14	90.14	64.8	199.85	323.03	105.89	145.02	90.77	80.01	215.77	153.34	269.6	134.3	105.15	223.41	58.3	103.69	314.17	148.09	91.41	66.18	232.94	125.24	85.82	46.18	154.42	131.51	194.36	185.11	92.05	226.54	68.55	47.5	191.67	199.85	131.51	212.78	30.12	19.97	29.48	55.1	36.27	38.67	96.68	26.86	30.34	77.79	46.84	24.11	35.76	55.1	44.25	40.93	43.02	28.24	40.36	33.54	66.65	20.86	63.89	72.01	37.85	38.95	50.98	36.79	93.35	52.08	70.51	41.81	12.36	74.06	64.8	490.14	460.44
ZFR	1322.37	1286.18	1250.98	884.29	536.45	392.44	967.76	1191.69	718.08	629.35	417.77	536.45	738.29	353.59	723.08	718.08	660.68	323.03	780.44	490.14	1540.37	521.76	669.92	571.05	1059.11	674.59	429.54	753.83	796.86	1015.93	466.88	567.1	373.81	351.14	688.78	796.86	974.5	674.59	583.07	860.08	339.14	693.58	738.29	543.96	435.55	463.65	669.92	703.28	753.83	518.15	842.36	579.04	791.35	629.35	703.28	961.07	638.15	518.15	954.43	1151.06	543.96	723.08	423.61	271.48	148.09	392.44	432.53	429.54	423.61	473.41	348.71	525.39	297.17	301.33	420.68	503.95	651.58	283.05	429.54	361.04	444.72	295.11	463.65	264.03	493.56	327.56	438.59	358.54	371.22	379.04	444.72	490.14	334.46	412.0	409.15	312.0	381.68	954.43	902.89
ZNF142	339.14	392.44	299.25	267.73	67.59	35.5	209.84	314.17	104.42	127.0	63.0	89.51	88.88	87.65	112.77	198.47	129.69	63.0	166.73	118.43	208.38	106.63	143.01	56.68	162.14	139.07	80.57	57.49	115.97	255.0	83.45	99.43	62.56	81.71	166.73	158.79	211.31	96.68	77.79	279.14	37.05	95.34	163.28	108.14	46.84	56.28	154.42	67.12	162.14	60.82	124.37	106.63	117.6	139.07	91.41	144.01	57.49	91.41	146.03	182.55	69.03	106.63	49.21	38.12	46.84	85.82	26.1	57.49	36.01	28.24	31.22	70.01	50.27	38.95	21.47	50.63	26.67	34.26	33.78	44.57	32.59	40.07	50.98	32.82	49.21	33.78	47.5	45.21	101.54	23.25	73.54	41.81	44.89	68.07	15.8	35.25	53.57	289.02	503.95
