	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
IRX3	10.08	5.41	70.51	27.44	3.76	16.88	141.02	88.88	6.46	21.01	387.02	466.88	178.77	202.66	480.04	249.73	58.71	220.32	293.07	353.59	289.02	208.38	473.41	1175.27	406.31	1794.29	127.89	163.28	198.47	361.04	493.56	320.8	144.01	351.14	143.01	358.54	366.09	191.67	201.25	507.46	234.57	368.65	327.56	223.41	301.33	295.11	94.67	232.94	303.44	256.78	314.17	220.32	4268.94	2997.45	3039.3	2915.45	2956.17	1745.2	490.14	5751.61	941.27	1857.6	3190.46	2224.63	5329.3	2018.8	3103.19	1216.75	4181.07	1651.0	1583.71	1304.15	432.53	189.02	187.71	206.94	339.14	432.53	173.85	206.94	255.0	616.37	242.88	183.82	164.42	318.57	197.09	220.32	0.0	0.03	146.03	144.01	323.03
IRX5	13.22	6.21	15.8	4.1	9.85	18.43	18.56	26.47	1.22	6.06	120.94	103.69	32.82	35.76	101.54	63.45	14.67	96.68	27.64	118.43	112.77	22.26	117.6	493.56	55.1	429.54	26.67	54.72	35.76	53.57	71.0	40.07	102.97	108.14	69.52	75.11	92.05	60.39	72.52	144.01	65.26	120.94	51.35	55.49	88.26	118.43	22.43	38.95	62.56	35.5	54.72	37.05	291.04	1023.0	1175.27	223.41	1331.57	780.44	591.22	387.02	764.36	95.34	1023.0	483.38	633.73	872.1	1447.15	511.0	1295.13	1073.91	665.29	819.3	145.02	43.63	37.59	41.52	105.89	189.02	20.86	66.18	42.41	194.36	36.27	43.94	36.53	56.68	41.52	53.95	0.0	0.0	2.32	1.36	0.56
ITFG3	1498.22	808.0	1304.15	974.5	1369.04	1447.15	836.53	1066.48	1674.06	1397.83	1870.53	1757.34	890.44	1832.01	1551.09	1295.13	860.08	2777.33	1225.22	684.02	1051.79	1561.89	1583.71	1977.24	3742.05	954.43	1340.84	1159.07	1605.83	1167.14	1350.18	1477.58	1388.16	1331.57	1467.37	1628.26	1447.15	1250.98	1407.55	1417.35	1605.83	1350.18	1617.0	1417.35	1340.84	1583.71	1340.84	2163.77	1487.87	1674.06	1199.98	1447.15	3325.99	3146.52	2875.3	3794.3	2018.8	1950.0	5594.3	3257.52	3103.19	2758.13	3614.55	3901.01	6164.49	4010.71	2417.67	2777.33	3928.15	4769.75	3589.58	2935.74	1208.34	1674.06	1745.2	1331.57	1883.54	1561.89	1572.76	1870.53	1757.34	2468.49	1286.18	1417.35	1733.13	1781.89	1617.0	1745.2	1104.13	159.9	1721.16	1572.76	1628.26
ITGB8	11.82	64.8	40.07	31.22	31.22	22.75	114.36	40.07	14.35	10.63	679.29	454.09	318.57	995.0	656.11	395.18	954.43	293.07	1066.48	175.07	1378.57	738.29	3847.29	947.83	3190.46	2351.53	624.99	555.41	633.73	1066.48	1457.23	1259.69	995.0	928.3	775.05	759.08	915.51	866.07	1304.15	1096.5	819.3	1104.13	890.44	1259.69	616.37	836.53	1388.16	1794.29	769.69	1225.22	1331.57	1242.34	2367.9	2591.27	3928.15	3768.09	4972.34	4152.18	2119.22	2935.74	4181.07	3847.29	3443.31	5479.15	5147.73	5112.16	4066.71	2485.67	2935.74	1350.18	4152.18	4095.0	579.04	738.29	890.44	713.11	587.13	575.03	1044.52	638.15	1015.93	1378.57	718.08	915.51	896.64	1242.34	417.77	616.37	358.54	429.54	39.5	84.04	31.22
JAK1	651.58	830.75	759.08	473.41	775.05	616.37	583.07	713.11	808.0	647.07	1674.06	1191.69	521.76	1685.71	1369.04	872.1	830.75	1427.22	954.43	708.18	1059.11	693.58	1447.15	2351.53	2451.44	1529.73	1127.35	1467.37	1277.29	1340.84	1733.13	1844.76	1487.87	1572.76	1467.37	1447.15	1583.71	988.12	1697.45	1540.37	1617.0	1639.59	1685.71	1427.22	974.5	1388.16	1572.76	2520.38	1540.37	1909.85	2018.8	1745.2	2627.46	2271.4	1674.06	1745.2	2351.53	3372.43	2485.67	3124.78	2935.74	2061.24	2075.59	1697.45	1745.2	2047.0	2271.4	1794.29	1806.78	2090.03	1697.45	2287.2	947.83	1015.93	1857.6	1225.22	1359.57	1359.57	1388.16	1286.18	1183.45	1963.57	1183.45	1268.46	1250.98	1963.57	1250.98	1407.55	0.0	0.82	1322.37	1322.37	1242.34
KCNV1	0.0	0.92	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	4.17	3.32	0.36	1.71	6.11	2.27	0.0	15.11	0.71	0.0	0.0	0.0	9.93	6.78	81.14	12.64	0.39	0.88	0.4	0.49	2.73	2.63	10.55	3.06	1.46	2.89	1.99	2.48	3.03	3.0	4.46	1.2	1.14	2.89	1.57	3.44	4.82	5.19	2.2	1.95	8.38	2.34	82.29	53.95	59.55	51.71	59.55	97.36	60.39	149.12	97.36	49.21	114.36	11.13	41.22	43.63	64.34	152.28	61.25	56.28	74.06	15.91	4.21	0.71	1.1	1.85	1.95	3.03	5.02	2.34	2.53	15.0	0.78	0.75	1.45	2.2	1.19	1.97	0.0	0.0	4.78	0.93	0.43
KCTD16	0.68	1.55	2.51	0.0	0.0	0.73	0.68	10.79	0.4	3.32	27.05	24.46	7.94	14.14	30.12	11.82	7.46	10.0	11.82	142.01	21.63	4.43	16.75	45.53	45.85	1.3	8.99	12.93	5.19	6.31	23.25	18.16	19.25	40.07	7.51	12.83	33.06	12.18	13.42	38.4	28.04	21.94	10.16	12.83	24.99	21.94	16.15	10.24	9.85	8.06	29.7	9.2	29.06	42.41	47.5	12.0	69.03	52.82	40.64	44.89	36.27	23.42	62.56	143.01	61.25	42.71	35.0	45.53	39.5	128.79	73.03	42.41	17.25	8.99	20.26	7.63	27.44	25.72	7.4	13.03	6.06	32.59	5.36	10.0	12.0	18.7	5.06	10.08	0.0	0.0	10.63	25.72	4.66
KIAA1671	89.51	96.01	93.35	197.09	167.9	169.07	262.2	170.25	96.01	115.16	438.59	285.03	111.21	420.68	327.56	152.28	289.02	353.59	547.75	177.53	318.57	285.03	612.11	532.74	555.41	559.28	318.57	371.22	318.57	412.0	483.38	403.5	426.57	532.74	414.87	329.84	429.54	291.04	521.76	483.38	426.57	493.56	486.75	389.72	323.03	447.82	346.29	457.25	379.04	429.54	389.72	571.05	525.39	447.82	507.46	518.15	579.04	688.78	532.74	842.36	1119.56	457.25	559.28	775.05	612.11	679.29	567.1	536.45	563.18	450.94	483.38	607.87	221.86	301.33	450.94	358.54	353.59	444.72	371.22	444.72	395.18	551.56	406.31	384.34	341.51	575.03	426.57	432.53	154.42	37.85	420.68	575.03	457.25
KRT222	5.06	7.0	0.33	3.29	1.1	0.0	2.03	0.89	3.11	3.0	19.39	6.73	1.08	36.01	9.2	7.88	19.11	0.99	8.78	17.64	2.73	0.0	6.94	9.27	105.15	1.38	16.88	14.56	7.4	6.01	15.56	27.64	11.21	5.77	5.92	1.5	4.46	9.63	2.71	12.18	12.45	3.69	6.94	13.22	26.67	5.06	34.75	18.16	4.5	45.85	35.76	6.36	7.28	153.34	152.28	269.6	4.46	27.44	202.66	214.27	23.76	19.82	211.31	189.02	78.34	21.94	16.39	96.01	9.56	121.79	150.17	2.76	9.56	2.16	20.71	16.75	3.17	4.24	4.39	2.78	4.82	13.03	7.88	3.82	11.3	16.63	4.03	5.59	0.0	0.0	21.01	19.68	7.17
LASP1	2485.67	1950.0	2502.97	1242.34	1769.57	2178.83	1572.76	2240.11	3124.78	1199.98	2075.59	1427.22	981.29	2287.2	1832.01	1208.34	2240.11	2224.63	1651.0	2209.26	1135.2	1073.91	3168.41	2976.74	3928.15	1540.37	2255.7	1991.0	1832.01	1757.34	1991.0	2255.7	2090.03	1806.78	2004.85	1870.53	1991.0	1594.73	2090.03	1977.24	1883.54	1950.0	2271.4	1857.6	1540.37	1991.0	2193.99	3257.52	1977.24	2090.03	2240.11	2090.03	3124.78	4358.66	3443.31	4095.0	4298.64	4210.15	3564.78	2976.74	2915.45	3491.39	4095.0	3303.0	2816.11	4328.55	3874.05	4066.71	3768.09	3639.7	3690.52	3589.58	1378.57	1457.23	2351.53	1594.73	1685.71	2367.9	1963.57	1963.57	1685.71	3018.3	2335.28	1662.49	2032.85	2537.92	2178.83	2032.85	1991.0	521.76	872.1	1167.14	819.3
LMF1	555.41	285.03	356.05	293.07	356.05	275.28	144.01	130.6	381.68	299.25	373.81	373.81	267.73	403.5	470.14	358.54	180.02	466.88	232.94	182.55	323.03	248.0	241.19	305.55	872.1	384.34	327.56	264.03	339.14	316.37	361.04	376.41	426.57	262.2	406.31	348.71	299.25	291.04	426.57	376.41	320.8	325.29	285.03	397.93	368.65	368.65	387.02	397.93	426.57	327.56	353.59	387.02	718.08	954.43	633.73	713.11	529.06	450.94	1088.92	521.76	896.64	819.3	928.3	941.27	713.11	802.41	738.29	830.75	884.29	651.58	836.53	1073.91	387.02	447.82	429.54	521.76	409.15	384.34	381.68	511.0	551.56	551.56	447.82	447.82	450.94	500.46	463.65	559.28	0.0	0.58	543.96	529.06	543.96
LPPR5	2.73	0.32	0.0	0.0	1.1	2.18	0.0	0.3	21.94	4.7	0.71	0.34	0.36	0.69	1.31	0.99	0.0	2.39	0.0	0.0	0.06	0.0	0.36	0.0	96.68	2.43	1.6	0.44	2.46	0.51	1.38	0.77	0.0	0.0	0.0	1.1	0.8	1.66	0.39	1.14	1.89	0.41	0.39	1.1	1.58	0.39	1.62	1.06	1.5	0.79	2.32	0.79	111.21	100.13	96.68	332.14	45.21	198.47	88.88	16.63	51.35	75.11	323.03	108.14	46.84	2.97	6.21	97.36	65.26	88.26	10.31	0.65	0.66	2.46	0.75	1.13	0.39	1.53	0.37	1.19	0.38	1.71	0.79	4.9	2.18	1.11	0.0	2.76	0.0	0.0	0.0	0.0	0.0
LRP2BP	52.08	10.55	10.47	28.04	2.23	24.46	10.16	21.01	26.47	10.39	25.54	21.47	12.36	26.1	23.08	14.03	24.63	9.48	51.35	14.56	15.91	49.21	18.7	12.27	40.64	24.46	15.22	16.27	18.43	41.52	18.29	18.7	24.11	17.64	19.53	16.39	31.22	23.76	24.63	20.26	18.84	22.75	21.94	20.56	16.15	17.0	20.26	18.29	17.51	23.76	18.16	29.27	129.69	41.52	28.04	51.71	54.33	59.97	82.87	74.58	36.79	38.67	44.89	60.82	29.91	38.12	64.34	50.63	35.25	24.63	30.34	49.56	21.47	17.0	15.56	19.39	16.88	14.89	25.91	21.32	16.15	21.32	14.89	21.32	23.76	14.78	16.75	15.0	0.0	0.21	180.02	52.08	44.89
LRRC23	199.85	363.56	351.14	80.57	115.16	260.38	171.45	199.85	150.17	205.5	314.17	417.77	529.06	447.82	503.95	412.0	1225.22	376.41	305.55	981.29	511.0	503.95	327.56	525.39	733.19	466.88	414.87	371.22	356.05	463.65	420.68	444.72	395.18	426.57	500.46	336.79	336.79	559.28	389.72	409.15	551.56	507.46	454.09	551.56	575.03	470.14	395.18	248.0	450.94	329.84	460.44	480.04	947.83	1015.93	896.64	1023.0	642.59	571.05	1250.98	651.58	819.3	780.44	1066.48	733.19	796.86	884.29	718.08	995.0	785.88	738.29	941.27	775.05	665.29	384.34	441.64	454.09	547.75	429.54	497.0	480.04	429.54	312.0	547.75	470.14	373.81	412.0	412.0	470.14	0.0	0.0	441.64	366.09	450.94
LRRIQ1	0.0	9.85	0.0	1.5	0.0	0.0	0.36	5.63	0.8	0.69	48.18	33.3	21.01	26.67	47.84	35.76	25.17	46.18	18.16	36.79	41.52	19.82	26.1	72.01	113.56	47.5	22.43	35.76	26.67	45.85	29.7	43.32	41.22	37.05	37.85	35.0	47.84	35.25	46.18	43.02	48.87	48.18	28.45	61.25	39.22	37.59	29.48	51.35	33.78	37.85	39.79	50.98	133.36	90.77	94.67	181.28	71.5	260.38	156.59	113.56	150.17	71.5	140.04	98.04	135.24	76.17	107.38	122.64	106.63	98.04	56.28	77.25	38.95	20.56	28.24	24.28	28.65	36.01	41.81	35.76	38.67	67.59	26.67	28.04	45.21	37.05	27.05	23.42	0.0	0.0	76.17	22.92	47.5
LRRK2	10.55	18.56	1.31	8.85	8.78	14.14	7.17	0.62	12.18	6.78	346.29	221.86	157.68	253.23	339.14	154.42	96.68	403.5	260.38	75.64	131.51	73.54	202.66	521.76	2075.59	743.43	246.28	211.31	144.01	301.33	249.73	301.33	318.57	366.09	237.86	215.77	361.04	262.2	463.65	318.57	269.6	208.38	260.38	414.87	320.8	318.57	341.51	316.37	242.88	242.88	356.05	366.09	2133.97	4038.61	2645.74	3847.29	2434.5	5292.48	1467.37	2796.65	1819.35	1015.93	3443.31	2148.82	2351.53	1794.29	3395.89	3018.3	2119.22	1674.06	1417.35	1896.65	199.85	224.97	366.09	305.55	194.36	336.79	224.97	214.27	206.94	409.15	234.57	423.61	251.48	325.29	199.85	249.73	0.0	0.11	191.67	115.97	28.45
LRRN4	0.69	6.73	0.33	0.0	0.0	1.46	0.69	0.31	2.76	0.0	172.65	41.81	11.13	116.78	134.3	58.71	22.43	239.52	66.18	4.28	7.4	2.73	470.14	928.3	493.56	57.08	39.22	16.88	25.54	31.9	108.9	142.01	48.52	23.59	40.36	36.53	28.86	29.7	42.11	75.64	48.87	52.45	51.71	111.21	33.54	33.06	111.21	384.34	40.36	119.26	102.97	85.82	607.87	1721.16	591.22	3212.66	1388.16	825.0	713.11	1529.73	1268.46	660.68	1111.82	3103.19	1709.26	2520.38	909.17	521.76	1561.89	2720.15	1127.35	2417.67	31.22	38.4	120.94	34.75	49.56	40.93	96.68	67.12	53.57	473.41	35.76	16.39	111.99	339.14	29.06	40.36	0.0	0.09	0.97	0.11	0.1
LYG1	32.59	42.41	25.35	20.26	3.0	59.13	57.89	79.45	12.27	9.85	486.75	435.55	1572.76	1008.9	866.07	1350.18	162.14	6983.79	928.3	2367.9	226.54	48.87	1175.27	166.73	3257.52	1242.34	633.73	237.86	171.45	412.0	307.69	703.28	1277.29	759.08	780.44	567.1	457.25	1167.14	713.11	921.88	1023.0	363.56	341.51	629.35	1208.34	414.87	872.1	1331.57	373.81	417.77	866.07	503.95	11909.94	1487.87	3235.01	1540.37	1857.6	3280.18	389.72	3874.05	4123.49	3820.7	2004.85	4869.99	2664.15	9344.14	2209.26	12502.12	1417.35	5954.47	4358.66	3742.05	947.83	575.03	921.88	612.11	389.72	748.61	480.04	656.11	450.94	1487.87	444.72	551.56	414.87	1111.82	246.28	529.06	0.0	0.72	20.56	28.45	33.06
MALT1	135.24	151.22	101.54	291.04	111.21	88.26	98.04	101.54	115.97	153.34	289.02	112.77	102.25	299.25	193.01	148.09	133.36	215.77	607.87	46.18	166.73	483.38	229.72	348.71	236.21	514.56	161.02	128.79	181.28	255.0	193.01	387.02	180.02	156.59	153.34	135.24	206.94	205.5	237.86	197.09	144.01	156.59	211.31	256.78	180.02	131.51	316.37	555.41	190.34	237.86	248.0	231.32	287.01	277.2	417.77	234.57	551.56	532.74	334.46	312.0	426.57	381.68	358.54	392.44	264.03	412.0	486.75	441.64	320.8	295.11	297.17	373.81	118.43	126.12	283.05	169.07	85.82	116.78	182.55	127.0	149.12	249.73	153.34	223.41	180.02	289.02	128.79	151.22	0.0	0.21	397.93	201.25	156.59
MAP7D3	32.59	43.02	22.43	14.89	24.28	27.05	102.25	2.16	37.59	40.36	117.6	72.01	50.98	129.69	109.66	98.04	30.56	78.34	191.67	74.06	40.36	62.12	80.01	63.0	551.56	444.72	73.03	72.52	129.69	130.6	120.1	158.79	111.21	93.35	96.68	82.29	91.41	113.56	81.14	99.43	79.45	104.42	114.36	134.3	78.34	64.8	120.94	183.82	90.14	217.27	167.9	138.1	423.61	295.11	299.25	237.86	307.69	368.65	234.57	241.19	373.81	371.22	361.04	260.38	232.94	289.02	305.55	260.38	241.19	273.37	182.55	373.81	71.5	73.54	183.82	82.87	62.56	72.52	92.05	81.14	67.12	172.65	88.26	68.07	78.89	155.5	68.07	85.22	0.0	0.61	297.17	435.55	237.86
MARCH9	575.03	409.15	392.44	327.56	379.04	208.38	753.83	392.44	341.51	629.35	493.56	493.56	460.44	521.76	454.09	389.72	555.41	454.09	947.83	329.84	432.53	884.29	420.68	255.0	902.89	297.17	559.28	473.41	397.93	540.19	400.71	429.54	470.14	289.02	514.56	429.54	409.15	497.0	435.55	435.55	348.71	432.53	470.14	412.0	521.76	423.61	343.89	387.02	525.39	329.84	339.14	493.56	1529.73	1127.35	1628.26	1757.34	1030.12	1008.9	1561.89	679.29	620.67	866.07	1225.22	825.0	1561.89	813.63	1015.93	1617.0	1304.15	1242.34	1059.11	1015.93	587.13	486.75	555.41	575.03	525.39	514.56	583.07	486.75	674.59	529.06	521.76	555.41	612.11	514.56	587.13	532.74	0.0	0.72	733.19	514.56	647.07
MCU	361.04	295.11	575.03	366.09	327.56	412.0	323.03	547.75	674.59	343.89	381.68	426.57	255.0	423.61	412.0	363.56	476.71	460.44	376.41	205.5	307.69	232.94	723.08	406.31	1407.55	305.55	346.29	339.14	412.0	406.31	376.41	463.65	412.0	314.17	403.5	314.17	363.56	389.72	395.18	353.59	368.65	339.14	381.68	414.87	301.33	336.79	536.45	500.46	392.44	444.72	525.39	371.22	1304.15	1259.69	941.27	1008.9	1250.98	1733.13	2075.59	743.43	1175.27	1331.57	921.88	967.76	1088.92	1119.56	813.63	1340.84	1594.73	1127.35	902.89	1437.15	312.0	269.6	353.59	303.44	277.2	260.38	432.53	314.17	291.04	536.45	255.0	295.11	332.14	384.34	260.38	327.56	503.95	669.92	231.32	226.54	130.6
MED22	228.13	209.84	237.86	232.94	242.88	186.4	348.71	215.77	267.73	236.21	444.72	406.31	198.47	417.77	343.89	244.57	320.8	202.66	334.46	426.57	323.03	232.94	368.65	336.79	426.57	273.37	264.03	323.03	395.18	361.04	307.69	253.23	297.17	301.33	289.02	314.17	329.84	244.57	309.83	403.5	320.8	320.8	329.84	327.56	301.33	384.34	253.23	395.18	318.57	320.8	275.28	379.04	616.37	435.55	575.03	529.06	429.54	514.56	559.28	775.05	447.82	395.18	460.44	642.59	579.04	612.11	493.56	426.57	599.49	629.35	381.68	555.41	339.14	353.59	441.64	295.11	412.0	447.82	435.55	435.55	409.15	507.46	269.6	320.8	400.71	406.31	447.82	363.56	212.78	497.0	525.39	543.96	543.96
MEIS3	101.54	23.93	96.68	255.0	38.95	144.01	189.02	14.24	57.89	320.8	87.03	40.07	11.64	32.13	77.79	48.18	13.42	49.21	44.25	24.46	11.82	38.4	19.11	41.81	262.2	21.16	43.02	22.59	100.13	50.98	25.72	81.71	66.65	35.25	28.65	43.02	21.32	27.64	23.59	31.9	22.26	30.56	38.12	40.64	43.63	32.82	66.18	78.89	19.11	77.79	48.52	38.95	642.59	599.49	94.01	260.38	152.28	44.89	872.1	211.31	406.31	293.07	599.49	155.5	412.0	400.71	318.57	486.75	651.58	785.88	575.03	409.15	46.5	28.86	78.34	24.81	17.0	66.18	43.63	33.54	33.06	109.66	21.78	29.48	57.89	102.25	31.0	42.41	0.0	0.72	88.88	150.17	57.89
MET	159.9	260.38	435.55	305.55	281.09	229.72	258.57	223.41	363.56	178.77	723.08	460.44	389.72	796.86	603.67	387.02	348.71	693.58	587.13	221.86	258.57	293.07	934.76	842.36	4607.24	2758.13	429.54	583.07	435.55	441.64	599.49	830.75	764.36	514.56	532.74	503.95	480.04	612.11	713.11	518.15	679.29	507.46	723.08	723.08	457.25	500.46	961.07	1111.82	638.15	674.59	988.12	775.05	3081.75	4268.94	3515.68	3235.01	6471.02	4298.64	1498.22	2627.46	4869.99	4038.61	1909.85	2224.63	3257.52	4268.94	4639.29	2319.15	3614.55	1617.0	2875.3	4298.64	341.51	426.57	684.02	555.41	406.31	521.76	684.02	579.04	647.07	1427.22	412.0	684.02	536.45	967.76	444.72	591.22	0.0	0.07	269.6	575.03	353.59
MORN5	0.69	0.0	1.91	67.12	0.0	3.96	0.0	0.0	2.76	0.0	35.25	38.4	59.97	28.86	50.98	78.89	177.53	185.11	26.86	309.83	65.72	61.25	10.31	198.47	147.06	12.09	32.59	32.13	30.56	39.79	24.63	45.85	36.01	48.18	41.52	33.78	47.84	76.17	24.28	53.57	66.18	24.11	26.47	46.18	105.89	45.85	50.63	63.0	21.16	39.22	45.85	70.01	303.44	33.54	176.29	181.28	105.15	117.6	358.54	212.78	400.71	133.36	143.01	291.04	336.79	320.8	152.28	332.14	170.25	150.17	295.11	251.48	99.43	38.95	35.0	37.05	50.27	39.79	17.77	23.25	25.54	59.13	53.57	24.46	55.89	35.25	25.35	37.05	0.0	0.0	5.06	0.0	0.0
MYO1C	1322.37	1583.71	1662.49	1242.34	1781.89	1617.0	1135.2	285.03	1757.34	842.36	1923.14	1769.57	665.29	1781.89	1963.57	1183.45	1233.75	1477.58	1277.29	860.08	1909.85	1369.04	1697.45	2119.22	2485.67	2367.9	1096.5	1340.84	1883.54	1806.78	2163.77	1583.71	1397.83	1498.22	1572.76	1745.2	1617.0	974.5	1397.83	1819.35	1617.0	1883.54	2133.97	1617.0	878.17	1674.06	1331.57	2609.3	1674.06	2271.4	1427.22	1794.29	2835.7	3018.3	3874.05	2255.7	3614.55	2451.44	2796.65	2627.46	1857.6	2061.24	2351.53	2287.2	3491.39	2451.44	3325.99	2645.74	2133.97	3820.7	2148.82	2303.12	1295.13	1583.71	1794.29	1216.75	1923.14	1651.0	2367.9	2148.82	1477.58	2682.69	1350.18	1295.13	1721.16	2090.03	1498.22	1540.37	0.0	0.8	2287.2	1733.13	1662.49
NLRX1	248.0	214.27	246.28	363.56	277.2	153.34	363.56	140.04	283.05	165.57	336.79	291.04	138.1	295.11	305.55	255.0	211.31	480.04	229.72	325.29	246.28	202.66	490.14	480.04	470.14	299.25	226.54	215.77	258.57	221.86	249.73	232.94	267.73	265.87	234.57	265.87	236.21	171.45	256.78	307.69	339.14	277.2	267.73	232.94	234.57	348.71	237.86	348.71	231.32	253.23	211.31	262.2	547.75	339.14	612.11	406.31	397.93	454.09	450.94	514.56	463.65	320.8	514.56	532.74	620.67	583.07	460.44	435.55	320.8	708.18	444.72	441.64	293.07	291.04	329.84	234.57	341.51	334.46	277.2	356.05	279.14	417.77	228.13	244.57	297.17	301.33	348.71	318.57	0.0	0.1	209.84	297.17	223.41
NME9	9.93	6.84	7.0	5.19	10.63	4.03	5.82	8.92	11.38	4.74	32.82	26.28	9.7	27.44	31.45	27.25	1.87	18.56	14.89	6.73	37.59	12.45	7.82	54.72	110.43	16.03	15.0	12.55	10.39	13.03	12.55	14.24	15.8	10.31	14.14	8.51	17.0	10.96	13.52	14.24	18.56	19.11	12.83	18.84	24.63	24.63	28.86	20.86	8.71	20.26	10.16	14.35	106.63	117.6	137.14	79.45	110.43	83.45	146.03	46.18	95.34	25.91	87.03	103.69	135.24	89.51	125.24	147.06	79.45	65.26	128.79	44.57	29.06	19.97	18.7	8.32	17.0	9.34	15.34	17.51	8.19	37.59	10.79	13.83	16.51	17.9	12.09	14.78	0.0	0.08	50.63	42.11	26.1
