	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
SPDYE1	3.29	1.5	9.06	3.56	3.11	6.26	6.62	0.72	3.26	6.62	6.06	3.59	2.97	0.0	3.86	1.41	2.2	1.81	11.47	5.87	5.15	4.74	2.12	5.82	4.54	6.21	5.28	3.86	4.24	8.0	2.2	6.62	6.62	6.21	3.35	8.58	2.43	2.89	0.68	4.31	4.5	2.18	3.72	3.69	4.13	4.86	4.21	2.23	1.41	4.98	3.86	4.06	1.07	5.68	3.38	4.35	2.68	1.6	6.73	4.5	11.04	4.54	6.41	7.11	3.17	4.54	1.93	8.13	7.11	2.14	4.54	3.69	4.54	6.89	4.98	13.42	3.79	2.2	0.34	0.0	0.79	3.2	4.82	3.76	1.0	3.96	2.89	3.59	3.41	4.46	13.22	10.47	4.74	11.82	5.02	4.39	5.15	2.36	5.96	3.17	3.03	2.53	5.11	2.05	4.06	4.06	7.0	4.13	5.36	2.58	7.28	3.29	3.11	4.06	2.39	3.0	1.46	0.4	2.51	0.0	0.8	1.71	1.43	6.36	1.35	3.82	4.78	0.83	3.63	1.71	5.59	2.05	0.0	0.0	1.33	2.66	1.04	1.22	3.17	1.95	2.56	1.41	3.92	2.63	0.88	0.93	0.87	0.96	1.41	1.48	0.0	0.09	0.4	1.62
SRPK2	209.84	371.22	1081.39	1066.48	1594.73	1781.89	842.36	896.64	536.45	1104.13	1259.69	264.03	688.78	713.11	1331.57	825.0	583.07	651.58	1583.71	1225.22	1216.75	748.61	358.54	1605.83	759.08	967.76	1088.92	733.19	854.13	1051.79	616.37	934.76	1143.1	1008.9	647.07	934.76	476.71	753.83	915.51	733.19	981.29	684.02	1397.83	733.19	1001.93	915.51	974.5	1331.57	703.28	896.64	785.88	607.87	651.58	1030.12	1605.83	1191.69	1066.48	1023.0	1551.09	1286.18	1191.69	748.61	607.87	1259.69	884.29	825.0	651.58	1378.57	1322.37	967.76	563.18	825.0	3491.39	1561.89	473.41	1617.0	728.11	426.57	1159.07	733.19	503.95	559.28	1936.53	743.43	791.35	884.29	830.75	703.28	412.0	1277.29	1143.1	866.07	1127.35	2163.77	860.08	1277.29	961.07	825.0	1001.93	543.96	629.35	629.35	961.07	1369.04	1540.37	738.29	796.86	848.22	2502.97	1104.13	547.75	830.75	723.08	406.31	941.27	669.92	231.32	63.89	334.46	187.71	153.34	249.73	116.78	178.77	187.71	224.97	187.71	185.11	162.14	186.4	253.23	193.01	153.34	150.17	146.03	246.28	157.68	159.9	215.77	224.97	211.31	214.27	314.17	161.02	163.28	147.06	139.07	162.14	152.28	185.11	106.63	124.37	62.56	183.82
STAG2	470.14	583.07	974.5	934.76	1008.9	813.63	674.59	842.36	616.37	1216.75	1651.0	507.46	540.19	674.59	909.17	603.67	435.55	616.37	1167.14	915.51	941.27	432.53	244.57	1151.06	583.07	1313.23	1143.1	830.75	909.17	954.43	583.07	813.63	825.0	1250.98	633.73	1407.55	1159.07	1066.48	896.64	555.41	836.53	743.43	547.75	441.64	1350.18	995.0	651.58	599.49	525.39	934.76	915.51	693.58	848.22	988.12	988.12	775.05	830.75	961.07	665.29	934.76	1605.83	703.28	1322.37	1015.93	1322.37	780.44	1015.93	872.1	1088.92	1304.15	665.29	808.0	1467.37	1096.5	473.41	1477.58	559.28	642.59	647.07	759.08	532.74	336.79	961.07	808.0	555.41	633.73	808.0	785.88	830.75	1081.39	738.29	1066.48	819.3	981.29	1096.5	848.22	769.69	808.0	555.41	450.94	571.05	708.18	1015.93	848.22	688.78	571.05	713.11	660.68	1467.37	780.44	878.17	819.3	728.11	351.14	733.19	587.13	612.11	343.89	454.09	205.5	163.28	215.77	187.71	205.5	547.75	211.31	189.02	256.78	130.6	325.29	202.66	339.14	269.6	143.01	256.78	220.32	152.28	205.5	301.33	358.54	153.34	204.07	307.69	299.25	94.67	229.72	228.13	239.52	248.0	283.05	187.71	287.01	130.6	320.8
TAF1	143.01	140.04	525.39	480.04	414.87	339.14	256.78	316.37	339.14	476.71	854.13	218.79	267.73	152.28	540.19	211.31	232.94	223.41	312.0	521.76	400.71	183.82	119.26	616.37	356.05	476.71	397.93	265.87	457.25	426.57	229.72	318.57	435.55	642.59	281.09	457.25	441.64	228.13	361.04	153.34	435.55	273.37	291.04	221.86	457.25	412.0	363.56	318.57	194.36	351.14	285.03	305.55	285.03	529.06	368.65	435.55	264.03	397.93	409.15	363.56	325.29	176.29	591.22	486.75	753.83	454.09	162.14	384.34	796.86	463.65	346.29	246.28	307.69	500.46	277.2	660.68	232.94	249.73	432.53	295.11	173.85	201.25	358.54	258.57	181.28	323.03	363.56	389.72	267.73	543.96	389.72	480.04	253.23	363.56	454.09	236.21	293.07	224.97	275.28	253.23	237.86	305.55	470.14	217.27	412.0	258.57	406.31	334.46	486.75	432.53	314.17	264.03	476.71	208.38	381.68	264.03	121.79	15.11	165.57	77.25	55.1	68.55	61.25	81.71	212.78	88.88	61.25	59.97	70.51	108.9	87.03	134.3	48.52	66.18	62.12	105.89	37.59	79.45	149.12	129.69	61.68	120.94	120.1	95.34	39.79	76.71	69.03	82.87	100.13	73.54	38.95	28.65	58.71	43.02
TBC1D16	45.21	63.0	406.31	429.54	98.04	587.13	231.32	493.56	406.31	563.18	1001.93	161.02	334.46	251.48	126.12	336.79	74.06	163.28	1008.9	1119.56	629.35	332.14	463.65	629.35	723.08	366.09	748.61	285.03	1073.91	400.71	94.01	376.41	1551.09	647.07	387.02	599.49	559.28	215.77	366.09	314.17	1119.56	356.05	397.93	260.38	599.49	351.14	165.57	463.65	234.57	435.55	748.61	177.53	780.44	633.73	285.03	567.1	376.41	490.14	1259.69	473.41	571.05	785.88	995.0	967.76	708.18	551.56	258.57	381.68	651.58	473.41	559.28	329.84	314.17	551.56	316.37	267.73	389.72	201.25	279.14	329.84	441.64	275.28	277.2	201.25	361.04	587.13	457.25	536.45	167.9	368.65	591.22	353.59	122.64	237.86	503.95	220.32	1151.06	126.12	232.94	595.34	444.72	575.03	249.73	583.07	214.27	441.64	518.15	384.34	728.11	884.29	490.14	75.64	884.29	624.99	221.86	450.94	336.79	46.84	285.03	77.25	392.44	212.78	172.65	232.94	195.72	178.77	206.94	57.49	323.03	150.17	454.09	158.79	166.73	395.18	199.85	117.6	320.8	140.04	186.4	145.02	194.36	70.51	241.19	186.4	65.72	61.25	42.11	57.08	52.08	102.97	57.49	52.82	24.28	63.0
THOC2	629.35	698.41	1175.27	836.53	1030.12	738.29	988.12	1143.1	703.28	1183.45	1977.24	854.13	620.67	718.08	981.29	723.08	1159.07	728.11	890.44	884.29	974.5	595.34	457.25	1286.18	555.41	988.12	660.68	941.27	860.08	1096.5	511.0	854.13	1159.07	1096.5	941.27	1250.98	928.3	1111.82	1127.35	713.11	1081.39	764.36	1111.82	743.43	1388.16	961.07	796.86	728.11	961.07	1088.92	842.36	728.11	603.67	769.69	1151.06	934.76	802.41	612.11	860.08	1183.45	1963.57	813.63	1081.39	1037.29	1096.5	1066.48	1313.23	947.83	1242.34	633.73	825.0	1023.0	1073.91	1277.29	759.08	1259.69	759.08	703.28	579.04	775.05	612.11	723.08	1008.9	1199.98	507.46	780.44	660.68	1191.69	1159.07	941.27	1023.0	3257.52	536.45	819.3	921.88	753.83	1001.93	988.12	842.36	555.41	723.08	587.13	1295.13	435.55	819.3	603.67	1233.75	785.88	819.3	1259.69	775.05	1561.89	785.88	587.13	785.88	785.88	341.51	102.25	733.19	318.57	358.54	497.0	409.15	507.46	543.96	583.07	387.02	389.72	293.07	514.56	470.14	444.72	463.65	293.07	351.14	285.03	301.33	301.33	759.08	638.15	316.37	332.14	473.41	483.38	76.71	215.77	325.29	371.22	490.14	423.61	271.48	98.73	441.64	318.57
TMEM181	226.54	114.36	470.14	403.5	785.88	612.11	603.67	941.27	420.68	688.78	2855.44	229.72	384.34	521.76	571.05	438.59	532.74	255.0	884.29	679.29	255.0	1008.9	343.89	463.65	2468.49	368.65	836.53	1572.76	493.56	698.41	316.37	483.38	718.08	1175.27	258.57	450.94	1073.91	343.89	463.65	269.6	718.08	358.54	518.15	177.53	1001.93	1639.59	432.53	1259.69	529.06	1991.0	738.29	463.65	309.83	1081.39	796.86	3235.01	521.76	1081.39	447.82	1721.16	1059.11	785.88	915.51	1359.57	934.76	967.76	647.07	483.38	529.06	928.3	470.14	351.14	5366.37	1529.73	460.44	414.87	239.52	624.99	251.48	1295.13	248.0	323.03	688.78	1709.26	909.17	480.04	3060.45	842.36	320.8	303.44	532.74	420.68	403.5	450.94	2047.0	684.02	884.29	575.03	373.81	2163.77	376.41	1963.57	595.34	660.68	389.72	305.55	463.65	529.06	2555.58	532.74	1477.58	518.15	708.18	518.15	819.3	450.94	145.02	21.78	191.67	135.24	167.9	85.22	211.31	309.83	191.67	106.63	163.28	136.19	180.02	180.02	127.0	53.19	156.59	161.02	146.03	90.14	152.28	88.88	283.05	197.09	111.21	72.01	289.02	140.04	163.28	126.12	132.44	148.09	138.1	163.28	128.79	105.15	164.42	164.42
TNPO1	258.57	231.32	1073.91	599.49	1088.92	830.75	435.55	543.96	723.08	1594.73	1015.93	305.55	536.45	511.0	693.58	323.03	441.64	518.15	591.22	684.02	432.53	353.59	267.73	1199.98	607.87	1340.84	1159.07	463.65	1030.12	941.27	426.57	921.88	1044.52	1295.13	503.95	723.08	775.05	633.73	567.1	567.1	647.07	389.72	447.82	417.77	896.64	1044.52	665.29	656.11	414.87	961.07	616.37	403.5	1457.23	830.75	941.27	967.76	518.15	733.19	728.11	1487.87	2384.37	503.95	780.44	1359.57	830.75	819.3	890.44	808.0	902.89	1023.0	612.11	454.09	1498.22	967.76	301.33	1088.92	460.44	669.92	587.13	909.17	297.17	373.81	796.86	366.09	397.93	486.75	780.44	854.13	684.02	1313.23	813.63	647.07	842.36	764.36	1268.46	723.08	674.59	713.11	599.49	423.61	486.75	780.44	842.36	1096.5	738.29	587.13	583.07	825.0	1088.92	967.76	555.41	567.1	1143.1	397.93	753.83	529.06	176.29	301.33	275.28	205.5	122.64	215.77	108.9	281.09	236.21	157.68	204.07	205.5	231.32	195.72	281.09	152.28	170.25	127.0	156.59	327.56	279.14	178.77	204.07	303.44	80.01	177.53	389.72	166.73	116.78	234.57	206.94	149.12	185.11	169.07	172.65	121.79	248.0	164.42
TP53BP1	273.37	379.04	785.88	775.05	679.29	563.18	536.45	279.14	579.04	796.86	1073.91	500.46	591.22	307.69	547.75	301.33	603.67	289.02	529.06	759.08	476.71	507.46	521.76	878.17	954.43	624.99	563.18	583.07	384.34	723.08	376.41	521.76	376.41	902.89	457.25	620.67	447.82	599.49	665.29	521.76	543.96	417.77	420.68	444.72	395.18	669.92	665.29	624.99	507.46	1208.34	642.59	503.95	480.04	728.11	511.0	753.83	567.1	511.0	551.56	902.89	595.34	417.77	769.69	769.69	363.56	629.35	438.59	1051.79	825.0	595.34	307.69	532.74	480.04	915.51	414.87	909.17	620.67	423.61	656.11	607.87	429.54	297.17	723.08	423.61	426.57	376.41	866.07	287.01	368.65	708.18	842.36	819.3	563.18	791.35	612.11	432.53	400.71	733.19	273.37	529.06	368.65	567.1	718.08	460.44	583.07	312.0	651.58	532.74	1059.11	444.72	764.36	674.59	503.95	366.09	463.65	476.71	303.44	90.14	165.57	111.99	90.14	130.6	127.89	146.03	105.89	111.99	143.01	132.44	106.63	94.01	137.14	97.36	89.51	102.97	102.97	183.82	149.12	122.64	267.73	149.12	150.17	110.43	175.07	72.52	73.03	43.02	49.21	94.67	143.01	89.51	103.69	31.45	30.56	91.41
TRIM56	37.05	32.59	265.87	194.36	169.07	260.38	94.01	149.12	121.79	293.07	612.11	60.82	116.78	59.13	132.44	115.97	206.94	105.15	198.47	215.77	158.79	111.21	61.68	275.28	232.94	291.04	220.32	121.79	198.47	202.66	85.82	239.52	121.79	314.17	183.82	432.53	248.0	77.25	217.27	211.31	181.28	94.01	177.53	185.11	211.31	205.5	82.87	140.04	125.24	234.57	126.12	71.5	131.51	253.23	169.07	182.55	123.5	155.5	234.57	214.27	133.36	176.29	154.42	476.71	158.79	341.51	84.63	249.73	334.46	195.72	152.28	97.36	234.57	358.54	72.01	260.38	199.85	98.04	96.01	113.56	94.67	103.69	165.57	78.89	119.26	236.21	223.41	147.06	236.21	312.0	217.27	186.4	132.44	202.66	256.78	102.97	167.9	162.14	106.63	170.25	115.97	239.52	224.97	147.06	72.52	163.28	239.52	152.28	241.19	214.27	204.07	46.84	186.4	253.23	177.53	122.64	102.25	4.24	134.3	39.79	65.72	65.26	58.3	96.68	104.42	110.43	85.82	38.67	62.56	77.79	117.6	48.18	49.21	74.58	96.68	125.24	48.87	52.45	49.56	76.71	98.73	49.56	107.38	35.5	43.32	69.03	48.18	49.56	42.41	61.25	18.84	43.32	25.17	60.82
TRPM7	97.36	144.01	420.68	336.79	307.69	273.37	215.77	177.53	157.68	395.18	638.15	187.71	153.34	165.57	234.57	204.07	197.09	138.1	444.72	314.17	353.59	208.38	131.51	379.04	251.48	466.88	332.14	265.87	158.79	368.65	187.71	299.25	371.22	348.71	251.48	351.14	249.73	197.09	212.78	182.55	285.03	236.21	221.86	114.36	414.87	297.17	373.81	297.17	226.54	503.95	295.11	234.57	231.32	281.09	346.29	387.02	275.28	295.11	260.38	420.68	426.57	275.28	403.5	426.57	226.54	180.02	147.06	409.15	320.8	343.89	166.73	348.71	281.09	371.22	239.52	575.03	214.27	183.82	297.17	253.23	141.02	137.14	309.83	241.19	159.9	232.94	269.6	221.86	239.52	312.0	229.72	400.71	301.33	507.46	503.95	232.94	256.78	915.51	211.31	152.28	193.01	271.48	339.14	178.77	248.0	483.38	234.57	265.87	454.09	255.0	246.28	258.57	309.83	151.22	146.03	165.57	76.71	52.45	177.53	109.66	85.22	127.0	175.07	75.64	287.01	111.21	148.09	109.66	115.16	159.9	115.97	122.64	176.29	77.79	72.52	124.37	56.68	201.25	142.01	171.45	77.25	251.48	197.09	176.29	46.84	211.31	218.79	229.72	145.02	127.0	171.45	116.78	98.73	118.43
TRRAP	126.12	146.03	269.6	366.09	291.04	412.0	169.07	312.0	158.79	392.44	571.05	194.36	241.19	181.28	212.78	155.5	187.71	193.01	249.73	244.57	253.23	183.82	94.01	307.69	202.66	351.14	305.55	155.5	279.14	231.32	154.42	267.73	262.2	389.72	167.9	426.57	231.32	212.78	205.5	204.07	220.32	120.94	218.79	181.28	353.59	289.02	285.03	137.14	163.28	307.69	236.21	96.01	301.33	316.37	307.69	199.85	242.88	260.38	283.05	303.44	397.93	236.21	181.28	387.02	177.53	353.59	208.38	361.04	356.05	271.48	212.78	182.55	295.11	343.89	150.17	514.56	211.31	120.1	201.25	209.84	206.94	193.01	237.86	166.73	107.38	287.01	241.19	242.88	193.01	412.0	356.05	312.0	231.32	223.41	208.38	159.9	258.57	162.14	208.38	189.02	157.68	215.77	237.86	246.28	185.11	208.38	256.78	258.57	532.74	368.65	187.71	162.14	223.41	180.02	180.02	195.72	104.42	20.26	137.14	72.01	64.34	114.36	100.13	138.1	85.82	87.65	90.77	76.17	76.17	74.58	120.1	67.12	70.01	83.45	87.65	105.89	92.7	72.52	127.0	85.82	96.68	83.45	134.3	87.03	73.03	56.68	55.1	67.12	88.26	74.58	73.54	37.32	49.56	56.28
TUBGCP4	147.06	392.44	480.04	423.61	503.95	392.44	283.05	212.78	220.32	316.37	674.59	281.09	285.03	154.42	325.29	221.86	241.19	295.11	305.55	305.55	466.88	253.23	351.14	447.82	373.81	339.14	473.41	567.1	258.57	320.8	348.71	384.34	318.57	547.75	318.57	511.0	299.25	361.04	312.0	264.03	441.64	323.03	285.03	214.27	295.11	348.71	454.09	432.53	318.57	583.07	684.02	305.55	435.55	392.44	379.04	371.22	249.73	397.93	414.87	373.81	563.18	229.72	457.25	392.44	406.31	305.55	194.36	466.88	660.68	476.71	147.06	316.37	363.56	473.41	190.34	450.94	264.03	373.81	493.56	336.79	214.27	149.12	536.45	325.29	256.78	269.6	279.14	142.01	297.17	429.54	356.05	348.71	417.77	426.57	366.09	438.59	269.6	348.71	176.29	229.72	397.93	271.48	397.93	312.0	454.09	218.79	392.44	223.41	629.35	309.83	435.55	403.5	271.48	244.57	320.8	248.0	287.01	100.83	154.42	134.3	139.07	73.03	136.19	155.5	93.35	116.78	67.59	110.43	102.97	90.77	115.97	73.03	66.18	101.54	121.79	143.01	122.64	98.04	123.5	126.12	81.14	115.16	117.6	135.24	107.38	105.15	110.43	100.83	114.36	103.69	51.71	100.83	87.65	104.42
TULP4	67.59	36.79	111.99	138.1	221.86	170.25	183.82	197.09	158.79	190.34	480.04	120.1	199.85	242.88	125.24	112.77	244.57	183.82	269.6	242.88	92.05	202.66	92.7	147.06	457.25	189.02	170.25	703.28	237.86	215.77	111.99	178.77	220.32	432.53	96.01	151.22	525.39	170.25	224.97	141.02	193.01	334.46	202.66	138.1	251.48	426.57	107.38	312.0	228.13	450.94	255.0	187.71	125.24	255.0	152.28	414.87	204.07	197.09	157.68	616.37	454.09	204.07	283.05	301.33	242.88	242.88	318.57	193.01	126.12	211.31	165.57	154.42	346.29	208.38	132.44	234.57	139.07	152.28	71.0	242.88	137.14	131.51	186.4	536.45	183.82	197.09	447.82	191.67	177.53	154.42	287.01	154.42	239.52	208.38	314.17	228.13	224.97	193.01	104.42	356.05	89.51	271.48	281.09	190.34	232.94	140.04	201.25	120.1	283.05	262.2	301.33	249.73	285.03	248.0	358.54	149.12	24.28	5.45	57.08	30.12	38.95	39.79	42.41	67.12	36.53	34.26	39.5	43.63	26.28	49.91	30.12	22.26	26.28	36.79	38.95	23.42	43.63	38.4	54.72	49.21	49.21	20.86	86.43	41.52	19.97	19.82	21.32	26.67	29.27	29.06	27.64	25.91	17.0	20.26
TYW1	239.52	450.94	414.87	363.56	387.02	470.14	343.89	366.09	198.47	454.09	483.38	320.8	255.0	295.11	420.68	356.05	312.0	277.2	327.56	363.56	332.14	454.09	301.33	318.57	277.2	409.15	376.41	287.01	262.2	289.02	295.11	307.69	301.33	426.57	325.29	473.41	191.67	325.29	387.02	303.44	395.18	191.67	346.29	351.14	366.09	376.41	400.71	251.48	262.2	409.15	400.71	178.77	371.22	387.02	412.0	503.95	329.84	361.04	265.87	341.51	397.93	353.59	244.57	351.14	483.38	429.54	318.57	559.28	376.41	371.22	339.14	318.57	483.38	454.09	295.11	476.71	336.79	166.73	316.37	271.48	260.38	320.8	403.5	231.32	320.8	353.59	301.33	368.65	253.23	412.0	400.71	223.41	414.87	406.31	368.65	366.09	381.68	356.05	299.25	186.4	279.14	271.48	289.02	273.37	327.56	287.01	320.8	301.33	518.15	316.37	353.59	460.44	269.6	256.78	432.53	303.44	269.6	128.79	226.54	234.57	208.38	175.07	189.02	165.57	166.73	204.07	202.66	144.01	191.67	131.51	197.09	208.38	112.77	150.17	204.07	220.32	150.17	351.14	205.5	153.34	163.28	204.07	258.57	158.79	153.34	264.03	239.52	161.02	171.45	163.28	141.02	281.09	149.12	169.07
UBE3A	312.0	297.17	878.17	902.89	902.89	532.74	642.59	854.13	759.08	954.43	1407.55	674.59	532.74	599.49	688.78	819.3	616.37	432.53	1167.14	1167.14	854.13	547.75	414.87	1183.45	607.87	1135.2	1051.79	780.44	603.67	1104.13	698.41	607.87	1030.12	1191.69	995.0	866.07	1023.0	493.56	866.07	1073.91	860.08	780.44	854.13	358.54	825.0	1183.45	974.5	961.07	738.29	1519.15	674.59	713.11	733.19	1066.48	848.22	1081.39	738.29	1059.11	1111.82	1167.14	1529.73	642.59	1388.16	928.3	529.06	514.56	532.74	1551.09	915.51	1044.52	429.54	967.76	1397.83	1191.69	759.08	1651.0	1001.93	860.08	808.0	825.0	587.13	500.46	1044.52	988.12	785.88	808.0	995.0	563.18	642.59	1073.91	884.29	915.51	860.08	1477.58	1457.23	921.88	647.07	954.43	842.36	629.35	571.05	738.29	1250.98	842.36	878.17	775.05	909.17	651.58	1617.0	507.46	819.3	848.22	1340.84	660.68	934.76	633.73	368.65	265.87	273.37	341.51	187.71	289.02	314.17	148.09	314.17	215.77	312.0	253.23	249.73	249.73	366.09	262.2	251.48	193.01	329.84	289.02	149.12	299.25	392.44	281.09	157.68	277.2	267.73	325.29	134.3	327.56	403.5	403.5	417.77	346.29	260.38	373.81	264.03	325.29
