	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
L3MBTL4	39.5	37.05	92.05	93.35	45.21	83.45	75.64	81.14	84.04	81.14	24.11	118.43	56.68	44.57	87.65	80.57	81.14	74.06	82.87	33.06	80.57	117.6	44.25	67.12	119.26	73.03	94.67	94.01	77.79	32.82	53.95	102.97	56.28	88.26	72.01	139.07	148.09	127.0	221.86	325.29	161.02	80.01	205.5	204.07	229.72	57.89	264.03	182.55	305.55	154.42	150.17	144.01	189.02	237.86	98.73	170.25	255.0	148.09	151.22	152.28	191.67	104.42	99.43	65.72	198.47	246.28	172.65	187.71	309.83	229.72	167.9	167.9	195.72	112.77	283.05	152.28	373.81	283.05	105.89	229.72	146.03	172.65	267.73	121.79	400.71	127.89	107.38	94.67	327.56	123.5	198.47	65.72	78.34	48.87	110.43	92.7	325.29	85.82	76.17	281.09	151.22	77.79	236.21	218.79
LANCL1	297.17	142.01	336.79	307.69	215.77	373.81	346.29	346.29	379.04	291.04	204.07	397.93	283.05	267.73	312.0	214.27	275.28	289.02	295.11	299.25	212.78	260.38	204.07	171.45	239.52	289.02	323.03	275.28	291.04	204.07	185.11	305.55	351.14	248.0	260.38	134.3	567.1	612.11	414.87	575.03	432.53	348.71	356.05	503.95	417.77	412.0	540.19	226.54	389.72	753.83	376.41	444.72	438.59	457.25	395.18	376.41	473.41	447.82	381.68	307.69	521.76	454.09	480.04	409.15	414.87	397.93	551.56	497.0	379.04	400.71	426.57	466.88	470.14	363.56	547.75	361.04	825.0	620.67	285.03	450.94	389.72	543.96	450.94	356.05	457.25	351.14	373.81	339.14	417.77	432.53	400.71	258.57	339.14	341.51	435.55	392.44	406.31	348.71	323.03	392.44	457.25	376.41	414.87	529.06
LARP7	836.53	753.83	947.83	988.12	753.83	974.5	791.35	1008.9	791.35	981.29	733.19	743.43	808.0	607.87	1023.0	1015.93	674.59	909.17	1059.11	1151.06	995.0	961.07	759.08	890.44	638.15	954.43	988.12	1175.27	1059.11	669.92	878.17	1001.93	1208.34	1208.34	813.63	860.08	1437.15	1143.1	1268.46	1331.57	1199.98	1350.18	1135.2	1388.16	1304.15	1313.23	1651.0	718.08	1208.34	1844.76	1378.57	1277.29	1216.75	1322.37	872.1	974.5	1286.18	1233.75	1008.9	1081.39	1427.22	1378.57	1322.37	1088.92	1359.57	1268.46	1378.57	1733.13	1167.14	1651.0	1295.13	1250.98	1268.46	1199.98	1225.22	1369.04	2224.63	1551.09	988.12	1487.87	1331.57	1340.84	1529.73	954.43	1159.07	1268.46	1388.16	1208.34	1135.2	1304.15	1127.35	934.76	1277.29	1066.48	974.5	1457.23	1208.34	1175.27	1073.91	1208.34	1313.23	1268.46	1529.73	1331.57
LAYN	153.34	72.01	84.04	113.56	63.45	100.13	157.68	92.05	69.03	177.53	102.97	127.89	86.43	68.55	121.79	99.43	279.14	241.19	96.01	361.04	152.28	106.63	221.86	138.1	82.87	162.14	74.58	169.07	177.53	64.8	825.0	147.06	119.26	180.02	143.01	94.01	743.43	1437.15	825.0	1233.75	679.29	579.04	438.59	1135.2	713.11	132.44	1127.35	417.77	660.68	1340.84	633.73	241.19	1023.0	915.51	379.04	334.46	1519.15	435.55	780.44	743.43	1313.23	466.88	267.73	503.95	748.61	1104.13	1369.04	1529.73	988.12	872.1	647.07	674.59	738.29	698.41	995.0	796.86	1191.69	1059.11	191.67	1096.5	1037.29	1001.93	769.69	974.5	2104.58	738.29	915.51	825.0	1781.89	665.29	397.93	909.17	363.56	718.08	262.2	1081.39	429.54	368.65	341.51	583.07	1662.49	599.49	420.68	647.07
LRAT	25.91	55.89	34.02	59.13	23.59	31.67	52.45	48.18	37.05	34.51	32.82	45.85	21.94	53.19	25.72	35.5	24.99	25.54	52.08	17.9	33.3	28.04	7.75	19.39	45.21	63.0	62.56	70.01	43.02	52.82	21.78	65.26	36.53	48.18	34.51	61.68	102.25	85.22	70.51	178.77	95.34	78.34	124.37	124.37	145.02	29.7	303.44	45.85	60.39	155.5	36.53	43.94	180.02	124.37	44.57	74.58	138.1	96.68	102.25	50.98	114.36	85.22	73.54	97.36	157.68	115.16	115.97	157.68	102.25	102.25	155.5	115.97	137.14	51.71	147.06	139.07	220.32	147.06	68.07	119.26	133.36	121.79	139.07	79.45	112.77	59.55	63.89	149.12	121.79	77.25	136.19	81.14	119.26	34.02	66.18	69.52	70.51	115.16	50.63	135.24	72.01	88.26	181.28	139.07
LRRC4C	5.54	5.96	5.36	38.4	2.41	29.06	35.5	20.41	0.8	11.04	3.11	25.54	8.71	31.9	23.08	21.94	8.45	4.13	40.93	4.5	22.59	15.11	6.89	19.39	40.93	2.92	18.7	7.57	39.5	3.53	26.28	31.22	28.24	9.2	0.61	22.75	129.69	228.13	145.02	162.14	35.5	51.71	24.99	65.72	75.11	0.52	98.73	0.32	105.15	43.32	39.22	98.04	63.0	107.38	26.86	30.34	115.97	21.32	37.85	76.71	166.73	36.53	29.7	62.12	49.56	84.63	77.79	112.77	56.68	135.24	60.82	138.1	147.06	44.57	123.5	67.59	249.73	256.78	11.82	85.22	102.97	164.42	46.5	53.95	212.78	29.27	129.69	63.45	285.03	48.52	35.0	55.1	53.57	19.39	45.21	91.41	92.05	63.45	58.71	171.45	73.54	73.03	29.27	229.72
LRRC7	8.65	13.42	9.34	40.36	17.38	19.97	21.94	28.86	2.56	12.83	24.63	63.0	33.3	28.24	4.78	25.72	24.46	83.45	53.19	45.21	46.5	72.52	10.71	14.56	23.93	10.88	8.58	14.14	11.13	50.27	33.3	22.43	9.34	32.82	17.0	11.91	309.83	82.29	23.25	151.22	265.87	148.09	166.73	73.54	117.6	197.09	95.34	86.43	85.82	239.52	40.93	146.03	154.42	429.54	218.79	106.63	144.01	176.29	100.13	71.5	140.04	163.28	106.63	94.01	115.16	159.9	87.03	103.69	80.01	153.34	112.77	59.55	209.84	105.15	205.5	150.17	559.28	127.0	106.63	122.64	106.63	128.79	70.01	59.13	299.25	111.99	39.79	107.38	133.36	60.39	154.42	68.07	100.13	25.72	57.89	251.48	117.6	33.3	3.47	480.04	136.19	58.71	269.6	279.14
LRRCC1	65.72	63.89	82.87	132.44	71.5	120.1	75.64	143.01	81.14	135.24	81.71	142.01	118.43	68.55	84.04	83.45	146.03	131.51	115.97	67.12	92.7	175.07	66.65	66.65	107.38	108.9	97.36	84.04	150.17	84.63	146.03	166.73	138.1	125.24	73.54	120.94	295.11	244.57	368.65	441.64	279.14	170.25	183.82	381.68	248.0	176.29	486.75	159.9	297.17	518.15	172.65	305.55	241.19	414.87	206.94	169.07	379.04	204.07	217.27	137.14	490.14	289.02	269.6	197.09	269.6	358.54	353.59	392.44	291.04	389.72	267.73	339.14	318.57	197.09	417.77	229.72	457.25	368.65	159.9	429.54	169.07	441.64	514.56	163.28	295.11	209.84	229.72	186.4	253.23	187.71	265.87	156.59	199.85	181.28	318.57	190.34	285.03	295.11	211.31	356.05	392.44	236.21	381.68	343.89
LRRIQ1	8.38	10.24	4.86	16.27	9.06	7.63	5.68	19.53	9.13	16.03	3.06	12.83	5.36	1.41	16.39	10.08	11.3	9.06	14.14	13.42	17.38	12.74	11.91	4.78	7.28	9.56	9.56	16.51	25.72	3.26	25.91	36.01	40.36	29.48	4.46	24.46	123.5	120.1	92.05	91.41	48.87	27.25	61.25	111.99	62.12	33.06	111.99	45.53	86.43	88.26	38.67	73.54	123.5	59.55	23.93	39.79	86.43	61.25	64.34	34.51	79.45	182.55	47.5	47.17	55.89	38.95	96.01	105.89	77.25	94.01	32.82	130.6	68.55	57.49	68.07	68.55	145.02	63.45	28.65	44.89	47.84	52.45	88.26	40.07	106.63	23.08	62.12	72.52	155.5	62.12	40.93	47.17	50.98	23.59	56.28	39.22	47.84	30.78	39.5	92.7	78.34	53.19	57.08	149.12
MAGI1	226.54	95.34	215.77	295.11	178.77	275.28	285.03	503.95	221.86	260.38	137.14	295.11	178.77	260.38	285.03	209.84	229.72	265.87	277.2	215.77	195.72	397.93	111.99	246.28	237.86	363.56	441.64	256.78	343.89	182.55	237.86	426.57	420.68	242.88	273.37	176.29	629.35	1008.9	379.04	1023.0	934.76	392.44	466.88	392.44	563.18	463.65	417.77	718.08	575.03	647.07	579.04	371.22	723.08	603.67	599.49	287.01	693.58	387.02	591.22	414.87	629.35	447.82	417.77	514.56	616.37	525.39	836.53	514.56	409.15	633.73	387.02	607.87	563.18	444.72	591.22	532.74	698.41	536.45	389.72	543.96	743.43	595.34	591.22	281.09	738.29	629.35	591.22	599.49	728.11	642.59	660.68	244.57	303.44	353.59	660.68	514.56	432.53	384.34	336.79	723.08	830.75	412.0	738.29	490.14
MAGI2	57.89	49.21	59.97	115.97	55.1	51.35	59.55	81.71	47.84	96.01	40.36	61.25	57.08	27.25	74.58	43.32	58.71	78.34	87.03	42.41	63.45	69.03	62.12	40.07	90.77	72.01	44.57	88.26	88.88	49.21	109.66	84.04	85.82	62.56	60.39	134.3	167.9	237.86	157.68	195.72	190.34	129.69	133.36	194.36	165.57	47.84	167.9	84.04	134.3	258.57	120.1	143.01	209.84	145.02	105.15	130.6	166.73	208.38	164.42	125.24	142.01	150.17	145.02	133.36	124.37	111.99	194.36	185.11	130.6	109.66	122.64	139.07	148.09	137.14	204.07	164.42	209.84	178.77	71.5	149.12	204.07	163.28	172.65	132.44	127.89	121.79	140.04	194.36	139.07	157.68	171.45	115.16	158.79	68.07	194.36	202.66	129.69	126.12	75.64	154.42	133.36	144.01	175.07	155.5
MLF1	115.16	150.17	98.04	208.38	206.94	153.34	128.79	155.5	172.65	220.32	127.0	198.47	159.9	212.78	204.07	129.69	110.43	258.57	98.04	246.28	159.9	249.73	183.82	133.36	194.36	209.84	163.28	131.51	182.55	85.22	185.11	177.53	181.28	265.87	100.83	57.08	473.41	612.11	947.83	890.44	318.57	473.41	366.09	780.44	432.53	167.9	802.41	325.29	629.35	723.08	420.68	555.41	361.04	723.08	218.79	265.87	429.54	460.44	316.37	339.14	830.75	503.95	447.82	414.87	435.55	579.04	536.45	669.92	679.29	656.11	269.6	674.59	525.39	301.33	738.29	463.65	1225.22	444.72	277.2	830.75	412.0	785.88	808.0	583.07	796.86	314.17	426.57	493.56	1208.34	420.68	336.79	314.17	571.05	323.03	400.71	444.72	473.41	547.75	518.15	612.11	775.05	361.04	571.05	708.18
MMS22L	21.94	20.56	40.07	26.47	23.25	19.82	28.45	25.35	20.71	25.72	17.51	24.28	18.97	25.17	41.52	29.27	14.56	23.93	26.1	17.13	17.0	17.0	9.27	18.03	23.59	30.56	31.22	21.78	25.91	23.25	11.04	23.59	39.5	18.29	22.1	19.25	63.0	50.27	38.67	43.02	59.55	29.7	37.59	40.07	39.5	44.89	24.63	14.14	56.28	60.39	28.04	28.24	49.91	52.45	31.9	29.06	44.89	43.32	23.25	28.24	34.51	50.63	40.36	31.22	37.85	30.12	43.94	46.18	31.45	47.17	29.91	54.72	34.26	42.11	37.85	52.82	76.17	42.41	36.01	36.53	37.32	49.21	46.84	29.48	42.71	23.76	50.98	37.59	61.68	38.67	52.08	18.43	35.0	29.91	57.49	37.85	27.64	29.7	28.45	33.06	34.51	32.36	32.82	72.01
MTBP	13.52	7.0	16.63	17.77	7.4	17.9	19.11	15.91	8.06	22.92	14.78	12.45	14.56	18.84	23.25	21.01	6.31	18.43	15.68	13.12	9.34	19.82	6.11	9.13	16.15	6.89	13.03	17.0	14.14	10.39	7.57	15.8	25.72	13.62	9.06	9.27	35.25	40.36	22.59	29.27	17.25	17.51	19.68	24.28	19.11	22.26	25.91	3.99	30.12	20.56	16.75	38.67	23.08	33.54	18.56	26.86	44.89	18.7	34.75	14.56	33.06	19.25	26.1	17.0	26.86	34.51	38.95	35.5	18.16	22.75	19.82	29.91	28.65	22.1	52.45	18.43	48.18	54.72	16.75	31.67	15.8	26.67	29.7	20.86	33.78	20.41	22.59	15.22	23.93	20.11	10.88	10.71	18.43	16.39	26.28	15.56	37.59	10.31	21.63	24.11	24.81	15.8	25.72	38.95
MTPN	909.17	503.95	981.29	941.27	543.96	941.27	587.13	941.27	1059.11	743.43	351.14	819.3	624.99	764.36	651.58	460.44	684.02	693.58	708.18	470.14	503.95	642.59	507.46	674.59	1250.98	860.08	1088.92	529.06	802.41	532.74	825.0	872.1	988.12	698.41	769.69	753.83	1685.71	1350.18	2319.15	3039.3	1561.89	1151.06	1359.57	2351.53	1467.37	1135.2	3395.89	921.88	1745.2	1950.0	1242.34	1447.15	1233.75	1936.53	808.0	1208.34	3081.75	1540.37	1175.27	909.17	2351.53	1286.18	1286.18	1044.52	1674.06	1417.35	1674.06	1844.76	1216.75	1628.26	2468.49	1896.65	1936.53	1151.06	2555.58	1529.73	2758.13	1870.53	854.13	1769.57	1359.57	2451.44	2319.15	1175.27	1427.22	1104.13	1397.83	1088.92	1437.15	1605.83	1605.83	981.29	1135.2	1037.29	1340.84	1331.57	1066.48	1331.57	1519.15	1378.57	2209.26	1277.29	2537.92	1651.0
MYLK4	6.84	3.5	3.23	10.0	2.32	10.79	12.74	13.42	9.34	12.18	4.21	8.99	4.13	3.96	11.13	6.11	10.31	19.97	8.51	6.62	6.62	11.21	8.65	8.06	4.03	12.36	12.09	10.96	12.36	3.29	12.93	9.34	13.62	9.56	5.19	14.35	19.25	34.75	18.97	18.29	36.53	12.09	16.39	18.84	27.44	15.91	22.1	35.0	28.24	18.7	25.17	20.26	18.7	23.76	19.11	15.34	17.64	15.22	17.9	18.7	26.28	23.08	22.43	25.54	22.26	19.25	19.68	35.0	30.78	29.27	15.68	31.0	15.56	30.34	25.72	23.93	26.1	26.28	13.03	20.11	21.63	37.32	20.56	18.7	16.75	14.24	23.93	28.04	28.65	18.03	25.54	17.25	25.17	14.03	16.15	29.91	21.94	22.75	8.78	28.65	18.7	18.16	29.27	25.35
MYNN	115.97	90.14	181.28	177.53	123.5	165.57	151.22	212.78	169.07	186.4	132.44	153.34	140.04	114.36	138.1	147.06	98.73	150.17	157.68	159.9	125.24	191.67	121.79	120.94	163.28	173.85	191.67	177.53	186.4	124.37	107.38	185.11	185.11	167.9	140.04	98.04	277.2	309.83	269.6	320.8	223.41	236.21	251.48	194.36	379.04	267.73	293.07	176.29	177.53	403.5	271.48	289.02	277.2	234.57	224.97	275.28	283.05	279.14	275.28	285.03	251.48	209.84	305.55	289.02	289.02	244.57	339.14	285.03	195.72	277.2	264.03	241.19	303.44	281.09	291.04	289.02	395.18	281.09	195.72	253.23	242.88	249.73	336.79	221.86	287.01	287.01	260.38	273.37	279.14	339.14	260.38	218.79	279.14	255.0	285.03	277.2	234.57	170.25	212.78	202.66	244.57	293.07	209.84	277.2
NALCN	7.22	10.31	1.2	1.62	9.78	9.27	8.06	4.58	7.94	3.47	24.81	29.7	25.72	9.06	3.96	13.52	5.96	1.89	1.19	4.43	6.16	11.13	6.89	2.07	8.85	3.08	2.63	6.21	17.77	7.0	2.23	3.79	2.05	9.63	1.87	1.62	43.94	38.12	112.77	43.94	119.26	23.59	36.01	94.67	54.33	0.62	113.56	81.14	22.75	38.67	25.54	30.12	130.6	50.63	13.62	8.78	9.7	31.22	18.7	28.86	82.87	40.07	34.26	52.45	47.5	11.73	92.7	212.78	8.78	66.65	12.0	36.27	46.5	19.82	61.68	118.43	41.22	80.57	13.12	62.56	84.63	12.36	49.91	80.01	64.8	16.39	33.3	51.35	84.04	123.5	25.35	45.85	51.35	15.11	37.85	87.03	5.5	15.68	1.46	21.78	93.35	9.27	92.05	33.06
NCOA1	147.06	144.01	120.1	166.73	115.16	139.07	147.06	180.02	211.31	134.3	99.43	123.5	151.22	69.03	140.04	104.42	94.01	149.12	76.17	162.14	133.36	148.09	127.89	152.28	149.12	144.01	187.71	111.21	175.07	115.97	153.34	132.44	170.25	111.21	163.28	119.26	293.07	403.5	320.8	389.72	223.41	221.86	183.82	289.02	255.0	155.5	358.54	312.0	293.07	234.57	267.73	273.37	249.73	275.28	187.71	201.25	409.15	171.45	253.23	123.5	412.0	237.86	260.38	182.55	220.32	318.57	426.57	316.37	224.97	371.22	248.0	318.57	237.86	212.78	271.48	193.01	356.05	392.44	137.14	336.79	215.77	301.33	395.18	119.26	260.38	157.68	242.88	208.38	221.86	339.14	204.07	102.97	143.01	173.85	214.27	232.94	293.07	140.04	165.57	244.57	363.56	229.72	269.6	260.38
NEK1	72.52	37.85	87.65	98.73	56.68	106.63	67.59	106.63	117.6	71.0	57.49	105.15	72.52	63.89	70.01	66.18	69.03	76.71	67.59	66.65	64.8	98.04	61.68	62.56	81.71	88.88	116.78	73.54	91.41	52.08	81.14	98.04	110.43	82.87	79.45	69.03	165.57	220.32	166.73	231.32	221.86	155.5	178.77	173.85	120.1	149.12	255.0	116.78	198.47	303.44	151.22	165.57	148.09	182.55	120.1	143.01	273.37	185.11	166.73	159.9	218.79	190.34	151.22	135.24	195.72	187.71	237.86	236.21	119.26	164.42	158.79	226.54	195.72	143.01	202.66	159.9	301.33	177.53	112.77	170.25	148.09	201.25	215.77	136.19	190.34	130.6	171.45	136.19	181.28	170.25	165.57	119.26	134.3	117.6	158.79	161.02	154.42	164.42	143.01	158.79	223.41	165.57	239.52	173.85
NEK5	1.66	0.39	2.41	2.18	2.16	2.12	3.2	6.52	2.71	3.72	3.29	2.23	1.45	1.66	4.66	0.42	4.06	4.74	2.03	2.34	1.77	8.45	1.04	0.78	2.94	1.83	4.21	3.23	1.51	1.95	1.03	2.61	4.54	5.82	2.23	0.74	26.28	5.11	12.36	13.72	6.73	6.21	13.22	4.58	13.93	2.01	12.64	10.0	5.68	28.65	3.63	12.83	16.27	8.92	5.11	8.13	19.53	4.98	18.84	10.08	27.25	16.15	17.77	4.9	23.25	6.67	32.59	13.12	8.06	17.38	12.09	8.71	20.86	5.63	13.62	8.06	13.32	9.06	4.17	3.89	8.45	12.93	6.31	10.08	21.94	6.57	5.15	8.38	24.46	7.57	1.89	14.03	3.66	8.78	13.22	13.83	14.45	9.56	6.78	6.01	4.28	7.11	8.13	6.52
NFE2L2	1651.0	1359.57	1498.22	1896.65	1477.58	2004.85	1709.26	1936.53	1963.57	2004.85	1225.22	2255.7	1685.71	1883.54	1936.53	2148.82	1594.73	2047.0	1757.34	1628.26	1498.22	2090.03	1540.37	1467.37	1191.69	1832.01	1844.76	1963.57	1909.85	1447.15	1498.22	2104.58	1662.49	1963.57	1819.35	1397.83	3589.58	3303.0	3212.66	4210.15	2720.15	2855.44	1991.0	2976.74	2537.92	2240.11	5403.7	2047.0	3146.52	4481.23	2367.9	3190.46	2303.12	3190.46	1870.53	1781.89	3716.2	2739.08	1794.29	2061.24	2777.33	2485.67	2319.15	2739.08	3168.41	3168.41	4010.71	3303.0	2537.92	3146.52	2875.3	2875.3	3235.01	2451.44	3665.02	2627.46	6652.97	3614.55	2018.8	3103.19	2468.49	4450.27	6164.49	2367.9	2720.15	2209.26	2193.99	2573.36	3039.3	3564.78	2701.35	2335.28	2434.5	2502.97	2573.36	2255.7	3081.75	2645.74	2163.77	2777.33	3103.19	2335.28	3081.75	3515.68
NMT2	105.89	95.34	87.65	98.04	90.77	83.45	94.67	101.54	111.21	92.05	95.34	195.72	93.35	113.56	99.43	119.26	195.72	107.38	82.87	115.16	113.56	114.36	100.13	54.33	94.01	72.52	74.58	73.54	109.66	98.73	59.55	101.54	108.9	90.77	86.43	127.0	169.07	301.33	212.78	232.94	176.29	140.04	104.42	209.84	171.45	116.78	262.2	128.79	176.29	191.67	189.02	176.29	208.38	248.0	165.57	140.04	226.54	144.01	130.6	123.5	264.03	162.14	246.28	144.01	177.53	211.31	242.88	264.03	187.71	183.82	195.72	190.34	234.57	150.17	244.57	146.03	265.87	283.05	101.54	232.94	150.17	267.73	232.94	142.01	275.28	92.7	167.9	108.9	185.11	166.73	128.79	97.36	123.5	154.42	132.44	134.3	197.09	176.29	186.4	193.01	180.02	124.37	234.57	206.94
NOL4	0.97	0.45	0.72	12.09	0.0	5.96	1.27	49.21	12.0	20.11	0.0	1.91	2.12	0.49	18.7	3.26	3.2	4.28	35.5	5.11	46.84	23.76	3.92	21.47	2.12	45.85	4.9	11.64	33.06	0.0	2.73	38.12	70.51	15.0	3.14	0.45	327.56	12.18	88.26	128.79	102.25	346.29	50.98	193.01	53.19	4.54	214.27	23.42	126.12	264.03	87.03	77.79	55.49	101.54	67.12	41.52	24.11	164.42	145.02	90.14	151.22	395.18	77.25	61.25	84.04	43.02	154.42	251.48	104.42	241.19	38.12	48.52	189.02	11.13	82.87	178.77	299.25	123.5	46.18	60.39	376.41	103.69	7.51	81.14	68.07	108.9	173.85	182.55	153.34	223.41	56.28	46.5	265.87	31.45	34.51	130.6	61.68	97.36	81.14	60.39	220.32	49.56	101.54	221.86
NUP210	106.63	84.04	158.79	124.37	60.82	111.21	105.15	166.73	141.02	100.13	90.14	150.17	103.69	104.42	127.89	167.9	84.04	77.25	124.37	102.25	121.79	120.94	84.63	92.05	183.82	87.65	146.03	76.71	132.44	118.43	67.12	96.01	142.01	134.3	122.64	134.3	217.27	165.57	241.19	223.41	212.78	93.35	144.01	217.27	178.77	97.36	209.84	242.88	182.55	180.02	80.57	198.47	199.85	303.44	155.5	204.07	212.78	121.79	212.78	132.44	224.97	189.02	171.45	125.24	285.03	329.84	205.5	224.97	204.07	258.57	209.84	246.28	224.97	164.42	218.79	142.01	237.86	232.94	77.25	249.73	139.07	234.57	220.32	156.59	199.85	121.79	236.21	133.36	220.32	171.45	183.82	120.94	156.59	148.09	228.13	159.9	211.31	190.34	217.27	264.03	205.5	156.59	248.0	363.56
NXT2	86.43	53.57	104.42	88.26	67.12	105.89	92.05	87.65	90.14	83.45	58.3	82.87	81.71	94.67	87.65	114.36	87.03	104.42	69.52	69.03	85.22	105.15	43.02	89.51	100.83	96.01	109.66	88.88	103.69	82.29	57.08	87.65	89.51	82.87	110.43	53.19	226.54	145.02	180.02	211.31	157.68	113.56	163.28	185.11	141.02	140.04	237.86	81.14	148.09	314.17	135.24	156.59	156.59	208.38	102.25	118.43	211.31	149.12	126.12	109.66	205.5	129.69	163.28	135.24	144.01	133.36	134.3	197.09	180.02	157.68	171.45	194.36	175.07	149.12	180.02	143.01	271.48	204.07	133.36	232.94	135.24	283.05	189.02	152.28	154.42	131.51	114.36	149.12	122.64	153.34	172.65	175.07	144.01	148.09	157.68	149.12	130.6	172.65	206.94	133.36	186.4	129.69	163.28	198.47
