	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
KATNAL1	22.43	32.13	20.26	18.84	43.02	54.72	99.43	36.53	33.54	55.49	20.56	31.22	98.73	7.4	74.06	28.04	28.45	51.71	35.0	41.52	31.9	37.59	29.91	28.24	27.05	70.51	39.22	29.06	44.57	45.85	50.27	39.22	43.94	40.07	8.38	35.25	72.52	45.53	17.64	19.68	30.56	63.89	69.03	37.59	38.95	57.89	39.22	28.65	40.64	40.36	39.79	48.18	31.0	51.71	42.41	60.39	26.47	26.86	51.35	8.99	37.32	53.57	12.0	48.52	29.48	45.85	22.92	43.02	48.87	24.28	24.11	94.67	41.52	52.82	76.71	52.45	56.68	29.7	38.12	36.79	78.34	37.59	45.53	16.15	14.35	67.12	29.7	15.22	34.75	48.18	67.12	37.32	7.0	31.22	20.26	27.64	105.89	48.87	44.57	87.65	29.7	80.57	21.16	52.45	41.22	17.51	37.59	45.85	38.67	28.45	67.12	40.93	26.86	27.25	76.17	42.11	38.67	43.02	47.84	57.08	66.65	17.51	35.25	59.55	42.11	64.34	10.55	24.11	57.49	15.68	66.65	26.86	27.44	25.91	44.57	40.07	32.13	35.5	14.89	36.53	50.98	21.32	7.57	84.63	70.51	94.01	25.54	115.16	17.9	28.65	33.06	23.08	26.47	21.16	29.7	20.56	68.07	62.12	72.01	38.95	40.64	55.89	13.83	33.3	26.86	27.64	36.79	42.11	44.57	41.81	28.04	45.85	19.82	65.26	27.64	42.41	33.3	26.1	26.67	64.34	43.94	42.41	60.39	31.22	34.02	27.25	32.13	27.64	27.44	69.03	53.57	128.79	62.12	71.5	81.71	76.17	51.71	152.28	62.56
KCNA2	2.48	0.79	1.01	0.0	0.72	2.48	4.06	2.92	1.03	2.2	1.11	1.41	1.83	0.68	3.32	0.0	0.96	4.17	4.17	0.73	0.39	0.78	1.99	0.73	0.38	2.51	0.37	0.0	2.66	1.13	3.63	3.35	1.08	1.1	0.38	1.45	3.17	2.14	0.74	0.38	3.99	2.61	0.77	1.51	0.39	1.45	0.0	0.0	0.0	1.46	0.79	2.23	1.43	6.36	1.87	3.82	1.91	2.05	3.14	0.38	2.18	1.5	0.43	0.72	0.39	2.81	1.06	3.69	1.81	0.39	0.73	4.17	2.16	0.73	4.9	2.34	3.63	0.74	0.75	1.75	2.97	4.86	0.0	1.01	0.37	2.18	2.07	0.43	1.13	0.75	4.39	0.42	0.0	0.67	1.06	0.77	8.38	0.4	1.43	1.11	5.92	4.06	0.0	1.83	1.5	0.39	0.0	3.86	0.0	1.1	0.69	2.53	1.1	1.08	6.57	2.16	0.75	1.45	3.26	3.03	1.83	1.77	0.39	5.23	2.84	0.42	0.0	2.97	1.06	0.0	4.03	0.37	1.79	1.48	2.84	1.11	0.74	0.8	0.4	0.41	0.39	1.07	0.0	5.92	3.79	14.35	0.74	8.85	1.73	3.47	1.36	1.43	2.1	0.39	0.39	0.38	1.83	13.03	4.03	1.14	0.38	3.11	1.41	2.03	0.77	0.0	2.84	3.76	1.1	2.78	0.71	6.94	0.0	2.2	2.92	3.59	1.16	1.07	4.13	1.46	1.89	2.61	2.48	1.45	1.35	0.37	0.35	0.4	0.0	2.39	2.1	3.35	1.79	5.23	5.59	8.92	2.12	13.62	2.61
KIRREL	111.21	116.78	52.08	21.16	76.71	130.6	212.78	178.77	73.54	173.85	38.95	92.05	202.66	11.55	191.67	35.76	44.57	154.42	100.83	76.71	88.88	81.71	111.99	77.25	79.45	255.0	54.33	44.89	173.85	111.21	126.12	146.03	108.9	170.25	14.89	121.79	211.31	167.9	65.72	48.87	109.66	140.04	183.82	98.04	149.12	127.89	107.38	32.82	98.04	131.51	57.49	122.64	46.5	173.85	120.94	163.28	98.04	47.84	123.5	40.93	112.77	81.71	39.79	72.01	60.39	72.52	82.87	102.97	138.1	67.12	53.57	193.01	56.28	97.36	258.57	126.12	211.31	76.71	31.45	61.25	186.4	143.01	67.59	25.91	64.8	71.5	50.27	59.13	130.6	102.97	281.09	107.38	11.38	35.5	49.21	88.88	389.72	93.35	91.41	251.48	19.82	190.34	79.45	92.7	248.0	40.07	30.34	182.55	122.64	42.71	75.64	132.44	126.12	88.26	231.32	130.6	96.01	108.9	76.71	175.07	81.14	50.27	65.72	145.02	149.12	90.14	18.7	59.55	141.02	31.67	105.15	46.84	71.0	112.77	142.01	70.51	82.87	70.51	66.18	91.41	48.18	21.01	21.47	341.51	204.07	336.79	69.52	400.71	53.95	67.59	41.81	34.75	69.03	40.07	107.38	22.75	151.22	172.65	223.41	87.65	49.21	119.26	49.91	111.21	55.1	46.18	105.15	144.01	81.14	98.04	65.26	146.03	14.89	242.88	76.71	153.34	80.01	63.0	95.34	194.36	86.43	127.0	136.19	61.25	35.25	64.8	30.12	49.21	44.89	88.26	169.07	251.48	170.25	244.57	211.31	201.25	69.52	301.33	152.28
KLF12	20.11	18.03	21.16	4.82	19.39	21.47	46.18	34.26	28.24	38.67	11.21	25.72	59.55	10.08	31.67	31.22	32.59	29.06	28.24	23.42	15.56	9.7	17.51	31.9	15.34	58.71	13.62	11.04	26.28	32.82	33.06	33.06	26.67	30.78	1.87	26.28	36.01	34.51	18.84	14.14	24.11	23.93	51.71	28.45	24.46	29.06	31.45	17.9	17.0	37.59	41.81	32.59	83.45	43.02	17.64	41.52	30.12	27.05	28.24	5.23	24.46	36.27	11.04	9.85	21.47	32.59	9.93	40.64	27.64	49.56	16.51	42.11	20.56	16.27	38.67	48.87	64.34	9.63	88.88	16.75	53.95	26.28	13.93	12.0	15.22	34.02	46.5	14.67	30.78	37.05	35.25	37.85	3.99	27.25	12.27	14.78	73.03	12.83	19.53	46.18	14.45	35.25	29.06	38.4	32.36	7.06	45.21	35.25	32.13	19.97	38.4	35.0	17.13	17.13	44.25	31.22	37.32	32.36	34.51	40.64	31.67	12.45	23.76	42.41	38.12	20.71	10.71	42.11	41.22	6.62	35.5	6.62	15.68	20.41	33.78	22.26	37.59	34.75	17.9	23.25	29.7	9.41	2.63	55.1	52.82	98.73	14.24	70.01	11.64	26.28	17.25	20.71	22.43	13.93	15.91	5.19	30.34	64.34	50.27	20.56	17.38	36.53	11.64	34.02	13.42	21.78	40.64	44.25	51.35	19.25	16.15	33.78	2.94	48.18	22.59	31.45	53.57	15.68	16.39	38.4	33.06	32.13	49.21	16.15	13.42	8.58	10.55	12.83	18.97	42.41	21.63	60.82	41.22	44.57	44.57	51.35	31.9	84.04	33.78
KLHL33	14.03	3.76	0.33	0.66	2.73	3.86	10.88	4.7	2.29	3.99	1.07	2.76	8.06	0.0	8.92	1.66	0.31	5.92	5.96	4.13	2.39	1.83	2.94	0.68	3.63	11.91	1.27	6.84	8.78	5.5	5.45	13.62	2.43	13.03	0.0	3.17	4.94	6.78	2.1	0.99	6.21	6.67	5.82	3.69	3.89	6.36	1.36	0.35	2.81	6.52	2.63	4.43	3.47	7.57	5.92	3.44	7.63	0.67	8.13	1.66	7.22	4.39	2.34	1.33	2.07	3.5	2.36	31.22	3.92	2.1	2.41	17.13	4.28	4.1	7.22	7.0	6.57	5.32	6.11	4.17	9.78	3.11	0.0	1.62	0.65	4.66	3.06	4.7	12.64	4.31	9.7	13.93	0.0	1.58	1.01	0.37	12.45	2.86	7.82	1.07	2.97	8.58	3.86	4.7	5.15	2.41	0.66	10.31	8.13	2.84	2.27	4.28	3.2	6.31	12.36	5.36	4.24	8.58	6.89	10.79	4.35	4.54	1.04	5.63	10.39	4.94	0.75	1.83	3.41	0.36	7.82	2.25	1.75	4.35	1.75	1.06	1.06	4.21	0.72	3.72	0.69	1.36	0.3	21.01	11.91	24.11	3.5	10.24	2.03	3.82	0.33	0.0	1.71	2.39	8.32	0.66	5.41	10.79	4.39	2.58	1.33	11.55	0.68	7.34	1.45	0.66	7.11	7.22	1.41	3.08	2.66	7.4	0.3	11.47	4.7	9.13	5.23	1.03	1.38	2.14	6.41	11.64	7.06	2.48	4.28	0.65	2.46	2.14	1.85	5.68	8.85	6.21	4.82	7.06	21.78	11.82	2.71	23.08	6.31
KLK2	211455.3	231394.29	187950.38	520665.48	236256.4	249727.34	93325.55	94628.34	248002.34	241220.67	214407.12	209994.66	116501.39	391864.76	225066.78	244588.0	228208.61	134755.94	249727.34	246289.25	186652.11	279017.26	280957.98	288856.81	218912.29	96616.71	233003.78	279017.26	242898.5	329517.51	144427.91	273275.14	284880.02	353168.2	156954.93	292889.12	123144.13	258533.99	165904.25	236256.4	249727.34	244588.0	256748.15	280957.98	217400.14	280957.98	320506.81	170568.48	241220.67	324980.94	309589.14	236256.4	350728.68	378516.38	233003.78	292889.12	197294.7	159145.95	269512.87	353168.2	233003.78	254974.66	334117.42	195931.88	341137.96	273275.14	195931.88	236256.4	311742.51	211455.3	378516.38	318292.9	383800.28	260332.24	181548.07	234624.45	153724.82	263966.36	288856.81	279017.26	253213.41	193234.41	205673.01	241220.67	204252.32	303217.87	280957.98	386469.83	205673.01	202841.44	193234.41	360589.03	341137.96	253213.41	443937.41	181548.07	93325.55	277089.94	301123.38	165904.25	292889.12	89523.81	338781.54	256748.15	189257.69	269512.87	141455.6	294926.33	286861.53	212926.09	229795.93	311742.51	363097.14	324980.94	168220.2	284880.02	299043.36	225066.78	241220.67	294926.33	221968.2	329517.51	236256.4	246289.25	320506.81	303217.87	373305.21	159145.95	236256.4	221968.2	262143.0	221968.2	316094.29	303217.87	320506.81	301123.38	200048.85	419990.32	168220.2	284880.02	345900.08	334117.42	167058.21	163620.18	169390.27	193234.41	311742.51	77934.88	331809.5	324980.94	208544.12	279017.26	355624.68	437825.58	290865.98	204252.32	260332.24	280957.98	119776.72	265802.39	217400.14	248002.34	256748.15	233003.78	256748.15	260332.24	174152.51	95286.54	253213.41	331809.5	246289.25	269512.87	251464.33	97288.74	244588.0	249727.34	375901.76	389157.95	299043.36	260332.24	204252.32	365622.68	279017.26	299043.36	226632.25	251464.33	239554.43	383800.28	402881.61	262143.0	186652.11	269512.87	284880.02	241220.67	263966.36	370726.6	254974.66	223512.12	74760.09
LAMA4	237.86	264.03	120.94	46.18	156.59	348.71	351.14	473.41	138.1	271.48	111.99	242.88	460.44	23.93	363.56	84.04	180.02	299.25	267.73	237.86	214.27	133.36	291.04	376.41	212.78	470.14	185.11	90.77	320.8	279.14	470.14	351.14	297.17	414.87	49.56	199.85	595.34	329.84	133.36	105.15	289.02	389.72	470.14	173.85	348.71	253.23	361.04	106.63	307.69	420.68	142.01	175.07	112.77	429.54	327.56	356.05	228.13	197.09	289.02	72.01	273.37	269.6	124.37	169.07	126.12	152.28	154.42	373.81	379.04	112.77	123.5	363.56	167.9	202.66	928.3	507.46	361.04	186.4	85.82	129.69	303.44	301.33	117.6	70.51	273.37	131.51	107.38	111.99	406.31	194.36	587.13	273.37	90.14	141.02	253.23	157.68	830.75	167.9	181.28	624.99	53.95	466.88	205.5	169.07	599.49	142.01	86.43	361.04	320.8	144.01	131.51	409.15	332.14	258.57	638.15	314.17	293.07	295.11	157.68	358.54	161.02	96.68	205.5	536.45	265.87	218.79	41.52	273.37	379.04	93.35	289.02	116.78	154.42	204.07	187.71	131.51	214.27	167.9	242.88	376.41	144.01	62.56	72.52	981.29	660.68	808.0	182.55	921.88	106.63	195.72	123.5	84.63	237.86	108.14	332.14	78.89	438.59	361.04	228.13	228.13	161.02	346.29	145.02	190.34	129.69	75.11	336.79	336.79	144.01	182.55	127.89	299.25	42.41	733.19	283.05	361.04	258.57	149.12	182.55	507.46	122.64	336.79	293.07	236.21	98.04	112.77	48.52	123.5	115.16	135.24	182.55	366.09	277.2	480.04	414.87	358.54	193.01	830.75	559.28
LHFPL2	95.34	130.6	100.83	41.22	105.89	145.02	202.66	303.44	150.17	119.26	133.36	117.6	271.48	40.64	121.79	39.79	63.89	177.53	96.01	88.88	98.73	74.58	65.26	185.11	72.52	262.2	70.51	102.25	131.51	108.14	120.94	149.12	137.14	320.8	31.0	161.02	232.94	186.4	67.12	53.57	122.64	173.85	224.97	90.14	153.34	96.68	62.56	48.87	115.16	128.79	90.77	116.78	81.14	157.68	96.01	178.77	129.69	130.6	129.69	43.94	139.07	150.17	62.56	78.89	125.24	172.65	215.77	164.42	156.59	101.54	82.87	285.03	57.49	84.63	251.48	137.14	155.5	98.73	87.03	136.19	206.94	127.0	51.35	82.29	49.56	193.01	75.11	83.45	126.12	143.01	251.48	127.0	31.0	110.43	96.68	118.43	312.0	102.25	116.78	159.9	120.94	169.07	41.22	130.6	164.42	48.87	38.67	148.09	133.36	52.45	117.6	123.5	187.71	85.82	165.57	136.19	95.34	138.1	92.05	181.28	106.63	57.49	136.19	190.34	155.5	92.05	26.86	102.97	85.22	69.03	93.35	73.03	71.0	121.79	120.1	152.28	113.56	88.88	133.36	103.69	102.25	43.32	38.4	170.25	208.38	307.69	84.04	305.55	61.25	90.14	76.71	47.17	98.04	54.72	144.01	38.67	156.59	167.9	214.27	106.63	63.0	101.54	70.51	127.0	89.51	46.84	92.7	185.11	89.51	92.7	96.68	248.0	43.02	178.77	152.28	129.69	80.01	125.24	92.05	275.28	62.56	108.9	145.02	62.12	44.25	100.83	47.5	75.64	59.13	79.45	148.09	163.28	120.94	172.65	146.03	162.14	90.14	275.28	182.55
MAP1B	182.55	236.21	127.89	39.5	63.45	208.38	454.09	264.03	69.52	384.34	139.07	93.35	547.75	13.03	241.19	35.76	65.26	185.11	265.87	151.22	132.44	113.56	226.54	289.02	68.07	234.57	61.25	71.5	167.9	148.09	361.04	229.72	128.79	209.84	43.63	265.87	236.21	135.24	95.34	60.39	169.07	220.32	293.07	226.54	229.72	132.44	211.31	20.26	223.41	231.32	37.05	180.02	74.58	281.09	191.67	379.04	87.03	159.9	180.02	110.43	146.03	224.97	58.71	133.36	119.26	140.04	128.79	221.86	341.51	47.5	65.26	223.41	93.35	283.05	718.08	273.37	327.56	144.01	58.71	100.13	214.27	218.79	860.08	78.89	51.35	163.28	63.0	154.42	165.57	141.02	579.04	183.82	16.51	33.78	95.34	191.67	866.07	182.55	80.01	291.04	23.93	420.68	122.64	94.67	334.46	100.13	28.65	248.0	297.17	72.52	181.28	236.21	111.99	164.42	547.75	154.42	218.79	117.6	145.02	316.37	167.9	68.55	199.85	295.11	246.28	316.37	226.54	176.29	242.88	97.36	241.19	47.5	108.9	113.56	152.28	152.28	139.07	173.85	109.66	209.84	56.68	53.95	1295.13	397.93	307.69	791.35	84.63	525.39	80.01	183.82	28.86	37.59	144.01	34.02	332.14	49.56	241.19	476.71	412.0	103.69	98.04	271.48	327.56	172.65	115.16	32.13	166.73	305.55	162.14	127.89	94.01	221.86	100.83	403.5	181.28	221.86	161.02	48.87	84.04	579.04	119.26	226.54	395.18	83.45	49.21	65.72	39.79	63.0	76.71	137.14	162.14	450.94	334.46	351.14	285.03	343.89	208.38	743.43	303.44
MBNL1	693.58	684.02	543.96	336.79	444.72	612.11	974.5	890.44	587.13	759.08	325.29	616.37	1313.23	389.72	802.41	450.94	403.5	802.41	656.11	713.11	660.68	551.56	400.71	591.22	521.76	1037.29	497.0	607.87	723.08	647.07	974.5	688.78	669.92	764.36	231.32	718.08	974.5	791.35	493.56	651.58	536.45	665.29	866.07	607.87	599.49	660.68	669.92	791.35	384.34	748.61	361.04	718.08	571.05	884.29	629.35	713.11	607.87	583.07	688.78	409.15	599.49	559.28	395.18	329.84	470.14	961.07	414.87	848.22	836.53	624.99	447.82	1295.13	567.1	679.29	961.07	872.1	1250.98	387.02	708.18	575.03	934.76	599.49	559.28	536.45	450.94	1015.93	563.18	607.87	620.67	878.17	813.63	708.18	212.78	395.18	325.29	579.04	1457.23	579.04	571.05	759.08	460.44	842.36	633.73	607.87	728.11	343.89	603.67	802.41	928.3	587.13	759.08	470.14	521.76	547.75	1008.9	616.37	769.69	642.59	708.18	738.29	743.43	679.29	825.0	638.15	896.64	738.29	532.74	529.06	708.18	463.65	780.44	457.25	389.72	563.18	764.36	444.72	624.99	595.34	441.64	616.37	444.72	723.08	368.65	1407.55	1015.93	1583.71	490.14	1304.15	518.15	579.04	389.72	409.15	514.56	595.34	579.04	373.81	688.78	1088.92	1397.83	480.04	575.03	665.29	400.71	660.68	500.46	358.54	624.99	743.43	813.63	525.39	599.49	928.3	226.54	1015.93	575.03	595.34	656.11	444.72	551.56	599.49	723.08	583.07	591.22	466.88	363.56	493.56	493.56	403.5	409.15	753.83	878.17	988.12	759.08	854.13	884.29	848.22	693.58	1519.15	1143.1
MEF2C	368.65	102.25	33.54	23.08	94.01	139.07	220.32	193.01	87.03	115.16	33.54	134.3	232.94	43.94	139.07	29.7	94.67	144.01	92.05	65.26	81.14	77.79	100.13	66.65	48.52	220.32	80.01	50.98	169.07	119.26	100.83	110.43	96.68	125.24	7.69	105.89	173.85	117.6	51.71	41.81	121.79	80.57	108.9	150.17	146.03	104.42	187.71	48.52	70.01	129.69	98.04	77.25	72.01	234.57	253.23	119.26	90.77	58.71	123.5	48.87	120.1	51.35	85.22	73.03	55.1	136.19	72.52	967.76	120.94	117.6	65.26	246.28	104.42	77.25	189.02	158.79	218.79	77.79	57.49	63.45	190.34	143.01	82.29	29.06	67.12	79.45	122.64	84.63	128.79	109.66	193.01	182.55	26.67	68.07	43.63	61.25	384.34	68.55	81.14	208.38	69.52	158.79	314.17	113.56	201.25	47.5	34.02	201.25	113.56	42.11	75.64	158.79	171.45	59.55	305.55	105.89	105.15	96.68	149.12	185.11	84.04	92.7	105.15	102.97	171.45	132.44	31.9	81.14	110.43	39.79	86.43	51.35	59.97	90.14	118.43	42.41	92.05	121.79	48.52	88.26	71.5	37.32	35.5	332.14	244.57	780.44	72.52	371.22	96.01	67.12	49.56	39.5	70.51	30.34	138.1	18.43	132.44	291.04	175.07	89.51	43.32	101.54	78.34	205.5	41.81	57.08	204.07	157.68	62.56	108.14	49.91	153.34	19.68	228.13	91.41	178.77	232.94	80.57	133.36	191.67	80.57	103.69	145.02	71.5	50.98	49.56	33.78	41.81	34.75	108.14	116.78	172.65	126.12	182.55	185.11	187.71	215.77	575.03	223.41
