	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
NPIPB3	90.77	152.28	1059.11	1417.35	384.34	860.08	1225.22	2240.11	1268.46	1498.22	559.28	1487.87	1437.15	1551.09	2384.37	651.58	915.51	1697.45	1498.22	2915.45	1104.13	559.28	1151.06	460.44	915.51	1508.65	1081.39	1437.15	1651.0	329.84	1407.55	1268.46	1674.06	2319.15	1167.14	642.59	915.51	2271.4	329.84	403.5	612.11	769.69	1127.35	1487.87	1551.09	1191.69	356.05	1605.83	1388.16	988.12	624.99	1388.16	1208.34	532.74	1991.0	759.08	518.15	371.22	2148.82	450.94	2895.31	4903.87	2816.11	1594.73	3372.43	1639.59	2351.53	988.12	665.29	1242.34	2148.82	1015.93	1151.06	872.1	1051.79	1030.12	1923.14	660.68	1216.75	684.02	2351.53	780.44	1457.23	728.11	669.92	1540.37	1127.35	1857.6	555.41	1369.04	1208.34	307.69	1081.39	1977.24	1819.35	733.19	1991.0	1832.01	1286.18	1757.34	1322.37	1794.29	532.74	356.05	1277.29	2502.97	1208.34	1467.37	921.88	1769.57	1923.14	1151.06	629.35	1277.29	728.11	575.03	1457.23	607.87	764.36	1096.5	1447.15	265.87	381.68	483.38	361.04	2417.67	842.36	1950.0	4152.18	1250.98	2209.26	1015.93	1572.76	2004.85	400.71	1167.14	1498.22	389.72	764.36	518.15	961.07	2209.26	128.79	642.59	409.15	624.99	490.14	860.08	381.68	262.2
NPIPB4	48.18	35.5	351.14	279.14	204.07	297.17	825.0	1015.93	334.46	802.41	297.17	723.08	775.05	780.44	1044.52	275.28	532.74	1183.45	769.69	1175.27	511.0	155.5	753.83	214.27	466.88	872.1	511.0	830.75	909.17	191.67	819.3	738.29	693.58	1111.82	769.69	323.03	423.61	1225.22	116.78	185.11	242.88	629.35	743.43	764.36	981.29	497.0	177.53	1572.76	708.18	563.18	463.65	708.18	753.83	316.37	1051.79	616.37	242.88	249.73	1498.22	351.14	1286.18	1519.15	1519.15	928.3	1628.26	915.51	447.82	237.86	256.78	738.29	1617.0	638.15	518.15	480.04	674.59	316.37	1617.0	466.88	674.59	403.5	866.07	1008.9	1313.23	595.34	356.05	775.05	579.04	1183.45	283.05	780.44	660.68	187.71	713.11	1081.39	1388.16	476.71	1191.69	718.08	954.43	1208.34	1015.93	1832.01	205.5	142.01	358.54	2119.22	579.04	346.29	575.03	808.0	1457.23	642.59	258.57	674.59	493.56	211.31	1111.82	361.04	379.04	466.88	656.11	156.59	325.29	236.21	366.09	921.88	291.04	780.44	2193.99	387.02	1350.18	435.55	1111.82	961.07	226.54	463.65	764.36	201.25	466.88	293.07	454.09	1127.35	128.79	285.03	142.01	224.97	211.31	497.0	111.21	80.01
NPIPB5	21.01	67.59	703.28	423.61	341.51	591.22	1111.82	1950.0	426.57	1583.71	358.54	1286.18	1216.75	1498.22	1963.57	624.99	660.68	1498.22	1313.23	2555.58	825.0	379.04	1295.13	325.29	961.07	1674.06	1119.56	1001.93	1551.09	336.79	1135.2	1001.93	1437.15	1313.23	1295.13	674.59	813.63	1628.26	204.07	279.14	287.01	808.0	708.18	1991.0	2573.36	791.35	242.88	2287.2	1119.56	921.88	656.11	775.05	1427.22	497.0	2335.28	684.02	620.67	460.44	2303.12	536.45	2915.45	4298.64	2209.26	1268.46	1991.0	1745.2	848.22	295.11	490.14	1331.57	2384.37	612.11	1159.07	518.15	961.07	435.55	2047.0	642.59	1051.79	403.5	1250.98	860.08	1457.23	808.0	529.06	1242.34	1551.09	1467.37	638.15	1175.27	1286.18	251.48	872.1	1977.24	2400.97	825.0	1674.06	1331.57	1127.35	2061.24	1073.91	1605.83	341.51	185.11	591.22	2956.17	1233.75	674.59	723.08	2047.0	1963.57	1167.14	500.46	1066.48	753.83	297.17	1359.57	486.75	525.39	748.61	1216.75	181.28	460.44	514.56	281.09	1508.65	595.34	1519.15	3589.58	674.59	2075.59	780.44	1769.57	1844.76	403.5	796.86	1250.98	395.18	642.59	525.39	642.59	2193.99	105.89	507.46	316.37	332.14	307.69	497.0	199.85	159.9
OGT	224.97	154.42	961.07	1008.9	595.34	587.13	1417.35	1963.57	713.11	1437.15	490.14	1467.37	1617.0	1909.85	1697.45	995.0	934.76	2090.03	1427.22	2287.2	616.37	490.14	1651.0	571.05	1313.23	2255.7	1119.56	1322.37	2104.58	612.11	2485.67	1572.76	1844.76	2816.11	2335.28	974.5	1397.83	1870.53	389.72	376.41	728.11	1388.16	1151.06	2555.58	4010.71	1467.37	457.25	2468.49	1819.35	1191.69	1685.71	1794.29	3124.78	802.41	1909.85	1857.6	753.83	738.29	2935.74	961.07	2148.82	4937.99	3060.45	1551.09	1685.71	2645.74	1277.29	540.19	454.09	1447.15	3146.52	1697.45	1151.06	1477.58	1304.15	728.11	1757.34	890.44	1242.34	738.29	1594.73	1023.0	1617.0	1001.93	684.02	1896.65	1639.59	1806.78	1151.06	2255.7	2240.11	575.03	1685.71	2090.03	2351.53	1437.15	2193.99	1199.98	1757.34	2796.65	1697.45	3212.66	1233.75	525.39	1001.93	1697.45	1407.55	1008.9	1651.0	2875.3	3372.43	1963.57	603.67	1167.14	1250.98	583.07	1819.35	518.15	921.88	1225.22	1605.83	406.31	947.83	764.36	409.15	1757.34	642.59	1936.53	5441.3	1340.84	2485.67	1096.5	2004.85	2224.63	665.29	1498.22	1685.71	813.63	688.78	785.88	1044.52	1794.29	551.56	441.64	518.15	314.17	718.08	1096.5	371.22	466.88
OTUD3	3.99	2.86	83.45	42.71	76.71	72.52	70.01	114.36	36.27	109.66	86.43	107.38	95.34	152.28	76.17	43.94	75.64	149.12	120.94	190.34	59.55	72.01	145.02	87.65	84.04	113.56	74.06	136.19	129.69	48.87	136.19	92.7	87.65	66.18	148.09	50.63	83.45	93.35	28.45	73.54	48.18	84.63	85.82	111.99	220.32	59.97	54.72	120.1	94.01	60.82	78.34	70.51	170.25	71.0	84.63	65.72	49.91	75.64	171.45	97.36	164.42	100.13	123.5	140.04	92.7	121.79	66.18	56.68	57.49	114.36	239.52	62.56	38.12	74.58	100.83	50.98	121.79	121.79	87.65	69.03	75.11	102.25	101.54	57.49	68.55	115.97	150.17	108.9	76.71	90.14	82.29	96.68	57.08	111.99	204.07	130.6	208.38	73.54	79.45	217.27	57.49	100.83	64.8	48.18	78.89	115.97	81.14	57.49	80.01	129.69	113.56	122.64	74.06	99.43	76.17	68.07	115.16	60.82	80.57	74.58	81.14	35.0	38.95	73.03	62.56	120.94	74.58	94.67	133.36	80.01	124.37	82.29	96.68	115.16	53.19	80.01	106.63	71.0	136.19	67.12	98.04	137.14	26.86	63.89	72.52	70.51	77.25	139.07	46.84	52.45
PABPC1L	4.66	35.5	249.73	202.66	67.59	139.07	256.78	954.43	540.19	878.17	119.26	674.59	466.88	583.07	1015.93	249.73	269.6	688.78	339.14	1208.34	176.29	85.82	819.3	68.07	220.32	669.92	212.78	470.14	915.51	76.17	830.75	281.09	323.03	1073.91	460.44	114.36	500.46	1059.11	39.79	38.12	123.5	529.06	356.05	529.06	476.71	406.31	38.4	660.68	480.04	271.48	441.64	583.07	450.94	78.89	460.44	423.61	75.64	70.51	1111.82	89.51	830.75	579.04	1417.35	728.11	348.71	660.68	217.27	153.34	120.94	438.59	842.36	551.56	155.5	169.07	476.71	149.12	540.19	251.48	432.53	339.14	483.38	215.77	954.43	185.11	267.73	825.0	457.25	525.39	232.94	332.14	343.89	44.57	265.87	660.68	1359.57	199.85	748.61	120.94	521.76	1295.13	647.07	1096.5	136.19	90.77	397.93	1059.11	297.17	497.0	406.31	1030.12	591.22	563.18	82.87	318.57	244.57	66.65	289.02	89.51	229.72	343.89	629.35	42.11	107.38	158.79	119.26	884.29	117.6	808.0	1733.13	239.52	1331.57	265.87	536.45	961.07	132.44	559.28	624.99	108.9	145.02	143.01	381.68	921.88	93.35	137.14	50.63	67.59	100.83	376.41	64.34	61.25
PAN2	50.27	351.14	307.69	543.96	271.48	366.09	571.05	1015.93	476.71	698.41	363.56	497.0	543.96	842.36	941.27	503.95	463.65	647.07	688.78	1216.75	341.51	209.84	665.29	191.67	441.64	785.88	371.22	759.08	995.0	271.48	1250.98	551.56	599.49	733.19	860.08	486.75	579.04	764.36	242.88	237.86	212.78	591.22	529.06	860.08	830.75	363.56	267.73	1015.93	684.02	486.75	896.64	808.0	890.44	414.87	684.02	473.41	420.68	267.73	1167.14	403.5	1073.91	503.95	902.89	884.29	607.87	759.08	417.77	336.79	249.73	647.07	1216.75	651.58	426.57	651.58	493.56	450.94	890.44	476.71	466.88	507.46	607.87	551.56	647.07	379.04	426.57	780.44	540.19	890.44	423.61	819.3	616.37	295.11	536.45	896.64	854.13	450.94	860.08	470.14	543.96	1081.39	575.03	1096.5	395.18	381.68	603.67	759.08	521.76	500.46	563.18	1059.11	1350.18	518.15	387.02	624.99	665.29	314.17	967.76	239.52	450.94	693.58	769.69	205.5	356.05	400.71	265.87	872.1	334.46	769.69	1096.5	454.09	1044.52	540.19	660.68	854.13	256.78	616.37	830.75	414.87	373.81	503.95	555.41	1135.2	289.02	356.05	255.0	301.33	417.77	507.46	246.28	232.94
PAXBP1	35.0	59.13	202.66	150.17	146.03	248.0	220.32	389.72	169.07	316.37	140.04	248.0	371.22	366.09	323.03	202.66	221.86	392.44	332.14	575.03	182.55	154.42	323.03	111.21	301.33	432.53	201.25	283.05	379.04	149.12	454.09	258.57	356.05	279.14	473.41	167.9	301.33	341.51	104.42	120.94	194.36	285.03	248.0	299.25	312.0	164.42	131.51	540.19	327.56	244.57	327.56	371.22	420.68	182.55	269.6	303.44	165.57	180.02	406.31	253.23	420.68	457.25	470.14	339.14	476.71	457.25	186.4	153.34	116.78	305.55	414.87	217.27	232.94	275.28	229.72	140.04	334.46	426.57	221.86	193.01	325.29	236.21	262.2	191.67	211.31	356.05	285.03	346.29	229.72	343.89	279.14	157.68	232.94	381.68	406.31	253.23	361.04	229.72	269.6	532.74	228.13	493.56	231.32	191.67	236.21	301.33	258.57	199.85	287.01	559.28	384.34	303.44	132.44	289.02	295.11	169.07	429.54	161.02	148.09	289.02	457.25	116.78	181.28	208.38	131.51	353.59	165.57	299.25	493.56	281.09	323.03	251.48	361.04	242.88	177.53	279.14	287.01	206.94	232.94	231.32	273.37	409.15	183.82	147.06	136.19	128.79	193.01	363.56	133.36	130.6
PGBD4	11.82	9.27	25.35	11.38	16.15	16.75	19.39	28.65	10.08	18.56	11.21	20.86	20.26	27.84	22.59	22.26	21.16	36.53	26.47	33.54	7.06	12.45	22.43	17.9	18.16	38.67	13.22	23.59	22.43	13.83	31.45	11.21	20.56	18.03	42.11	13.03	17.64	24.81	9.78	9.2	10.0	23.76	19.82	23.42	35.25	7.94	9.41	29.91	21.47	19.53	23.93	16.39	34.51	20.26	29.48	25.72	22.59	18.97	37.05	24.63	35.5	22.26	35.5	28.86	33.54	19.53	8.85	8.58	13.62	22.75	40.64	21.78	19.53	18.7	12.93	12.93	34.51	16.39	13.32	12.55	25.54	24.81	13.93	28.86	17.77	18.84	24.28	26.1	32.36	20.26	25.17	18.56	18.56	38.12	59.55	24.11	44.57	16.39	11.38	35.5	18.84	37.32	25.91	16.75	18.03	28.04	21.32	10.0	27.64	31.22	33.54	42.71	13.72	15.45	32.59	9.63	26.47	9.41	16.88	27.05	30.12	13.12	22.43	16.75	13.52	18.43	16.51	15.0	17.13	20.56	29.27	17.51	20.71	43.02	23.93	22.92	28.04	19.68	19.11	34.51	19.11	26.1	23.93	16.51	20.71	10.16	24.28	16.15	8.65	20.71
PHC1	17.38	24.81	376.41	249.73	291.04	503.95	320.8	540.19	145.02	603.67	273.37	271.48	366.09	571.05	638.15	283.05	420.68	693.58	607.87	813.63	346.29	241.19	444.72	212.78	441.64	595.34	381.68	473.41	638.15	260.38	674.59	412.0	392.44	384.34	571.05	368.65	441.64	395.18	91.41	379.04	177.53	339.14	454.09	346.29	500.46	341.51	202.66	397.93	476.71	318.57	507.46	255.0	813.63	285.03	493.56	363.56	392.44	273.37	753.83	363.56	620.67	532.74	665.29	543.96	684.02	490.14	211.31	208.38	267.73	587.13	759.08	212.78	215.77	435.55	493.56	162.14	420.68	341.51	454.09	256.78	305.55	457.25	444.72	327.56	373.81	595.34	470.14	571.05	351.14	688.78	395.18	384.34	262.2	490.14	423.61	447.82	525.39	258.57	384.34	780.44	403.5	780.44	224.97	202.66	217.27	775.05	316.37	332.14	457.25	808.0	748.61	660.68	223.41	438.59	507.46	295.11	540.19	291.04	307.69	444.72	253.23	193.01	275.28	293.07	212.78	718.08	376.41	361.04	521.76	212.78	612.11	406.31	490.14	281.09	329.84	353.59	457.25	417.77	435.55	417.77	567.1	660.68	267.73	325.29	432.53	493.56	414.87	511.0	249.73	281.09
PNISR	111.99	173.85	638.15	476.71	674.59	775.05	698.41	2303.12	493.56	1685.71	595.34	1322.37	1417.35	1936.53	1806.78	547.75	1183.45	2133.97	1081.39	2537.92	674.59	540.19	1540.37	514.56	915.51	1923.14	1233.75	1359.57	2090.03	346.29	2720.15	825.0	1030.12	718.08	2104.58	743.43	1529.73	1233.75	339.14	503.95	500.46	1417.35	981.29	2573.36	1896.65	836.53	373.81	1923.14	1674.06	941.27	1407.55	1733.13	2224.63	647.07	954.43	860.08	559.28	612.11	2537.92	785.88	2090.03	4181.07	1551.09	1697.45	1594.73	1457.23	540.19	603.67	629.35	1769.57	2351.53	775.05	679.29	1242.34	1561.89	660.68	1066.48	1088.92	738.29	660.68	1832.01	1135.2	1794.29	493.56	583.07	2018.8	1199.98	1832.01	718.08	1685.71	1259.69	669.92	723.08	1583.71	2133.97	1225.22	2287.2	1111.82	1583.71	2417.67	961.07	2335.28	981.29	629.35	1242.34	947.83	1159.07	684.02	1477.58	2287.2	2520.38	1923.14	629.35	1388.16	988.12	555.41	1781.89	500.46	540.19	1331.57	1477.58	500.46	764.36	642.59	483.38	2682.69	607.87	1561.89	1832.01	1167.14	1977.24	759.08	2193.99	1001.93	563.18	1304.15	1963.57	842.36	909.17	866.07	1340.84	2178.83	753.83	607.87	575.03	551.56	854.13	1832.01	500.46	417.77
PNN	59.97	341.51	884.29	616.37	759.08	769.69	1008.9	1397.83	825.0	1331.57	629.35	1304.15	1208.34	1268.46	1397.83	981.29	995.0	1508.65	1268.46	1819.35	830.75	902.89	1331.57	460.44	921.88	1508.65	1008.9	1151.06	1111.82	547.75	1685.71	1183.45	1340.84	1199.98	1447.15	878.17	1199.98	1378.57	540.19	684.02	693.58	1044.52	967.76	1313.23	1819.35	1159.07	616.37	1781.89	1295.13	854.13	1923.14	1051.79	1806.78	660.68	1242.34	1096.5	665.29	684.02	1583.71	934.76	1685.71	2104.58	1674.06	1350.18	1322.37	1151.06	1286.18	555.41	651.58	1250.98	1685.71	934.76	866.07	947.83	1183.45	674.59	1437.15	981.29	1044.52	967.76	1119.56	1175.27	1340.84	679.29	738.29	1167.14	1313.23	1427.22	693.58	1331.57	1015.93	633.73	703.28	1359.57	1519.15	961.07	1369.04	981.29	1397.83	1437.15	1175.27	1437.15	967.76	612.11	848.22	1487.87	884.29	769.69	1191.69	1662.49	2133.97	1350.18	825.0	1191.69	961.07	674.59	1467.37	759.08	1030.12	954.43	995.0	463.65	1030.12	684.02	575.03	1709.26	743.43	1268.46	2935.74	748.61	1397.83	872.1	1225.22	1498.22	708.18	1242.34	1073.91	769.69	860.08	708.18	1015.93	1651.0	346.29	529.06	651.58	620.67	651.58	1167.14	551.56	438.59
POGZ	38.12	98.73	480.04	379.04	493.56	540.19	503.95	825.0	299.25	796.86	511.0	551.56	733.19	884.29	769.69	376.41	525.39	961.07	830.75	981.29	500.46	356.05	713.11	423.61	674.59	896.64	547.75	620.67	928.3	486.75	866.07	642.59	656.11	511.0	981.29	514.56	571.05	616.37	346.29	454.09	332.14	656.11	551.56	954.43	1073.91	358.54	463.65	866.07	854.13	503.95	693.58	555.41	1044.52	688.78	723.08	612.11	579.04	656.11	1073.91	656.11	988.12	1199.98	842.36	764.36	974.5	890.44	312.0	275.28	450.94	708.18	1023.0	563.18	406.31	665.29	579.04	414.87	674.59	559.28	624.99	447.82	599.49	733.19	587.13	647.07	688.78	896.64	854.13	866.07	555.41	718.08	713.11	638.15	529.06	796.86	1277.29	775.05	1030.12	555.41	532.74	1096.5	656.11	713.11	406.31	412.0	476.71	902.89	579.04	366.09	638.15	1023.0	1242.34	791.35	500.46	723.08	674.59	470.14	928.3	497.0	503.95	612.11	743.43	368.65	497.0	583.07	353.59	961.07	444.72	559.28	988.12	441.64	947.83	591.22	796.86	1135.2	483.38	624.99	703.28	567.1	753.83	514.56	684.02	884.29	224.97	529.06	460.44	476.71	603.67	575.03	371.22	281.09
PROX2	0.8	0.0	1.77	2.43	3.0	3.56	2.39	6.84	1.91	3.86	2.1	1.28	4.24	6.31	8.25	2.36	3.56	5.06	5.96	9.13	2.12	4.35	3.96	5.82	5.68	7.46	1.27	11.47	6.26	2.68	9.63	4.7	7.57	7.0	8.71	2.12	6.52	4.06	0.82	2.76	0.78	3.89	3.69	5.41	6.21	1.85	1.68	9.13	8.45	6.06	0.0	4.39	4.66	4.03	7.57	4.74	2.23	2.25	9.78	3.53	12.93	8.65	10.39	5.92	12.83	7.51	0.75	0.78	1.73	7.88	8.92	2.03	2.78	6.26	4.5	1.66	6.57	2.56	6.21	3.92	3.86	5.77	4.82	2.63	3.69	8.25	3.86	7.0	3.92	8.45	8.99	4.06	9.2	7.63	5.54	3.03	12.0	3.72	3.17	13.32	8.71	6.06	3.41	3.11	2.12	5.96	9.13	1.23	3.41	7.57	7.63	7.22	2.86	4.43	4.06	2.16	7.06	1.27	2.86	4.7	7.06	2.58	2.2	1.27	2.63	11.82	3.08	5.06	11.64	1.66	17.38	2.14	2.61	4.1	1.13	3.5	9.27	2.48	3.63	1.71	4.78	9.78	1.73	1.73	2.16	0.84	2.14	2.16	0.79	0.41
PRPF3	59.97	187.71	555.41	587.13	454.09	624.99	698.41	1191.69	571.05	896.64	486.75	780.44	961.07	1008.9	1340.84	466.88	647.07	1225.22	902.89	1369.04	493.56	400.71	909.17	432.53	543.96	1216.75	718.08	884.29	1030.12	387.02	1304.15	802.41	791.35	785.88	954.43	543.96	836.53	1135.2	400.71	400.71	500.46	813.63	748.61	1167.14	961.07	555.41	376.41	1096.5	954.43	507.46	708.18	890.44	1183.45	361.04	890.44	532.74	332.14	371.22	1268.46	447.82	1572.76	2502.97	1417.35	988.12	1304.15	1242.34	1268.46	603.67	575.03	941.27	1242.34	540.19	642.59	718.08	759.08	733.19	775.05	518.15	728.11	651.58	947.83	780.44	1059.11	420.68	483.38	1143.1	708.18	1008.9	473.41	854.13	842.36	438.59	587.13	988.12	1487.87	591.22	1066.48	842.36	995.0	1685.71	595.34	1143.1	507.46	423.61	947.83	1104.13	791.35	698.41	780.44	1111.82	1757.34	1127.35	432.53	954.43	559.28	351.14	974.5	463.65	444.72	764.36	967.76	323.03	395.18	381.68	420.68	1191.69	444.72	1051.79	1651.0	748.61	1313.23	656.11	1015.93	1551.09	343.89	915.51	947.83	532.74	579.04	612.11	947.83	1277.29	532.74	518.15	426.57	450.94	486.75	884.29	384.34	368.65
PRPF38B	55.1	158.79	511.0	323.03	559.28	457.25	447.82	633.73	543.96	616.37	392.44	607.87	723.08	656.11	660.68	395.18	463.65	769.69	718.08	961.07	547.75	579.04	703.28	307.69	521.76	764.36	575.03	629.35	624.99	287.01	902.89	769.69	703.28	620.67	688.78	483.38	612.11	743.43	381.68	480.04	463.65	529.06	460.44	679.29	490.14	603.67	397.93	1242.34	693.58	432.53	1001.93	703.28	733.19	426.57	665.29	575.03	351.14	454.09	813.63	463.65	854.13	915.51	764.36	708.18	764.36	633.73	463.65	346.29	397.93	656.11	878.17	591.22	536.45	612.11	616.37	314.17	679.29	518.15	521.76	616.37	543.96	514.56	785.88	376.41	417.77	651.58	638.15	713.11	426.57	579.04	460.44	463.65	389.72	642.59	1030.12	629.35	607.87	514.56	575.03	759.08	830.75	693.58	507.46	435.55	423.61	796.86	587.13	575.03	555.41	825.0	723.08	595.34	346.29	723.08	595.34	412.0	698.41	497.0	457.25	525.39	591.22	237.86	368.65	384.34	341.51	555.41	486.75	693.58	872.1	438.59	738.29	507.46	571.05	764.36	412.0	551.56	476.71	493.56	624.99	438.59	684.02	665.29	426.57	417.77	470.14	420.68	417.77	669.92	376.41	511.0
