	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
ZNF155	84.04	182.55	138.1	79.45	66.65	166.73	27.64	135.24	55.49	84.63	66.65	42.71	39.22	76.17	53.19	71.0	31.0	87.03	30.56	40.93	46.5	72.01	59.97	36.79	72.01	48.87	117.6	49.21	43.63	9.34	33.78	81.71	43.94	35.76	65.26	40.36	108.9	34.51	75.11	53.19	24.63	110.43	16.75	92.7	73.54	63.45	24.28	114.36	22.26	82.87	71.0	53.19	43.02	66.65	43.02	35.5	32.13	34.75	63.89	50.98	50.27	102.25	43.32	60.39	50.27	47.17	40.36	28.65	29.48	94.01	20.41	7.75	72.52	27.05	76.17	57.08	128.79	65.72	124.37	118.43	140.04	199.85	135.24	123.5	102.25	39.79	70.51	52.08	121.79	57.49	53.95	132.44	197.09	29.48	38.4	114.36	128.79	142.01	43.94	111.99	77.79	124.37	78.89	113.56	141.02	76.71	75.11	58.3	90.77	73.54	71.0	127.0	229.72	76.71
ZNF17	81.14	181.28	118.43	70.01	82.29	307.69	32.82	118.43	50.98	72.01	87.65	27.05	34.75	46.84	19.25	36.27	36.01	36.01	30.56	41.81	42.11	46.5	39.5	20.26	36.01	45.53	33.54	27.64	30.56	43.94	22.26	62.56	31.22	24.63	34.75	40.64	34.26	30.56	50.98	39.5	17.77	44.57	17.77	38.4	55.89	23.08	76.17	75.11	17.77	40.36	34.02	32.13	38.67	47.84	31.0	34.51	15.91	23.76	38.67	39.5	35.25	44.57	32.82	44.89	50.27	33.78	34.26	35.76	23.08	58.3	29.91	24.81	24.63	31.67	70.01	80.57	84.63	8.78	99.43	129.69	96.01	132.44	74.58	86.43	120.94	64.8	57.08	62.56	76.71	65.72	87.65	92.05	55.49	96.01	70.51	111.21	117.6	75.64	21.94	60.82	105.89	130.6	62.56	88.88	53.19	127.0	61.25	92.7	84.63	84.63	71.0	88.88	363.56	86.43
ZNF180	85.82	193.01	118.43	93.35	111.99	371.22	25.91	175.07	43.32	33.54	58.71	26.1	28.65	43.32	14.24	26.28	29.06	33.06	59.55	38.67	53.19	56.68	46.18	30.78	48.52	41.52	66.18	35.76	34.75	50.98	33.06	67.12	55.1	27.25	41.52	76.71	64.34	46.84	81.14	50.63	29.06	73.03	35.5	75.64	61.68	31.22	48.52	36.27	23.42	60.82	45.85	45.21	56.68	55.49	14.03	57.89	15.0	49.56	53.95	24.81	66.65	28.24	42.71	45.53	46.5	32.82	34.02	64.8	51.35	96.01	45.53	14.45	61.68	33.06	60.82	94.67	72.01	55.49	127.89	176.29	147.06	154.42	101.54	100.13	155.5	63.45	64.8	47.5	127.89	78.89	84.63	91.41	88.88	87.65	92.05	125.24	100.13	83.45	51.35	104.42	123.5	90.14	74.06	124.37	31.22	96.68	71.0	49.21	111.21	82.29	66.18	84.04	291.04	177.53
ZNF184	109.66	255.0	155.5	98.04	121.79	353.59	155.5	137.14	100.83	80.01	63.89	70.01	29.7	142.01	11.04	25.54	28.86	28.45	40.64	32.82	35.0	20.86	45.53	28.86	30.34	57.49	36.01	25.17	28.86	40.07	16.27	73.54	30.56	24.63	58.71	42.11	52.08	38.4	62.56	35.0	15.34	60.39	44.57	49.21	57.49	26.1	67.59	46.5	39.5	64.34	41.22	46.84	55.49	54.33	27.05	43.02	9.27	28.65	22.1	24.63	37.05	14.56	28.45	16.03	22.92	27.05	15.68	27.05	21.47	50.63	26.1	21.16	32.13	30.12	66.65	81.71	78.89	84.04	153.34	110.43	176.29	137.14	48.52	92.05	242.88	72.01	62.12	111.99	87.03	111.21	77.25	105.15	91.41	147.06	76.17	147.06	137.14	83.45	44.25	105.15	94.67	111.99	47.84	121.79	48.87	138.1	82.29	65.72	82.29	74.06	85.22	103.69	493.56	59.97
ZNF211	199.85	269.6	154.42	120.1	153.34	480.04	39.22	267.73	145.02	159.9	195.72	53.19	76.71	61.68	98.73	100.13	126.12	87.03	58.71	40.64	62.56	103.69	43.32	51.35	145.02	68.07	95.34	76.17	61.68	85.22	15.34	84.63	100.13	49.56	78.89	89.51	111.21	42.11	104.42	75.11	20.56	136.19	28.45	111.21	129.69	105.15	127.0	125.24	62.12	78.34	92.05	45.21	95.34	98.73	55.1	49.56	28.04	46.84	53.19	76.71	60.82	49.56	84.63	73.03	62.56	41.81	26.28	15.34	63.89	136.19	88.88	23.42	57.49	48.87	97.36	101.54	253.23	10.96	289.02	249.73	218.79	241.19	141.02	265.87	209.84	101.54	142.01	153.34	178.77	379.04	119.26	323.03	195.72	178.77	110.43	162.14	249.73	145.02	120.94	142.01	224.97	435.55	95.34	264.03	181.28	323.03	124.37	154.42	189.02	202.66	118.43	299.25	470.14	201.25
ZNF235	46.18	107.38	65.26	59.13	38.12	133.36	11.3	142.01	30.12	32.13	34.02	17.51	22.26	28.86	14.78	26.1	20.26	22.26	21.32	20.26	24.81	46.84	17.38	13.12	53.57	45.85	30.34	19.68	20.26	26.1	33.06	40.93	39.79	15.22	50.27	27.84	53.95	18.43	49.21	30.34	12.36	61.68	23.76	50.98	28.65	32.13	27.05	33.54	24.81	51.71	29.7	21.94	30.12	31.9	26.28	26.28	3.96	32.59	9.56	25.91	35.5	33.78	16.27	13.03	32.82	13.22	19.53	19.97	13.03	25.35	19.39	4.35	18.43	19.25	60.39	89.51	67.12	59.97	88.26	55.49	75.64	94.01	40.93	59.97	80.57	34.75	39.79	76.17	81.14	55.49	41.81	63.45	40.93	59.13	41.52	69.52	62.12	41.22	35.25	52.82	84.63	95.34	37.59	63.0	50.98	63.89	60.39	20.56	63.0	98.73	45.21	49.91	186.4	25.54
ZNF284	25.35	47.17	25.72	19.68	27.05	94.67	5.82	53.19	19.82	24.63	22.59	13.93	9.56	22.92	12.18	14.78	15.56	16.88	11.55	14.56	13.83	39.22	6.84	5.11	29.48	21.47	29.06	13.83	11.73	16.39	10.63	17.13	17.0	5.5	20.26	9.93	27.44	7.4	29.7	6.78	9.85	19.25	5.77	22.75	24.46	15.11	9.48	38.95	6.89	18.16	16.75	19.68	21.16	27.05	5.73	10.47	3.29	7.34	8.65	9.27	7.06	19.68	13.03	20.26	4.5	6.36	6.16	3.69	8.38	10.39	10.16	2.32	17.9	6.01	34.51	36.27	40.07	8.92	42.71	44.57	34.02	59.13	71.5	22.92	38.95	17.9	14.78	25.91	33.54	50.27	25.54	49.91	28.65	31.9	18.16	29.91	36.27	20.26	29.48	22.26	47.5	43.94	13.22	27.84	16.03	31.22	25.91	19.53	29.7	72.01	12.93	36.01	75.64	37.59
ZNF304	100.13	241.19	178.77	94.67	117.6	297.17	31.45	166.73	50.63	76.17	100.83	47.5	52.08	44.89	45.85	70.51	43.02	50.98	18.56	26.28	28.24	68.55	48.52	8.19	42.11	57.89	63.45	36.53	20.86	47.84	5.77	53.57	21.32	16.63	49.91	31.45	55.1	11.47	65.26	63.45	12.27	82.29	14.89	70.01	52.08	38.12	55.49	30.12	17.0	61.68	34.26	22.43	55.49	64.34	34.02	41.52	20.86	24.81	43.02	50.98	17.77	51.71	60.82	39.5	34.26	19.97	10.0	9.93	48.18	110.43	59.13	21.47	25.54	24.11	97.36	102.97	104.42	9.85	154.42	148.09	166.73	181.28	96.68	98.73	52.82	70.01	71.0	84.04	133.36	75.11	57.89	125.24	127.0	71.0	100.13	118.43	89.51	98.04	27.05	90.77	157.68	102.97	123.5	129.69	198.47	65.26	104.42	62.56	85.82	121.79	68.55	149.12	412.0	96.01
ZNF322	260.38	417.77	248.0	346.29	241.19	769.69	76.71	256.78	108.14	56.68	118.43	68.07	96.01	173.85	30.12	143.01	53.57	68.55	90.77	77.79	66.18	55.1	98.04	32.59	57.08	92.05	55.49	26.86	40.07	84.63	31.0	164.42	70.01	65.26	77.79	60.39	75.11	49.91	76.71	64.8	32.59	118.43	80.57	101.54	114.36	52.45	140.04	48.52	30.12	130.6	59.13	137.14	109.66	104.42	111.99	70.51	26.86	57.08	56.68	60.39	56.68	35.76	79.45	72.01	70.01	62.56	98.04	40.07	94.67	78.89	148.09	33.78	25.54	194.36	237.86	356.05	142.01	305.55	587.13	229.72	1001.93	138.1	153.34	126.12	872.1	158.79	136.19	242.88	253.23	226.54	159.9	70.51	128.79	141.02	178.77	476.71	224.97	136.19	24.63	201.25	332.14	332.14	108.9	115.97	128.79	153.34	208.38	460.44	155.5	183.82	172.65	194.36	1001.93	170.25
ZNF326	258.57	559.28	361.04	232.94	264.03	629.35	189.02	373.81	221.86	177.53	141.02	76.17	83.45	181.28	53.95	79.45	147.06	70.51	236.21	153.34	244.57	164.42	111.99	172.65	148.09	246.28	69.03	224.97	119.26	229.72	163.28	215.77	176.29	195.72	206.94	109.66	143.01	100.83	237.86	113.56	103.69	239.52	100.83	170.25	248.0	183.82	231.32	384.34	185.11	91.41	214.27	146.03	141.02	140.04	148.09	165.57	93.35	218.79	170.25	301.33	260.38	138.1	215.77	303.44	190.34	206.94	195.72	226.54	166.73	314.17	287.01	103.69	99.43	202.66	158.79	211.31	316.37	157.68	329.84	373.81	500.46	366.09	334.46	271.48	532.74	144.01	156.59	336.79	255.0	133.36	267.73	175.07	127.89	432.53	145.02	327.56	255.0	154.42	97.36	187.71	198.47	307.69	104.42	132.44	231.32	334.46	267.73	244.57	420.68	229.72	211.31	314.17	547.75	633.73
ZNF416	48.52	128.79	102.97	67.12	66.65	186.4	20.11	165.57	32.36	57.89	88.88	40.64	40.36	41.81	55.49	59.55	47.5	78.34	27.84	23.93	25.72	38.67	34.75	16.63	35.76	43.32	45.21	30.34	31.9	29.91	7.17	30.78	27.64	13.93	33.78	26.47	46.84	18.97	52.82	19.53	16.39	52.08	28.65	57.89	48.52	28.24	47.17	45.85	18.43	43.02	29.06	23.59	32.13	34.02	22.1	34.02	15.34	21.78	24.63	22.1	37.32	26.86	25.91	26.86	25.91	15.8	24.46	25.91	43.94	39.79	38.12	9.41	7.4	52.45	72.01	56.28	59.97	4.74	129.69	122.64	65.26	130.6	68.07	134.3	49.91	44.25	44.89	28.65	86.43	72.52	29.91	61.68	77.25	49.21	56.28	78.34	57.89	55.1	25.54	73.54	66.18	63.89	57.08	92.7	41.22	86.43	57.08	101.54	55.1	153.34	37.85	76.17	242.88	67.12
ZNF45	101.54	264.03	182.55	155.5	166.73	368.65	40.07	325.29	59.13	56.28	72.52	43.94	58.71	59.97	46.84	81.14	57.49	57.89	40.36	48.87	50.98	113.56	49.56	28.45	67.12	60.82	64.8	35.5	31.22	62.56	26.47	87.65	59.55	22.1	63.45	37.85	100.13	25.54	62.12	30.56	21.47	74.58	30.12	105.15	63.45	47.5	44.57	92.05	32.13	75.64	50.63	54.33	58.71	95.34	31.9	55.49	18.84	46.5	52.82	38.95	30.56	88.26	77.79	51.71	90.14	34.75	42.71	17.77	108.14	44.57	52.08	31.9	18.84	66.65	100.83	78.34	132.44	98.04	183.82	162.14	217.27	153.34	75.11	138.1	255.0	77.25	94.01	84.04	220.32	140.04	54.33	147.06	127.0	120.1	161.02	170.25	115.16	195.72	112.77	175.07	181.28	147.06	136.19	209.84	107.38	146.03	68.55	76.17	143.01	146.03	102.25	142.01	429.54	115.97
ZNF461	81.71	157.68	127.89	74.06	60.39	291.04	17.13	100.13	63.45	64.8	66.65	34.75	48.18	38.12	36.53	41.52	47.84	36.79	15.8	43.94	47.5	49.91	36.01	8.0	52.82	40.64	77.25	26.47	18.43	70.51	7.4	47.5	31.45	14.35	67.12	30.12	61.68	27.84	68.07	57.89	11.82	76.71	31.22	52.08	42.41	23.42	48.52	129.69	25.17	55.1	32.13	38.12	40.07	60.39	15.56	35.76	7.46	25.17	40.93	17.25	32.13	26.67	24.63	40.64	31.9	25.17	22.43	21.78	27.84	63.0	26.28	4.17	21.01	18.56	178.77	133.36	95.34	47.84	201.25	126.12	103.69	103.69	140.04	62.56	96.01	91.41	72.01	91.41	78.34	132.44	30.78	130.6	43.32	49.56	40.36	70.01	74.58	63.45	43.63	50.63	100.83	161.02	43.94	119.26	134.3	84.04	80.57	48.87	38.67	122.64	72.01	111.99	237.86	78.34
ZNF528	334.46	497.0	301.33	167.9	262.2	595.34	6.16	371.22	301.33	273.37	170.25	123.5	169.07	183.82	91.41	189.02	109.66	131.51	52.45	35.5	24.81	275.28	65.26	11.38	94.01	139.07	90.77	74.58	13.62	76.17	18.84	138.1	8.78	12.93	100.13	11.73	25.91	70.01	27.44	24.81	26.67	133.36	25.35	37.05	157.68	61.25	127.89	32.59	37.32	158.79	45.85	22.59	98.73	100.83	19.25	35.0	17.0	42.71	52.08	78.89	105.89	31.22	121.79	229.72	90.77	29.48	22.92	23.59	66.18	72.52	142.01	21.01	50.63	24.28	301.33	579.04	285.03	237.86	947.83	327.56	332.14	624.99	248.0	127.89	133.36	176.29	242.88	224.97	218.79	205.5	265.87	289.02	113.56	281.09	151.22	264.03	325.29	82.87	95.34	204.07	226.54	409.15	182.55	299.25	295.11	591.22	262.2	34.02	67.12	497.0	231.32	316.37	1051.79	161.02
ZNF543	51.35	98.73	66.65	44.25	35.25	140.04	9.56	72.01	29.06	26.67	50.98	18.29	24.63	33.54	17.51	35.76	25.91	28.45	7.69	15.91	15.34	29.06	27.05	11.73	23.59	29.06	28.65	10.08	5.68	13.03	1.66	29.48	13.03	9.7	21.32	19.53	29.27	9.93	28.45	29.7	7.69	30.34	9.41	29.06	31.67	14.67	29.48	27.25	11.21	30.34	16.15	17.77	25.17	34.26	17.13	16.88	5.41	12.55	7.28	15.45	22.43	16.75	9.27	15.22	14.89	10.0	7.22	9.93	22.1	28.04	17.25	10.55	12.0	8.06	33.78	49.91	36.79	2.66	156.59	80.57	73.03	71.5	42.11	47.84	55.89	27.64	31.0	45.21	36.27	40.07	25.91	42.11	29.7	54.33	32.13	50.27	58.3	29.91	4.31	43.63	54.72	60.39	31.67	37.59	28.86	44.89	36.79	52.82	53.95	85.22	25.17	51.71	289.02	40.07
ZNF550	71.0	232.94	107.38	85.82	62.56	275.28	48.18	195.72	70.01	42.71	78.34	29.48	30.56	41.81	18.97	54.33	31.67	32.82	28.65	22.92	37.32	111.21	47.84	7.11	75.11	57.89	75.11	43.02	27.25	74.06	7.17	76.71	43.63	18.7	105.15	48.52	80.01	25.91	60.39	9.7	21.16	131.51	26.1	100.13	52.08	37.59	88.88	66.65	19.97	63.0	40.64	56.68	57.49	59.97	39.5	25.17	10.71	16.63	12.83	38.12	58.3	47.5	67.12	52.45	34.51	44.89	38.12	12.93	36.53	90.14	42.41	14.45	37.32	33.3	62.56	105.89	79.45	6.41	132.44	77.79	115.16	198.47	114.36	73.03	132.44	57.08	36.27	86.43	58.71	118.43	54.72	67.12	40.64	87.65	38.12	100.13	117.6	77.79	25.91	46.18	125.24	102.97	42.11	51.71	121.79	80.57	54.72	75.11	152.28	193.01	47.84	79.45	318.57	84.04
ZNF567	119.26	209.84	122.64	96.01	67.12	195.72	44.25	151.22	74.58	41.22	70.51	35.76	34.02	57.08	24.63	24.63	46.5	22.26	48.18	23.93	39.22	81.14	49.21	16.63	30.56	62.12	84.04	43.32	38.12	70.51	41.22	78.89	31.0	72.01	72.52	44.25	96.68	19.97	49.91	47.17	46.5	76.71	32.82	53.19	33.06	41.52	38.12	112.77	37.85	49.56	55.1	60.39	64.34	98.04	38.12	50.63	55.1	66.18	44.89	57.89	64.8	71.0	82.29	47.17	73.54	61.68	63.89	41.22	52.82	74.58	75.11	30.34	43.32	71.0	123.5	187.71	72.52	69.03	232.94	100.13	149.12	148.09	144.01	124.37	170.25	72.52	88.88	130.6	80.57	96.01	66.65	108.9	59.55	90.14	83.45	85.22	124.37	83.45	41.81	100.13	78.89	142.01	30.34	53.95	132.44	138.1	114.36	42.11	98.73	204.07	85.82	93.35	327.56	107.38
ZNF571	59.55	140.04	71.5	108.14	48.52	232.94	28.45	66.18	62.56	52.82	40.07	44.25	34.75	43.02	23.59	31.22	42.71	62.12	22.59	25.72	23.08	48.18	24.81	2.84	31.9	27.84	57.49	24.11	19.53	34.26	11.04	49.21	32.82	16.39	25.72	23.76	53.95	13.52	35.76	33.54	19.11	88.88	19.53	49.21	32.59	29.48	24.63	81.14	16.88	33.06	44.57	32.59	39.22	53.95	14.03	40.93	13.42	24.99	18.43	53.57	35.0	24.46	31.0	22.75	36.01	37.59	25.17	36.01	21.16	43.63	46.5	30.56	35.5	25.54	80.57	105.89	82.87	41.22	103.69	85.82	87.03	85.22	58.71	127.89	124.37	47.84	42.41	107.38	35.76	81.71	77.79	61.68	40.36	52.08	16.51	70.01	73.54	44.25	39.22	42.41	95.34	129.69	14.14	74.06	88.26	66.18	40.93	5.19	22.75	94.67	63.0	114.36	142.01	59.13
ZNF623	172.65	420.68	248.0	583.07	223.41	620.67	76.17	287.01	87.03	55.49	119.26	49.56	68.55	96.01	73.03	111.99	69.03	85.82	229.72	67.12	98.73	105.15	166.73	108.9	77.25	118.43	199.85	83.45	77.79	72.52	78.34	126.12	81.14	161.02	164.42	123.5	87.65	61.68	109.66	103.69	60.82	241.19	145.02	135.24	161.02	44.57	199.85	285.03	130.6	187.71	134.3	198.47	193.01	132.44	139.07	60.39	26.86	50.27	48.18	76.17	88.88	39.22	63.45	76.71	39.5	34.51	69.52	55.89	71.0	73.54	118.43	10.96	27.25	87.03	189.02	127.89	133.36	68.55	629.35	373.81	395.18	149.12	363.56	170.25	460.44	71.0	63.45	144.01	143.01	208.38	173.85	150.17	96.68	183.82	133.36	173.85	157.68	122.64	94.01	137.14	201.25	264.03	132.44	149.12	98.04	164.42	142.01	180.02	156.59	157.68	85.82	186.4	775.05	195.72
ZNF701	41.22	221.86	117.6	93.35	98.73	173.85	38.67	88.26	58.71	41.81	53.95	21.63	29.91	57.08	8.19	25.35	28.65	27.64	11.21	9.48	7.94	59.55	8.38	4.54	7.17	12.64	6.94	9.93	3.59	23.42	3.32	41.22	5.06	2.76	44.89	25.35	9.34	7.22	4.74	2.07	10.88	70.51	3.82	3.53	37.32	10.96	23.59	10.47	2.63	48.87	16.27	8.71	33.78	13.72	6.84	20.86	3.82	8.92	9.7	10.88	2.23	11.38	13.22	21.63	26.86	0.89	4.43	15.34	10.96	25.91	23.25	9.7	10.63	2.14	35.0	72.52	66.65	199.85	307.69	102.97	86.43	119.26	56.28	126.12	86.43	68.07	69.52	70.01	91.41	118.43	85.82	58.71	60.82	80.01	48.87	135.24	130.6	37.85	41.22	82.87	146.03	178.77	65.26	92.7	46.5	114.36	81.71	11.3	19.82	89.51	66.65	105.15	351.14	71.0
ZNF765	102.25	170.25	120.1	138.1	101.54	56.68	33.78	183.82	54.33	42.11	54.72	21.63	31.67	64.8	11.47	24.28	28.65	17.9	37.59	44.89	38.4	85.22	44.25	11.64	43.02	44.57	55.89	25.91	25.91	54.72	25.54	68.55	40.36	23.42	51.71	42.41	48.52	36.53	54.33	24.11	18.56	93.35	28.45	44.25	51.71	19.25	127.0	115.97	19.53	60.39	41.81	39.5	40.93	64.8	28.04	40.93	5.68	34.02	24.99	35.76	43.32	18.97	26.67	41.52	19.68	23.76	40.36	45.53	37.05	95.34	46.5	23.42	24.63	31.45	98.73	143.01	83.45	109.66	256.78	96.01	153.34	164.42	107.38	108.14	165.57	98.04	74.06	72.01	111.99	110.43	135.24	98.73	98.73	98.73	89.51	94.01	105.15	76.17	47.84	65.72	142.01	133.36	91.41	134.3	127.0	90.14	88.88	30.78	94.01	157.68	75.64	62.12	514.56	96.01
ZNF772	41.81	134.3	106.63	61.68	54.72	33.54	0.38	138.1	42.71	40.64	40.07	41.81	44.89	48.87	26.47	55.1	34.75	44.89	9.34	23.93	7.51	30.34	14.24	5.54	28.24	27.05	39.22	12.27	8.25	19.97	4.24	22.92	18.56	5.87	28.45	11.55	24.99	2.81	36.79	13.42	8.85	57.08	6.11	44.89	22.26	12.45	50.98	7.57	9.48	31.67	9.27	8.32	29.91	16.39	10.16	10.31	8.19	8.51	32.59	28.65	17.51	10.55	27.84	19.68	40.07	19.82	7.28	6.06	34.51	40.93	52.82	21.94	14.35	15.11	78.34	64.8	59.55	3.92	45.85	118.43	108.9	115.97	74.58	46.5	90.14	33.3	24.46	32.36	108.14	142.01	61.25	44.89	54.72	53.19	52.08	98.73	39.5	19.97	16.88	50.27	77.79	139.07	67.12	68.55	27.25	69.03	55.89	42.71	74.58	127.89	37.85	77.79	563.18	114.36
ZNF773	68.55	215.77	148.09	100.13	101.54	186.4	30.56	206.94	48.18	80.01	105.89	40.93	49.21	65.26	54.33	69.03	55.1	57.89	26.28	18.56	29.48	105.15	57.08	5.54	30.12	72.01	85.82	59.13	45.53	39.22	5.63	22.59	8.65	7.82	15.56	57.49	76.71	11.21	70.01	14.67	24.46	100.13	15.34	90.77	46.18	33.54	85.82	61.25	4.46	34.02	42.71	15.22	47.84	38.95	15.34	19.25	11.21	12.45	41.81	18.97	64.34	53.57	92.7	46.84	44.57	59.97	22.75	7.75	42.41	102.97	27.84	21.94	44.57	5.11	93.35	72.52	117.6	5.41	110.43	121.79	151.22	241.19	156.59	121.79	100.13	53.57	53.19	193.01	93.35	178.77	94.01	69.03	68.07	106.63	47.5	72.52	89.51	92.05	20.11	85.82	126.12	177.53	29.48	77.25	153.34	116.78	78.34	49.91	119.26	88.26	69.03	127.0	361.04	63.0
ZNF776	75.64	327.56	133.36	125.24	158.79	329.84	59.97	265.87	88.88	63.45	110.43	50.98	65.72	63.0	60.82	85.22	66.65	92.05	32.36	57.08	67.59	98.04	57.08	50.27	49.91	81.71	98.73	48.87	53.95	43.63	34.75	88.26	54.33	45.85	91.41	59.55	96.01	44.57	111.21	66.65	38.67	134.3	42.41	140.04	100.83	54.72	133.36	142.01	25.35	98.04	75.64	53.19	60.82	84.63	40.93	69.52	35.0	61.25	92.7	105.89	68.07	59.97	126.12	88.26	99.43	80.01	99.43	44.57	76.71	187.71	129.69	40.64	42.71	81.14	117.6	161.02	103.69	9.7	189.02	177.53	212.78	218.79	183.82	197.09	182.55	98.04	108.9	103.69	143.01	165.57	124.37	164.42	134.3	162.14	155.5	167.9	155.5	96.68	100.13	155.5	194.36	239.52	121.79	113.56	108.9	212.78	158.79	86.43	189.02	381.68	68.55	189.02	624.99	108.9
