	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
SRRT	2148.82	3589.58	4450.27	723.08	616.37	1583.71	1477.58	1268.46	708.18	2178.83	890.44	854.13	890.44	1059.11	954.43	1519.15	1127.35	1697.45	1605.83	1331.57	1757.34	1369.04	1208.34	1059.11	1519.15	2018.8	1427.22	1594.73	796.86	1167.14	1674.06	1572.76	1340.84	1259.69	1331.57	1378.57	1304.15	1662.49	1268.46	1457.23	1304.15	1030.12	1268.46	718.08	860.08	780.44	884.29	1540.37	1313.23	1088.92	1088.92	813.63	1183.45	1081.39	759.08	1175.27	656.11	1583.71	934.76	866.07	909.17	698.41	2224.63	2573.36	2148.82	1806.78	4512.4	2367.9	4152.18	2434.5	2591.27	3349.13	3018.3	2163.77	2319.15	2351.53	878.17	1369.04	1662.49	2434.5	3928.15	1259.69	1286.18	1427.22	974.5	1857.6	1457.23	2976.74	2287.2	4419.52	2645.74	1183.45
SRSF11	3515.68	5366.37	4066.71	466.88	511.0	1250.98	1030.12	551.56	287.01	2090.03	312.0	1037.29	161.02	791.35	368.65	414.87	688.78	239.52	1208.34	872.1	1583.71	775.05	819.3	1295.13	1008.9	915.51	703.28	928.3	1059.11	921.88	1369.04	961.07	1397.83	698.41	514.56	1498.22	2303.12	848.22	813.63	1605.83	1015.93	878.17	743.43	191.67	579.04	341.51	698.41	1769.57	1950.0	1225.22	785.88	915.51	616.37	769.69	536.45	1015.93	518.15	1295.13	693.58	417.77	785.88	563.18	3901.01	3060.45	2367.9	2835.7	2384.37	3639.7	5112.16	3146.52	2956.17	2400.97	3742.05	1674.06	3124.78	3146.52	1340.84	3103.19	1639.59	3124.78	2193.99	1605.83	1250.98	1794.29	3874.05	6037.61	1259.69	3212.66	3212.66	4575.41	2032.85	2075.59
SRSF4	2287.2	2573.36	2104.58	441.64	748.61	1304.15	1561.89	1183.45	660.68	2133.97	728.11	1199.98	967.76	743.43	941.27	1151.06	1427.22	1233.75	1111.82	651.58	1286.18	791.35	753.83	1127.35	1447.15	872.1	974.5	698.41	620.67	872.1	1059.11	808.0	1250.98	1051.79	825.0	1151.06	1605.83	1340.84	1167.14	1081.39	1191.69	1242.34	981.29	866.07	753.83	647.07	1008.9	1447.15	1378.57	1037.29	1277.29	665.29	674.59	1015.93	669.92	981.29	842.36	1397.83	1051.79	896.64	728.11	796.86	2367.9	1639.59	2367.9	1674.06	2075.59	2287.2	1508.65	1909.85	2485.67	2209.26	1685.71	1030.12	1794.29	1896.65	1037.29	2163.77	1127.35	1883.54	1617.0	1407.55	1447.15	1268.46	1769.57	2240.11	860.08	2163.77	2163.77	3349.13	1467.37	1378.57
SSBP3-AS1	13.62	11.91	5.59	5.19	0.0	2.63	3.17	2.58	0.82	1.81	0.0	0.89	0.0	0.72	0.4	1.06	1.53	0.0	1.85	2.46	6.16	7.34	3.06	8.45	6.11	4.66	0.0	7.75	0.0	1.68	4.74	8.32	3.38	8.0	3.5	8.78	4.86	0.0	2.61	7.17	2.18	2.68	3.06	0.0	0.0	0.0	1.91	12.36	26.47	2.84	0.49	0.47	4.54	2.14	0.0	9.56	0.91	4.7	4.86	0.85	2.27	1.06	18.16	5.87	5.59	5.87	14.03	47.84	53.19	13.93	10.31	15.34	13.42	5.63	13.93	18.03	4.46	20.86	6.21	12.18	4.46	4.9	5.77	9.27	19.82	19.11	0.0	10.47	8.32	18.03	6.78	1.97
STX16	1096.5	1977.24	1617.0	177.53	457.25	708.18	599.49	454.09	237.86	1159.07	262.2	493.56	178.77	429.54	279.14	281.09	325.29	201.25	603.67	400.71	420.68	414.87	283.05	1008.9	480.04	460.44	507.46	497.0	368.65	444.72	579.04	500.46	500.46	323.03	348.71	429.54	529.06	202.66	624.99	607.87	525.39	447.82	323.03	165.57	237.86	127.0	397.93	450.94	242.88	279.14	764.36	341.51	444.72	299.25	348.71	191.67	253.23	651.58	507.46	262.2	301.33	297.17	1519.15	1350.18	842.36	1225.22	1143.1	1519.15	1350.18	1208.34	1467.37	1498.22	1417.35	974.5	1183.45	1369.04	432.53	3443.31	703.28	1540.37	674.59	438.59	1268.46	587.13	819.3	1051.79	403.5	1037.29	842.36	1242.34	1030.12	674.59
SUN1	2090.03	1340.84	2240.11	507.46	567.1	1259.69	1191.69	738.29	651.58	1639.59	473.41	848.22	647.07	633.73	698.41	1183.45	1529.73	909.17	915.51	928.3	1331.57	718.08	567.1	1001.93	466.88	808.0	660.68	563.18	500.46	525.39	1059.11	764.36	518.15	819.3	447.82	463.65	947.83	656.11	587.13	896.64	808.0	775.05	457.25	708.18	483.38	417.77	612.11	454.09	679.29	571.05	525.39	483.38	473.41	532.74	483.38	497.0	463.65	961.07	656.11	647.07	325.29	397.93	1909.85	2400.97	1417.35	1295.13	1340.84	1936.53	1551.09	1991.0	2502.97	1304.15	1950.0	974.5	1242.34	1551.09	802.41	2609.3	583.07	1617.0	791.35	947.83	638.15	1191.69	1208.34	1447.15	1127.35	1936.53	1477.58	2434.5	1388.16	934.76
TAF1C	967.76	1407.55	1896.65	193.01	264.03	825.0	718.08	309.83	363.56	1313.23	454.09	329.84	287.01	563.18	423.61	679.29	356.05	447.82	381.68	320.8	379.04	291.04	264.03	373.81	265.87	228.13	381.68	336.79	314.17	379.04	305.55	271.48	299.25	221.86	167.9	368.65	529.06	198.47	397.93	395.18	429.54	633.73	287.01	291.04	167.9	99.43	305.55	327.56	249.73	353.59	473.41	248.0	255.0	403.5	204.07	438.59	265.87	423.61	447.82	329.84	234.57	329.84	1369.04	669.92	995.0	1111.82	934.76	1183.45	928.3	1183.45	1081.39	1268.46	1127.35	656.11	1015.93	1651.0	242.88	2075.59	629.35	2303.12	825.0	934.76	595.34	928.3	819.3	780.44	214.27	1096.5	890.44	830.75	974.5	480.04
TARBP1	890.44	878.17	967.76	145.02	223.41	412.0	414.87	244.57	242.88	612.11	202.66	289.02	142.01	273.37	177.53	297.17	221.86	189.02	674.59	356.05	780.44	616.37	129.69	603.67	503.95	1208.34	438.59	595.34	172.65	361.04	785.88	796.86	642.59	473.41	511.0	665.29	612.11	490.14	890.44	392.44	503.95	457.25	327.56	72.01	92.7	93.35	132.44	118.43	187.71	114.36	417.77	176.29	180.02	96.01	106.63	191.67	93.35	466.88	86.43	64.8	81.14	78.89	1183.45	1277.29	612.11	775.05	780.44	764.36	1127.35	1119.56	884.29	514.56	1819.35	293.07	629.35	1447.15	314.17	1135.2	381.68	660.68	647.07	647.07	429.54	718.08	559.28	934.76	1104.13	599.49	1225.22	1225.22	1551.09	447.82
TBC1D8	780.44	303.44	384.34	142.01	155.5	299.25	316.37	218.79	90.14	521.76	122.64	323.03	158.79	90.14	248.0	229.72	348.71	232.94	320.8	249.73	343.89	223.41	297.17	368.65	279.14	583.07	114.36	476.71	320.8	226.54	269.6	327.56	271.48	312.0	198.47	323.03	785.88	163.28	320.8	293.07	269.6	305.55	264.03	167.9	223.41	124.37	215.77	162.14	1487.87	293.07	189.02	237.86	348.71	275.28	214.27	476.71	212.78	403.5	265.87	248.0	353.59	183.82	483.38	241.19	444.72	348.71	693.58	698.41	836.53	353.59	753.83	1477.58	599.49	414.87	1733.13	651.58	197.09	1909.85	92.7	836.53	221.86	457.25	291.04	400.71	1477.58	346.29	271.48	559.28	555.41	447.82	536.45	246.28
TCERG1	872.1	1331.57	1151.06	104.42	146.03	514.56	642.59	237.86	147.06	723.08	164.42	381.68	75.11	389.72	177.53	155.5	201.25	149.12	490.14	277.2	497.0	334.46	289.02	480.04	309.83	620.67	343.89	363.56	117.6	246.28	381.68	563.18	563.18	295.11	293.07	503.95	575.03	454.09	507.46	450.94	457.25	297.17	232.94	39.5	94.67	119.26	128.79	332.14	414.87	212.78	441.64	116.78	142.01	138.1	169.07	361.04	98.73	293.07	109.66	155.5	163.28	83.45	896.64	660.68	563.18	769.69	775.05	928.3	954.43	878.17	708.18	1295.13	769.69	423.61	698.41	890.44	307.69	563.18	660.68	532.74	796.86	371.22	525.39	432.53	466.88	961.07	318.57	1044.52	651.58	1331.57	1001.93	429.54
TELO2	1135.2	1340.84	1721.16	159.9	518.15	813.63	638.15	518.15	890.44	988.12	896.64	429.54	543.96	384.34	665.29	1066.48	412.0	743.43	780.44	848.22	480.04	819.3	651.58	547.75	674.59	503.95	1143.1	860.08	329.84	748.61	1088.92	1304.15	547.75	540.19	713.11	507.46	941.27	1044.52	651.58	825.0	902.89	830.75	769.69	397.93	215.77	199.85	376.41	638.15	493.56	320.8	723.08	450.94	607.87	327.56	379.04	329.84	301.33	928.3	336.79	291.04	563.18	198.47	1088.92	1407.55	1081.39	884.29	1551.09	1104.13	819.3	1191.69	1313.23	890.44	1037.29	679.29	1259.69	1286.18	264.03	507.46	660.68	1175.27	733.19	612.11	941.27	518.15	346.29	808.0	299.25	981.29	1199.98	1709.26	1143.1	406.31
TNRC18	1437.15	718.08	665.29	412.0	206.94	679.29	435.55	571.05	387.02	785.88	327.56	223.41	368.65	397.93	547.75	543.96	1143.1	688.78	429.54	363.56	450.94	371.22	563.18	429.54	629.35	941.27	318.57	314.17	267.73	211.31	387.02	336.79	341.51	353.59	265.87	591.22	1286.18	228.13	1286.18	327.56	423.61	583.07	301.33	275.28	271.48	191.67	409.15	144.01	323.03	307.69	267.73	260.38	98.04	336.79	127.89	417.77	642.59	503.95	669.92	301.33	204.07	327.56	1023.0	967.76	988.12	796.86	802.41	679.29	802.41	1259.69	947.83	426.57	647.07	733.19	791.35	974.5	329.84	1135.2	629.35	1447.15	341.51	559.28	748.61	1051.79	1417.35	1242.34	329.84	532.74	934.76	1407.55	387.02	454.09
TOP3B	368.65	703.28	633.73	79.45	143.01	264.03	217.27	175.07	151.22	341.51	187.71	115.16	171.45	312.0	177.53	409.15	204.07	218.79	218.79	285.03	269.6	239.52	193.01	159.9	189.02	435.55	211.31	232.94	147.06	193.01	293.07	237.86	236.21	194.36	198.47	162.14	325.29	143.01	209.84	258.57	297.17	223.41	190.34	136.19	109.66	87.03	114.36	182.55	130.6	163.28	323.03	132.44	134.3	198.47	138.1	147.06	105.15	273.37	153.34	120.1	96.01	195.72	616.37	514.56	457.25	379.04	444.72	567.1	624.99	563.18	457.25	389.72	1583.71	287.01	559.28	540.19	123.5	392.44	529.06	387.02	397.93	242.88	332.14	318.57	215.77	358.54	291.04	493.56	371.22	921.88	400.71	186.4
TRA2A	2351.53	2367.9	1709.26	713.11	363.56	1359.57	1508.65	866.07	329.84	1561.89	406.31	563.18	262.2	813.63	400.71	872.1	825.0	555.41	1268.46	669.92	941.27	738.29	490.14	1037.29	638.15	703.28	947.83	759.08	698.41	679.29	791.35	764.36	819.3	387.02	486.75	738.29	967.76	612.11	620.67	1286.18	1051.79	441.64	684.02	289.02	540.19	412.0	819.3	848.22	638.15	540.19	921.88	860.08	915.51	551.56	753.83	698.41	540.19	1096.5	981.29	915.51	620.67	497.0	2255.7	1745.2	1757.34	2520.38	1844.76	1991.0	2075.59	2609.3	2224.63	1407.55	1936.53	1487.87	1104.13	2018.8	1359.57	2004.85	1674.06	1733.13	1540.37	1605.83	1143.1	1697.45	1508.65	1794.29	1044.52	1769.57	1397.83	2816.11	1832.01	1745.2
TRMT2A	1242.34	2119.22	2224.63	387.02	339.14	1044.52	769.69	688.78	521.76	1127.35	532.74	417.77	629.35	518.15	432.53	836.53	660.68	796.86	1111.82	928.3	1397.83	1088.92	995.0	909.17	791.35	1583.71	1529.73	1540.37	884.29	1259.69	2367.9	1639.59	1088.92	669.92	1331.57	1088.92	995.0	1662.49	988.12	974.5	1135.2	1313.23	1143.1	738.29	567.1	356.05	583.07	1001.93	1066.48	775.05	723.08	718.08	890.44	674.59	647.07	660.68	493.56	1427.22	563.18	599.49	1059.11	470.14	1651.0	2502.97	1639.59	1304.15	1745.2	1628.26	1407.55	1498.22	1757.34	1378.57	2777.33	1066.48	1617.0	1745.2	567.1	802.41	1135.2	1216.75	1662.49	1104.13	1159.07	1268.46	470.14	866.07	1242.34	1225.22	1427.22	2133.97	1183.45	1066.48
TSC2	1359.57	1322.37	1369.04	579.04	1096.5	995.0	1135.2	974.5	1832.01	1023.0	1529.73	961.07	1096.5	896.64	1745.2	1268.46	872.1	961.07	1191.69	1477.58	684.02	1417.35	1369.04	1135.2	1250.98	981.29	1037.29	1259.69	647.07	1066.48	1561.89	1572.76	733.19	769.69	1159.07	1709.26	2004.85	848.22	1583.71	1167.14	1023.0	1447.15	1233.75	698.41	532.74	205.5	470.14	819.3	575.03	1088.92	934.76	559.28	693.58	638.15	698.41	688.78	575.03	1639.59	733.19	457.25	813.63	575.03	1745.2	1832.01	1350.18	1359.57	1923.14	1594.73	878.17	1733.13	2537.92	1183.45	1806.78	1340.84	1709.26	1594.73	511.0	2335.28	928.3	2816.11	1313.23	1081.39	1437.15	1651.0	791.35	1322.37	346.29	1104.13	1183.45	2645.74	1111.82	703.28
TTC14	595.34	1167.14	723.08	176.29	118.43	414.87	493.56	153.34	98.73	429.54	67.59	178.77	49.21	177.53	27.84	151.22	82.87	86.43	228.13	171.45	295.11	170.25	86.43	186.4	285.03	204.07	229.72	273.37	312.0	178.77	426.57	159.9	159.9	170.25	157.68	229.72	309.83	185.11	239.52	312.0	332.14	318.57	249.73	55.49	149.12	96.68	251.48	220.32	228.13	182.55	258.57	236.21	190.34	206.94	204.07	291.04	166.73	384.34	264.03	131.51	194.36	191.67	813.63	457.25	612.11	647.07	591.22	575.03	1015.93	551.56	775.05	325.29	563.18	567.1	616.37	796.86	264.03	571.05	460.44	460.44	651.58	327.56	242.88	361.04	447.82	463.65	299.25	507.46	346.29	753.83	884.29	463.65
TTC17	1369.04	1135.2	483.38	198.47	371.22	651.58	607.87	612.11	297.17	884.29	389.72	551.56	217.27	612.11	521.76	406.31	713.11	334.46	743.43	743.43	954.43	638.15	403.5	802.41	629.35	1233.75	624.99	679.29	708.18	616.37	490.14	703.28	866.07	1208.34	624.99	890.44	463.65	693.58	928.3	764.36	808.0	587.13	525.39	371.22	698.41	285.03	842.36	743.43	633.73	928.3	723.08	764.36	669.92	674.59	713.11	878.17	728.11	1073.91	947.83	723.08	559.28	723.08	1697.45	1044.52	1119.56	1331.57	1191.69	1417.35	1088.92	1794.29	1175.27	1096.5	1427.22	1167.14	1457.23	1437.15	638.15	2193.99	703.28	1242.34	909.17	967.76	583.07	961.07	1991.0	995.0	638.15	1073.91	669.92	718.08	915.51	780.44
U2AF1L4	607.87	1909.85	1225.22	387.02	226.54	480.04	620.67	536.45	221.86	551.56	301.33	251.48	417.77	381.68	287.01	429.54	334.46	473.41	743.43	457.25	693.58	470.14	228.13	447.82	483.38	583.07	371.22	703.28	217.27	555.41	890.44	327.56	603.67	320.8	403.5	343.89	229.72	353.59	423.61	624.99	612.11	283.05	371.22	215.77	356.05	95.34	264.03	599.49	555.41	356.05	406.31	518.15	283.05	583.07	503.95	351.14	291.04	529.06	409.15	318.57	669.92	258.57	1127.35	813.63	866.07	723.08	1447.15	866.07	791.35	703.28	967.76	647.07	830.75	1225.22	866.07	743.43	486.75	1066.48	384.34	941.27	753.83	441.64	620.67	656.11	1059.11	521.76	802.41	713.11	521.76	1313.23	769.69	656.11
USF1	1304.15	2796.65	1617.0	532.74	376.41	1143.1	1191.69	1233.75	525.39	974.5	633.73	532.74	674.59	629.35	703.28	1191.69	860.08	1268.46	1883.54	1561.89	1963.57	1208.34	612.11	1561.89	1437.15	1819.35	1769.57	1250.98	733.19	896.64	2451.44	2485.67	1467.37	995.0	1540.37	1051.79	1135.2	1350.18	1551.09	1561.89	1583.71	1030.12	1467.37	441.64	518.15	438.59	759.08	656.11	988.12	651.58	693.58	525.39	665.29	532.74	941.27	1111.82	409.15	981.29	503.95	633.73	1104.13	314.17	2119.22	2627.46	2119.22	2335.28	2075.59	2287.2	1628.26	2303.12	1977.24	1745.2	2915.45	1304.15	1572.76	2609.3	1127.35	2468.49	1331.57	1832.01	1936.53	1551.09	1397.83	1417.35	2451.44	1883.54	1295.13	1639.59	1417.35	1832.01	2537.92	1870.53
USP48	656.11	848.22	406.31	223.41	232.94	353.59	339.14	325.29	190.34	432.53	234.57	339.14	139.07	381.68	279.14	239.52	336.79	154.42	316.37	246.28	454.09	279.14	249.73	242.88	325.29	239.52	176.29	181.28	256.78	242.88	406.31	316.37	204.07	281.09	220.32	327.56	587.13	379.04	208.38	307.69	323.03	329.84	289.02	155.5	201.25	193.01	269.6	275.28	217.27	279.14	307.69	293.07	181.28	309.83	234.57	307.69	218.79	289.02	279.14	183.82	241.19	279.14	620.67	476.71	872.1	486.75	571.05	860.08	397.93	633.73	802.41	638.15	607.87	409.15	579.04	607.87	348.71	848.22	791.35	547.75	603.67	460.44	358.54	483.38	1225.22	738.29	356.05	575.03	860.08	878.17	507.46	420.68
USP49	59.13	63.89	63.89	10.79	12.45	27.64	19.25	15.68	7.06	38.95	10.96	10.71	9.34	19.39	15.22	9.2	26.1	8.85	21.16	21.47	23.76	23.25	15.22	30.78	24.28	26.28	13.72	15.8	9.7	15.11	20.41	16.88	27.44	12.83	15.8	27.25	32.36	10.63	25.72	26.86	20.11	16.88	11.82	1.91	6.41	2.78	12.27	9.78	7.4	10.39	9.06	11.04	11.91	7.22	17.77	15.68	6.67	17.64	19.68	6.57	2.34	10.31	70.51	58.3	40.93	57.89	289.02	48.87	102.97	59.55	49.91	67.12	120.1	57.89	61.68	76.17	28.24	119.26	34.02	53.57	33.3	37.32	38.4	28.86	68.55	84.63	20.71	43.63	63.45	56.68	46.84	33.3
WDR26	915.51	1259.69	1191.69	429.54	412.0	669.92	536.45	769.69	476.71	738.29	514.56	555.41	503.95	825.0	718.08	521.76	728.11	503.95	612.11	684.02	961.07	738.29	373.81	1081.39	759.08	836.53	514.56	454.09	559.28	414.87	693.58	830.75	954.43	620.67	738.29	860.08	1167.14	444.72	1208.34	651.58	780.44	679.29	490.14	299.25	312.0	620.67	409.15	441.64	579.04	293.07	514.56	403.5	312.0	417.77	299.25	967.76	392.44	536.45	796.86	525.39	651.58	314.17	1037.29	974.5	769.69	1044.52	633.73	780.44	961.07	1447.15	802.41	483.38	1023.0	842.36	1081.39	1119.56	928.3	2047.0	1001.93	1073.91	909.17	848.22	878.17	825.0	1721.16	1685.71	1216.75	1037.29	1388.16	1487.87	1111.82	1001.93
XPO6	1794.29	3303.0	2400.97	660.68	1617.0	1721.16	1617.0	1991.0	1745.2	1883.54	1628.26	1277.29	1540.37	1096.5	1561.89	1757.34	1457.23	1286.18	1519.15	1950.0	1216.75	1781.89	1167.14	1151.06	1378.57	738.29	1519.15	1208.34	988.12	1313.23	1628.26	1870.53	738.29	1081.39	1950.0	967.76	1407.55	1697.45	1259.69	1111.82	1883.54	1268.46	1477.58	728.11	796.86	633.73	791.35	1572.76	1015.93	878.17	1369.04	759.08	775.05	708.18	808.0	1088.92	647.07	1001.93	693.58	961.07	884.29	733.19	2075.59	4450.27	2451.44	2090.03	2855.44	2209.26	1832.01	2739.08	2573.36	1923.14	2240.11	1369.04	4543.8	2104.58	1477.58	4671.57	1313.23	1909.85	1350.18	1233.75	2209.26	1127.35	2004.85	2367.9	1583.71	2468.49	2956.17	3515.68	2240.11	1417.35
ZBTB17	723.08	1304.15	947.83	215.77	267.73	579.04	567.1	493.56	297.17	518.15	376.41	346.29	438.59	221.86	397.93	563.18	351.14	579.04	412.0	389.72	563.18	387.02	400.71	269.6	480.04	426.57	532.74	305.55	234.57	353.59	651.58	507.46	376.41	400.71	265.87	376.41	571.05	909.17	454.09	503.95	470.14	536.45	532.74	316.37	228.13	201.25	339.14	387.02	599.49	275.28	409.15	204.07	403.5	307.69	371.22	348.71	176.29	457.25	258.57	271.48	358.54	244.57	1015.93	1127.35	981.29	759.08	1397.83	947.83	738.29	941.27	1073.91	1359.57	1001.93	438.59	743.43	954.43	309.83	1030.12	384.34	769.69	753.83	551.56	693.58	493.56	796.86	738.29	279.14	1331.57	967.76	1277.29	1001.93	514.56
ZFC3H1	607.87	1467.37	764.36	45.21	110.43	409.15	423.61	144.01	82.29	563.18	146.03	180.02	39.22	165.57	65.26	100.13	173.85	105.89	281.09	170.25	253.23	124.37	107.38	215.77	285.03	194.36	218.79	169.07	96.01	162.14	271.48	194.36	237.86	152.28	180.02	236.21	244.57	164.42	397.93	339.14	287.01	132.44	212.78	31.45	72.52	38.4	144.01	159.9	156.59	102.25	191.67	92.05	96.68	155.5	105.15	91.41	75.64	246.28	187.71	99.43	70.01	100.83	785.88	423.61	616.37	693.58	457.25	1159.07	579.04	555.41	532.74	521.76	708.18	255.0	466.88	748.61	164.42	764.36	343.89	373.81	371.22	269.6	327.56	208.38	547.75	759.08	120.94	1359.57	341.51	638.15	603.67	384.34
ZNF117	201.25	171.45	159.9	14.89	9.27	73.54	53.57	18.29	16.15	96.68	8.38	27.05	24.63	16.15	9.41	44.57	20.71	22.26	36.79	22.75	48.52	9.41	4.21	30.56	35.5	51.35	45.85	15.0	9.93	12.27	17.38	17.13	36.27	24.63	21.01	26.47	36.27	6.78	34.75	33.54	32.13	20.71	16.51	4.46	11.38	27.25	22.59	12.0	21.16	20.26	42.41	10.31	46.5	22.92	29.48	22.59	24.11	31.0	59.97	5.63	8.92	21.47	166.73	186.4	226.54	228.13	318.57	669.92	79.45	187.71	194.36	52.82	638.15	92.7	579.04	412.0	67.59	177.53	103.69	341.51	97.36	119.26	124.37	114.36	100.13	169.07	16.39	244.57	102.25	441.64	131.51	108.14
ZNF169	80.01	180.02	67.59	9.27	10.0	36.27	31.22	29.27	18.16	62.56	9.7	18.56	16.51	18.56	20.26	17.51	26.28	13.42	23.25	18.97	20.71	8.45	9.93	16.27	19.25	39.5	14.78	8.85	8.19	14.67	33.3	18.7	16.51	10.16	29.06	12.83	34.75	5.54	28.65	19.39	43.63	18.03	11.73	5.41	12.74	0.14	5.68	7.57	8.51	15.22	12.93	27.64	17.51	26.28	6.89	12.55	8.06	15.8	21.16	17.25	8.58	6.31	88.26	79.45	77.79	71.0	49.21	145.02	63.89	91.41	86.43	105.89	105.89	27.64	78.89	126.12	31.45	97.36	50.63	91.41	61.68	56.68	66.18	77.25	60.82	94.01	30.34	83.45	36.27	58.71	100.83	43.32
ZNF224	376.41	532.74	239.52	62.12	72.52	181.28	122.64	96.68	40.93	255.0	50.63	105.89	36.01	186.4	105.89	56.68	147.06	36.79	117.6	100.13	231.32	75.64	76.71	212.78	127.0	201.25	75.11	84.04	109.66	80.57	118.43	74.06	198.47	74.58	63.89	161.02	108.14	37.85	150.17	189.02	152.28	99.43	83.45	40.93	77.25	27.44	104.42	108.14	144.01	87.03	120.1	118.43	82.29	63.0	39.5	68.55	69.03	223.41	102.97	60.82	124.37	67.12	532.74	297.17	397.93	444.72	171.45	563.18	379.04	417.77	379.04	389.72	532.74	265.87	607.87	480.04	142.01	624.99	218.79	417.77	281.09	215.77	186.4	423.61	476.71	336.79	80.57	334.46	253.23	312.0	260.38	209.84
