	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
ERI3	1037.29	1111.82	947.83	921.88	1023.0	915.51	954.43	738.29	1037.29	860.08	759.08	769.69	728.11	1397.83	1447.15	1519.15	2240.11	2119.22	1977.24	1417.35	1216.75	1832.01	1242.34	1551.09	1378.57	1407.55	2061.24	1883.54	1467.37	1806.78	1216.75	1950.0	1709.26	1397.83	1733.13	1295.13	1437.15	1594.73	1617.0	1662.49	1551.09	1832.01	1561.89	1583.71	2287.2	1685.71	1304.15	2104.58	2018.8	1909.85	1769.57	1605.83	1674.06	1508.65	1950.0	1721.16	1697.45	1857.6	1950.0	2148.82	1662.49	1883.54	1617.0	1697.45	1519.15	1407.55	1857.6	1870.53	1322.37	1697.45	1662.49	1417.35	1685.71	1369.04	1216.75	1832.01	1662.49	2148.82	1417.35	1437.15	1437.15	1685.71	1628.26	2816.11	2178.83	1529.73	2032.85	1709.26	1896.65	1295.13	1651.0	2061.24	1806.78	1757.34	2075.59	1639.59	1561.89	1819.35	2018.8	1870.53	1977.24	1508.65	1628.26	2384.37	1508.65	1651.0	1417.35	1685.71	2047.0	1794.29	1936.53	1977.24	2104.58	1662.49	1551.09	1313.23	1806.78	1508.65	1781.89	1572.76	1757.34	1551.09	1467.37	1286.18	2004.85	1350.18	2178.83	1605.83	1572.76	1259.69	1832.01	1498.22	2209.26	1883.54	1277.29	2090.03	1447.15	1437.15	1322.37	1407.55	1844.76	1769.57	2075.59	1572.76	2133.97	2061.24	2090.03	1519.15	2240.11	2163.77	1977.24	1639.59	4639.29	2032.85	2148.82	2004.85	1477.58	2384.37	1936.53	1781.89	1709.26	1819.35	1794.29	1844.76	1437.15	2047.0	1781.89	1508.65	1340.84	2255.7	2178.83	1540.37	1757.34	1322.37
FAM110A	190.34	215.77	63.45	156.59	176.29	111.99	143.01	85.82	267.73	125.24	132.44	79.45	69.03	353.59	500.46	669.92	555.41	785.88	507.46	400.71	314.17	713.11	201.25	444.72	363.56	351.14	738.29	507.46	583.07	921.88	153.34	599.49	693.58	599.49	540.19	493.56	454.09	656.11	540.19	547.75	514.56	642.59	540.19	476.71	647.07	438.59	343.89	551.56	486.75	403.5	647.07	651.58	748.61	460.44	595.34	376.41	432.53	595.34	638.15	651.58	629.35	679.29	297.17	551.56	507.46	426.57	500.46	444.72	361.04	285.03	642.59	323.03	688.78	353.59	341.51	503.95	684.02	507.46	493.56	232.94	371.22	656.11	753.83	486.75	915.51	361.04	866.07	679.29	647.07	332.14	674.59	400.71	392.44	753.83	808.0	514.56	490.14	563.18	500.46	571.05	947.83	559.28	444.72	934.76	629.35	400.71	392.44	555.41	343.89	154.42	902.89	665.29	1051.79	764.36	884.29	376.41	647.07	866.07	674.59	490.14	444.72	587.13	275.28	325.29	872.1	429.54	866.07	414.87	753.83	400.71	575.03	595.34	830.75	616.37	441.64	1088.92	316.37	480.04	603.67	312.0	967.76	264.03	698.41	866.07	547.75	775.05	684.02	316.37	486.75	579.04	518.15	567.1	947.83	559.28	595.34	567.1	967.76	583.07	743.43	780.44	688.78	698.41	540.19	511.0	493.56	543.96	629.35	381.68	283.05	521.76	612.11	426.57	387.02	441.64
FAM173A	167.9	170.25	149.12	78.89	125.24	111.21	55.1	32.13	56.28	228.13	15.0	96.01	59.13	379.04	454.09	503.95	1015.93	780.44	555.41	579.04	197.09	884.29	397.93	733.19	323.03	466.88	825.0	738.29	738.29	616.37	267.73	743.43	802.41	571.05	579.04	426.57	620.67	819.3	607.87	693.58	432.53	532.74	493.56	397.93	1111.82	373.81	325.29	665.29	866.07	555.41	723.08	642.59	878.17	412.0	688.78	633.73	703.28	775.05	785.88	915.51	607.87	616.37	264.03	796.86	785.88	368.65	708.18	624.99	480.04	551.56	848.22	381.68	808.0	493.56	454.09	718.08	733.19	616.37	454.09	285.03	397.93	785.88	1044.52	947.83	1259.69	384.34	759.08	660.68	915.51	323.03	532.74	1111.82	363.56	679.29	813.63	555.41	708.18	647.07	775.05	878.17	1030.12	521.76	764.36	718.08	567.1	395.18	441.64	529.06	825.0	466.88	587.13	457.25	928.3	791.35	748.61	341.51	656.11	307.69	860.08	642.59	599.49	647.07	212.78	260.38	684.02	348.71	872.1	551.56	703.28	293.07	620.67	435.55	1199.98	438.59	358.54	796.86	329.84	559.28	366.09	262.2	1216.75	708.18	693.58	1044.52	915.51	674.59	848.22	353.59	836.53	656.11	974.5	780.44	961.07	1096.5	723.08	728.11	947.83	866.07	703.28	961.07	780.44	684.02	603.67	400.71	358.54	679.29	728.11	470.14	384.34	376.41	780.44	384.34	318.57	297.17
FAM195A	149.12	117.6	139.07	127.0	169.07	140.04	69.03	67.12	77.25	150.17	15.0	57.08	113.56	555.41	703.28	753.83	1909.85	1572.76	571.05	679.29	371.22	1457.23	500.46	974.5	450.94	674.59	2271.4	1008.9	902.89	961.07	358.54	1350.18	1066.48	988.12	842.36	547.75	896.64	1498.22	921.88	1104.13	450.94	1015.93	769.69	579.04	1819.35	651.58	521.76	1135.2	1233.75	718.08	1066.48	1378.57	2816.11	633.73	921.88	988.12	1030.12	1350.18	796.86	1950.0	713.11	848.22	332.14	1159.07	1088.92	753.83	1583.71	1233.75	647.07	854.13	1250.98	603.67	1457.23	1216.75	769.69	780.44	819.3	1225.22	941.27	713.11	651.58	1447.15	1286.18	2976.74	2271.4	575.03	934.76	723.08	2224.63	441.64	1167.14	1651.0	915.51	981.29	1088.92	764.36	1757.34	1313.23	954.43	1051.79	1427.22	728.11	1508.65	1628.26	1066.48	511.0	612.11	915.51	1369.04	872.1	866.07	728.11	1561.89	1519.15	1268.46	507.46	759.08	414.87	1183.45	1397.83	1322.37	981.29	412.0	332.14	1628.26	389.72	1359.57	674.59	1159.07	507.46	1159.07	629.35	2163.77	896.64	575.03	1183.45	483.38	896.64	1088.92	555.41	1857.6	819.3	1081.39	995.0	1674.06	1369.04	1073.91	693.58	1447.15	915.51	1331.57	796.86	1350.18	1819.35	1119.56	1685.71	1745.2	1909.85	1191.69	884.29	1066.48	1378.57	583.07	376.41	417.77	638.15	915.51	460.44	500.46	603.67	1167.14	409.15	423.61	314.17
FAM195B	1369.04	1143.1	1216.75	872.1	1191.69	1286.18	836.53	1088.92	1001.93	1233.75	88.88	96.01	180.02	1605.83	1909.85	2178.83	4358.66	2976.74	2367.9	1388.16	1794.29	3325.99	1697.45	2004.85	1909.85	2004.85	2720.15	2855.44	2335.28	3419.52	1407.55	3146.52	2537.92	2451.44	2609.3	1583.71	2163.77	2875.3	2537.92	2555.58	1963.57	2796.65	1639.59	1819.35	2915.45	2555.58	2061.24	2720.15	2816.11	2777.33	2502.97	3124.78	3982.99	2075.59	2935.74	2367.9	3325.99	3716.2	3235.01	3820.7	2555.58	3124.78	1733.13	2720.15	2271.4	1417.35	2875.3	2468.49	1674.06	2004.85	2163.77	1697.45	2895.31	2434.5	2090.03	3018.3	2303.12	1950.0	1529.73	1963.57	2047.0	3395.89	2178.83	2627.46	3794.3	2178.83	3146.52	2335.28	3467.27	1639.59	2417.67	3901.01	2287.2	3690.52	3589.58	2335.28	1427.22	2061.24	3257.52	2720.15	3690.52	2209.26	2537.92	4512.4	1936.53	1832.01	1721.16	1844.76	3146.52	2193.99	1832.01	2835.7	3190.46	2935.74	2739.08	2104.58	2796.65	2335.28	2777.33	2627.46	2682.69	1819.35	1208.34	1674.06	3395.89	1832.01	3847.29	2351.53	3467.27	1819.35	2739.08	2075.59	3665.02	2384.37	1467.37	2119.22	2209.26	2163.77	2163.77	1733.13	3491.39	2178.83	3419.52	2335.28	3955.48	3212.66	2434.5	1883.54	2573.36	2367.9	2855.44	2664.15	3955.48	3794.3	3060.45	3690.52	3190.46	3928.15	3540.14	2591.27	2468.49	2956.17	2816.11	2502.97	2178.83	3349.13	3257.52	2451.44	2240.11	3325.99	3325.99	2417.67	2739.08	1605.83
FAM50A	813.63	525.39	860.08	194.36	595.34	1359.57	281.09	616.37	842.36	796.86	1340.84	660.68	713.11	1427.22	1909.85	1857.6	2976.74	3168.41	1896.65	2720.15	1519.15	2720.15	1551.09	1950.0	1208.34	1529.73	3716.2	2119.22	2047.0	2303.12	1350.18	2997.45	1991.0	2119.22	2018.8	1508.65	2271.4	2133.97	2255.7	2384.37	1605.83	2720.15	1551.09	1519.15	2835.7	1844.76	1457.23	1950.0	3168.41	2758.13	2119.22	2240.11	3491.39	1487.87	2255.7	1794.29	3124.78	3060.45	2209.26	2417.67	2075.59	2287.2	1268.46	2303.12	2032.85	1088.92	2627.46	2163.77	1628.26	2004.85	2645.74	1487.87	2720.15	1540.37	1819.35	1628.26	2075.59	1674.06	1127.35	1369.04	1359.57	2997.45	2997.45	3901.01	3018.3	1519.15	2537.92	1936.53	3540.14	1359.57	2739.08	2303.12	2104.58	2701.35	2555.58	2417.67	2163.77	1594.73	2895.31	2520.38	2537.92	2018.8	2451.44	3124.78	1674.06	1529.73	1551.09	1923.14	2367.9	1745.2	1806.78	1883.54	2976.74	2537.92	2209.26	1378.57	2133.97	1709.26	2434.5	2303.12	2209.26	2417.67	1417.35	1572.76	4066.71	1407.55	2796.65	1674.06	2720.15	1242.34	2434.5	1662.49	3235.01	1950.0	1369.04	2816.11	1397.83	1936.53	1427.22	1295.13	3614.55	1991.0	2468.49	2796.65	2032.85	2119.22	2193.99	1447.15	2777.33	1806.78	2303.12	2240.11	2682.69	3395.89	2104.58	4095.0	3665.02	3443.31	3018.3	2485.67	2609.3	2627.46	1639.59	1427.22	1639.59	2367.9	2104.58	1498.22	1427.22	2271.4	1963.57	1639.59	1457.23	1183.45
FAM58A	368.65	348.71	303.44	283.05	309.83	341.51	351.14	358.54	218.79	191.67	318.57	414.87	356.05	483.38	381.68	521.76	769.69	878.17	674.59	633.73	376.41	656.11	417.77	473.41	361.04	480.04	1023.0	633.73	679.29	591.22	363.56	748.61	684.02	571.05	688.78	432.53	620.67	890.44	638.15	599.49	454.09	728.11	470.14	490.14	954.43	486.75	351.14	642.59	693.58	616.37	819.3	595.34	688.78	400.71	796.86	514.56	633.73	698.41	688.78	825.0	579.04	679.29	466.88	708.18	514.56	403.5	567.1	629.35	532.74	848.22	674.59	547.75	603.67	525.39	497.0	559.28	532.74	688.78	536.45	529.06	500.46	514.56	723.08	733.19	1001.93	438.59	733.19	688.78	624.99	376.41	503.95	1015.93	397.93	684.02	802.41	536.45	616.37	860.08	708.18	866.07	713.11	518.15	665.29	703.28	470.14	521.76	376.41	543.96	607.87	483.38	511.0	543.96	866.07	603.67	438.59	536.45	514.56	559.28	559.28	703.28	384.34	688.78	356.05	500.46	769.69	532.74	791.35	616.37	616.37	403.5	599.49	438.59	836.53	536.45	381.68	642.59	429.54	638.15	547.75	395.18	785.88	651.58	743.43	921.88	607.87	638.15	748.61	414.87	679.29	723.08	947.83	713.11	723.08	728.11	688.78	591.22	563.18	988.12	633.73	764.36	547.75	571.05	769.69	529.06	555.41	733.19	764.36	620.67	473.41	665.29	748.61	587.13	612.11	583.07
FAM98C	205.5	206.94	109.66	205.5	228.13	154.42	151.22	214.27	124.37	156.59	77.79	77.25	118.43	435.55	518.15	497.0	1096.5	1104.13	583.07	429.54	426.57	753.83	412.0	836.53	341.51	525.39	785.88	633.73	563.18	559.28	373.81	656.11	738.29	633.73	764.36	454.09	713.11	743.43	567.1	842.36	555.41	723.08	450.94	447.82	1037.29	518.15	493.56	684.02	674.59	669.92	723.08	836.53	961.07	503.95	536.45	854.13	808.0	698.41	638.15	669.92	633.73	638.15	409.15	684.02	583.07	543.96	915.51	490.14	575.03	753.83	1037.29	656.11	848.22	612.11	529.06	543.96	551.56	599.49	599.49	470.14	551.56	848.22	753.83	1001.93	878.17	429.54	551.56	674.59	819.3	423.61	713.11	954.43	476.71	656.11	660.68	669.92	713.11	532.74	785.88	848.22	819.3	503.95	791.35	753.83	612.11	466.88	503.95	629.35	579.04	587.13	567.1	559.28	599.49	759.08	830.75	497.0	620.67	842.36	703.28	738.29	693.58	688.78	332.14	444.72	802.41	470.14	878.17	503.95	872.1	493.56	629.35	559.28	890.44	651.58	406.31	620.67	371.22	693.58	703.28	406.31	890.44	595.34	728.11	934.76	473.41	567.1	872.1	547.75	679.29	620.67	785.88	612.11	813.63	974.5	575.03	967.76	890.44	638.15	688.78	698.41	693.58	854.13	559.28	624.99	493.56	708.18	616.37	575.03	414.87	579.04	612.11	514.56	412.0	400.71
FASTK	642.59	669.92	587.13	547.75	616.37	536.45	426.57	339.14	320.8	392.44	171.45	334.46	400.71	1159.07	1447.15	1857.6	3060.45	3820.7	1781.89	2004.85	1111.82	2502.97	1183.45	1721.16	934.76	1359.57	3665.02	1977.24	2104.58	2148.82	1023.0	2303.12	2090.03	1651.0	1832.01	1286.18	1794.29	2193.99	1883.54	1769.57	1417.35	1977.24	1477.58	1199.98	2645.74	1628.26	1073.91	1923.14	2367.9	2739.08	2627.46	2163.77	3589.58	1437.15	2178.83	1870.53	2367.9	2664.15	1923.14	2090.03	2178.83	2271.4	1066.48	1991.0	1819.35	1191.69	2664.15	1540.37	1583.71	1806.78	2287.2	1427.22	2417.67	1923.14	1628.26	1617.0	2119.22	1909.85	1832.01	1066.48	1183.45	2240.11	2915.45	2701.35	2739.08	1487.87	1794.29	1991.0	2451.44	1135.2	1963.57	3124.78	1437.15	2400.97	2075.59	1923.14	2664.15	2163.77	2047.0	2303.12	2875.3	1870.53	1617.0	3372.43	1388.16	1277.29	1286.18	1857.6	2271.4	1551.09	2090.03	1397.83	2537.92	2133.97	2018.8	1378.57	1963.57	2451.44	2271.4	2417.67	1674.06	2090.03	967.76	1127.35	5076.84	1322.37	2287.2	1721.16	2400.97	1378.57	2193.99	1551.09	3212.66	2335.28	1135.2	2384.37	954.43	1745.2	1477.58	1073.91	4481.23	1519.15	2591.27	2816.11	4239.45	1896.65	2417.67	1304.15	2502.97	1781.89	2133.97	1950.0	3124.78	2997.45	1909.85	2796.65	2956.17	2701.35	3039.3	2061.24	2319.15	2047.0	1605.83	1322.37	1388.16	2271.4	1896.65	1359.57	1369.04	2193.99	1662.49	1250.98	1397.83	1104.13
FBXW5	733.19	674.59	848.22	529.06	813.63	780.44	457.25	400.71	486.75	447.82	164.42	244.57	289.02	1794.29	1628.26	1936.53	2537.92	3303.0	1923.14	2004.85	1295.13	2895.31	1605.83	1883.54	1313.23	2047.0	2609.3	2133.97	2287.2	2555.58	1295.13	2956.17	2018.8	2287.2	1963.57	2032.85	1721.16	2664.15	2485.67	2287.2	2075.59	2573.36	2018.8	1628.26	2468.49	1781.89	1457.23	2520.38	2720.15	2061.24	2193.99	2935.74	3168.41	1697.45	2434.5	2119.22	2627.46	2895.31	2400.97	2591.27	2573.36	3124.78	1259.69	2997.45	2591.27	1745.2	2319.15	1896.65	1407.55	2351.53	2133.97	1397.83	2367.9	2004.85	2047.0	2240.11	2875.3	2032.85	2178.83	1066.48	1529.73	2758.13	3280.18	1963.57	3419.52	1832.01	2255.7	2351.53	2018.8	1378.57	2384.37	2997.45	1721.16	2178.83	3325.99	2400.97	1883.54	3124.78	2627.46	2163.77	3395.89	2032.85	2224.63	3257.52	2417.67	2193.99	1819.35	1991.0	2193.99	1594.73	1963.57	2351.53	2915.45	2816.11	3146.52	1561.89	1923.14	3146.52	2591.27	2609.3	1832.01	1350.18	1030.12	1250.98	3847.29	1674.06	2520.38	2591.27	2537.92	2178.83	2645.74	2367.9	2739.08	2075.59	1757.34	1991.0	1662.49	2485.67	2271.4	1519.15	2816.11	2018.8	2739.08	2400.97	2485.67	2319.15	2287.2	1639.59	2915.45	2119.22	2417.67	2609.3	2739.08	2400.97	2627.46	2255.7	2645.74	2664.15	2777.33	2193.99	2133.97	2367.9	2104.58	1498.22	1709.26	2351.53	2591.27	2018.8	2271.4	1721.16	1991.0	1806.78	2209.26	1369.04
FDX1L	351.14	264.03	258.57	144.01	253.23	356.05	151.22	262.2	334.46	358.54	159.9	208.38	215.77	420.68	447.82	575.03	1073.91	981.29	674.59	540.19	305.55	733.19	323.03	587.13	327.56	532.74	1651.0	674.59	441.64	607.87	314.17	753.83	780.44	480.04	607.87	525.39	587.13	967.76	525.39	403.5	432.53	665.29	447.82	403.5	819.3	536.45	397.93	928.3	1037.29	629.35	733.19	656.11	813.63	373.81	651.58	579.04	830.75	921.88	723.08	1167.14	603.67	521.76	493.56	748.61	591.22	285.03	575.03	529.06	571.05	679.29	629.35	497.0	688.78	503.95	329.84	476.71	543.96	684.02	559.28	397.93	583.07	733.19	536.45	1037.29	941.27	291.04	688.78	529.06	842.36	327.56	490.14	1051.79	551.56	921.88	808.0	525.39	503.95	764.36	796.86	796.86	825.0	460.44	612.11	674.59	624.99	486.75	368.65	480.04	603.67	486.75	532.74	575.03	1001.93	713.11	473.41	500.46	559.28	325.29	866.07	693.58	480.04	764.36	348.71	466.88	1127.35	426.57	890.44	607.87	579.04	336.79	579.04	371.22	1044.52	543.96	379.04	633.73	373.81	521.76	361.04	339.14	1216.75	518.15	796.86	620.67	679.29	571.05	1119.56	420.68	738.29	802.41	665.29	583.07	1119.56	620.67	780.44	647.07	665.29	934.76	679.29	620.67	748.61	674.59	567.1	514.56	441.64	629.35	813.63	540.19	450.94	796.86	941.27	532.74	575.03	563.18
FLYWCH2	373.81	361.04	244.57	224.97	307.69	376.41	267.73	193.01	373.81	454.09	114.36	242.88	152.28	878.17	1030.12	1111.82	1331.57	1757.34	1167.14	813.63	718.08	1331.57	633.73	1127.35	780.44	928.3	1183.45	1457.23	1135.2	1467.37	490.14	1417.35	1286.18	1295.13	1268.46	878.17	866.07	1662.49	941.27	1427.22	961.07	1001.93	967.76	1001.93	1662.49	1081.39	759.08	1322.37	1159.07	1540.37	878.17	1388.16	1417.35	890.44	1397.83	1322.37	1378.57	1369.04	1583.71	1605.83	1304.15	866.07	738.29	1225.22	1259.69	693.58	1594.73	1135.2	808.0	1096.5	1583.71	1167.14	1498.22	866.07	995.0	1191.69	1030.12	1023.0	693.58	836.53	1008.9	1605.83	1551.09	1081.39	1936.53	785.88	1540.37	1216.75	1561.89	819.3	1015.93	2004.85	743.43	1674.06	2004.85	1183.45	1175.27	1167.14	1044.52	1191.69	1561.89	1191.69	1427.22	1295.13	1044.52	1015.93	802.41	1208.34	1295.13	928.3	848.22	1340.84	1794.29	1397.83	1111.82	642.59	1051.79	1991.0	1551.09	1175.27	1119.56	1225.22	612.11	890.44	1447.15	1051.79	1781.89	1175.27	1397.83	791.35	1437.15	947.83	1674.06	1259.69	764.36	1295.13	743.43	1037.29	1295.13	802.41	1583.71	1208.34	1819.35	1605.83	1757.34	1369.04	1199.98	733.19	1295.13	1135.2	1561.89	1572.76	1295.13	1561.89	1594.73	1529.73	1369.04	1685.71	1697.45	1605.83	1250.98	1378.57	1127.35	1467.37	1001.93	1936.53	1427.22	1159.07	947.83	1467.37	1378.57	1250.98	1208.34	1250.98
