	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
ZIK1	23.76	9.63	11.55	6.46	4.86	5.36	8.65	0.84	70.51	32.59	68.07	64.8	47.5	53.57	58.3	63.0	128.79	64.34	45.21	104.42	69.03	68.55	82.87	65.26	90.14	106.63	80.57	42.71	63.0	74.58	59.55	92.05	92.05	87.65	81.14	126.12	17.38	76.71	146.03	71.0	85.22	63.89	50.63	105.15	84.63	68.55	128.79	53.57	39.5	32.59	103.69	37.59	67.59	100.83	115.16	51.71	56.28	85.22	58.71	42.41	60.82	56.68	52.82	102.25	57.89	96.01	52.45	92.05	66.18	36.27	67.12	98.04	59.13	66.65	95.34	49.21	83.45	143.01	48.18	42.41	85.22	54.33	33.06	99.43	73.54	80.01	88.88	61.25	104.42	126.12	46.5	84.04	73.54	80.01	71.0	53.57	59.13	116.78	47.17	74.06	63.45	47.17
ZKSCAN8	8.19	60.39	37.32	50.27	39.5	50.63	24.46	13.52	153.34	114.36	154.42	202.66	135.24	84.63	185.11	171.45	231.32	107.38	70.51	236.21	156.59	190.34	253.23	204.07	205.5	281.09	231.32	126.12	142.01	206.94	152.28	251.48	223.41	209.84	215.77	291.04	105.89	167.9	309.83	190.34	218.79	215.77	84.04	237.86	202.66	186.4	285.03	150.17	98.73	96.68	305.55	143.01	159.9	218.79	234.57	133.36	191.67	208.38	186.4	89.51	140.04	183.82	126.12	248.0	177.53	248.0	182.55	277.2	129.69	120.94	185.11	251.48	102.97	158.79	205.5	126.12	193.01	279.14	125.24	191.67	186.4	141.02	136.19	279.14	220.32	124.37	239.52	151.22	209.84	397.93	178.77	202.66	191.67	199.85	193.01	148.09	149.12	291.04	127.89	161.02	129.69	135.24
ZMYND8	67.12	82.87	70.01	98.04	113.56	132.44	118.43	50.27	295.11	493.56	336.79	318.57	329.84	237.86	320.8	258.57	412.0	264.03	291.04	381.68	226.54	366.09	753.83	480.04	429.54	358.54	289.02	269.6	251.48	387.02	320.8	316.37	429.54	307.69	348.71	397.93	309.83	341.51	387.02	379.04	381.68	295.11	205.5	406.31	334.46	295.11	417.77	283.05	246.28	202.66	441.64	281.09	273.37	356.05	351.14	239.52	246.28	325.29	406.31	170.25	249.73	242.88	305.55	348.71	248.0	389.72	267.73	406.31	353.59	204.07	414.87	381.68	303.44	291.04	343.89	269.6	291.04	500.46	371.22	246.28	389.72	316.37	236.21	633.73	244.57	303.44	358.54	309.83	460.44	490.14	312.0	329.84	285.03	234.57	307.69	224.97	353.59	381.68	228.13	334.46	256.78	253.23
ZNF112	17.38	6.67	11.73	15.34	16.15	14.56	7.22	1.03	31.45	52.08	72.52	69.52	54.33	37.85	70.51	60.82	65.26	37.59	16.03	77.25	66.65	47.17	101.54	59.55	69.03	88.88	78.89	31.45	49.91	58.71	56.28	88.88	80.57	57.89	56.68	94.67	24.46	76.71	105.89	60.82	94.01	91.41	45.53	91.41	61.68	69.52	93.35	62.56	38.95	47.5	92.05	40.64	62.12	71.0	65.72	52.08	53.95	73.03	70.01	35.25	70.01	63.0	43.32	61.68	61.25	71.0	48.52	108.9	39.22	35.76	72.52	102.97	51.71	57.49	87.65	31.67	85.22	66.18	56.28	55.49	75.64	40.93	45.53	76.71	66.65	52.82	67.59	55.1	53.95	137.14	30.56	91.41	55.1	56.68	79.45	44.25	46.5	133.36	44.57	73.54	47.5	47.17
ZNF134	40.07	46.84	85.82	63.45	46.18	63.45	33.54	33.06	158.79	127.89	183.82	175.07	144.01	143.01	157.68	189.02	229.72	147.06	115.16	178.77	154.42	148.09	232.94	171.45	186.4	265.87	258.57	156.59	159.9	175.07	144.01	206.94	214.27	149.12	169.07	223.41	128.79	161.02	299.25	161.02	236.21	166.73	116.78	201.25	185.11	204.07	258.57	214.27	99.43	110.43	241.19	123.5	157.68	205.5	209.84	142.01	153.34	187.71	172.65	115.16	157.68	132.44	156.59	229.72	152.28	209.84	148.09	246.28	183.82	123.5	232.94	267.73	147.06	163.28	217.27	120.94	178.77	258.57	159.9	145.02	205.5	144.01	140.04	215.77	163.28	165.57	195.72	163.28	202.66	299.25	148.09	215.77	194.36	182.55	183.82	135.24	204.07	249.73	165.57	167.9	170.25	144.01
ZNF174	74.58	88.88	61.68	75.11	63.89	81.14	57.08	52.08	212.78	177.53	258.57	212.78	208.38	181.28	202.66	182.55	234.57	201.25	191.67	228.13	215.77	185.11	199.85	193.01	183.82	220.32	201.25	181.28	224.97	264.03	258.57	241.19	224.97	229.72	208.38	246.28	88.26	215.77	244.57	281.09	229.72	214.27	205.5	214.27	226.54	239.52	279.14	206.94	190.34	159.9	202.66	178.77	202.66	242.88	215.77	215.77	234.57	211.31	215.77	177.53	256.78	228.13	185.11	201.25	262.2	229.72	186.4	182.55	163.28	156.59	251.48	237.86	217.27	195.72	211.31	178.77	180.02	232.94	197.09	181.28	236.21	181.28	193.01	198.47	198.47	191.67	209.84	172.65	231.32	232.94	176.29	262.2	209.84	221.86	208.38	197.09	178.77	218.79	143.01	173.85	190.34	176.29
ZNF175	22.59	21.63	36.79	29.27	22.43	32.59	21.78	3.66	78.89	62.12	133.36	119.26	84.63	74.58	133.36	87.03	133.36	67.59	68.55	232.94	115.16	111.21	129.69	117.6	114.36	154.42	157.68	77.79	110.43	110.43	73.03	123.5	136.19	151.22	108.9	137.14	62.56	114.36	205.5	220.32	134.3	138.1	74.58	112.77	112.77	215.77	209.84	109.66	198.47	75.11	131.51	107.38	100.83	145.02	136.19	120.1	183.82	140.04	108.14	61.25	140.04	90.77	82.29	183.82	110.43	194.36	77.25	142.01	91.41	104.42	145.02	271.48	68.07	123.5	133.36	57.08	133.36	152.28	106.63	97.36	116.78	91.41	80.57	159.9	115.16	65.26	111.21	78.89	236.21	208.38	127.0	115.97	101.54	89.51	121.79	95.34	93.35	156.59	82.29	127.0	84.63	108.9
ZNF189	123.5	158.79	113.56	123.5	141.02	164.42	104.42	58.71	131.51	273.37	215.77	206.94	205.5	164.42	205.5	198.47	287.01	145.02	107.38	215.77	189.02	244.57	363.56	271.48	249.73	332.14	264.03	154.42	195.72	249.73	176.29	237.86	260.38	199.85	221.86	289.02	166.73	242.88	299.25	256.78	265.87	293.07	139.07	249.73	229.72	193.01	332.14	190.34	75.64	171.45	277.2	127.0	206.94	191.67	251.48	171.45	187.71	212.78	269.6	127.0	255.0	202.66	189.02	307.69	185.11	256.78	172.65	271.48	189.02	152.28	273.37	242.88	159.9	180.02	220.32	132.44	234.57	285.03	217.27	183.82	241.19	171.45	171.45	327.56	191.67	181.28	232.94	177.53	251.48	460.44	146.03	218.79	217.27	221.86	212.78	173.85	197.09	299.25	185.11	220.32	165.57	195.72
ZNF19	84.04	11.73	35.76	17.13	37.32	34.26	34.26	18.29	163.28	82.87	249.73	209.84	166.73	112.77	182.55	193.01	271.48	163.28	128.79	271.48	166.73	149.12	223.41	209.84	264.03	242.88	264.03	183.82	231.32	197.09	161.02	287.01	202.66	226.54	173.85	320.8	98.73	172.65	351.14	214.27	236.21	236.21	137.14	217.27	267.73	194.36	384.34	177.53	121.79	120.1	273.37	162.14	153.34	212.78	228.13	165.57	283.05	318.57	169.07	127.89	116.78	194.36	169.07	220.32	229.72	258.57	180.02	267.73	150.17	143.01	281.09	264.03	248.0	199.85	190.34	150.17	231.32	214.27	180.02	217.27	236.21	144.01	180.02	158.79	169.07	108.9	289.02	173.85	211.31	363.56	186.4	189.02	212.78	197.09	236.21	194.36	260.38	303.44	152.28	161.02	181.28	143.01
ZNF202	30.78	61.68	62.56	48.87	43.32	45.85	23.59	7.0	74.06	87.03	151.22	144.01	143.01	138.1	135.24	130.6	198.47	133.36	95.34	166.73	116.78	112.77	180.02	145.02	151.22	164.42	170.25	96.68	153.34	135.24	172.65	176.29	169.07	135.24	167.9	228.13	48.87	138.1	212.78	119.26	185.11	135.24	96.01	182.55	138.1	116.78	195.72	120.1	93.35	52.45	175.07	108.14	132.44	144.01	151.22	128.79	125.24	166.73	120.94	85.22	124.37	138.1	115.16	149.12	144.01	195.72	111.99	198.47	130.6	64.8	155.5	138.1	116.78	127.0	143.01	92.7	197.09	185.11	120.1	182.55	172.65	94.01	124.37	164.42	133.36	122.64	169.07	118.43	165.57	260.38	116.78	126.12	144.01	128.79	176.29	105.15	146.03	197.09	133.36	138.1	125.24	141.02
ZNF212	26.1	92.7	86.43	113.56	94.01	102.97	71.5	49.56	205.5	178.77	215.77	189.02	229.72	206.94	163.28	166.73	295.11	195.72	104.42	226.54	226.54	177.53	231.32	218.79	229.72	248.0	223.41	121.79	248.0	185.11	176.29	212.78	190.34	170.25	205.5	212.78	93.35	191.67	248.0	195.72	260.38	190.34	198.47	246.28	206.94	158.79	248.0	191.67	173.85	133.36	237.86	139.07	191.67	208.38	241.19	186.4	189.02	229.72	198.47	161.02	246.28	189.02	180.02	223.41	204.07	244.57	161.02	208.38	224.97	138.1	246.28	258.57	147.06	195.72	224.97	128.79	195.72	191.67	212.78	187.71	226.54	151.22	144.01	244.57	217.27	159.9	258.57	215.77	232.94	242.88	148.09	204.07	211.31	223.41	186.4	166.73	206.94	246.28	162.14	224.97	136.19	241.19
ZNF223	34.75	12.64	20.41	29.48	15.91	22.26	12.09	7.94	88.26	82.87	131.51	114.36	76.17	72.01	96.68	78.34	100.83	62.12	41.52	136.19	67.12	90.14	124.37	76.17	88.26	123.5	132.44	78.34	81.14	113.56	119.26	127.89	116.78	116.78	90.14	162.14	44.57	94.67	171.45	90.14	118.43	80.01	68.55	100.13	94.01	91.41	157.68	84.63	52.82	64.34	113.56	78.34	83.45	120.94	104.42	81.14	81.71	119.26	70.51	61.25	82.29	86.43	77.25	107.38	93.35	144.01	94.67	120.94	72.52	53.19	109.66	124.37	68.07	82.29	149.12	74.58	111.21	138.1	76.71	87.03	105.89	90.14	57.49	99.43	94.67	70.51	94.67	79.45	95.34	144.01	54.33	119.26	120.94	84.04	113.56	77.25	73.54	149.12	70.51	123.5	80.57	74.06
ZNF224	8.38	62.56	41.81	125.24	49.21	98.04	66.18	41.81	239.52	133.36	332.14	312.0	232.94	137.14	339.14	249.73	287.01	144.01	98.04	316.37	220.32	229.72	373.81	239.52	291.04	356.05	307.69	264.03	239.52	295.11	384.34	316.37	361.04	309.83	320.8	642.59	96.68	226.54	503.95	316.37	406.31	289.02	182.55	297.17	289.02	307.69	511.0	228.13	139.07	142.01	470.14	198.47	258.57	353.59	346.29	242.88	305.55	486.75	307.69	130.6	234.57	251.48	217.27	312.0	381.68	555.41	241.19	400.71	181.28	169.07	373.81	351.14	177.53	234.57	320.8	186.4	368.65	406.31	191.67	332.14	260.38	236.21	198.47	371.22	356.05	217.27	279.14	336.79	301.33	674.59	285.03	291.04	329.84	269.6	387.02	287.01	275.28	470.14	211.31	265.87	297.17	208.38
ZNF253	77.79	32.36	30.56	30.56	33.78	38.12	34.51	19.82	106.63	70.01	154.42	175.07	140.04	91.41	139.07	129.69	181.28	78.89	68.55	173.85	121.79	119.26	180.02	162.14	181.28	277.2	199.85	121.79	93.35	144.01	112.77	212.78	202.66	147.06	138.1	190.34	41.22	150.17	218.79	232.94	173.85	158.79	98.04	182.55	166.73	162.14	208.38	131.51	75.64	103.69	199.85	102.25	106.63	156.59	155.5	95.34	124.37	137.14	112.77	118.43	186.4	113.56	105.15	195.72	204.07	199.85	128.79	224.97	92.05	122.64	209.84	186.4	64.34	83.45	155.5	113.56	161.02	215.77	103.69	102.25	125.24	120.94	81.71	237.86	134.3	113.56	173.85	157.68	165.57	264.03	92.7	167.9	136.19	115.16	159.9	120.94	116.78	206.94	66.65	164.42	95.34	108.14
ZNF256	52.45	17.77	32.59	29.48	13.32	14.78	26.28	7.63	45.53	43.63	81.71	73.54	77.79	62.56	71.5	81.14	88.26	102.25	64.8	87.65	67.12	107.38	110.43	88.88	84.04	108.9	122.64	65.72	63.0	118.43	70.51	100.83	84.63	92.7	73.03	108.9	39.79	86.43	107.38	107.38	103.69	90.77	62.12	95.34	91.41	59.55	123.5	78.89	56.28	51.35	99.43	79.45	59.55	89.51	82.87	60.82	92.05	90.77	88.26	48.52	87.03	73.03	62.12	73.54	88.26	110.43	84.04	94.01	71.5	53.19	95.34	89.51	73.54	81.71	85.82	105.89	84.63	96.68	61.68	75.11	86.43	85.82	56.68	109.66	111.21	62.12	100.13	88.26	78.34	123.5	70.01	110.43	100.83	96.68	91.41	89.51	84.04	104.42	69.03	72.01	78.34	71.5
ZNF3	251.48	303.44	232.94	217.27	220.32	183.82	163.28	158.79	307.69	275.28	460.44	409.15	301.33	366.09	371.22	368.65	525.39	353.59	293.07	483.38	435.55	371.22	473.41	426.57	438.59	476.71	450.94	327.56	476.71	343.89	403.5	460.44	432.53	414.87	417.77	555.41	265.87	387.02	540.19	373.81	555.41	381.68	343.89	493.56	395.18	426.57	642.59	376.41	348.71	229.72	438.59	305.55	406.31	412.0	429.54	373.81	423.61	463.65	389.72	371.22	400.71	346.29	343.89	417.77	351.14	466.88	283.05	518.15	353.59	251.48	514.56	529.06	346.29	395.18	426.57	316.37	438.59	483.38	351.14	387.02	493.56	318.57	379.04	476.71	336.79	341.51	480.04	384.34	438.59	397.93	309.83	423.61	435.55	376.41	384.34	412.0	417.77	511.0	379.04	444.72	297.17	397.93
ZNF318	8.25	53.57	70.01	60.39	54.72	56.68	45.53	32.36	88.26	95.34	267.73	204.07	157.68	147.06	229.72	218.79	358.54	148.09	124.37	251.48	208.38	237.86	332.14	329.84	255.0	248.0	293.07	291.04	169.07	273.37	191.67	229.72	387.02	281.09	217.27	336.79	137.14	255.0	463.65	361.04	426.57	237.86	154.42	343.89	275.28	329.84	366.09	187.71	166.73	121.79	279.14	145.02	170.25	339.14	309.83	182.55	265.87	248.0	205.5	125.24	255.0	171.45	262.2	371.22	214.27	356.05	198.47	285.03	149.12	155.5	289.02	309.83	269.6	165.57	251.48	157.68	253.23	426.57	297.17	209.84	346.29	201.25	231.32	299.25	190.34	161.02	236.21	171.45	346.29	381.68	214.27	152.28	232.94	229.72	197.09	232.94	226.54	237.86	182.55	183.82	199.85	183.82
ZNF354C	1.57	4.24	6.67	5.41	6.26	9.63	2.92	1.83	18.84	30.12	59.97	42.41	30.56	25.54	43.94	38.12	70.01	28.86	15.34	67.59	45.85	47.5	68.07	51.71	56.28	85.22	66.65	24.11	41.81	48.87	30.56	62.56	100.83	44.89	38.12	82.29	22.92	56.28	94.67	45.53	57.49	38.12	29.27	62.56	49.21	53.95	67.12	38.4	24.81	29.06	81.71	20.86	36.53	54.33	69.03	34.75	43.02	50.63	43.63	33.3	42.71	34.75	34.26	64.8	37.05	58.3	33.3	71.5	27.05	20.41	57.08	71.5	23.08	39.79	61.25	27.84	59.13	76.71	34.75	33.78	57.08	25.17	32.82	60.82	37.85	32.36	61.68	43.02	76.17	119.26	29.91	49.21	46.5	36.01	45.21	31.45	36.79	95.34	28.04	43.63	35.25	26.47
ZNF362	30.78	264.03	157.68	112.77	94.01	114.36	69.52	81.14	507.46	612.11	518.15	454.09	414.87	426.57	351.14	409.15	642.59	397.93	406.31	575.03	571.05	575.03	457.25	450.94	454.09	447.82	587.13	244.57	486.75	529.06	400.71	579.04	511.0	543.96	507.46	555.41	267.73	387.02	500.46	490.14	551.56	397.93	351.14	511.0	567.1	450.94	591.22	483.38	329.84	309.83	551.56	318.57	432.53	476.71	497.0	376.41	420.68	543.96	583.07	500.46	555.41	403.5	384.34	518.15	633.73	624.99	423.61	435.55	409.15	583.07	583.07	555.41	366.09	438.59	417.77	412.0	379.04	540.19	457.25	483.38	620.67	368.65	325.29	532.74	529.06	379.04	599.49	503.95	529.06	480.04	426.57	473.41	460.44	432.53	312.0	376.41	397.93	493.56	351.14	493.56	293.07	435.55
ZNF407	12.36	40.07	56.68	36.01	35.76	35.5	38.67	27.64	63.0	43.02	81.71	65.26	75.11	64.8	57.89	66.65	107.38	71.0	70.01	80.01	76.71	81.71	82.29	77.25	87.65	98.04	80.57	58.71	80.57	44.89	59.97	70.51	91.41	71.0	86.43	88.88	70.51	80.01	111.99	75.11	79.45	64.8	55.1	92.7	81.71	85.82	88.26	66.65	55.89	57.89	100.83	55.89	71.5	81.14	108.14	50.27	71.0	82.87	80.01	66.65	90.77	56.68	63.45	102.97	90.14	98.73	59.55	93.35	80.01	67.59	88.88	102.25	82.87	68.55	77.25	69.03	59.13	116.78	90.14	65.72	106.63	59.97	56.28	90.14	60.39	65.26	81.71	70.01	105.15	105.89	80.57	79.45	73.03	70.51	69.03	66.18	85.22	96.01	65.26	77.79	49.56	79.45
ZNF432	62.56	16.27	38.67	25.35	26.1	36.53	27.25	18.43	120.1	90.14	239.52	152.28	197.09	107.38	148.09	144.01	206.94	150.17	103.69	262.2	177.53	177.53	232.94	217.27	236.21	267.73	251.48	162.14	226.54	220.32	143.01	220.32	214.27	165.57	182.55	264.03	132.44	187.71	314.17	232.94	182.55	198.47	149.12	182.55	242.88	246.28	291.04	162.14	108.14	87.03	253.23	92.7	130.6	209.84	195.72	165.57	204.07	226.54	164.42	164.42	198.47	166.73	144.01	239.52	186.4	267.73	176.29	281.09	91.41	132.44	234.57	312.0	111.99	127.89	208.38	150.17	159.9	244.57	178.77	190.34	267.73	169.07	106.63	206.94	190.34	137.14	236.21	182.55	248.0	329.84	146.03	206.94	173.85	221.86	169.07	171.45	180.02	346.29	154.42	198.47	135.24	170.25
ZNF440	29.7	25.17	21.78	20.11	17.38	33.3	11.3	7.46	71.0	93.35	61.25	64.8	41.52	44.25	66.18	46.84	73.03	49.91	30.56	66.65	51.71	45.85	75.64	52.82	63.89	82.87	82.87	39.5	44.89	75.11	59.97	69.03	81.14	74.58	62.12	105.89	24.28	63.0	115.16	52.82	96.68	62.56	41.22	69.52	62.56	63.45	95.34	56.68	26.86	47.17	77.25	33.78	57.89	69.52	69.52	37.59	64.34	82.29	54.33	62.12	65.72	55.49	63.89	73.03	66.18	100.83	64.34	81.14	52.45	43.32	70.01	90.77	44.25	44.25	85.22	43.32	73.54	96.68	39.5	69.03	58.71	52.08	42.41	70.01	77.79	47.5	61.68	62.12	67.59	114.36	65.72	78.89	64.34	55.89	69.03	51.35	53.95	103.69	43.02	53.19	48.52	54.33
ZNF445	3.89	29.48	25.72	31.67	26.86	42.71	23.42	27.84	76.71	32.82	64.34	54.72	42.11	43.94	63.89	53.95	83.45	39.79	33.06	99.43	57.89	55.89	100.83	63.45	65.26	93.35	72.01	35.0	47.5	60.82	57.49	73.03	87.65	64.8	74.58	102.25	32.59	66.65	131.51	53.95	80.01	62.12	35.5	85.22	55.49	65.26	88.88	60.82	42.11	52.08	85.82	36.79	68.07	78.34	82.87	46.18	57.89	92.05	69.52	45.21	51.35	52.82	48.18	96.01	58.71	104.42	54.33	96.68	56.28	42.11	69.52	102.25	55.49	59.13	81.71	48.87	59.97	121.79	48.87	55.1	70.51	37.32	46.18	85.22	61.25	49.21	74.58	55.1	81.14	129.69	60.39	65.72	60.39	52.82	71.5	46.5	55.89	99.43	53.19	62.56	53.57	54.72
ZNF454	0.39	1.13	0.62	1.2	5.11	0.77	2.89	0.0	5.28	6.62	30.78	33.06	24.63	20.26	35.5	31.45	37.59	26.67	22.43	56.28	43.63	24.63	36.27	20.26	35.25	37.32	32.59	31.67	27.84	42.11	36.27	38.12	39.5	37.59	36.27	43.63	14.03	26.67	65.72	30.56	43.63	34.26	24.46	35.0	23.59	44.25	37.05	29.48	8.38	17.77	29.27	25.91	28.86	50.27	37.59	24.46	38.4	37.32	27.64	30.78	26.47	35.5	19.25	47.84	20.11	52.82	35.0	39.5	30.34	24.81	34.02	53.19	19.53	33.78	31.9	33.06	35.0	53.57	26.1	29.48	32.82	30.78	31.0	33.54	40.64	34.02	34.75	44.57	35.5	64.8	21.78	27.05	37.59	29.27	34.75	39.22	25.54	43.32	33.3	23.59	32.59	28.86
ZNF462	13.72	43.94	17.64	10.96	10.39	17.77	19.25	1.71	70.51	102.97	208.38	205.5	132.44	108.14	176.29	141.02	258.57	140.04	159.9	327.56	217.27	172.65	281.09	209.84	289.02	327.56	309.83	167.9	170.25	220.32	134.3	229.72	334.46	251.48	277.2	262.2	120.1	162.14	392.44	217.27	253.23	197.09	127.0	283.05	209.84	232.94	285.03	157.68	68.55	88.88	339.14	134.3	156.59	249.73	256.78	109.66	305.55	212.78	165.57	105.89	218.79	154.42	148.09	301.33	149.12	287.01	204.07	291.04	205.5	137.14	246.28	329.84	163.28	161.02	236.21	189.02	151.22	438.59	198.47	171.45	206.94	117.6	115.16	323.03	201.25	149.12	267.73	204.07	287.01	432.53	262.2	193.01	189.02	154.42	159.9	171.45	212.78	339.14	163.28	162.14	157.68	167.9
ZNF502	15.45	13.52	42.11	21.94	15.56	19.25	12.45	1.64	58.3	120.94	125.24	88.26	88.88	66.18	180.02	81.71	115.97	90.14	34.26	129.69	81.71	94.67	128.79	94.67	108.9	143.01	109.66	49.56	85.22	88.88	78.89	109.66	116.78	72.52	94.01	107.38	47.5	90.14	135.24	87.65	121.79	117.6	72.52	113.56	115.16	105.15	136.19	72.01	61.68	46.18	115.97	67.59	82.29	74.58	94.01	73.54	94.01	116.78	76.71	58.71	93.35	114.36	59.55	111.21	86.43	137.14	77.79	120.94	76.17	40.93	115.16	115.97	60.39	81.71	108.9	53.57	114.36	101.54	102.25	72.52	106.63	52.45	73.54	111.21	86.43	70.51	108.14	104.42	87.03	185.11	65.26	108.9	96.01	88.26	119.26	61.25	71.0	146.03	100.13	103.69	80.01	82.29
ZNF528	176.29	22.92	65.72	63.89	35.5	47.5	24.99	21.01	289.02	95.34	447.82	346.29	291.04	327.56	460.44	518.15	423.61	414.87	293.07	633.73	329.84	339.14	366.09	409.15	392.44	511.0	409.15	426.57	336.79	267.73	392.44	500.46	423.61	371.22	441.64	651.58	267.73	325.29	567.1	381.68	466.88	368.65	346.29	423.61	400.71	470.14	791.35	334.46	307.69	316.37	493.56	368.65	334.46	409.15	368.65	343.89	567.1	571.05	332.14	217.27	305.55	293.07	353.59	532.74	329.84	466.88	397.93	603.67	381.68	231.32	480.04	409.15	251.48	466.88	384.34	314.17	543.96	555.41	226.54	351.14	381.68	323.03	343.89	435.55	412.0	384.34	493.56	281.09	500.46	872.1	395.18	346.29	387.02	309.83	529.06	384.34	429.54	460.44	420.68	312.0	525.39	234.57
