	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
SLC30A6	329.84	441.64	336.79	713.11	275.28	265.87	348.71	293.07	435.55	366.09	796.86	392.44	379.04	361.04	500.46	279.14	325.29	473.41	414.87	379.04	507.46	312.0	429.54	204.07	152.28	208.38	211.31	152.28	212.78	325.29	232.94	182.55	182.55	163.28	139.07	105.15	113.56	185.11	115.16	234.57	212.78	214.27	121.79	148.09	133.36	293.07	139.07	204.07	193.01	232.94	134.3	212.78	199.85	229.72	146.03	185.11	137.14	186.4	156.59	134.3	159.9	253.23	224.97	204.07	186.4	181.28	137.14	133.36	171.45	224.97	194.36	172.65	186.4	149.12	156.59	156.59	142.01	214.27	212.78	173.85	189.02	187.71	251.48	97.36	180.02	197.09	124.37	161.02	159.9	226.54	208.38	147.06	198.47	159.9	191.67	133.36	130.6	195.72	199.85	180.02	166.73	159.9	198.47	173.85	111.21	297.17	161.02	285.03	155.5	165.57	237.86	195.72	176.29	165.57	264.03	318.57	239.52	204.07
SMEK2	995.0	1015.93	1008.9	1639.59	808.0	884.29	947.83	791.35	1199.98	1081.39	1674.06	902.89	728.11	723.08	860.08	647.07	753.83	842.36	1037.29	896.64	1191.69	988.12	854.13	579.04	438.59	607.87	511.0	603.67	547.75	698.41	620.67	466.88	497.0	521.76	361.04	303.44	353.59	497.0	343.89	669.92	551.56	536.45	351.14	457.25	497.0	743.43	376.41	540.19	460.44	571.05	384.34	529.06	454.09	555.41	486.75	587.13	336.79	620.67	587.13	406.31	480.04	511.0	616.37	480.04	435.55	497.0	507.46	389.72	460.44	497.0	587.13	480.04	483.38	429.54	511.0	540.19	381.68	563.18	563.18	567.1	587.13	480.04	669.92	323.03	493.56	651.58	441.64	454.09	483.38	583.07	579.04	379.04	579.04	497.0	497.0	397.93	441.64	543.96	551.56	543.96	466.88	429.54	532.74	547.75	379.04	536.45	555.41	607.87	454.09	473.41	684.02	571.05	511.0	503.95	647.07	928.3	808.0	536.45
SNRNP40	1175.27	1639.59	1268.46	1697.45	981.29	796.86	718.08	1250.98	1233.75	884.29	878.17	860.08	1594.73	1143.1	1073.91	703.28	981.29	981.29	1991.0	1286.18	981.29	808.0	791.35	607.87	575.03	708.18	679.29	575.03	674.59	698.41	665.29	633.73	540.19	607.87	723.08	723.08	397.93	551.56	559.28	693.58	507.46	688.78	638.15	500.46	708.18	651.58	753.83	718.08	738.29	629.35	748.61	486.75	791.35	624.99	575.03	511.0	665.29	748.61	642.59	753.83	624.99	567.1	718.08	444.72	447.82	511.0	665.29	473.41	753.83	703.28	693.58	591.22	775.05	718.08	599.49	612.11	836.53	599.49	591.22	660.68	563.18	624.99	647.07	392.44	514.56	791.35	703.28	633.73	647.07	769.69	693.58	463.65	738.29	559.28	733.19	476.71	536.45	656.11	785.88	579.04	647.07	629.35	679.29	669.92	514.56	642.59	688.78	713.11	575.03	591.22	748.61	651.58	629.35	603.67	934.76	769.69	769.69	733.19
SPTY2D1	400.71	555.41	223.41	457.25	275.28	215.77	189.02	325.29	283.05	262.2	249.73	366.09	171.45	183.82	226.54	181.28	220.32	152.28	167.9	241.19	177.53	226.54	384.34	139.07	172.65	137.14	146.03	98.04	167.9	211.31	165.57	138.1	114.36	114.36	84.63	64.34	133.36	108.14	85.82	166.73	126.12	178.77	84.63	101.54	122.64	212.78	101.54	165.57	133.36	156.59	69.03	109.66	141.02	173.85	102.25	137.14	76.17	139.07	112.77	93.35	129.69	181.28	195.72	144.01	122.64	96.01	102.25	84.04	121.79	162.14	144.01	115.16	128.79	102.97	136.19	117.6	80.01	158.79	143.01	149.12	138.1	115.16	190.34	126.12	126.12	147.06	99.43	103.69	133.36	165.57	150.17	99.43	215.77	111.21	151.22	83.45	100.13	151.22	129.69	120.1	122.64	123.5	148.09	158.79	78.89	154.42	143.01	248.0	104.42	109.66	198.47	152.28	125.24	116.78	195.72	289.02	255.0	242.88
SRP72	1844.76	2645.74	1447.15	4419.52	2163.77	1167.14	1135.2	2287.2	2271.4	1806.78	2193.99	1991.0	1685.71	1073.91	1991.0	1369.04	1709.26	1359.57	2032.85	1250.98	1073.91	1427.22	2090.03	934.76	1135.2	981.29	967.76	1233.75	1044.52	1159.07	1037.29	967.76	890.44	1175.27	854.13	591.22	1233.75	1111.82	764.36	1127.35	1199.98	1081.39	575.03	830.75	674.59	1259.69	723.08	981.29	1015.93	934.76	723.08	669.92	974.5	1208.34	775.05	1183.45	753.83	1304.15	1340.84	947.83	872.1	1208.34	1388.16	825.0	988.12	733.19	708.18	656.11	872.1	1081.39	1066.48	995.0	974.5	830.75	866.07	974.5	854.13	947.83	1023.0	1051.79	1447.15	825.0	1819.35	1015.93	890.44	1519.15	830.75	780.44	1159.07	1104.13	981.29	1674.06	1259.69	808.0	967.76	785.88	775.05	954.43	1008.9	902.89	890.44	1001.93	1023.0	981.29	743.43	896.64	1143.1	1487.87	713.11	974.5	1233.75	921.88	1059.11	785.88	1519.15	1605.83	1498.22	1167.14
SRPK1	555.41	642.59	1350.18	1697.45	432.53	1059.11	764.36	616.37	902.89	583.07	915.51	651.58	612.11	743.43	902.89	743.43	447.82	921.88	961.07	583.07	1008.9	941.27	551.56	242.88	356.05	197.09	185.11	312.0	277.2	287.01	285.03	220.32	198.47	187.71	194.36	186.4	249.73	172.65	167.9	265.87	197.09	264.03	129.69	183.82	211.31	325.29	163.28	293.07	260.38	255.0	154.42	198.47	239.52	277.2	178.77	199.85	159.9	189.02	165.57	163.28	189.02	293.07	289.02	249.73	163.28	201.25	182.55	183.82	217.27	256.78	214.27	205.5	183.82	176.29	190.34	211.31	177.53	258.57	256.78	229.72	212.78	211.31	236.21	208.38	204.07	214.27	209.84	204.07	242.88	285.03	208.38	246.28	287.01	229.72	255.0	185.11	186.4	283.05	293.07	303.44	226.54	236.21	260.38	234.57	171.45	260.38	229.72	287.01	186.4	190.34	265.87	226.54	231.32	218.79	529.06	343.89	208.38	209.84
SSR1	2468.49	2400.97	3325.99	4543.8	3874.05	1388.16	3515.68	2367.9	3081.75	2875.3	4972.34	2997.45	4152.18	2537.92	2609.3	2758.13	2855.44	2720.15	3847.29	2351.53	3564.78	2133.97	1977.24	842.36	1233.75	1295.13	1008.9	1081.39	1295.13	1674.06	1104.13	934.76	921.88	1008.9	884.29	915.51	830.75	915.51	836.53	1508.65	1259.69	1286.18	616.37	743.43	848.22	1674.06	791.35	1216.75	1191.69	1073.91	543.96	819.3	988.12	1277.29	813.63	974.5	547.75	1286.18	1350.18	808.0	1066.48	1572.76	1594.73	1051.79	1225.22	620.67	830.75	698.41	1044.52	1199.98	1167.14	872.1	1104.13	743.43	866.07	961.07	753.83	1088.92	1313.23	1096.5	1268.46	974.5	2240.11	748.61	1096.5	1467.37	974.5	866.07	1350.18	1304.15	1088.92	1044.52	1250.98	802.41	1073.91	753.83	854.13	1322.37	1350.18	1216.75	921.88	1135.2	915.51	1073.91	638.15	1030.12	1030.12	1519.15	954.43	1175.27	1572.76	1159.07	941.27	878.17	2287.2	1709.26	2209.26	2047.0
STX6	934.76	532.74	723.08	842.36	587.13	642.59	1199.98	551.56	743.43	802.41	607.87	583.07	1331.57	743.43	1051.79	595.34	872.1	872.1	961.07	872.1	842.36	497.0	395.18	500.46	356.05	320.8	329.84	457.25	358.54	376.41	381.68	305.55	329.84	341.51	305.55	273.37	262.2	381.68	273.37	379.04	348.71	400.71	271.48	307.69	389.72	384.34	336.79	525.39	314.17	486.75	283.05	368.65	476.71	371.22	348.71	363.56	283.05	309.83	379.04	339.14	320.8	323.03	387.02	343.89	332.14	336.79	291.04	303.44	346.29	397.93	429.54	400.71	358.54	414.87	346.29	397.93	348.71	366.09	341.51	400.71	450.94	381.68	363.56	209.84	412.0	334.46	325.29	329.84	341.51	339.14	312.0	244.57	441.64	341.51	376.41	312.0	358.54	323.03	373.81	540.19	384.34	289.02	376.41	447.82	293.07	376.41	389.72	414.87	283.05	423.61	454.09	339.14	529.06	287.01	624.99	353.59	323.03	339.14
TAF2	358.54	780.44	511.0	642.59	336.79	476.71	323.03	379.04	503.95	412.0	532.74	500.46	420.68	463.65	376.41	483.38	253.23	400.71	503.95	332.14	403.5	384.34	316.37	212.78	190.34	156.59	143.01	177.53	218.79	255.0	186.4	171.45	156.59	140.04	100.83	114.36	221.86	169.07	109.66	198.47	199.85	236.21	113.56	163.28	134.3	242.88	126.12	189.02	173.85	202.66	105.15	163.28	172.65	205.5	144.01	199.85	78.34	220.32	156.59	116.78	147.06	204.07	242.88	183.82	117.6	176.29	135.24	105.15	180.02	202.66	202.66	159.9	178.77	140.04	186.4	153.34	124.37	194.36	163.28	198.47	183.82	189.02	234.57	185.11	167.9	176.29	120.94	170.25	182.55	202.66	205.5	226.54	195.72	181.28	158.79	119.26	143.01	185.11	157.68	186.4	173.85	154.42	209.84	185.11	129.69	183.82	208.38	226.54	165.57	161.02	232.94	214.27	143.01	187.71	277.2	361.04	234.57	187.71
TAF5L	575.03	543.96	490.14	567.1	295.11	457.25	532.74	426.57	457.25	320.8	559.28	400.71	441.64	423.61	638.15	303.44	327.56	387.02	514.56	466.88	389.72	450.94	587.13	242.88	218.79	251.48	255.0	193.01	253.23	234.57	277.2	248.0	217.27	271.48	173.85	171.45	197.09	260.38	154.42	258.57	211.31	314.17	241.19	193.01	206.94	287.01	253.23	320.8	202.66	228.13	197.09	205.5	236.21	264.03	180.02	202.66	172.65	232.94	206.94	220.32	234.57	248.0	291.04	217.27	145.02	152.28	181.28	165.57	228.13	307.69	260.38	269.6	269.6	214.27	293.07	218.79	197.09	262.2	249.73	307.69	269.6	234.57	226.54	165.57	195.72	221.86	164.42	267.73	279.14	281.09	265.87	209.84	329.84	223.41	239.52	185.11	234.57	232.94	220.32	336.79	229.72	217.27	239.52	267.73	186.4	231.32	267.73	281.09	217.27	193.01	258.57	269.6	341.51	234.57	277.2	373.81	281.09	299.25
TCEB3	599.49	854.13	890.44	708.18	599.49	264.03	728.11	728.11	743.43	651.58	791.35	529.06	414.87	728.11	450.94	555.41	444.72	507.46	728.11	679.29	444.72	616.37	775.05	563.18	490.14	312.0	500.46	432.53	353.59	540.19	361.04	323.03	271.48	307.69	251.48	279.14	397.93	441.64	281.09	392.44	476.71	368.65	273.37	403.5	339.14	414.87	323.03	397.93	343.89	518.15	262.2	400.71	384.34	395.18	339.14	387.02	262.2	371.22	397.93	285.03	361.04	412.0	457.25	438.59	341.51	366.09	307.69	283.05	307.69	348.71	371.22	348.71	325.29	329.84	312.0	332.14	346.29	392.44	329.84	327.56	551.56	371.22	555.41	409.15	361.04	295.11	269.6	277.2	293.07	381.68	312.0	486.75	447.82	309.83	376.41	260.38	283.05	312.0	314.17	395.18	353.59	329.84	332.14	339.14	285.03	480.04	295.11	409.15	384.34	420.68	389.72	323.03	376.41	339.14	426.57	638.15	521.76	575.03
TFB2M	521.76	896.64	325.29	603.67	287.01	281.09	473.41	423.61	507.46	358.54	629.35	336.79	497.0	438.59	651.58	356.05	406.31	674.59	507.46	368.65	483.38	346.29	669.92	241.19	363.56	267.73	323.03	260.38	214.27	307.69	236.21	281.09	244.57	214.27	215.77	165.57	361.04	249.73	167.9	180.02	429.54	189.02	198.47	242.88	208.38	251.48	255.0	217.27	191.67	312.0	164.42	197.09	201.25	202.66	211.31	414.87	223.41	269.6	351.14	249.73	218.79	234.57	158.79	237.86	241.19	226.54	234.57	169.07	185.11	193.01	194.36	249.73	239.52	217.27	269.6	251.48	191.67	212.78	239.52	228.13	323.03	224.97	231.32	291.04	334.46	295.11	175.07	209.84	249.73	248.0	271.48	389.72	197.09	215.77	201.25	181.28	228.13	244.57	147.06	246.28	221.86	171.45	277.2	198.47	169.07	249.73	183.82	209.84	206.94	271.48	237.86	277.2	237.86	242.88	251.48	363.56	341.51	309.83
TIMM8A	133.36	262.2	173.85	334.46	129.69	131.51	137.14	180.02	186.4	157.68	237.86	164.42	194.36	175.07	176.29	320.8	172.65	256.78	206.94	143.01	201.25	262.2	140.04	142.01	271.48	69.52	100.13	220.32	112.77	105.15	103.69	123.5	122.64	133.36	105.89	92.05	129.69	117.6	108.9	105.15	189.02	109.66	126.12	116.78	94.67	129.69	90.77	88.26	92.05	105.89	105.15	77.25	77.79	83.45	93.35	146.03	98.04	144.01	100.13	122.64	99.43	93.35	87.65	111.21	120.1	109.66	86.43	69.52	102.97	99.43	97.36	90.14	95.34	101.54	124.37	84.04	115.16	100.83	112.77	117.6	142.01	90.77	113.56	127.0	101.54	130.6	94.67	96.68	89.51	122.64	132.44	108.14	115.97	92.05	103.69	89.51	100.13	95.34	103.69	95.34	115.97	84.04	88.88	123.5	85.82	92.05	83.45	96.01	99.43	111.21	116.78	110.43	97.36	131.51	115.16	136.19	115.16	115.97
TIPRL	1051.79	1561.89	1662.49	1498.22	791.35	684.02	1081.39	728.11	928.3	769.69	1709.26	698.41	1662.49	995.0	1066.48	555.41	785.88	934.76	1119.56	860.08	1369.04	995.0	759.08	353.59	514.56	299.25	316.37	371.22	414.87	417.77	397.93	417.77	353.59	343.89	291.04	289.02	414.87	395.18	220.32	395.18	395.18	412.0	223.41	271.48	264.03	450.94	283.05	376.41	361.04	432.53	226.54	246.28	368.65	381.68	212.78	447.82	262.2	447.82	379.04	253.23	336.79	309.83	384.34	325.29	237.86	271.48	289.02	258.57	329.84	368.65	334.46	348.71	334.46	279.14	312.0	271.48	260.38	323.03	373.81	379.04	457.25	312.0	441.64	320.8	283.05	395.18	332.14	301.33	361.04	351.14	332.14	429.54	387.02	285.03	314.17	277.2	343.89	361.04	400.71	525.39	327.56	314.17	409.15	332.14	231.32	318.57	379.04	426.57	291.04	329.84	414.87	379.04	470.14	426.57	532.74	412.0	543.96	532.74
TMEM182	81.14	118.43	176.29	118.43	65.72	73.03	42.41	161.02	120.94	143.01	228.13	131.51	189.02	123.5	112.77	187.71	142.01	177.53	48.87	75.11	124.37	164.42	236.21	92.05	38.12	46.84	35.5	19.25	71.0	131.51	65.26	55.49	57.89	35.76	36.01	31.67	29.06	63.89	23.59	84.04	86.43	67.12	23.93	84.63	54.72	81.71	32.36	48.18	45.53	122.64	30.56	49.91	51.35	40.36	31.0	56.28	31.67	67.59	53.95	33.54	40.07	66.65	58.3	70.01	79.45	64.34	33.78	31.67	33.78	69.03	52.82	47.5	71.0	43.63	44.25	42.71	36.27	34.75	52.45	64.8	62.56	58.3	71.0	21.78	88.88	62.56	20.11	50.98	50.63	76.17	53.57	32.82	80.01	51.35	43.63	28.86	44.57	69.03	72.52	72.52	46.5	38.95	57.89	67.59	24.46	111.21	68.07	60.39	33.78	49.56	81.14	57.89	43.02	66.65	80.01	69.03	97.36	51.71
TMEM209	262.2	277.2	423.61	854.13	265.87	190.34	199.85	287.01	543.96	343.89	260.38	406.31	368.65	320.8	358.54	353.59	215.77	190.34	208.38	209.84	363.56	312.0	202.66	177.53	214.27	208.38	202.66	175.07	111.99	209.84	177.53	151.22	150.17	193.01	101.54	73.54	301.33	162.14	108.14	201.25	165.57	195.72	130.6	155.5	175.07	228.13	133.36	145.02	123.5	186.4	110.43	186.4	131.51	156.59	159.9	153.34	95.34	173.85	164.42	134.3	155.5	159.9	255.0	178.77	145.02	144.01	182.55	123.5	129.69	110.43	201.25	164.42	190.34	148.09	163.28	159.9	140.04	163.28	185.11	220.32	191.67	144.01	260.38	273.37	154.42	224.97	166.73	112.77	201.25	201.25	194.36	356.05	260.38	143.01	152.28	132.44	130.6	115.16	165.57	138.1	149.12	117.6	132.44	151.22	88.26	202.66	143.01	185.11	152.28	154.42	183.82	195.72	134.3	112.77	220.32	351.14	283.05	314.17
TMEM241	591.22	642.59	348.71	366.09	173.85	154.42	120.94	595.34	400.71	289.02	161.02	249.73	234.57	457.25	277.2	163.28	251.48	182.55	153.34	145.02	163.28	172.65	102.97	60.39	52.82	32.59	44.25	31.67	94.67	62.56	55.49	77.79	80.01	47.17	70.51	30.34	28.04	67.59	41.22	53.95	41.22	94.67	74.58	48.87	42.71	146.03	39.79	64.8	78.89	46.84	33.3	34.26	63.45	53.57	60.39	63.45	52.08	65.72	66.18	44.89	57.49	57.89	64.34	41.81	77.79	52.45	66.18	39.79	54.33	67.12	77.79	50.27	83.45	52.45	61.68	50.98	36.53	47.5	70.51	89.51	57.08	73.54	70.01	34.51	40.36	92.7	35.76	46.84	58.71	59.55	48.18	38.95	103.69	60.82	69.03	52.82	57.49	63.45	58.71	58.3	51.71	90.77	56.28	75.11	76.71	71.5	64.34	91.41	39.79	42.41	62.56	91.41	69.52	38.4	145.02	46.5	84.63	98.73
TMEM33	713.11	1369.04	571.05	988.12	616.37	603.67	669.92	915.51	1250.98	775.05	1233.75	808.0	642.59	656.11	1073.91	665.29	759.08	688.78	674.59	723.08	540.19	679.29	775.05	334.46	435.55	438.59	339.14	356.05	426.57	518.15	525.39	395.18	366.09	329.84	348.71	343.89	368.65	366.09	279.14	435.55	373.81	406.31	205.5	343.89	381.68	603.67	260.38	387.02	358.54	551.56	205.5	361.04	381.68	423.61	336.79	371.22	220.32	366.09	406.31	303.44	314.17	503.95	507.46	518.15	432.53	414.87	387.02	334.46	353.59	376.41	395.18	406.31	412.0	309.83	305.55	371.22	251.48	363.56	423.61	423.61	567.1	336.79	603.67	316.37	371.22	447.82	285.03	309.83	426.57	466.88	363.56	583.07	525.39	334.46	314.17	323.03	412.0	500.46	595.34	392.44	341.51	356.05	414.87	395.18	287.01	409.15	454.09	540.19	356.05	384.34	483.38	371.22	351.14	444.72	616.37	521.76	595.34	547.75
TMTC4	392.44	665.29	400.71	303.44	201.25	148.09	293.07	457.25	507.46	195.72	116.78	206.94	251.48	159.9	348.71	100.83	201.25	182.55	432.53	176.29	190.34	356.05	287.01	100.13	163.28	211.31	116.78	70.51	198.47	183.82	177.53	121.79	134.3	66.18	158.79	110.43	215.77	80.01	83.45	173.85	120.1	209.84	87.03	105.15	72.01	169.07	107.38	221.86	170.25	161.02	137.14	102.97	249.73	167.9	121.79	228.13	88.26	135.24	122.64	98.04	111.21	156.59	122.64	129.69	84.63	118.43	120.94	145.02	175.07	156.59	106.63	151.22	140.04	76.17	113.56	94.01	90.77	205.5	131.51	111.99	162.14	94.67	214.27	146.03	148.09	87.65	76.71	124.37	154.42	181.28	100.83	128.79	127.0	138.1	172.65	140.04	77.25	134.3	275.28	99.43	141.02	167.9	164.42	158.79	123.5	163.28	153.34	175.07	142.01	105.15	129.69	164.42	154.42	90.77	202.66	228.13	426.57	195.72
TNPO1	1286.18	764.36	665.29	1745.2	967.76	896.64	1008.9	555.41	830.75	819.3	1322.37	1081.39	616.37	780.44	1378.57	1651.0	674.59	1572.76	571.05	819.3	1674.06	808.0	1001.93	476.71	567.1	376.41	363.56	327.56	518.15	785.88	490.14	438.59	346.29	309.83	279.14	267.73	547.75	403.5	309.83	525.39	457.25	591.22	244.57	351.14	303.44	698.41	285.03	511.0	412.0	532.74	206.94	371.22	490.14	490.14	334.46	629.35	193.01	432.53	429.54	305.55	387.02	525.39	620.67	583.07	299.25	353.59	285.03	267.73	361.04	536.45	507.46	368.65	493.56	334.46	417.77	426.57	265.87	563.18	466.88	547.75	629.35	412.0	674.59	366.09	493.56	493.56	341.51	351.14	432.53	559.28	417.77	607.87	674.59	312.0	473.41	256.78	293.07	500.46	486.75	490.14	435.55	297.17	470.14	497.0	297.17	507.46	480.04	633.73	325.29	397.93	603.67	441.64	435.55	417.77	753.83	1096.5	947.83	1073.91
TOR1AIP2	733.19	909.17	435.55	1151.06	412.0	514.56	591.22	486.75	909.17	620.67	1096.5	473.41	674.59	412.0	638.15	316.37	420.68	555.41	400.71	599.49	603.67	1135.2	733.19	253.23	281.09	339.14	301.33	332.14	287.01	368.65	361.04	303.44	229.72	309.83	305.55	212.78	229.72	163.28	283.05	325.29	177.53	307.69	351.14	255.0	381.68	339.14	226.54	460.44	239.52	307.69	281.09	309.83	395.18	334.46	336.79	248.0	262.2	256.78	208.38	258.57	316.37	293.07	373.81	251.48	244.57	249.73	265.87	293.07	293.07	395.18	417.77	332.14	353.59	414.87	253.23	289.02	231.32	403.5	400.71	392.44	229.72	264.03	255.0	258.57	269.6	353.59	255.0	249.73	299.25	454.09	371.22	289.02	591.22	299.25	417.77	277.2	242.88	275.28	392.44	426.57	277.2	244.57	287.01	392.44	264.03	299.25	323.03	336.79	253.23	269.6	403.5	314.17	480.04	221.86	358.54	392.44	476.71	289.02
TRMT1L	642.59	251.48	269.6	470.14	265.87	260.38	193.01	267.73	279.14	366.09	392.44	195.72	406.31	291.04	258.57	208.38	167.9	198.47	175.07	262.2	305.55	507.46	368.65	183.82	211.31	187.71	144.01	143.01	148.09	208.38	181.28	181.28	146.03	123.5	108.9	110.43	186.4	137.14	145.02	191.67	162.14	226.54	140.04	134.3	169.07	244.57	115.97	205.5	126.12	218.79	115.16	137.14	191.67	146.03	209.84	183.82	99.43	191.67	166.73	153.34	152.28	141.02	187.71	147.06	109.66	150.17	154.42	130.6	134.3	172.65	195.72	172.65	187.71	118.43	193.01	157.68	103.69	191.67	150.17	228.13	186.4	153.34	162.14	143.01	159.9	149.12	102.97	148.09	166.73	195.72	185.11	177.53	242.88	145.02	147.06	116.78	150.17	155.5	228.13	258.57	147.06	141.02	164.42	166.73	134.3	211.31	172.65	193.01	144.01	152.28	205.5	204.07	260.38	118.43	186.4	231.32	262.2	246.28
