	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
RNPC3	78.89	64.34	85.82	33.3	98.04	92.7	190.34	269.6	262.2	232.94	373.81	295.11	351.14	361.04	223.41	406.31	307.69	336.79	363.56	176.29	1427.22	1096.5	267.73	967.76	480.04	423.61	547.75	457.25	819.3	529.06	323.03	563.18	775.05	743.43	521.76	563.18	733.19	1628.26	460.44	890.44	698.41	551.56	1119.56	551.56	830.75	339.14	500.46	463.65	591.22	1051.79	603.67	490.14	909.17	934.76	514.56	503.95	323.03	343.89	571.05	878.17	1167.14	348.71	1073.91	830.75	1081.39	262.2	447.82	518.15	543.96	312.0	1051.79	265.87	693.58	490.14	1233.75	813.63	890.44	599.49	316.37	547.75	466.88	808.0	187.71	514.56	348.71	1340.84	842.36	470.14	551.56	785.88	540.19	669.92	555.41	656.11	514.56
RPS6KB1	154.42	111.99	147.06	85.22	132.44	325.29	187.71	218.79	190.34	142.01	177.53	209.84	291.04	164.42	246.28	234.57	217.27	285.03	244.57	202.66	417.77	327.56	283.05	417.77	258.57	318.57	301.33	253.23	454.09	251.48	346.29	249.73	444.72	329.84	325.29	255.0	351.14	379.04	291.04	371.22	348.71	361.04	366.09	271.48	358.54	279.14	269.6	273.37	353.59	463.65	303.44	363.56	309.83	429.54	348.71	297.17	423.61	281.09	262.2	318.57	389.72	262.2	395.18	381.68	325.29	289.02	255.0	303.44	277.2	251.48	400.71	249.73	473.41	293.07	486.75	325.29	316.37	341.51	244.57	409.15	320.8	327.56	208.38	297.17	214.27	423.61	273.37	307.69	320.8	339.14	279.14	285.03	327.56	287.01	293.07
RUFY2	57.89	33.06	44.25	20.11	49.56	36.27	77.79	118.43	82.87	105.15	82.87	154.42	100.13	106.63	99.43	163.28	141.02	124.37	107.38	99.43	258.57	299.25	177.53	323.03	180.02	229.72	195.72	180.02	255.0	197.09	166.73	167.9	236.21	220.32	260.38	211.31	223.41	320.8	224.97	246.28	242.88	232.94	212.78	197.09	135.24	161.02	183.82	220.32	242.88	281.09	190.34	173.85	204.07	307.69	186.4	173.85	189.02	153.34	170.25	262.2	246.28	153.34	265.87	209.84	334.46	139.07	183.82	211.31	228.13	149.12	231.32	204.07	327.56	165.57	217.27	198.47	287.01	183.82	134.3	253.23	180.02	269.6	161.02	194.36	149.12	307.69	223.41	162.14	291.04	221.86	190.34	159.9	193.01	178.77	183.82
S100PBP	128.79	87.65	84.04	73.03	64.8	204.07	177.53	185.11	132.44	127.0	186.4	325.29	255.0	202.66	217.27	297.17	221.86	177.53	193.01	169.07	447.82	441.64	236.21	555.41	269.6	312.0	281.09	260.38	392.44	295.11	236.21	232.94	376.41	346.29	486.75	348.71	289.02	633.73	232.94	343.89	480.04	305.55	356.05	253.23	255.0	248.0	305.55	258.57	323.03	460.44	275.28	346.29	476.71	447.82	325.29	376.41	332.14	234.57	303.44	368.65	379.04	205.5	327.56	400.71	480.04	206.94	275.28	232.94	420.68	320.8	348.71	305.55	363.56	241.19	444.72	291.04	414.87	295.11	223.41	334.46	332.14	314.17	172.65	318.57	211.31	543.96	265.87	204.07	373.81	397.93	301.33	384.34	406.31	279.14	287.01
SART3	318.57	299.25	457.25	316.37	307.69	295.11	493.56	500.46	381.68	379.04	426.57	529.06	579.04	429.54	381.68	503.95	450.94	490.14	480.04	536.45	808.0	688.78	642.59	748.61	414.87	563.18	660.68	607.87	703.28	567.1	607.87	555.41	802.41	718.08	587.13	476.71	860.08	708.18	629.35	718.08	642.59	595.34	738.29	579.04	743.43	647.07	503.95	629.35	629.35	974.5	708.18	511.0	723.08	656.11	559.28	575.03	651.58	674.59	521.76	665.29	733.19	559.28	896.64	669.92	656.11	518.15	514.56	688.78	432.53	620.67	713.11	397.93	785.88	543.96	748.61	723.08	775.05	647.07	543.96	733.19	656.11	599.49	483.38	638.15	536.45	587.13	688.78	674.59	775.05	802.41	493.56	389.72	748.61	460.44	688.78
SENP6	246.28	132.44	145.02	53.19	392.44	414.87	559.28	860.08	669.92	503.95	669.92	775.05	775.05	718.08	595.34	1008.9	346.29	825.0	693.58	616.37	1467.37	1437.15	974.5	2018.8	1191.69	1313.23	1529.73	1081.39	1295.13	1378.57	995.0	1277.29	1794.29	1250.98	1359.57	1286.18	1583.71	2502.97	1331.57	1709.26	1508.65	1191.69	1268.46	1159.07	954.43	921.88	1322.37	1167.14	1183.45	1242.34	1183.45	1175.27	1359.57	1183.45	1407.55	1167.14	1037.29	1073.91	1331.57	1583.71	1447.15	1059.11	1417.35	1369.04	1909.85	995.0	1286.18	1250.98	1447.15	866.07	1191.69	1044.52	1397.83	1008.9	1457.23	1242.34	1605.83	1286.18	902.89	1340.84	1359.57	1286.18	1216.75	1111.82	743.43	1295.13	1378.57	1127.35	1594.73	1508.65	1183.45	941.27	1417.35	1216.75	1135.2
SENP7	61.68	56.28	36.01	13.03	59.97	30.34	88.26	134.3	120.1	100.83	159.9	150.17	79.45	108.14	89.51	237.86	124.37	124.37	151.22	63.89	454.09	414.87	237.86	679.29	265.87	343.89	358.54	197.09	371.22	312.0	285.03	314.17	334.46	316.37	316.37	314.17	223.41	567.1	320.8	351.14	403.5	283.05	323.03	273.37	318.57	191.67	356.05	293.07	387.02	536.45	269.6	281.09	555.41	316.37	285.03	417.77	244.57	218.79	264.03	525.39	392.44	249.73	358.54	301.33	718.08	176.29	339.14	262.2	414.87	158.79	316.37	190.34	376.41	239.52	373.81	339.14	551.56	231.32	237.86	381.68	323.03	323.03	175.07	289.02	172.65	466.88	366.09	283.05	381.68	420.68	194.36	217.27	329.84	323.03	231.32
SGIP1	11.38	4.78	27.05	13.12	1.95	2.92	41.22	28.45	60.82	27.25	34.51	147.06	169.07	53.95	214.27	258.57	58.3	91.41	297.17	137.14	507.46	346.29	180.02	1250.98	122.64	258.57	103.69	237.86	371.22	83.45	157.68	273.37	718.08	791.35	309.83	202.66	902.89	339.14	106.63	74.58	616.37	236.21	131.51	114.36	69.03	72.52	381.68	217.27	334.46	961.07	111.21	346.29	361.04	785.88	325.29	397.93	169.07	88.26	309.83	339.14	591.22	94.01	647.07	743.43	1467.37	59.55	195.72	150.17	616.37	31.45	295.11	332.14	759.08	293.07	988.12	132.44	1286.18	115.97	63.45	540.19	98.04	157.68	25.72	224.97	101.54	1963.57	189.02	361.04	303.44	476.71	314.17	563.18	305.55	647.07	146.03
SLC25A36	327.56	406.31	249.73	116.78	228.13	7.46	343.89	457.25	490.14	303.44	400.71	438.59	297.17	483.38	316.37	723.08	389.72	551.56	503.95	251.48	1529.73	1268.46	579.04	1950.0	633.73	974.5	981.29	836.53	1088.92	1066.48	902.89	928.3	1369.04	1259.69	878.17	896.64	1487.87	2133.97	1151.06	1572.76	961.07	1111.82	1208.34	738.29	981.29	713.11	941.27	1023.0	1096.5	1407.55	872.1	796.86	1104.13	1208.34	1037.29	775.05	703.28	713.11	872.1	1397.83	1359.57	775.05	1639.59	1081.39	1819.35	567.1	728.11	1096.5	954.43	521.76	1216.75	587.13	1250.98	698.41	1427.22	1277.29	1662.49	1159.07	660.68	1250.98	866.07	1199.98	563.18	941.27	454.09	1313.23	1313.23	1001.93	1191.69	1073.91	713.11	583.07	902.89	890.44	836.53
SLC9A8	132.44	163.28	140.04	133.36	60.39	115.16	208.38	199.85	142.01	138.1	163.28	181.28	165.57	190.34	214.27	181.28	260.38	194.36	145.02	126.12	403.5	301.33	293.07	336.79	229.72	221.86	273.37	277.2	341.51	301.33	234.57	205.5	283.05	312.0	332.14	177.53	255.0	339.14	273.37	293.07	246.28	283.05	293.07	205.5	353.59	260.38	241.19	287.01	246.28	283.05	264.03	287.01	327.56	297.17	271.48	234.57	226.54	244.57	253.23	299.25	318.57	223.41	346.29	262.2	253.23	269.6	241.19	305.55	249.73	246.28	279.14	239.52	224.97	251.48	297.17	271.48	334.46	283.05	251.48	249.73	267.73	307.69	221.86	275.28	194.36	256.78	309.83	289.02	366.09	293.07	204.07	211.31	297.17	194.36	232.94
SPATA13	193.01	150.17	138.1	117.6	110.43	37.05	198.47	314.17	84.04	88.88	178.77	125.24	111.21	95.34	167.9	264.03	275.28	264.03	244.57	151.22	536.45	591.22	195.72	1268.46	435.55	587.13	444.72	327.56	412.0	353.59	271.48	287.01	1127.35	460.44	305.55	470.14	848.22	703.28	353.59	1135.2	432.53	305.55	555.41	351.14	480.04	339.14	796.86	454.09	299.25	620.67	236.21	406.31	836.53	559.28	909.17	543.96	583.07	318.57	303.44	665.29	532.74	336.79	954.43	629.35	603.67	204.07	334.46	435.55	866.07	260.38	395.18	158.79	1001.93	215.77	753.83	507.46	825.0	587.13	220.32	748.61	218.79	283.05	194.36	457.25	291.04	1674.06	444.72	256.78	669.92	460.44	490.14	358.54	473.41	366.09	406.31
SPIN3	24.63	26.86	37.32	19.97	48.87	32.13	48.18	51.71	43.02	31.9	61.68	51.35	37.05	69.52	42.71	96.68	67.59	58.71	37.85	37.59	186.4	115.97	63.45	244.57	118.43	108.9	99.43	78.89	145.02	100.83	98.04	75.64	63.89	101.54	100.83	100.13	52.82	113.56	74.06	105.89	105.89	95.34	123.5	90.14	131.51	80.01	119.26	132.44	105.89	177.53	122.64	122.64	178.77	159.9	90.77	114.36	105.15	113.56	98.73	116.78	103.69	83.45	124.37	165.57	127.89	52.82	87.65	108.9	132.44	62.12	109.66	90.14	136.19	113.56	155.5	139.07	186.4	96.01	78.34	89.51	66.18	109.66	57.49	93.35	68.07	171.45	121.79	107.38	86.43	127.89	95.34	96.01	105.89	111.21	102.25
SPIN4	16.39	10.0	13.03	6.26	7.82	9.48	18.56	24.46	26.28	24.63	23.42	36.01	10.71	19.11	20.41	32.59	19.68	28.65	35.25	13.83	52.08	54.72	39.5	80.57	47.84	68.07	39.5	34.26	55.49	42.71	47.84	43.32	56.68	45.21	27.84	47.84	52.08	37.32	35.76	66.18	65.72	37.85	38.12	46.5	36.79	34.75	59.55	38.4	63.0	60.39	43.32	44.25	75.11	71.5	42.41	53.95	45.21	52.45	50.27	54.33	57.89	34.51	102.97	66.18	105.15	24.99	53.57	43.63	48.18	28.45	37.05	43.63	62.56	37.59	62.56	39.5	87.03	38.95	34.02	57.08	37.59	48.52	31.9	40.36	27.05	66.18	54.33	54.72	43.94	55.1	30.78	29.7	48.18	75.11	38.12
SREK1	180.02	170.25	123.5	43.94	164.42	289.02	379.04	571.05	607.87	392.44	890.44	555.41	432.53	547.75	567.1	796.86	684.02	620.67	595.34	358.54	2018.8	1745.2	1151.06	1709.26	656.11	1037.29	1286.18	1242.34	2133.97	1529.73	1540.37	872.1	1498.22	1697.45	1529.73	954.43	1709.26	1487.87	1340.84	1605.83	1088.92	1529.73	1268.46	1225.22	1583.71	1331.57	934.76	1216.75	1561.89	1457.23	1583.71	1001.93	1369.04	1151.06	1159.07	1127.35	954.43	1407.55	819.3	1529.73	1709.26	1199.98	1662.49	1242.34	1909.85	1111.82	753.83	1572.76	1073.91	866.07	1721.16	909.17	1208.34	1508.65	1322.37	1407.55	1617.0	1313.23	1008.9	1540.37	1407.55	1651.0	733.19	1477.58	764.36	1111.82	1340.84	1991.0	1277.29	1529.73	713.11	551.56	1350.18	967.76	1183.45
SRSF10	563.18	497.0	571.05	346.29	303.44	785.88	902.89	995.0	1030.12	890.44	1519.15	941.27	928.3	1216.75	1051.79	1378.57	1199.98	1369.04	1111.82	620.67	2573.36	2400.97	1529.73	2739.08	1487.87	1781.89	1936.53	1721.16	2104.58	2193.99	1651.0	1572.76	2835.7	2367.9	1832.01	1519.15	2997.45	4298.64	1806.78	2645.74	1674.06	1963.57	1832.01	1745.2	1896.65	1697.45	1551.09	1572.76	1769.57	2032.85	1923.14	1295.13	2061.24	1963.57	1844.76	1697.45	1540.37	1781.89	1477.58	2148.82	2645.74	1651.0	3280.18	2018.8	3081.75	1498.22	1487.87	1963.57	1923.14	1447.15	2004.85	1639.59	2255.7	1733.13	2319.15	1870.53	2555.58	2224.63	1331.57	2520.38	1896.65	1923.14	1529.73	1769.57	1295.13	2209.26	2018.8	1950.0	1991.0	2163.77	1605.83	1417.35	1870.53	1781.89	1685.71
SRSF11	432.53	287.01	312.0	161.02	583.07	848.22	1250.98	1437.15	1594.73	1199.98	2224.63	2075.59	1477.58	1508.65	1628.26	2271.4	1340.84	1844.76	1583.71	1081.39	5403.7	5329.3	1896.65	4512.4	1651.0	2303.12	3540.14	3325.99	5147.73	3564.78	4038.61	2591.27	4450.27	4736.79	3124.78	3018.3	5112.16	6561.36	4123.49	5517.27	3018.3	3768.09	3419.52	2502.97	4328.55	3060.45	2209.26	2303.12	4481.23	5633.22	4095.0	3349.13	4181.07	3349.13	3419.52	3349.13	2209.26	2997.45	2537.92	3443.31	5006.93	2835.7	5403.7	3280.18	4239.45	1936.53	1991.0	4869.99	2682.69	1519.15	4181.07	2255.7	4181.07	3257.52	5112.16	4388.98	4972.34	3395.89	2224.63	4239.45	2645.74	3742.05	2004.85	3742.05	1909.85	4512.4	3639.7	4769.75	3372.43	4481.23	2485.67	2047.0	4038.61	2682.69	3257.52
STX16	214.27	237.86	262.2	178.77	454.09	202.66	366.09	525.39	438.59	366.09	603.67	688.78	612.11	473.41	420.68	698.41	575.03	414.87	450.94	400.71	1242.34	1175.27	629.35	1096.5	688.78	674.59	651.58	595.34	1044.52	748.61	638.15	733.19	1369.04	967.76	1111.82	703.28	819.3	1159.07	616.37	878.17	1008.9	660.68	1088.92	674.59	866.07	620.67	693.58	718.08	902.89	1073.91	769.69	890.44	1397.83	1457.23	921.88	1023.0	813.63	587.13	836.53	915.51	947.83	532.74	1628.26	1340.84	890.44	620.67	738.29	693.58	733.19	571.05	1268.46	476.71	1208.34	780.44	1605.83	974.5	1225.22	693.58	551.56	1073.91	583.07	698.41	305.55	791.35	660.68	1331.57	848.22	743.43	728.11	1233.75	764.36	1001.93	842.36	748.61	679.29
TAPT1	152.28	251.48	218.79	217.27	211.31	157.68	269.6	358.54	258.57	221.86	441.64	379.04	376.41	332.14	406.31	332.14	191.67	490.14	358.54	182.55	902.89	802.41	518.15	780.44	363.56	629.35	1008.9	543.96	1096.5	624.99	642.59	607.87	934.76	890.44	450.94	476.71	1059.11	1151.06	684.02	1529.73	536.45	620.67	651.58	607.87	890.44	493.56	444.72	571.05	825.0	791.35	595.34	563.18	521.76	708.18	674.59	567.1	616.37	607.87	514.56	1059.11	836.53	629.35	921.88	571.05	854.13	423.61	429.54	785.88	656.11	432.53	872.1	713.11	728.11	547.75	769.69	748.61	848.22	785.88	579.04	802.41	638.15	872.1	703.28	703.28	438.59	759.08	713.11	802.41	718.08	813.63	575.03	412.0	607.87	514.56	583.07
TBC1D32	20.26	28.86	21.63	4.78	43.02	19.11	62.12	46.5	40.64	31.45	66.65	42.11	26.67	25.17	16.63	47.17	17.77	45.21	24.28	36.53	146.03	94.01	73.54	151.22	95.34	108.9	75.11	77.79	77.79	90.14	71.5	102.25	117.6	100.13	77.25	100.13	104.42	126.12	84.63	105.89	101.54	113.56	108.14	91.41	77.79	130.6	109.66	74.58	74.58	149.12	138.1	112.77	120.94	98.73	92.7	99.43	66.18	54.33	92.7	96.68	93.35	91.41	187.71	112.77	136.19	77.79	88.26	79.45	76.17	87.65	116.78	71.0	121.79	95.34	120.1	125.24	165.57	83.45	94.67	102.25	103.69	90.14	83.45	79.45	52.45	67.12	134.3	92.7	111.21	127.0	71.0	49.91	80.57	104.42	89.51
TET2	27.44	20.56	16.88	10.39	19.53	7.4	44.25	38.95	45.85	33.3	53.57	51.35	38.4	60.82	52.82	77.25	55.49	59.13	57.89	24.46	134.3	120.1	66.18	177.53	55.89	99.43	109.66	71.5	130.6	106.63	103.69	64.34	151.22	118.43	120.1	63.0	127.89	146.03	82.29	129.69	87.03	100.83	108.14	94.01	108.14	68.55	79.45	98.04	91.41	172.65	86.43	72.52	117.6	132.44	87.03	102.97	102.25	84.04	74.06	124.37	113.56	78.34	126.12	117.6	153.34	62.56	57.08	91.41	86.43	73.54	123.5	60.39	183.82	71.5	148.09	87.03	166.73	83.45	64.8	145.02	102.97	112.77	53.57	94.67	62.56	127.89	103.69	94.67	127.0	111.99	44.25	45.21	85.22	61.25	87.03
TG	121.79	106.63	153.34	432.53	490.14	13.03	284880.02	602247.76	711250.37	610654.84	794671.01	794671.01	623486.02	569761.05	598087.73	992012.34	778316.89	834179.46	531605.79	663619.99	938500.81	805764.22	1364554.84	1264380.15	1393227.06	2068278.89	1452391.55	2247670.86	906531.99	2126426.15	1327240.99	1751305.3	1273174.62	1273174.62	1503610.06	2375828.71	2111737.85	668235.84	1611529.43	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1273174.62	800198.39	1997825.68	1984025.69	1355129.16	839981.65	2986448.72	1567462.05	2025714.3	1318073.06	2425749.94	845824.19	741454.2	1929772.37	906531.99	1299926.74	992012.34	1943195.01	1622738.51	1727194.55	1589343.01	1355129.16	1336472.68	2636147.11	1063212.58	2263304.65	1229805.58	1775752.63	925580.18	2111737.85	1108362.75	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1155430.26	1622738.51	2263304.65	1282030.25	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56	1402917.72
THOC2	221.86	146.03	127.89	43.32	379.04	301.33	447.82	511.0	511.0	373.81	595.34	633.73	624.99	444.72	441.64	595.34	525.39	791.35	536.45	457.25	1044.52	1044.52	775.05	967.76	551.56	743.43	1030.12	733.19	1199.98	1008.9	759.08	679.29	967.76	921.88	764.36	759.08	1216.75	1295.13	764.36	1378.57	866.07	915.51	808.0	802.41	1001.93	842.36	688.78	872.1	921.88	1183.45	1015.93	733.19	967.76	1073.91	921.88	860.08	703.28	842.36	780.44	1104.13	1073.91	808.0	941.27	775.05	1175.27	780.44	551.56	1066.48	769.69	603.67	759.08	902.89	802.41	842.36	1111.82	769.69	1066.48	884.29	748.61	928.3	759.08	1208.34	703.28	915.51	587.13	1183.45	981.29	988.12	902.89	884.29	848.22	669.92	884.29	708.18	842.36
TIA1	172.65	232.94	256.78	93.35	251.48	195.72	366.09	417.77	669.92	441.64	1127.35	759.08	587.13	796.86	518.15	1191.69	842.36	486.75	780.44	329.84	1936.53	1896.65	753.83	3639.7	669.92	1037.29	1159.07	599.49	1628.26	1359.57	934.76	1044.52	2287.2	1519.15	1457.23	1008.9	1427.22	1909.85	612.11	2502.97	1950.0	1044.52	1529.73	1159.07	1295.13	759.08	1030.12	1529.73	1397.83	2609.3	1295.13	1477.58	2133.97	2451.44	1378.57	1457.23	1216.75	748.61	796.86	2119.22	1191.69	842.36	2287.2	1883.54	2367.9	688.78	802.41	1066.48	1883.54	733.19	1857.6	921.88	2255.7	954.43	1909.85	1191.69	2855.44	1073.91	748.61	2104.58	866.07	1651.0	551.56	1059.11	571.05	3639.7	1313.23	1199.98	1508.65	1923.14	813.63	1044.52	1259.69	1015.93	1159.07
TIAL1	457.25	400.71	529.06	395.18	587.13	981.29	842.36	1151.06	909.17	878.17	1073.91	1044.52	1135.2	1259.69	738.29	1159.07	1044.52	1104.13	830.75	909.17	1639.59	1757.34	1225.22	1757.34	1313.23	1313.23	1457.23	1295.13	1447.15	1477.58	1322.37	1191.69	1709.26	1551.09	1331.57	1583.71	1950.0	1896.65	1350.18	2193.99	1639.59	1447.15	1477.58	1369.04	1487.87	1313.23	1259.69	1295.13	1583.71	2061.24	1350.18	1605.83	1651.0	2061.24	1806.78	1594.73	1498.22	1340.84	1322.37	1583.71	1427.22	1216.75	1529.73	1594.73	1467.37	1183.45	1277.29	1498.22	1662.49	1059.11	1498.22	1447.15	1844.76	1378.57	1733.13	1313.23	1883.54	1350.18	1250.98	1508.65	1233.75	1662.49	1340.84	1313.23	1030.12	2895.31	1437.15	1447.15	1407.55	1583.71	1628.26	1936.53	1639.59	1350.18	1519.15
TMEM194A	49.91	39.5	79.45	38.95	32.82	71.0	63.0	73.54	95.34	42.41	54.33	65.26	92.05	56.68	52.82	81.71	76.71	62.56	90.77	60.39	154.42	152.28	71.5	303.44	112.77	150.17	124.37	106.63	175.07	164.42	127.0	141.02	170.25	171.45	123.5	117.6	152.28	237.86	122.64	183.82	153.34	171.45	112.77	106.63	113.56	78.34	151.22	134.3	141.02	221.86	132.44	171.45	218.79	173.85	189.02	121.79	129.69	59.97	151.22	193.01	167.9	90.77	176.29	134.3	182.55	73.03	135.24	128.79	181.28	84.63	161.02	96.01	199.85	82.87	167.9	140.04	187.71	139.07	100.83	165.57	120.94	102.25	82.87	173.85	78.34	249.73	164.42	112.77	194.36	166.73	105.89	151.22	218.79	153.34	89.51
TMEM237	104.42	120.94	146.03	94.01	170.25	115.16	104.42	265.87	185.11	145.02	161.02	215.77	199.85	173.85	120.94	176.29	124.37	267.73	172.65	149.12	277.2	285.03	273.37	470.14	190.34	356.05	277.2	212.78	379.04	198.47	269.6	228.13	312.0	258.57	164.42	325.29	262.2	376.41	303.44	371.22	323.03	260.38	289.02	215.77	281.09	239.52	305.55	255.0	305.55	384.34	217.27	277.2	165.57	334.46	287.01	323.03	189.02	229.72	334.46	366.09	426.57	186.4	463.65	264.03	426.57	157.68	325.29	316.37	366.09	248.0	234.57	241.19	387.02	214.27	392.44	271.48	500.46	358.54	218.79	387.02	336.79	218.79	189.02	279.14	256.78	343.89	320.8	234.57	314.17	283.05	185.11	198.47	295.11	412.0	281.09
TMEM260	114.36	66.65	78.89	40.93	156.59	40.07	124.37	159.9	170.25	123.5	166.73	172.65	113.56	186.4	202.66	171.45	226.54	193.01	139.07	119.26	295.11	256.78	258.57	366.09	258.57	277.2	269.6	181.28	264.03	197.09	202.66	273.37	291.04	312.0	239.52	262.2	167.9	262.2	198.47	226.54	271.48	183.82	269.6	239.52	226.54	185.11	291.04	246.28	255.0	351.14	236.21	281.09	309.83	320.8	220.32	253.23	271.48	202.66	273.37	236.21	314.17	166.73	277.2	305.55	381.68	214.27	228.13	198.47	283.05	217.27	301.33	189.02	293.07	202.66	297.17	244.57	329.84	194.36	218.79	271.48	214.27	271.48	162.14	212.78	158.79	312.0	287.01	214.27	264.03	283.05	221.86	211.31	260.38	297.17	249.73
TMEM67	98.73	50.63	102.97	37.59	100.83	38.4	137.14	163.28	104.42	66.65	194.36	151.22	84.04	101.54	79.45	195.72	191.67	128.79	128.79	92.7	341.51	397.93	273.37	521.76	283.05	314.17	246.28	183.82	325.29	291.04	181.28	198.47	387.02	334.46	191.67	232.94	175.07	547.75	211.31	460.44	277.2	262.2	277.2	228.13	363.56	141.02	271.48	204.07	305.55	353.59	244.57	212.78	236.21	251.48	231.32	271.48	221.86	143.01	269.6	366.09	432.53	253.23	507.46	295.11	356.05	193.01	229.72	287.01	262.2	149.12	271.48	267.73	412.0	201.25	281.09	291.04	457.25	199.85	170.25	397.93	281.09	237.86	232.94	279.14	162.14	414.87	299.25	232.94	420.68	320.8	138.1	181.28	384.34	295.11	218.79
